datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,TKM,tk,15,4,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2966,0,0,0,0,0,0,10,0,5,-0.2830,5.2540,5.3650,4.0510,-0.0550,,-0.0400,-0.0500,0.0740,0.0000,,,,,,
2020-01-23,TKM,tk,48,3,0,45,0,5,1,2,0,2,3,2,0,0,1,0,0,0,0,0,2559,245,768,0,0,0,0,13,0,35,-0.1530,5.8880,5.5910,4.4690,,,-0.0420,,0.0830,0.0870,,,,,,
2020-01-24,TKM,tk,103,4,1,98,0,8,1,5,1,3,2,6,0,0,1,0,0,0,0,0,1747,122,1913,0,0,0,0,40,0,63,0.2440,6.0660,5.6880,4.4810,-0.0050,,-0.0070,0.0150,0.0680,0.0650,,,,,,
2020-01-25,TKM,tk,272,10,7,255,0,9,3,2,1,1,0,9,0,0,1,2,0,0,0,0,11654,542,471,0,0,0,0,117,0,155,-0.2590,5.4840,5.3120,4.3020,-0.0820,-0.0670,-0.0160,0.0110,0.0450,0.0440,,,,,,
2020-01-26,TKM,tk,237,14,5,218,0,5,1,16,4,12,0,5,0,0,1,0,0,0,0,0,9548,135,15179,0,0,0,0,98,0,139,-0.0750,5.5020,5.2710,4.2640,-0.0700,,-0.0470,0.0020,0.0680,0.0140,,,,,,
2020-01-27,TKM,tk,112,7,1,104,0,10,1,9,0,9,0,10,0,0,0,1,0,0,0,0,2772,106,10144,0,0,0,0,35,0,77,0.0760,5.4900,5.3300,4.0990,-0.0170,-0.0530,-0.0540,0.0330,0.0720,0.0370,,,,,,
2020-01-28,TKM,tk,92,11,2,79,0,6,0,4,2,1,2,4,0,0,0,0,0,0,0,0,3840,0,8517,0,0,0,0,28,0,64,-0.0870,5.4370,5.4190,4.0660,-0.0410,-0.0570,-0.0220,0.0160,0.0510,0.0000,,,,,,
2020-01-29,TKM,tk,72,10,2,60,0,2,0,11,2,9,0,2,0,0,0,0,0,0,0,0,499,0,3154,0,0,0,0,35,0,37,-0.1510,5.0770,5.2410,4.6640,-0.0460,-0.0470,-0.0300,-0.0040,0.0440,0.0000,,,,,,
2020-01-30,TKM,tk,103,21,1,81,0,1,0,17,8,9,0,1,0,0,0,0,0,0,0,0,107,0,19169,0,0,0,0,46,0,57,-0.0000,5.4080,5.2920,4.3340,-0.0290,-0.0130,-0.0300,0.0050,0.0680,0.0000,,,,,,
2020-01-31,TKM,tk,100,20,1,79,0,7,0,8,4,4,0,7,0,0,0,0,0,0,0,0,3384,0,5393,0,0,0,0,47,0,53,-0.0570,5.3200,5.2680,4.2140,0.0430,,-0.0450,0.0330,0.0810,0.0000,,,,,,
2020-02-01,TKM,tk,48,6,0,42,0,10,1,9,8,1,1,9,0,0,1,0,0,0,0,0,6953,891,4027,0,0,0,0,28,0,20,-0.1940,5.1740,5.3520,4.2600,,,-0.0590,,0.0720,0.1140,,,,,,
2020-02-02,TKM,tk,46,11,0,35,0,3,0,5,5,0,0,3,0,0,0,0,0,0,0,0,1413,0,1020,0,0,0,0,19,0,27,-0.0800,5.4060,5.4240,4.2010,-0.0420,-0.0490,-0.0510,0.0330,0.0760,0.0000,,,,,,
2020-02-03,TKM,tk,28,4,0,24,0,1,2,1,0,1,0,1,0,2,0,0,0,0,0,0,262,3678,3424,0,0,0,0,12,0,16,0.0570,5.1750,5.2380,4.2250,,,-0.0540,,0.0810,0.9340,,,,,,
2020-02-04,TKM,tk,44,6,0,38,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7078,0,0,0,0,14,0,30,-0.2270,5.1890,5.2020,4.2870,,,-0.0530,,0.0830,,,,,,,
2020-02-05,TKM,tk,36,2,0,34,0,3,0,3,1,2,0,3,0,0,0,0,0,0,0,0,871,0,3947,0,0,0,0,12,0,24,0.1350,5.4590,5.4250,4.4620,,,-0.0420,,0.0660,0.0000,,,,,,
2020-02-06,TKM,tk,20,3,1,16,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,499,0,37,0,0,0,0,7,0,13,-0.1870,5.1920,5.2560,4.0500,,,-0.0540,-0.0600,0.0880,0.0000,,,,,,
2020-02-07,TKM,tk,38,6,0,32,0,4,0,11,4,7,0,4,0,0,0,0,0,0,0,0,9873,0,13141,0,0,0,1,13,0,24,0.0250,5.7570,5.5060,4.2750,,,-0.0590,,0.0800,0.0000,,,,,,
2020-02-08,TKM,tk,41,4,1,36,0,7,0,5,0,5,0,7,0,0,0,0,0,0,0,0,2636,0,7532,0,0,0,0,11,0,30,-0.2710,4.8090,4.8140,4.5320,-0.0400,0.0010,-0.0380,,0.0680,0.0000,,,,,,
2020-02-09,TKM,tk,25,0,1,24,0,3,0,5,1,4,0,3,0,0,0,0,0,0,0,0,1795,0,3962,0,0,0,0,9,0,16,0.0430,5.2830,5.1670,4.2980,,,-0.0540,,0.0820,0.0000,,,,,,
2020-02-10,TKM,tk,13,4,0,9,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2971,0,3322,0,0,0,0,1,0,12,0.1550,5.4910,5.4280,4.2310,,,,,0.1020,0.0000,,,,,,
2020-02-11,TKM,tk,21,1,1,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,0,8,0,13,0.2510,5.4950,5.5280,4.2850,,,-0.0470,0.0370,0.0690,,,,,,,
2020-02-12,TKM,tk,25,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0.0450,5.1570,5.1030,4.7340,,,-0.0590,,0.0830,,,,,,,
2020-02-13,TKM,tk,21,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,-0.1130,5.0960,5.0740,4.3640,,,-0.0330,0.0330,0.0620,,,,,,,
2020-02-14,TKM,tk,21,1,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,13,0,8,-0.0450,5.6540,5.7640,4.5000,,,0.0050,0.0330,0.0390,0.0000,,,,,,
2020-02-15,TKM,tk,22,1,0,21,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,8,0,14,0.1800,5.5520,5.3800,4.0390,,,-0.0470,0.0330,0.0660,0.0000,,,,,,
