datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,TLS,24,3,2,6,6176604,282,3854,3,5,0,16,-0.366,4.770,4.845,4.148,,,-0.059,,0.071,0.000,,0,0,0
2020-01-23,TLS,35,5,1,3,2064538,92,8382,5,15,0,15,0.065,6.080,5.594,4.250,,,-0.042,,0.086,0.000,,0,0,0
2020-01-24,TLS,56,4,1,14,2054005,289,53680,9,15,0,32,0.072,5.743,5.469,4.248,,,-0.025,-0.005,0.062,0.000,,0,0,0
2020-01-25,TLS,68,9,0,3,4108828,0,2451,3,28,0,37,-0.079,5.403,5.441,4.300,,,-0.042,0.033,0.065,0.000,,0,0,0
2020-01-26,TLS,97,5,2,15,2089387,1171,21441,5,46,1,45,-0.093,5.362,5.172,4.285,-0.065,-0.050,-0.031,-0.006,0.050,0.001,,0,0,0
2020-01-27,TLS,85,6,1,15,23618,598,23708,8,29,5,43,-0.149,5.254,5.119,4.385,,,-0.042,-0.002,0.072,0.025,,0,0,0
2020-01-28,TLS,64,9,3,11,4130282,227,7787,3,30,0,31,-0.050,5.478,5.529,4.271,-0.041,-0.053,-0.041,0.007,0.070,0.000,,0,0,0
2020-01-29,TLS,73,3,2,7,2060392,1247,7668,7,26,0,40,-0.038,5.170,5.136,4.317,-0.079,,-0.050,-0.007,0.084,0.001,,0,0,0
2020-01-30,TLS,122,4,3,14,10383,2524,33549,10,46,4,62,-0.014,5.365,5.312,4.298,-0.121,-0.090,-0.032,0.016,0.069,0.196,,0,0,0
2020-01-31,TLS,106,3,1,9,1014,139,8642,2,30,1,73,0.093,5.285,5.352,4.282,-0.041,-0.049,-0.036,0.001,0.057,0.121,,0,0,0
2020-02-01,TLS,47,1,2,5,2065672,410,1589,2,19,2,24,0.146,5.360,5.139,4.485,-0.079,,-0.042,-0.002,0.083,0.000,,0,0,0
2020-02-02,TLS,76,10,3,7,8283768,1007,10886,6,35,0,35,-0.068,5.414,5.312,4.193,-0.041,-0.049,-0.048,-0.008,0.077,0.000,,0,0,0
2020-02-03,TLS,72,6,0,11,4143889,0,24364,3,43,3,23,0.031,5.576,5.402,4.103,0.001,0.001,-0.045,-0.026,0.082,0.000,,0,0,0
2020-02-04,TLS,60,6,0,9,6215109,0,9965,4,29,5,22,0.051,5.349,5.323,4.190,,-0.060,-0.052,,0.085,0.000,,0,0,0
2020-02-05,TLS,64,5,0,6,9396,0,8146,3,21,0,40,-0.042,5.339,5.316,4.249,-0.016,-0.005,-0.048,-0.025,0.083,0.000,,0,0,0
2020-02-06,TLS,62,3,0,8,2076609,0,8550,3,19,0,40,-0.099,5.349,5.230,4.339,,,-0.049,-0.029,0.081,0.000,,0,0,0
2020-02-07,TLS,69,8,0,6,2110466,0,5306,9,29,0,31,-0.174,5.278,5.267,4.349,-0.043,,-0.052,0.023,0.077,0.000,,0,0,0
2020-02-08,TLS,48,7,1,7,13067,3329,5439,0,26,0,22,-0.066,4.913,5.153,4.285,-0.056,,-0.059,-0.055,0.079,0.203,,0,0,0
2020-02-09,TLS,49,2,0,9,1967,0,5073,4,28,0,17,-0.014,5.516,5.362,4.308,,,-0.021,0.033,0.063,0.000,,0,0,0
2020-02-10,TLS,88,6,0,16,2090875,0,16574,9,54,0,25,-0.067,5.245,5.247,4.248,,,-0.011,0.033,0.074,0.000,,0,0,0
2020-02-11,TLS,85,2,0,29,31890,0,77575,6,34,0,45,-0.045,5.440,5.355,4.134,,,-0.035,0.011,0.066,0.000,,0,0,0
2020-02-12,TLS,41,3,0,5,2084748,0,4494,3,17,0,21,-0.069,5.461,5.314,4.385,,,-0.035,-0.027,0.074,0.000,,0,0,0
2020-02-13,TLS,50,4,0,6,27549,0,3802,5,14,0,31,-0.189,5.198,5.170,4.359,,,-0.040,0.033,0.070,0.000,,0,0,0
2020-02-14,TLS,32,1,0,2,145,0,568,1,17,0,14,-0.407,5.162,5.176,4.405,,,-0.038,0.033,0.077,0.000,,0,0,0
2020-02-15,TLS,48,3,0,10,4180768,0,18993,2,35,0,11,-0.151,5.512,5.282,4.315,,,-0.049,,0.086,0.000,,0,0,0
2020-02-16,TLS,58,7,1,5,8020,375,852,0,37,3,18,-0.049,5.401,5.438,4.271,,0.049,-0.047,0.032,0.074,0.045,,0,0,0
2020-02-17,TLS,40,4,0,4,4180496,0,2746,4,16,5,15,-0.195,5.320,5.418,4.319,,,-0.059,,0.070,0.000,,0,0,0
2020-02-18,TLS,74,1,1,8,1278,1018,2099752,4,19,2,49,-0.235,5.425,5.323,4.072,-0.002,-0.015,-0.045,0.033,0.056,0.443,,0,0,0
2020-02-19,TLS,49,2,0,6,910,0,4188072,9,12,0,28,0.060,5.489,5.309,4.579,-0.041,-0.049,-0.046,,0.078,0.000,,0,0,0
2020-02-20,TLS,46,0,0,6,0,0,2107742,7,15,0,24,-0.268,5.393,5.272,4.224,0.011,0.001,-0.057,,0.059,,,0,0,0
2020-02-21,TLS,22,0,0,2,0,0,813,1,10,0,11,-0.386,5.181,5.069,4.273,,,-0.042,,0.057,,,0,0,0
