datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,TUN,76,7,3,15,1333,5526,131153,0,29,0,47,-0.134,5.210,5.081,4.274,,,-0.043,0.033,0.074,0.806,,0,0,0
2020-01-23,TUN,191,14,10,37,27223,57028,2248473,3,75,0,113,-0.075,5.372,5.224,4.376,-0.000,,-0.041,-0.016,0.074,0.677,,0,0,0
2020-01-24,TUN,508,58,14,89,145593,14312,3649900,3,209,0,296,0.060,5.444,5.265,4.364,-0.079,0.048,-0.037,0.002,0.081,0.090,,0,0,0
2020-01-25,TUN,807,80,23,90,106737,144508,6886256,8,326,0,473,-0.013,5.369,5.215,4.286,-0.041,-0.001,-0.017,-0.009,0.070,0.575,,0,0,0
2020-01-26,TUN,552,37,20,95,115121,158128,2942818,4,221,0,327,-0.165,5.136,5.145,4.258,,,-0.045,-0.002,0.071,0.579,,0,0,0
2020-01-27,TUN,455,37,18,95,100990,29483,6900318,4,176,1,274,-0.174,5.222,5.250,4.345,-0.048,-0.053,-0.025,0.011,0.056,0.226,,0,0,0
2020-01-28,TUN,416,37,20,86,74703,28935,8993100,11,135,0,270,-0.029,5.318,5.321,4.245,-0.032,-0.048,-0.030,-0.007,0.070,0.279,,0,0,0
2020-01-29,TUN,601,33,30,89,34435,141066,7051038,7,201,0,393,-0.149,5.216,5.215,4.340,-0.056,-0.058,-0.039,0.003,0.072,0.804,,0,0,0
2020-01-30,TUN,710,40,12,103,99241,52563,9246021,6,273,0,431,-0.138,5.280,5.234,4.263,-0.050,-0.043,-0.041,-0.001,0.072,0.346,,0,0,0
2020-01-31,TUN,668,32,18,100,83138,24900,5949866,4,296,0,368,-0.137,5.165,5.200,4.328,-0.044,-0.039,-0.036,-0.005,0.072,0.230,,0,0,0
2020-02-01,TUN,510,36,11,135,83389,20064,7327805,11,222,0,277,-0.101,5.198,5.252,4.344,-0.043,-0.043,-0.045,0.009,0.073,0.194,,0,0,0
2020-02-02,TUN,473,27,10,71,73566,7646,12533514,6,169,1,297,-0.055,5.337,5.259,4.341,-0.046,-0.053,-0.036,0.032,0.072,0.094,,0,0,0
2020-02-03,TUN,425,26,4,101,76130,3345,14227417,11,129,5,280,-0.074,5.125,5.191,4.395,-0.050,0.049,-0.046,-0.003,0.081,0.042,,0,0,0
2020-02-04,TUN,362,17,11,67,22092,23052,9243210,8,112,1,241,-0.187,5.048,5.016,4.401,-0.027,-0.027,-0.041,0.002,0.073,0.511,,0,0,0
2020-02-05,TUN,337,19,6,42,31891,4527,2866958,4,188,0,145,-0.126,5.177,5.146,4.307,-0.009,0.004,-0.044,0.010,0.081,0.124,,0,0,0
2020-02-06,TUN,328,28,9,50,47089,26484,5236758,8,170,0,150,-0.273,5.034,5.074,4.379,-0.043,-0.052,-0.044,-0.009,0.076,0.360,,0,0,0
2020-02-07,TUN,328,37,6,30,206966,12062,3575285,5,167,0,156,-0.169,5.249,5.221,4.346,-0.047,-0.001,-0.041,0.007,0.079,0.055,,0,0,0
2020-02-08,TUN,271,47,4,53,114202,1519,9878038,5,73,0,193,-0.178,5.121,5.195,4.294,-0.046,,-0.035,0.017,0.072,0.013,,0,0,0
2020-02-09,TUN,297,25,5,100,15380,23571,5345026,3,84,0,210,-0.050,5.237,5.243,4.392,,-0.053,-0.054,-0.013,0.075,0.605,,0,0,0
2020-02-10,TUN,332,26,4,104,15394,8309,6781546,4,86,0,242,-0.094,5.212,5.212,4.274,-0.043,0.006,-0.053,-0.055,0.081,0.351,,0,0,0
2020-02-11,TUN,268,23,8,39,25126,25174,4201527,5,65,0,198,-0.154,5.277,5.160,4.376,-0.044,-0.052,-0.044,-0.009,0.076,0.500,,0,0,0
2020-02-12,TUN,235,14,7,35,21334,7404,3312673,3,79,0,153,-0.024,5.326,5.301,4.241,-0.041,-0.049,-0.038,0.005,0.079,0.258,,0,0,0
2020-02-13,TUN,223,19,5,39,15538,1680,5661729,3,75,0,145,-0.098,5.586,5.401,4.235,-0.042,-0.048,-0.048,-0.006,0.077,0.098,,0,0,0
2020-02-14,TUN,184,18,6,25,52238,51036,3269877,1,63,1,119,-0.134,5.264,5.256,4.266,-0.045,-0.053,-0.054,-0.021,0.077,0.494,,0,0,0
2020-02-15,TUN,206,20,3,33,29534,1692,6853750,0,117,5,84,-0.161,5.315,5.199,4.304,-0.030,,-0.033,0.011,0.073,0.054,,0,0,0
