datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,TWN,868,100,34,108,243192,148401,222815,13,348,7,500,0.063,5.408,5.302,4.125,-0.043,-0.051,-0.056,0.011,0.073,0.379,,1,0,0
2020-01-23,TWN,1201,242,40,201,581349,106019,492362,17,449,2,733,0.000,5.486,5.336,4.288,-0.047,-0.049,-0.049,-0.006,0.077,0.154,,1,0,0
2020-01-24,TWN,2223,263,77,262,721373,204132,1344692,33,924,1,1265,-0.001,5.600,5.427,4.332,-0.065,-0.008,-0.040,-0.007,0.074,0.221,,3,0,0
2020-01-25,TWN,3481,271,81,273,610828,172619,417044,33,1433,7,2008,-0.084,5.412,5.288,4.215,-0.038,0.008,-0.038,0.011,0.070,0.220,,3,0,0
2020-01-26,TWN,3354,273,157,480,701204,427861,1335460,23,1326,18,1987,-0.157,5.322,5.271,4.252,-0.033,-0.041,-0.049,0.008,0.075,0.379,,4,0,0
2020-01-27,TWN,2299,289,66,392,612253,144992,1178245,37,949,2,1311,-0.227,5.279,5.264,4.320,-0.037,-0.052,-0.032,0.024,0.063,0.191,,5,0,0
2020-01-28,TWN,2530,243,101,341,592240,244278,586311,14,941,23,1552,-0.120,5.345,5.333,4.161,-0.042,-0.031,-0.039,0.009,0.069,0.292,,8,0,0
2020-01-29,TWN,2645,206,97,160,376380,315829,359033,14,1002,22,1607,-0.092,5.288,5.250,4.299,-0.064,-0.047,-0.043,-0.005,0.072,0.456,,8,0,0
2020-01-30,TWN,3662,214,97,323,563143,279607,593524,39,1343,18,2262,-0.081,5.255,5.216,4.253,-0.049,-0.047,-0.040,0.014,0.072,0.332,-0.043,9,0,0
2020-01-31,TWN,3215,231,65,245,598043,95479,810142,36,1371,10,1798,-0.101,5.277,5.293,4.266,-0.046,-0.040,-0.046,-0.000,0.073,0.138,0.000,10,0,0
2020-02-01,TWN,1994,146,23,170,353665,110119,309155,33,771,25,1165,-0.081,5.221,5.283,4.287,-0.042,-0.027,-0.050,-0.011,0.076,0.237,,10,0,0
2020-02-02,TWN,1932,170,33,152,411566,84826,381667,35,799,9,1089,-0.103,5.223,5.229,4.332,-0.020,0.002,-0.046,0.005,0.074,0.171,,10,0,0
2020-02-03,TWN,1372,107,28,163,195053,144705,1394366,47,515,6,804,-0.145,5.176,5.191,4.316,-0.029,-0.021,-0.043,0.002,0.073,0.426,-0.001,10,0,0
2020-02-04,TWN,1622,193,17,179,402798,38369,404039,49,632,8,933,-0.144,5.189,5.195,4.284,-0.043,-0.015,-0.049,0.001,0.077,0.087,0.014,11,0,0
2020-02-05,TWN,1382,119,25,147,369810,66117,358922,39,622,6,715,-0.074,5.207,5.225,4.262,-0.010,-0.021,-0.047,-0.009,0.080,0.152,-0.002,11,0,0
2020-02-06,TWN,1761,150,34,157,394579,94405,482406,58,758,9,936,-0.180,5.177,5.177,4.333,-0.039,-0.045,-0.045,0.004,0.076,0.193,0.012,16,1,0
2020-02-07,TWN,2062,240,24,272,536033,46188,1633010,45,774,8,1235,-0.136,5.233,5.226,4.353,-0.048,-0.049,-0.048,-0.003,0.076,0.079,-0.009,16,1,0
2020-02-08,TWN,1670,236,35,265,425238,37606,305940,35,690,0,945,-0.135,5.058,5.180,4.324,-0.021,0.005,-0.049,0.010,0.079,0.081,,17,1,0
2020-02-09,TWN,1367,146,11,202,524731,4880,1242379,49,571,0,747,-0.102,5.199,5.258,4.297,-0.045,-0.053,-0.044,0.009,0.075,0.009,,18,1,0
2020-02-10,TWN,1643,122,15,237,391761,14677,329868,51,638,1,953,-0.077,5.203,5.292,4.308,-0.033,-0.003,-0.051,0.007,0.080,0.036,0.005,18,1,0
2020-02-11,TWN,1383,114,27,151,253088,93447,347803,42,503,1,837,-0.112,5.249,5.287,4.257,-0.049,-0.039,-0.049,0.002,0.077,0.270,0.004,18,1,0
2020-02-12,TWN,1144,72,14,159,155774,38901,361164,34,466,1,643,-0.086,5.244,5.256,4.263,-0.042,-0.036,-0.046,-0.004,0.077,0.200,0.007,18,1,0
2020-02-13,TWN,1280,119,22,171,296469,65647,317687,36,429,3,812,-0.114,5.291,5.255,4.305,-0.044,-0.039,-0.041,-0.004,0.071,0.181,-0.002,18,1,0
2020-02-14,TWN,1444,108,26,176,328148,34080,331381,46,545,5,848,-0.019,5.209,5.255,4.329,-0.028,-0.027,-0.052,-0.012,0.078,0.094,0.001,18,2,0
2020-02-15,TWN,1862,113,7,138,276443,2443,1326496,29,676,15,1142,-0.061,5.876,5.747,4.154,-0.041,-0.033,-0.048,0.017,0.082,0.009,,18,2,0
2020-02-16,TWN,1615,256,10,164,503860,73297,1426241,24,627,4,960,-0.119,5.456,5.410,4.255,-0.038,-0.006,-0.047,0.001,0.079,0.127,,20,2,1
2020-02-17,TWN,1355,126,26,145,311815,54004,367010,23,511,5,816,-0.136,5.339,5.336,4.293,-0.023,0.009,-0.047,0.015,0.079,0.148,-0.001,22,2,1
2020-02-18,TWN,1451,113,12,179,270358,16068,274075,23,609,5,814,-0.066,5.385,5.311,4.320,-0.036,-0.008,-0.027,0.026,0.069,0.056,-0.004,22,2,1
2020-02-19,TWN,1453,100,23,187,274179,71916,368565,16,619,9,809,-0.134,5.324,5.277,4.354,-0.031,-0.039,-0.020,0.029,0.069,0.208,0.009,23,2,1
