datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,TZA,85,12,3,20,6961,751,159200,0,34,0,51,-0.152,5.312,5.159,4.334,-0.014,-0.049,-0.051,,0.085,0.097,,0,0,0
2020-01-23,TZA,130,19,10,17,287430,222709,87380,1,46,0,83,0.039,5.472,5.288,4.434,,,-0.048,-0.020,0.082,0.437,,0,0,0
2020-01-24,TZA,260,31,14,25,21109,6286,165703,3,104,0,153,0.157,5.741,5.491,4.367,-0.049,0.049,-0.035,-0.010,0.075,0.229,,0,0,0
2020-01-25,TZA,520,48,8,42,144192,11800,533573,1,227,0,292,-0.134,5.360,5.250,4.268,-0.030,0.027,-0.025,0.007,0.059,0.076,,0,0,0
2020-01-26,TZA,536,39,12,55,57086,27594,218288,0,225,0,311,-0.085,5.343,5.219,4.272,-0.041,-0.004,-0.041,0.009,0.068,0.326,,0,0,0
2020-01-27,TZA,411,31,15,56,136592,17000,1979554,3,150,0,258,-0.187,5.035,5.073,4.492,-0.030,-0.042,-0.029,0.022,0.070,0.111,,0,0,0
2020-01-28,TZA,439,37,25,84,133652,296556,2552490,3,188,0,248,-0.142,5.145,5.186,4.316,-0.047,-0.052,-0.028,0.007,0.061,0.689,,0,0,0
2020-01-29,TZA,548,48,25,27,243760,202192,348522,7,237,0,304,-0.066,5.435,5.213,4.401,-0.045,0.047,-0.031,0.016,0.071,0.453,,0,0,0
2020-01-30,TZA,584,83,13,38,208277,30490,195273,2,254,0,328,-0.080,5.192,5.163,4.322,-0.027,-0.053,-0.045,0.005,0.071,0.128,,0,0,0
2020-01-31,TZA,549,78,10,29,391542,22136,132262,4,230,1,314,-0.084,5.168,5.197,4.376,-0.038,-0.004,-0.037,0.011,0.069,0.054,,0,0,0
2020-02-01,TZA,316,48,4,24,346905,591,70522,1,131,0,184,-0.006,5.290,5.380,4.405,-0.015,-0.054,-0.040,0.020,0.073,0.002,,0,0,0
2020-02-02,TZA,312,39,1,19,135103,621,469147,2,141,0,169,-0.082,5.334,5.295,4.403,-0.050,-0.059,-0.036,0.011,0.074,0.005,,0,0,0
2020-02-03,TZA,273,42,9,21,57998,18762,199803,6,129,0,138,-0.062,5.162,5.136,4.358,-0.022,,-0.040,0.033,0.078,0.244,,0,0,0
2020-02-04,TZA,293,57,4,26,85210,7808,85426,1,150,0,142,-0.155,5.084,5.087,4.377,-0.040,,-0.053,-0.013,0.079,0.084,,0,0,0
