datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,VCT,,10,2,1,7,0,0,0,5,0,0,0,0,0,7257,0,0,0,0,3,0,7,-0.059,5.422,5.175,4.336,,,-0.059,,0.086,,,,,,,
2020-01-23,VCT,,20,10,0,10,0,1,1,10,0,0,0,738,4763,8571,0,0,0,0,13,0,7,-0.456,4.739,4.960,4.468,,,-0.056,-0.010,0.090,0.866,,,,,,
2020-01-24,VCT,,45,12,2,31,0,4,2,14,0,0,0,2699,25492,5468,0,0,0,0,21,0,24,0.009,5.681,5.345,4.464,,,-0.052,,0.085,0.904,,,,,,
2020-01-25,VCT,,53,4,2,47,0,0,2,1,0,0,0,0,5782,79,0,0,0,0,16,0,37,0.021,5.511,5.335,4.503,,0.048,-0.044,0.011,0.065,1.000,,,,,,
2020-01-26,VCT,,65,14,2,49,0,1,4,11,0,0,0,24,12084,17496,0,0,0,0,29,0,36,-0.135,5.259,5.148,4.306,,-0.003,-0.044,0.010,0.077,0.998,,,,,,
2020-01-27,VCT,,49,14,0,35,0,4,3,4,0,0,0,7193,9305,4278,0,0,0,0,18,0,31,-0.296,5.096,5.157,4.388,-0.041,-0.049,0.004,0.033,0.032,0.564,,,,,,
2020-01-28,VCT,,56,20,2,34,0,2,4,10,0,0,0,8949,18453,15422,0,0,0,0,15,0,41,-0.108,5.382,5.338,4.219,-0.041,-0.049,-0.032,0.033,0.060,0.673,,,,,,
2020-01-29,VCT,,53,13,0,40,0,1,0,6,0,0,0,8214,0,1709,0,0,0,0,18,0,35,0.146,5.399,5.309,4.530,-0.036,-0.049,-0.044,-0.002,0.085,0.000,,,,,,
2020-01-30,VCT,,96,23,1,72,0,0,0,8,0,0,0,0,0,15206,0,0,0,0,31,0,65,-0.177,4.985,5.068,4.350,-0.051,-0.049,-0.042,-0.003,0.075,,,,,,,
2020-01-31,VCT,,69,10,3,56,0,1,0,10,0,0,0,89,0,23693,0,0,0,0,46,0,23,0.013,5.457,5.325,4.329,-0.006,-0.022,-0.034,0.028,0.059,0.000,,,,,,
2020-02-01,VCT,,37,7,1,29,0,1,0,7,0,0,0,290,0,25906,0,0,0,0,19,0,18,-0.078,5.543,5.509,4.186,,,-0.045,-0.006,0.075,0.000,,,,,,
2020-02-02,VCT,,29,4,2,23,0,1,0,4,0,0,0,8240,0,8991,0,0,0,0,20,0,9,0.058,5.703,5.527,4.062,,-0.042,-0.060,,0.070,0.000,,,,,,
2020-02-03,VCT,,28,11,2,15,0,2,0,8,0,0,0,12992,0,6148,0,0,0,0,16,0,12,-0.205,5.123,5.247,4.342,0.002,,-0.058,,0.074,0.000,,,,,,
2020-02-04,VCT,,50,40,1,9,0,3,1,36,0,0,0,7073,920,5679,0,0,0,0,12,0,38,-0.294,4.963,5.178,4.561,,,-0.059,,0.092,0.115,,,,,,
2020-02-05,VCT,,44,27,3,14,0,6,0,24,0,0,0,12084,0,3535,0,0,0,0,11,0,33,-0.043,5.431,5.315,4.235,,0.066,-0.018,0.029,0.076,0.000,,,,,,
