datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,VUT,,10,3,0,7,0,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,141,141,643,0,0,0,0,2,0,8,0.2220,5.0330,5.1430,4.2760,,,,,0.0820,0.5000,,,,,,
2020-01-23,VUT,,20,8,0,12,0,2,2,5,2,2,0,2,0,0,1,1,0,0,0,0,10026,276,13599,0,0,0,0,9,0,11,0.0130,5.4420,5.4110,4.3750,,,-0.0590,,0.0870,0.0270,,,,,,
2020-01-24,VUT,,40,10,0,30,0,5,0,4,3,1,0,5,0,0,0,0,0,0,0,0,1106,0,18839,0,0,0,0,10,0,30,0.1140,5.4540,5.2370,4.5130,-0.0770,-0.0730,-0.0610,-0.0660,0.0670,0.0000,,,,,,
2020-01-25,VUT,,58,6,0,52,0,4,2,2,0,1,0,4,0,0,1,1,0,0,0,0,21506,911,37221,0,0,0,0,29,0,29,-0.0810,5.1620,5.1980,4.4380,-0.0800,,-0.0420,-0.0290,0.0560,0.0410,,,,,,
2020-01-26,VUT,,50,7,0,43,0,3,2,6,1,2,1,2,0,0,1,1,0,0,0,0,16377,10150,6066,0,0,0,0,14,0,36,-0.3010,4.5580,4.5350,4.5950,-0.0400,,-0.0350,-0.0120,0.0830,0.3830,,,,,,
2020-01-27,VUT,,41,8,0,33,0,2,3,4,2,2,0,2,0,0,1,1,1,0,0,0,619,3478,56628,0,0,0,0,20,0,21,-0.1750,5.2000,5.2120,4.3770,-0.0410,-0.0520,-0.0380,0.0140,0.0650,0.8490,,,,,,
2020-01-28,VUT,,35,6,3,26,0,2,1,2,1,1,0,2,0,0,0,1,0,0,0,0,2108,141,36826,0,0,0,0,13,0,22,0.0510,5.6140,5.3350,4.0500,-0.0410,-0.0490,0.0150,0.0330,0.0330,0.0630,,,,,,
2020-01-29,VUT,,40,8,2,30,0,3,4,4,2,2,1,2,0,0,1,2,1,0,0,0,2586,35797,72048,0,0,0,0,26,0,14,0.0070,5.9920,5.6090,4.5320,,,,,0.1110,0.9330,,,,,,
2020-01-30,VUT,,83,11,1,71,0,6,0,9,3,5,0,6,0,0,0,0,0,0,0,0,25213,0,64291,0,0,0,0,25,0,58,0.0420,5.1950,5.3440,4.2240,,,-0.0500,,0.0860,0.0000,,,,,,
2020-01-31,VUT,,77,11,0,66,0,5,5,3,1,2,0,5,1,0,2,1,1,0,0,0,9926,3375,23687,0,0,0,0,24,1,52,0.2010,5.0700,5.0440,4.2860,-0.0490,-0.0540,-0.0540,,0.0790,0.2540,,,,,,
2020-02-01,VUT,,51,6,0,45,0,4,5,3,2,0,0,4,0,0,2,2,1,0,0,0,27647,14916,18716,0,0,0,1,8,0,42,-0.1750,5.2010,5.2050,4.3860,-0.0620,-0.0510,-0.0450,-0.0240,0.0720,0.3500,,,,,,
2020-02-02,VUT,,27,2,0,25,0,2,2,1,0,1,1,1,0,0,1,1,0,0,0,0,14070,413,141,0,0,0,0,3,0,24,-0.1080,5.3860,5.3090,4.2870,,,-0.0280,0.0180,0.0440,0.0290,,,,,,
2020-02-03,VUT,,29,3,0,26,0,1,1,5,1,4,0,1,0,0,1,0,0,0,0,0,13433,13433,48174,0,0,0,0,5,0,24,-0.1970,4.5030,4.5370,4.5670,,,-0.0590,,0.0810,0.5000,,,,,,
2020-02-04,VUT,,22,4,0,18,0,2,4,2,1,1,0,2,0,0,3,1,0,0,0,0,1413,18113,50351,0,0,0,0,8,0,14,0.0390,5.1180,5.2110,4.3940,,,-0.0380,,0.0730,0.9280,,,,,,
2020-02-05,VUT,,30,1,0,29,0,1,3,1,1,0,0,1,0,0,0,2,1,0,0,0,13429,14223,36922,0,0,0,0,15,0,15,-0.1870,5.1660,5.3390,4.2990,-0.0410,,-0.0490,,0.0670,0.5140,,,,,,
2020-02-06,VUT,,30,8,1,21,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,9940,0,46813,0,0,0,0,6,0,24,-0.2140,5.1180,5.1540,4.4970,-0.0790,,-0.0580,-0.0660,0.0760,0.0000,,,,,,
2020-02-07,VUT,,10,4,0,6,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1781,0,73987,0,0,0,0,2,0,8,-0.5100,4.6960,5.1470,4.2320,,,-0.0590,,0.0620,0.0000,,,,,,
2020-02-08,VUT,,14,4,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,6,0,8,-0.0930,5.4100,5.4310,3.9420,,,-0.0550,,0.0480,,,,,,,
2020-02-09,VUT,,13,5,0,8,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,37342,0,0,0,0,5,0,8,-0.1610,4.5940,4.8690,4.3320,,,-0.0590,,0.0950,,,,,,,
2020-02-10,VUT,,20,7,0,13,0,1,2,7,2,4,0,1,0,0,1,0,1,0,0,0,13445,777,39567,0,0,0,0,11,1,8,-0.1540,5.0510,5.6230,4.1470,,,,,0.0850,0.0550,,,,,,
2020-02-11,VUT,,13,4,0,9,0,1,2,1,0,1,0,1,0,0,1,1,0,0,0,0,330,811,1230,0,0,0,0,6,0,7,-0.2710,4.6970,5.1170,4.4950,-0.0440,,-0.0240,,0.0310,0.7110,,,,,,
2020-02-12,VUT,,18,4,1,13,0,1,0,5,2,3,0,1,0,0,0,0,0,0,0,0,191,0,8083,0,0,0,1,4,0,13,-0.0340,5.6670,5.4880,4.1800,,,-0.0210,0.0330,0.0500,0.0000,,,,,,
2020-02-13,VUT,,17,0,1,16,0,2,1,1,0,1,0,2,0,0,0,1,0,0,0,0,26880,1779,272,0,0,0,0,2,0,15,-0.2900,5.0410,5.1090,4.1610,,,-0.0590,,0.0820,0.0620,,,,,,
2020-02-14,VUT,,11,3,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,5,0,6,0.2870,5.4000,5.3260,4.1970,-0.0420,-0.0490,-0.0590,-0.0460,0.0810,,,,,,,
2020-02-15,VUT,,14,1,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,686,0,0,0,0,0,0,2,0,12,-0.1920,4.7360,4.6530,4.4750,,,-0.0310,,0.0640,0.0000,,,,,,
2020-02-16,VUT,,15,2,0,13,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,13431,0,1033,0,0,0,0,7,0,8,-0.1880,5.6520,5.3640,4.2100,0.0020,,-0.0010,0.0330,0.0600,0.0000,,,,,,
2020-02-17,VUT,,10,1,0,9,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,146,146,0,0,0,0,0,1,0,9,-0.3840,,,,,,,,,0.5000,,,,,,
2020-02-18,VUT,,12,2,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,3,0,9,-0.1030,5.0590,5.2390,4.1570,,,0.0730,0.0330,0.0620,,,,,,,
2020-02-19,VUT,,16,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0.1190,5.6570,5.5250,3.9870,,,-0.0590,,0.0810,,,,,,,
2020-02-20,VUT,,9,0,0,9,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,32,689,0,0,0,0,6,0,3,-0.1780,6.0160,5.5600,4.3490,,,0.0110,,,1.0000,,,,,,
2020-02-21,VUT,,40,7,0,33,0,0,1,6,3,3,0,0,0,0,1,0,0,0,0,0,0,110,124513,0,0,0,0,14,0,26,0.2580,5.5040,5.2870,4.0540,,,-0.0320,,0.0480,1.0000,,,,,,
