datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,93,12,3,25,12772,46838,135281,0.78574,2,34,0,57,-0.10875,5.17194,4.25695,5.13252,-0.06893,-0.07372,-0.05934,0.08347,-0.08734,0,0,0,
2020-01-23,210,30,25,34,40649,23655,191086,0.36786,1,92,1,116,-0.02804,5.296,4.35562,5.4342,,,,,,0,0,0,
2020-01-24,433,75,14,81,1259468,62091,914015,0.04698,4,185,8,236,-0.01051,5.24403,4.32057,5.38353,,,,,,0,0,0,
2020-01-25,656,55,17,86,75758,37080,456624,0.32861,0,272,1,383,-0.11617,5.30004,4.29102,5.40527,-0.03159,-0.05576,0.00452,0.05015,-0.0602,0,0,0,
2020-01-26,711,48,32,69,291675,180916,608366,0.38282,6,236,0,469,-0.06576,5.2262,4.31112,5.33845,-0.01204,-0.07218,0.06839,-0.04401,-0.11194,0,0,0,
2020-01-27,664,49,21,102,807659,14888,1810175,0.0181,10,246,0,408,-0.17949,5.13213,4.41351,5.07829,0.03327,-0.04913,0.03995,0.04403,-0.043,0,0,0,
2020-01-28,675,48,20,86,1093299,437745,2061504,0.28591,6,305,2,362,-0.09623,5.30139,4.23928,5.21293,-0.00923,0.01917,-0.03168,0.08488,-0.0299,0,0,0,
2020-01-29,780,43,41,85,581869,232549,1991537,0.28554,14,290,5,471,-0.07821,5.24118,4.34718,5.35665,0.00575,-0.09337,0.02754,-0.01734,-0.11688,0,0,0,
2020-01-30,901,67,26,88,1032152,65756,1453947,0.05989,9,366,2,524,-0.03308,5.19431,4.30434,5.20033,0.00575,-0.09337,0.02754,-0.01734,-0.11688,0,0,0,
2020-01-31,1104,60,16,116,351776,48995,2003003,0.12225,7,434,7,656,-0.08541,5.2605,4.32919,5.14083,,,,,,0,0,0,
2020-02-01,698,31,12,47,127440,117370,122787,0.47943,6,310,0,382,-0.03932,5.34297,4.22733,5.26536,-0.08536,-0.09659,-0.05643,0.09015,-0.11313,0,0,0,
2020-02-02,485,28,3,50,196121,9921,445918,0.04815,1,197,0,287,-0.07326,5.29323,4.23499,5.29792,-0.07074,-0.08559,-0.05934,0.08347,-0.1146,0,0,0,
2020-02-03,563,30,11,57,435056,108729,2348254,0.19995,6,273,2,282,-0.1096,5.26806,4.32707,5.18129,,,,,,0,0,0,
2020-02-04,501,16,2,88,55709,1710,1231618,0.02978,6,208,0,287,-0.03975,5.24908,4.24198,5.23971,,,,,,0,0,0,
2020-02-05,349,16,8,55,116301,35566,2166785,0.23419,6,153,7,183,-0.02092,5.2924,4.30278,5.28237,,,,,,0,0,0,
2020-02-06,358,21,4,64,685931,12676,1909288,0.01814,4,143,6,205,-0.08799,5.22973,4.36002,5.18191,,,,,,0,0,0,
2020-02-07,510,113,8,62,522898,16865,805474,0.03125,3,196,3,308,-0.05039,5.21597,4.29244,5.22625,,,,,,0,0,0,
2020-02-08,386,82,4,71,318399,547964,206643,0.63249,1,159,1,225,0.00148,5.25846,4.2649,5.17147,,,,,,0,0,0,
2020-02-09,317,25,5,84,134326,4253,294574,0.03069,1,107,2,207,-0.11221,5.16045,4.33285,5.16199,-0.03273,-0.07268,0.00452,0.05979,-0.0775,0,0,0,
2020-02-10,426,20,7,132,547951,727455,1804263,0.57037,6,158,2,260,-0.11793,5.21722,4.38282,5.24721,-0.04609,-0.04877,-0.05934,0.05883,-0.04186,0,0,0,
2020-02-11,445,35,8,75,1234204,505150,2435795,0.29042,4,175,1,265,-0.13065,5.05423,4.30339,5.0158,,,,,,0,0,0,
2020-02-12,359,21,5,57,396659,11311,2034483,0.02773,3,149,10,197,-0.13781,5.21738,4.32976,5.19876,,,,,,0,0,0,
2020-02-13,382,30,9,36,269548,29187,1050221,0.0977,4,169,0,209,-0.11792,5.32168,4.31238,5.3403,-0.03698,-0.04908,-0.04337,0.0753,-0.04418,0,0,0,
2020-02-14,283,30,10,56,595873,35286,383424,0.05591,1,108,0,174,-0.04904,5.29833,4.28656,5.29279,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,0,0,0,
2020-02-15,368,48,2,44,515940,1045,938819,0.00202,0,114,0,254,-0.12642,5.22246,4.23556,5.12155,-0.01667,-0.04913,0.00452,0.00432,-0.0407,0,0,0,
2020-02-16,412,126,4,36,434715,1437,203061,0.00329,2,154,0,256,-0.02165,5.31781,4.3494,5.4184,,,,,,0,0,0,
2020-02-17,336,27,7,42,939494,75908,1201271,0.07476,4,123,0,209,-0.08224,5.28635,4.37652,5.31491,,,,,,0,0,0,
2020-02-18,386,11,9,44,244789,655600,1628537,0.72813,5,132,1,248,-0.18099,5.19909,4.37469,5.23823,,,,,,0,0,0,
2020-02-19,611,15,5,128,775095,449114,3855616,0.36686,2,242,1,366,-0.20147,5.31075,4.29956,5.20271,-0.01937,-0.0833,0.06839,-0.04401,-0.11159,0,0,0,
2020-02-20,625,16,5,86,1510780,109212,2347440,0.06742,4,274,0,347,-0.21702,5.30641,4.23355,5.36126,,,,,,0,0,0,
2020-02-21,331,17,1,57,29031,1612,682096,0.05261,2,126,0,203,-0.12494,5.26766,4.27813,5.29939,,,,,,0,0,0,
2020-02-22,259,24,0,40,262262,0,553780,0,4,85,0,170,-0.02359,5.36734,4.27957,5.39783,,,,,,0,0,0,
2020-02-23,368,15,5,42,237580,123795,1570147,0.34257,5,122,0,241,-0.15534,5.2235,4.24219,5.24172,-0.01081,-0.00438,-0.01676,0.05336,-0.00511,0,0,0,
