date;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;reliabile_num_local;reliabile_num_foreign;unreliabile_num_local;unreliabile_num_foreign;reliabile_fol_local;reliabile_fol_foreign;unreliabile_fol_local;unreliabile_fol_foreign;local_languages;iso3;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close
2020-01-22;307.0;110.0;141.0;196.0;108.0;;3.0;;923329.0;446365.0;198538.0;;278426.0;;0.2327313725490196;0.05877088268094701;5.498285658928698;5.383312335144807;4.1636342660775645;0.08462023666587433;0.04931690543629714;0.035272867511770487;-1.4523809523809512e-05;0.0;-0.012125808201058198;0.0005280158730158731;0.08380245952380955;1.0186725877224974e-05;0.0;0.002836572409147799;0.0005280158730158731;0.001904391683740753;18.0;5.0;13.0;69847.0;2480.0;35301.0;4.0;14.0;2.0;3.0;15243.0;54604.0;1094.0;1386.0;['fr', 'ht'];HTI;;;;;;;
2020-01-23;691.0;190.0;366.0;387.0;287.0;4.0;13.0;;4438068.0;669402.0;740661.0;451244.0;2576761.0;;0.08498364779874215;0.043244236283201835;5.727237268751205;5.497569420431652;4.44675511118855;0.08581364305878697;0.05145791189621613;0.04004091023866956;-0.0021848170103092785;-0.0010776365979381444;-0.019944314432989683;-0.0023419398625429554;0.0657209241408935;0.0010846818914103462;0.0007611587950884383;0.003130978408655159;0.0013774069585423972;0.0037155180494536618;64.0;30.0;39.0;745490.0;465594.0;577664.0;30.0;34.0;11.0;19.0;406915.0;338575.0;12720.0;452874.0;['fr', 'ht'];HTI;;;;;;;
2020-01-24;1764.0;428.0;1082.0;992.0;759.0;3.0;10.0;;6806450.0;1596874.0;3793701.0;10890.0;1404985.0;;0.20290737463126815;0.02726314114685185;6.031157204011277;5.6210148893461485;4.471319514945294;0.05783449356453948;0.03489936852557647;0.02892072113295203;-0.002475282467532468;-0.000518237012987013;-0.01787283008658011;-0.0006890865800865801;0.052688912567392936;0.0009623583867473805;0.0010080437394133096;0.0026342281625115105;0.0008653820713005014;0.0035209727487602203;150.0;29.0;115.0;764930.0;97148.0;227011.0;79.0;71.0;8.0;21.0;583532.0;181398.0;33220.0;63928.0;['fr', 'ht'];HTI;;;;;;;
2020-01-25;2903.0;645.0;1819.0;1661.0;1233.0;2.0;7.0;;8063610.0;2351526.0;4532119.0;225622.0;954343.0;;-0.05547475490196082;0.027795771687439998;5.431207263534284;5.2990932334048475;4.3086342218960425;0.042824328856388254;0.02779674920615207;0.0268317156397656;-0.0006266077268643307;-0.0005675579514824798;-0.01573421588499553;0.00034353742138364715;0.055388944586838816;0.0006504129737583733;0.00032656889364253536;0.002269530569527345;0.0009288763100838297;0.00305652081187728;237.0;42.0;132.0;1017979.0;58996.0;1004470.0;182.0;55.0;15.0;27.0;739409.0;278570.0;19086.0;39910.0;['fr', 'ht'];HTI;;;;;;;
2020-01-26;2240.0;786.0;1088.0;1274.0;956.0;;10.0;;8595377.0;2336713.0;4671032.0;;1587632.0;;-0.14470626304801704;0.026390103170737318;5.273216677993044;5.197961446105675;4.303320322377092;0.037887941933821334;0.02927893852202877;0.024482389618339397;-0.0009849872842870118;-0.0015170917347865575;-0.02331375099909171;0.0004242977293369664;0.06772634150994414;0.0006440150015388276;0.0004900227434684761;0.001791883386504832;0.0005116566553002065;0.002079894960410223;133.0;25.0;120.0;537272.0;453604.0;628616.0;68.0;65.0;6.0;19.0;239595.0;297677.0;5955.0;447649.0;['fr', 'ht'];HTI;;;;;;;
2020-01-27;1594.0;647.0;668.0;916.0;670.0;;8.0;;9601104.0;1458184.0;4516246.0;;3626674.0;;-0.25693900573613704;0.0248613804613236;5.14702303526117;5.168439525844156;4.435537961063809;0.033610958060338904;0.02690991313558477;0.02273527019952475;-0.0029338970331588138;-0.008850910994764394;-0.022259193025430116;0.0016958631326352525;0.06192279850539197;0.0007143800309966365;0.0010997476358269034;0.0019902525612664327;0.0006345032001402227;0.0024694638507736905;121.0;48.0;74.0;528536.0;253581.0;1024252.0;16.0;105.0;9.0;39.0;212243.0;316293.0;18994.0;234587.0;['fr', 'ht'];HTI;;;;;;;
2020-01-28;1370.0;483.0;610.0;784.0;573.0;1.0;12.0;;6596246.0;1599357.0;3074628.0;112811.0;1809450.0;;-0.1766207386363638;0.02948782194434892;5.201615316803698;5.279680527883697;4.2411989907588445;0.043709193036214455;0.030637566304736207;0.026869887978421717;-0.005436108717948718;-0.0052253384615384615;-0.008662417306027329;0.002850595770639616;0.05335195527940983;0.0010588480017267763;0.0010134669842360687;0.0025744117275586487;0.000949819268336708;0.0032893104586510825;97.0;70.0;89.0;819648.0;197946.0;1194253.0;27.0;70.0;16.0;54.0;567289.0;252359.0;35255.0;162691.0;['fr', 'ht'];HTI;;;;;;;
2020-01-29;1326.0;492.0;564.0;747.0;570.0;1.0;8.0;;5839345.0;1318875.0;2533464.0;13311.0;1973695.0;;-0.06566525423728804;0.028295936876419313;5.3049593245859485;5.209485794724754;4.3389731616867975;0.04140766431481577;0.0302616660057516;0.026578622817588004;-0.0063400980861244025;-0.001447988038277512;-0.02305504342674869;0.0010444576555023923;0.06134204717285645;0.0016681932868648046;0.000789833721826584;0.002547572839233404;0.0008248146153053817;0.002962435502552909;55.0;22.0;66.0;619891.0;437081.0;206284.0;26.0;29.0;7.0;15.0;493021.0;126870.0;5231.0;431850.0;['fr', 'ht'];HTI;;;;;;;
2020-01-30;2292.0;1000.0;789.0;1244.0;1032.0;2.0;14.0;;8594712.0;1909244.0;4957922.0;225622.0;1501924.0;;-0.023359950248756315;0.01911465585641699;5.316754336617328;5.267407677556368;4.2052025992465065;0.02811870013461769;0.02116309091250168;0.01777343678089436;-0.0028308532196969697;-0.0015896316287878785;-0.030057425437409982;0.0022258414141414157;0.0634200909025368;0.0005825064829798862;0.0004193807260835804;0.0016399564293923072;0.0005870347489824221;0.0016447535287089608;91.0;46.0;167.0;587874.0;89752.0;1266766.0;32.0;59.0;13.0;33.0;375684.0;212190.0;19782.0;69970.0;['fr', 'ht'];HTI;;;;;;;
2020-01-31;1674.0;780.0;572.0;949.0;713.0;1.0;11.0;;7576235.0;1596577.0;4851540.0;3630.0;1124488.0;;-0.1429884984025558;0.02261751490585947;5.10939655169198;5.174554006506488;4.350817294052863;0.03605471775971689;0.02494070669710888;0.020956992071684083;-0.004426729564489112;-0.0039804343104410935;-0.028087166541038516;-0.0003451511725293136;0.061776902835237076;0.0008340560500043734;0.0007334273954508838;0.0017092800593387085;0.0008281212617204641;0.0019617504341221856;61.0;30.0;66.0;534815.0;490900.0;2351931.0;12.0;49.0;7.0;23.0;138888.0;395927.0;14674.0;476226.0;['fr', 'ht'];HTI;;;;;;;
