date;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;reliabile_num_local;reliabile_num_foreign;unreliabile_num_local;unreliabile_num_foreign;reliabile_fol_local;reliabile_fol_foreign;unreliabile_fol_local;unreliabile_fol_foreign;local_languages;iso3;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close
2020-01-22;797.0;409.0;131.0;437.0;346.0;1.0;13.0;;3844202.0;692036.0;659185.0;6700.0;2486281.0;;0.047530973451327535;0.031587673044168346;5.4329437281327415;5.272712332909477;4.251237362306475;0.04342432194233942;0.029644547839446176;0.02146233535164409;-0.0012619253393665161;-0.000478101055806938;-0.021683307767722475;-0.00042573981900452496;0.08051169212633777;0.0006026432640310393;0.0003381335628186282;0.0018864038260878267;0.0004712655056722045;0.0015613832157576608;70.0;38.0;75.0;152639.0;59578.0;2272158.0;10.0;60.0;12.0;26.0;7184.0;145455.0;6271.0;53307.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-23;1954.0;789.0;174.0;1024.0;914.0;;16.0;;8883630.0;2019949.0;2448451.0;;4415230.0;;-0.03971730158730151;0.021063203250136643;5.6462902080135935;5.3855376936317025;4.430913357268307;0.03820079470734207;0.02286456651744518;0.01828728093681585;-0.00044815512465373964;-0.00029794459833795017;-0.02625233573407204;5.697737765466296e-05;0.07392666612634052;0.00022315540581395435;0.0002679809466591416;0.0015954113735267732;0.00022606408331801167;0.001620538049374392;203.0;57.0;83.0;480047.0;669129.0;2153066.0;18.0;185.0;6.0;51.0;38227.0;441820.0;9191.0;659938.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-24;5227.0;1465.0;793.0;2870.0;2325.0;2.0;23.0;7.0;11459095.0;3472593.0;4269538.0;48188.0;3668776.0;0.0;0.13888467600700427;0.01638867101527668;5.872562548629513;5.550690161433763;4.425276533655066;0.032430425708281425;0.019080848682176573;0.015121682903206998;-0.0021096194824961946;-0.00034169799594114663;-0.02171905986808735;-0.0006038500761035012;0.057489651381228885;0.00048405726637296034;0.0003695389173875931;0.001248671478382009;0.0004161836519727896;0.0015387638601622722;412.0;109.0;137.0;522122.0;150089.0;703744.0;46.0;366.0;21.0;88.0;116363.0;405759.0;48370.0;101719.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-25;8771.0;2244.0;1037.0;4970.0;3767.0;4.0;30.0;;17938409.0;5367988.0;4604311.0;60774.0;7905336.0;;-0.06499080834419814;0.014689051169922702;5.440789690186518;5.312527754778667;4.267012254870599;0.02149655678091259;0.014325751714664344;0.012387016051661941;-0.0014585426320667294;-0.0014301972505406234;-0.02016177048303094;-0.0005803308619091723;0.05866265182061248;0.00035088149975406814;0.0003126102483611533;0.001120199020809395;0.0005180070290350227;0.0013498698712689425;821.0;152.0;158.0;1819950.0;856986.0;701062.0;60.0;761.0;58.0;94.0;248087.0;1571863.0;100714.0;756272.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-26;6422.0;2838.0;1222.0;3618.0;2762.0;3.0;39.0;;15976250.0;5573235.0;4017398.0;44322.0;6341295.0;;-0.1623694013303771;0.012558924769437995;5.261164742428139;5.1649527421860215;4.32223922588082;0.018886479680343102;0.014058174062661036;0.01256667345586172;-0.0016787493863524787;-0.002247590451644576;-0.025296397711094515;-0.00037875707447927644;0.06746770992114381;0.0003537351998504972;0.00030819722712259364;0.0009196538332347992;0.0003082933650233208;0.0010508500375068922;455.0;126.0;201.0;708454.0;135968.0;4516081.0;75.0;380.0;24.0;102.0;67206.0;641248.0;27032.0;108936.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-27;4884.0;1817.0;1347.0;2847.0;2001.0;8.0;28.0;;13250877.0;4481222.0;3009434.0;173676.0;5586545.0;;-0.12097077140834987;0.016111819890507573;5.213398585424763;5.217505249807197;4.449671793302871;0.018835870081239558;0.014686461451785175;0.013299762553344278;-0.0011947382799870675;-0.003538278370514061;-0.015031118234723487;0.0025540865341092834;0.058509113648709365;0.000284916764647545;0.00044316387475125564;0.0012088299556863218;0.0003485264653798293;0.001523153951117498;319.0;76.0;191.0;386502.0;110340.0;2444668.0;42.0;277.0;9.0;67.0;72955.0;313547.0;15522.0;94818.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-28;4273.0;1622.0;1255.0;2394.0;1822.0;10.0;47.0;;14247649.0;3292965.0;3856291.0;158400.0;6939993.0;;-0.13269489878542448;0.015905018999241852;5.3188987398429015;5.311242677545963;4.267012021540118;0.023053755655786316;0.016550531725849516;0.013070095043651905;-0.003055508181126333;-0.0030560119863013717;-0.015174972714177169;0.0010633090475354221;0.05161008350017587;0.0004076833132945957;0.00044935514969149696;0.0014112391367608855;0.000595498781752324;0.001741042388758994;268.0;79.0;224.0;727394.0;60116.0;3933745.0;69.0;199.0;6.0;73.0;474659.0;252735.0;3257.0;56859.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-29;3692.0;1555.0;801.0;2088.0;1561.0;6.0;37.0;;11703820.0;3534565.0;2311228.0;182795.0;5675232.0;;-0.12547889990982844;0.01556804053333039;5.263395644415646;5.193284300165057;4.3379036535077615;0.026241386664034718;0.01728698099018582;0.014434739059851312;-0.007532678705189942;-0.0015598964686998392;-0.023305564715024683;-0.0003741028491171752;0.06028252868104333;0.0009193500132209752;0.00044222164677663623;0.0012843864930244385;0.00038940923572963694;0.0015520613036941035;216.0;65.0;121.0;385261.0;56063.0;439522.0;58.0;158.0;11.0;54.0;189500.0;195761.0;18365.0;37698.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-30;4846.0;2283.0;797.0;2799.0;2004.0;8.0;35.0;;13869844.0;4351755.0;2936355.0;143382.0;6438352.0;;-0.06682697215777267;0.012931714031774977;5.237603195528059;5.2356327499068;4.2702267077774865;0.02034036871900857;0.014667886168889815;0.011573822655076936;-0.0022537719671201816;-0.0012454598922902488;-0.02515772794784562;0.002646291673752841;0.06422031974547301;0.0003674223311024689;0.00026226196783647764;0.0010725561208708712;0.00033872314269704616;0.0011694937191693248;209.0;100.0;253.0;282830.0;89710.0;1843425.0;21.0;188.0;5.0;95.0;34511.0;248319.0;7917.0;81793.0;['pl'];POL;0.0;0.0;0.0;;;;
2020-01-31;4393.0;2157.0;763.0;2460.0;1906.0;6.0;21.0;;13107669.0;3405202.0;3062743.0;116914.0;6522810.0;;-0.13734829443447055;0.01388074865093702;5.1645043155461465;5.2309319423083185;4.314840849907295;0.0213601445868129;0.014629741084685573;0.012158851745253343;-0.004142351411170525;-0.0038218531887502533;-0.02509702607729944;-0.0004480612002376716;0.06352244971829404;0.0004471953936227119;0.0004344546847651629;0.0010251785584685508;0.0004452412904010481;0.0011826781736173958;186.0;76.0;144.0;346882.0;87432.0;275130.0;32.0;154.0;2.0;74.0;37970.0;308912.0;813.0;86619.0;['pl'];POL;0.0;0.0;0.0;;;;
