date;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;reliabile_num_local;reliabile_num_foreign;unreliabile_num_local;unreliabile_num_foreign;reliabile_fol_local;reliabile_fol_foreign;unreliabile_fol_local;unreliabile_fol_foreign;local_languages;iso3;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close
2020-01-22;75.0;49.0;49.0;40.0;35.0;;;;84433.0;32655.0;51778.0;;;;0.1120341463414634;0.08595157744900693;5.3973469881567695;5.440854681550333;4.109577042522695;0.09611346583058013;0.06834480131877894;0.0559664196265943;0.0;0.0;-0.030476124999999993;0.0;0.08513448039215687;0.0;0.0;0.00508687580644254;0.0;0.003066663116580204;8.0;2.0;8.0;10091.0;45.0;10112.0;8.0;;2.0;;10091.0;;45.0;;['en'];ZMB;;;;;;;
2020-01-23;131.0;80.0;80.0;91.0;40.0;;;;147267.0;106468.0;40799.0;;;;0.06482968750000001;0.06880795096116903;5.624726198839213;5.358767470353089;4.4434243731914975;0.11894756600811952;0.07270946298821243;0.05801735527712796;0.0;0.0;-0.014635553030303032;0.0;0.06915684343434345;0.0;0.0;0.004556661286926879;0.0;0.0071075577717985075;17.0;17.0;10.0;31322.0;25443.0;10989.0;11.0;6.0;16.0;1.0;26241.0;5081.0;24419.0;1024.0;['en'];ZMB;;;;;;;
2020-01-24;202.0;117.0;117.0;108.0;93.0;;;1.0;177559.0;90758.0;86801.0;;;0.0;0.1938202020202021;0.05277790490240238;6.004244855344956;5.577501567955557;4.4553087401213585;0.12073801681747914;0.07115123875012433;0.0531600276944477;0.0008752708333333334;0.0030667604166666673;-0.02235781597222221;-0.0001308125;0.05231277509920635;0.0008752708333333336;0.0017342674141757393;0.0042310327806060755;0.00013081250000000002;0.005790137277149545;26.0;15.0;6.0;18062.0;11946.0;11260.0;20.0;6.0;15.0;;14628.0;3434.0;11946.0;;['en'];ZMB;;;;;;;
2020-01-25;361.0;217.0;217.0;195.0;165.0;1.0;;;721531.0;466207.0;246818.0;8506.0;;;-0.039369736842105235;0.04690199900314487;5.481623193098656;5.36002998858674;4.358471710123552;0.06996753361871735;0.047852015768703265;0.040731388433297336;-0.002795075;-6.162499999999975e-05;-0.0224912175;-0.0027198416666666674;0.052047484085497864;0.001722431046139673;0.0015047452777556835;0.0033702095648755;0.001667802410874644;0.004843873200183261;31.0;4.0;7.0;34604.0;9176.0;5933.0;14.0;17.0;4.0;;25121.0;9483.0;9176.0;;['en'];ZMB;;;;;;;
2020-01-26;474.0;347.0;347.0;294.0;179.0;1.0;;;895039.0;655351.0;231182.0;8506.0;;;-0.10219055793991406;0.034111794882150444;5.3766259410034385;5.294488994061495;4.325366821511821;0.04532496725342213;0.03493235958745961;0.03497011063769912;-0.0005390620437956205;-0.0008891131386861315;-0.022631168039624627;0.0013442335766423355;0.06317484924422695;0.0008528994732975487;0.000638152373058039;0.003081907511539051;0.001031547815136725;0.003480155513949077;32.0;12.0;10.0;60009.0;24319.0;10749.0;22.0;10.0;9.0;3.0;55347.0;4662.0;16264.0;8055.0;['en'];ZMB;;;;;;;
2020-01-27;298.0;208.0;208.0;189.0;109.0;;;;543898.0;403432.0;140466.0;;;;-0.2284815286624205;0.04662113966587063;5.107819544822995;5.186132572408435;4.493743365064055;0.05934723608231434;0.04897480259475881;0.0434740730837626;-0.0010016986607142855;-0.0041706622023809535;-0.006625584821428574;0.00649436607142857;0.04007911194177845;0.0007316449487505529;0.0015192580341528551;0.00457688806551489;0.001452773477035712;0.005669877552009592;26.0;13.0;13.0;24309.0;43071.0;40984.0;20.0;6.0;12.0;1.0;20756.0;3553.0;38019.0;5052.0;['en'];ZMB;;;;;;;
2020-01-28;326.0;216.0;216.0;204.0;117.0;1.0;4.0;;621976.0;343748.0;121768.0;8506.0;147954.0;;-0.1807820359281437;0.04160133379417752;5.349368045786415;5.390255124505122;4.181633011357501;0.064690219033466;0.050246123584496885;0.03773903091193806;-0.002042670454545455;-0.0029683598484848486;-0.005361783549783541;0.0056689916666666645;0.04335726625013876;0.0012072215149562867;0.0013003666811095779;0.005106635385920588;0.001867458776385275;0.006364621358446991;26.0;17.0;24.0;33663.0;40843.0;27097.0;22.0;4.0;15.0;2.0;31499.0;2164.0;38795.0;2048.0;['en'];ZMB;;;;;;;
2020-01-29;413.0;308.0;308.0;268.0;140.0;1.0;4.0;;904007.0;480477.0;324264.0;8506.0;90760.0;;-0.002218229166666677;0.03649739931408397;5.497907224040731;5.2495253574439715;4.388127315060828;0.04627836875916592;0.038201116793886665;0.036312203165436735;-0.0017383793650793651;-0.0007495301587301588;-0.018823234784580485;0.0036525241269841258;0.05158230041950117;0.0012347441431387895;0.0007495301587301589;0.004063204953053714;0.0014479258932840126;0.004618099107006114;16.0;14.0;8.0;64254.0;36185.0;3627.0;10.0;6.0;13.0;1.0;15886.0;48368.0;35211.0;974.0;['en'];ZMB;;;;;;;
2020-01-30;552.0;397.0;397.0;342.0;206.0;;4.0;;913671.0;440837.0;311581.0;;161253.0;;-0.030335234899328836;0.029872497156538575;5.289096311503936;5.232420926248898;4.270673379539481;0.047618130610275484;0.03678671563719799;0.02844672418036025;-0.003111505347593583;-0.002075652406417112;-0.02417700231729057;0.003909329099821747;0.06123793630813636;0.00106330949933166;0.0008024101668087278;0.0029125618703435157;0.0007709347074067503;0.002987495797770016;38.0;11.0;28.0;87961.0;11632.0;57395.0;33.0;5.0;6.0;5.0;71258.0;16703.0;7974.0;3658.0;['en'];ZMB;;;;;;;
2020-01-31;514.0;390.0;390.0;298.0;211.0;1.0;4.0;;915859.0;334147.0;501020.0;4342.0;76350.0;;-0.08009075907590757;0.032581804568867015;5.190150873138991;5.211079450772236;4.355615670567696;0.05128941021069852;0.03638422045083521;0.029339580141688738;-0.0028201597701149428;-0.0019037953384418895;-0.030582033684546612;-0.001516025862068966;0.0678034219448894;0.001121102678305862;0.0009787151911878275;0.002401344513861365;0.0010298222309612936;0.0026801666164520148;31.0;19.0;18.0;44377.0;120740.0;69330.0;29.0;2.0;12.0;7.0;41792.0;2585.0;13552.0;107188.0;['en'];ZMB;;;;;;;
