date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;92.0;42.0;1.0;57.0;33.0;;2.0;;211501.0;94299.0;40657.0;;76545.0;;-0.1446896551724138;0.11257112872878026;5.324395752895753;5.051347275847276;4.196458172458174;0.16633797127891528;0.10919955948342068;0.0809292309560488;0.0;0.0;-0.011302857142857142;0.0;0.08983060317460316;0.0;0.0;0.005210359696150095;0.0;0.004435975461903274;9.0;3.0;4.0;6688.0;1451.0;76839.0;;9.0;;3.0;;6688.0;;1451.0;['ar'];5.0;4.0;;;1.0;2.0;;;3183.0;3505.0;;;202.0;1249.0;;;-0.25726078390119406;-0.03211852644363354;BHR
2020-01-23;0;0;0;;;;;;186.0;56.0;10.0;110.0;72.0;;4.0;;306733.0;122419.0;56209.0;;128105.0;;-0.06634634146341466;0.08406385117492833;5.701854158572909;5.39174957912458;4.456908388486512;0.13467581386664754;0.09001539674011481;0.07144195694815814;0.0;0.002080954545454545;-0.021229909090909087;0.0;0.07537054545454548;0.0;0.002080954545454546;0.006290864509826271;0.0;0.005630669022298349;6.0;8.0;6.0;19572.0;2391.0;52329.0;;6.0;;8.0;;19572.0;;2391.0;['ar'];5.0;1.0;;;5.0;3.0;;;18485.0;1087.0;;;1205.0;1186.0;;;-0.150410192638343;0.017717509711513674;BHR
2020-01-24;0;0;0;;;;;;225.0;106.0;27.0;119.0;101.0;1.0;4.0;;359813.0;111648.0;66233.0;15586.0;166346.0;;0.0932027397260274;0.06361680776720376;5.8299586671310815;5.5040850748868015;4.3309114254200445;0.10555695997113992;0.06710285160306027;0.05738016935705119;0.0;0.0;-0.025809935897435885;0.0;0.07617370480260482;0.0;0.0;0.0047377679226324;0.0;0.005349996019253618;12.0;4.0;8.0;13794.0;1875.0;169830.0;;12.0;;4.0;;13794.0;;1875.0;['ar'];8.0;4.0;;;3.0;1.0;;;9366.0;4428.0;;;1459.0;416.0;;;0.02958593195882364;0.15681954749323115;BHR
2020-01-25;0;0;0;;;;;;332.0;203.0;31.0;193.0;138.0;;1.0;;444211.0;184828.0;252270.0;;7113.0;;-0.0923359712230216;0.04704976916906902;5.508958608808062;5.356916870335668;4.3024043083842365;0.08319337066177752;0.05258990875388138;0.050104615728725835;-0.0014896768292682926;-0.0005948048780487805;-0.00675725508130081;0.0036383272357723563;0.049095370850490976;0.0010986711042096397;0.0005948048780487804;0.004672186136098168;0.0017726338376721075;0.0059187869822436645;31.0;2.0;10.0;73252.0;2781.0;118361.0;2.0;29.0;;2.0;56297.0;16955.0;;2781.0;['ar'];12.0;19.0;;;2.0;;;;3357.0;69895.0;;;2781.0;;;;-0.13938574039209062;-0.04528620205395258;BHR
2020-01-26;0;0;0;;;;;;361.0;198.0;13.0;192.0;159.0;;10.0;;579218.0;108883.0;307059.0;;163276.0;;-0.05437368421052632;0.04633251139172783;5.442663579811762;5.247560660777396;4.181134187720882;0.07696188860604618;0.05569988320576071;0.04721257433446816;-0.001913007490636704;-0.0024426460674157303;-0.021639090636704102;0.00010543820224719098;0.06436358562648338;0.0013262635989292778;0.0012122953092232518;0.003244583354098463;0.0010056516825497695;0.003833434713902333;17.0;2.0;17.0;60749.0;286.0;181195.0;1.0;16.0;;2.0;2480.0;58269.0;;286.0;['ar'];10.0;7.0;;;1.0;1.0;;;17185.0;43564.0;;;123.0;163.0;;;-0.10070619560225415;-0.008041172818798487;BHR
2020-01-27;0;0;0;;;;;;321.0;181.0;58.0;198.0;114.0;;9.0;;355758.0;176827.0;70726.0;;108205.0;;-0.09858449612403088;0.053148268598346204;5.132882256510113;5.134654974732709;4.5343929286000115;0.061396296368332035;0.05051392377467025;0.04349683590845528;-0.0013659193548387096;-0.0025254480286738355;0.0018218629032258067;0.0038338530465949813;0.04616812704255124;0.0010219562815975195;0.0012545557143442715;0.004643433607242503;0.0011240696819218618;0.006431423874122311;21.0;6.0;15.0;45829.0;4009.0;71036.0;2.0;19.0;;6.0;5274.0;40555.0;;4009.0;['ar'];13.0;8.0;;;3.0;3.0;;;43030.0;2799.0;;;1831.0;2178.0;;;-0.15173276472237707;-0.04543622752568467;BHR
2020-01-28;0;0;0;;;;;;341.0;158.0;21.0;203.0;133.0;;5.0;;412760.0;143676.0;202799.0;;66285.0;;-0.0991294642857143;0.05331604596310825;5.420566418256077;5.389676584670122;4.203806871289631;0.06765053357779825;0.052241904117751634;0.03699089630295213;-0.0021143376623376626;-0.002552155844155844;-0.0013468838899195993;0.007021162537462536;0.04462985960111316;0.0010360935834867638;0.0012506386001110835;0.005480652670319186;0.0018517552666117024;0.006565226711305622;17.0;8.0;23.0;8637.0;3834.0;64666.0;1.0;16.0;;8.0;512.0;8125.0;;3834.0;['ar'];7.0;10.0;;;4.0;4.0;;;2257.0;6380.0;;;2130.0;1704.0;;;-0.15244551024882255;-0.04581341832260605;BHR
2020-01-29;0;0;0;;;;;;333.0;148.0;12.0;179.0;147.0;1.0;6.0;;644003.0;198143.0;216068.0;1054.0;228738.0;;-0.08552525252525256;0.05183176310279169;5.300286405442948;5.254768010546048;4.414698813906758;0.08627078690687241;0.058848937309885274;0.051517629029117086;-0.002657122222222223;-0.001084059259259259;-0.01644237777777777;0.002299525925925926;0.06661128636363636;0.001953920689252193;0.0010840592592592595;0.005549906888088612;0.0012428323070668918;0.005691020881160861;19.0;2.0;10.0;28043.0;2149.0;38171.0;;19.0;;2.0;;28043.0;;2149.0;['ar'];12.0;7.0;;;;2.0;;;21467.0;6576.0;;;;2149.0;;;-0.13735701562804425;-0.03369348942246087;BHR
2020-01-30;0;0;0;;;;;;475.0;254.0;48.0;247.0;215.0;1.0;12.0;;862567.0;420795.0;241371.0;2405.0;197996.0;;-0.11718281249999984;0.03776580453074329;5.115913991220689;5.1478607821159335;4.2272827669180755;0.05585592015844707;0.039572044074789064;0.030098627328382525;-0.0019373358778625952;0.0;-0.02221038124318431;0.004046467048346054;0.06503246144618749;0.0011167465669334146;0.0;0.0034906524371221483;0.0011199671166588878;0.003475424469642293;23.0;5.0;21.0;55308.0;1460.0;44225.0;2.0;21.0;;5.0;1804.0;53504.0;;1460.0;['ar'];15.0;8.0;;;3.0;2.0;;;48298.0;7010.0;;;1150.0;310.0;;;-0.15494861703074314;-0.07941700796925655;BHR
2020-01-31;0;0;0;;;;;;339.0;206.0;10.0;187.0;138.0;2.0;12.0;;602168.0;164409.0;145956.0;4265.0;287538.0;;-0.10242038216560506;0.04703371726718681;5.1830314692714685;5.238843923668925;4.2835014642764655;0.07151593654379043;0.05071474609352418;0.040663522010498485;-0.00091135;-0.00048255388888888875;-0.024806629;-0.0020293150000000003;0.06491510441916419;0.0006318818890361705;0.0009214239765064137;0.0031077968484632553;0.0013995740109598682;0.0035070822473455307;11.0;4.0;14.0;7291.0;10839.0;10975.0;;11.0;;4.0;;7291.0;;10839.0;['ar'];7.0;4.0;;;1.0;3.0;;;5735.0;1556.0;;;668.0;10171.0;;;-0.14945409943279186;-0.05538666489841825;BHR
