date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;iso3
2020-01-22;;;;;;;;;34.0;21.0;21.0;21.0;13.0;;;;62497.0;48330.0;14167.0;;;;-0.05103076923076921;0.14146739652682838;5.031191343743976;4.853383073067283;4.288435608251397;0.15454980816586214;0.12171801496008827;0.07859474703921268;-0.005892142857142857;0.0;-0.016954285714285713;-0.006452285714285715;0.08487789285714288;0.005892142857142856;0.0;0.010943944369711814;0.006452285714285716;0.007225657042374712;7.0;2.0;3.0;25583.0;802.0;1681.0;5.0;2.0;1.0;1.0;25191.0;392.0;639.0;163.0;['en'];3.0;4.0;;;2.0;;;;12731.0;12852.0;;;802.0;;;;BLZ
2020-01-23;;;;;;;;;63.0;42.0;42.0;30.0;33.0;;;;90688.0;47736.0;42952.0;;;;0.06073461538461537;0.0816344744186515;5.316391705069125;5.172762672811059;4.189871351766514;0.15191939831682816;0.0957114186427772;0.08031180243767318;-0.0009546666666666666;-0.0032752666666666665;-0.027088866666666662;0.0022176666666666664;0.08186914444444444;0.0009546666666666666;0.003275266666666666;0.010197937725632229;0.002217666666666666;0.006668903532943834;11.0;6.0;7.0;30830.0;4501.0;16517.0;8.0;3.0;6.0;;29971.0;859.0;4501.0;;['en'];5.0;6.0;;;5.0;1.0;;;12972.0;17858.0;;;2937.0;1564.0;;;BLZ
2020-01-24;;;;;;;;;108.0;60.0;60.0;57.0;51.0;;;;140034.0;79880.0;60154.0;;;;-0.06559024390243902;0.09261321652803796;5.576682870983889;5.44965514474188;4.489756699649557;0.15064654065251346;0.09197343090266012;0.06323302032040427;-0.005158214285714286;-0.0034802428571428573;-0.028598095238095218;-0.0033031142857142854;0.060182595952380936;0.002962862037395777;0.0024720360742224016;0.005073876344866109;0.002323864935823935;0.006353627804070142;15.0;9.0;7.0;40877.0;6816.0;4022.0;5.0;10.0;4.0;5.0;23808.0;17069.0;5836.0;980.0;['en'];5.0;10.0;;;3.0;6.0;;;27218.0;13659.0;;;4272.0;2544.0;;;BLZ
2020-01-25;;;;;;;;;123.0;78.0;78.0;73.0;50.0;;;;186534.0;60309.0;126225.0;;;;-0.03223888888888892;0.0709680296529421;5.407717199467199;5.191068597163706;4.292648685553578;0.10262847427906087;0.07801567049644224;0.07107457893062624;-0.0011795588235294118;-0.0014449705882352939;-0.019686598039215682;6.247058823529393e-05;0.07296005906862746;0.0011976815103944694;0.0014449705882352939;0.006436556649873016;0.0018795449724467144;0.0064039469329494145;9.0;8.0;2.0;43445.0;18327.0;37358.0;6.0;3.0;8.0;;42531.0;914.0;18327.0;;['en'];6.0;3.0;;;8.0;;;;3044.0;40401.0;;;18327.0;;;;BLZ
2020-01-26;;;;;;;;;99.0;75.0;75.0;58.0;41.0;;;;218023.0;151444.0;66579.0;;;;-0.1740918367346939;0.08215733536157152;5.264328388129728;5.222415889665888;4.354217834249084;0.1147752245142076;0.08199276733211974;0.0839055878192985;-0.004895225490196078;-0.009852132352941176;-0.021405311764705868;-0.000627088235294118;0.055090581507218274;0.0028000546816421804;0.003711466141977204;0.0062774932755983864;0.0021407077100258397;0.008273510016400752;12.0;5.0;10.0;39099.0;24734.0;36862.0;10.0;2.0;4.0;1.0;36225.0;2874.0;23376.0;1358.0;['en'];10.0;2.0;;;3.0;2.0;;;38911.0;188.0;;;23109.0;1625.0;;;BLZ
2020-01-27;;;;;;;;;81.0;66.0;66.0;42.0;38.0;;1.0;;244314.0;147194.0;93607.0;;3513.0;;-0.25847083333333337;0.0778915174051268;5.310051741908884;5.326141745442765;4.3764239405718985;0.11682750133599196;0.09102358242174677;0.060807795237718724;-0.008239028571428572;-0.014482671428571427;-0.022651152380952368;-0.0016941142857142858;0.05669192968253967;0.003559693739183571;0.004259383381762335;0.007669094561802574;0.003919142156558413;0.00901038515155385;11.0;2.0;12.0;61376.0;116.0;40541.0;11.0;;2.0;;61376.0;;116.0;;['en'];9.0;2.0;;;2.0;;;;47647.0;13729.0;;;116.0;;;;BLZ
2020-01-28;;;;;;;;;103.0;77.0;77.0;65.0;37.0;;1.0;;259115.0;141599.0;106520.0;;10996.0;;-0.014707272727272718;0.06461193960686562;5.296965783720249;5.296604025934384;4.224499165021487;0.07476072953107663;0.06038945356839804;0.05921653752121168;0.0;0.0013587428571428571;-0.020377414285714282;0.004752142857142857;0.05490668544217687;0.0;0.0013587428571428574;0.006947775010427718;0.001996299299793932;0.007280919507006819;7.0;5.0;7.0;23610.0;18570.0;86307.0;4.0;3.0;4.0;1.0;21807.0;1803.0;17447.0;1123.0;['en'];7.0;;;;3.0;1.0;;1.0;23610.0;;;;6451.0;1123.0;;10996.0;BLZ
2020-01-29;;;;;;;;;103.0;76.0;76.0;66.0;35.0;;2.0;;114537.0;73567.0;33944.0;;7026.0;;-0.1654796296296296;0.06372513496143774;5.0765128590230635;5.094311464046159;4.379234474142637;0.1085105365805281;0.08370180351187602;0.07030510480388581;-0.014501400000000003;-0.00221956;-0.018083038666666662;-0.0013735866666666672;0.052147849333333336;0.006033060074981297;0.00221956;0.00647649755400867;0.002661678391561179;0.00933370478452527;2.0;1.0;5.0;12368.0;639.0;6233.0;1.0;1.0;1.0;;12165.0;203.0;639.0;;['en'];1.0;1.0;;;1.0;;;;203.0;12165.0;;;639.0;;;;BLZ
2020-01-30;;;;;;;;;140.0;110.0;110.0;86.0;49.0;;5.0;;514330.0;350363.0;146402.0;;17565.0;;-0.0607219178082192;0.0580043170809296;5.285117110840551;5.248903564664501;4.246933170995671;0.08927424952763993;0.06510325981401972;0.054808153883880134;0.0;-0.0010621511627906977;-0.02719906201550387;-0.0005424186046511626;0.07149512519379843;0.0;0.0010621511627906981;0.004385651609782779;0.0015247173396821876;0.005319851082591393;13.0;3.0;12.0;87442.0;11892.0;84519.0;12.0;1.0;3.0;;86084.0;1358.0;11892.0;;['en'];9.0;4.0;;;2.0;1.0;;;72360.0;15082.0;;;11834.0;58.0;;;BLZ
2020-01-31;;;;;;;;;122.0;84.0;84.0;84.0;37.0;;1.0;;316748.0;237569.0;75666.0;;3513.0;;0.034541538461538485;0.0684466138431817;5.342902190889033;5.345466227972807;4.397436915423756;0.12864045477127894;0.09983804848361763;0.07837126672536247;-0.0020905641025641022;-0.001206;-0.02911236482776482;0.001097628205128205;0.07468651516261518;0.0014640636962947322;0.0012525837458971876;0.004597853606554624;0.0019208895250329274;0.004227077132120748;9.0;5.0;4.0;42109.0;13183.0;45830.0;8.0;1.0;2.0;3.0;41946.0;163.0;12092.0;1091.0;['en'];8.0;1.0;;;5.0;;;;41813.0;296.0;;;13183.0;;;;BLZ
2020-02-01;;;;;;;;;58.0;35.0;35.0;35.0;21.0;1.0;1.0;;137133.0;40444.0;78554.0;7139.0;10996.0;;-0.08122399999999999;0.10905487216381793;5.442412365412366;5.430874084249084;4.307405469530471;0.1488168062105011;0.13144418504774136;0.1039511094583023;0.0;0.0;-0.023736;0.0;0.08578989999999999;0.0;0.0;0.009690181422450251;0.0;0.006299520662783265;2.0;2.0;4.0;23618.0;500.0;34624.0;1.0;1.0;2.0;;11453.0;12165.0;500.0;;['en'];1.0;1.0;;;2.0;;;;11453.0;12165.0;;;500.0;;;;BLZ
2020-02-02;;;;;;;;;59.0;41.0;41.0;46.0;13.0;;;;162377.0;75581.0;86796.0;;;;-0.020454838709677424;0.102253421199826;5.072847528397529;5.174380011655011;4.430925401450401;0.14536862651255572;0.09841670937981717;0.07408915202516626;0.0;0.0;-0.012003257936507935;0.0009709523809523805;0.05933000634920636;0.0;0.0;0.00815653951253677;0.0043506180760823215;0.01008746827717424;2.0;1.0;2.0;3007.0;250.0;66356.0;2.0;;1.0;;3007.0;;250.0;;['en'];2.0;;;;1.0;;;;3007.0;;;;250.0;;;;BLZ
2020-02-03;;;;;;;;;53.0;37.0;37.0;38.0;14.0;;1.0;;235790.0;147630.0;84647.0;;3513.0;;-0.03418333333333335;0.09756478096462026;5.172252148962149;5.2477227716727715;4.309171550671551;0.14750730160383335;0.10992724091828616;0.09195638664818127;0.0;0.0;-0.0222525;0.0;0.082613046875;0.0;0.0;0.007417499999999999;0.0;0.005928843086840621;4.0;4.0;4.0;24416.0;1778.0;70380.0;3.0;1.0;3.0;1.0;22979.0;1437.0;1139.0;639.0;['en'];3.0;1.0;;;4.0;;;;24343.0;73.0;;;1778.0;;;;BLZ
2020-02-04;;;;;;;;;34.0;25.0;25.0;20.0;11.0;;3.0;;121764.0;53587.0;56022.0;;12155.0;;-0.11262631578947367;0.09773970140394574;5.217883959178077;5.2213306791247955;4.322798573975044;0.18834958480391534;0.13839447888641732;0.10196060091852424;0.0;0.0;-0.027518874999999998;-0.002378236111111111;0.06950008750000003;0.0;0.0;0.011960167797755744;0.006492341214433922;0.011214647320018752;2.0;1.0;3.0;11697.0;11453.0;37115.0;1.0;1.0;1.0;;11453.0;244.0;11453.0;;['en'];1.0;1.0;;;1.0;;;;11453.0;244.0;;;11453.0;;;;BLZ
2020-02-05;;;;;;;;;36.0;26.0;26.0;24.0;12.0;;;;41904.0;32190.0;9714.0;;;;0.08124761904761904;0.1124596019782104;5.428063311688312;5.416261219336219;4.2130612554112545;0.1685588905324476;0.12234449681949;0.09406585682921187;0.0;0.0;-0.03342722222222222;0.0;0.08320055185185184;0.0;0.0;0.010579641715443887;0.0;0.008579261017068131;2.0;1.0;;802.0;11453.0;;1.0;1.0;1.0;;639.0;163.0;11453.0;;['en'];2.0;;;;1.0;;;;802.0;;;;11453.0;;;;BLZ
2020-02-06;;;;;;;;;47.0;32.0;32.0;29.0;16.0;;2.0;;140895.0;111234.0;21019.0;;8642.0;;-0.03785217391304351;0.13065588751931953;5.238485028860028;5.235339674214675;4.490292193917194;0.1914865183304144;0.1188257683768549;0.10260404325068408;0.00012265384615384607;0.0;-0.030751333333333325;0.0025167692307692317;0.05722690897435899;0.0001226538461538461;0.0;0.008068523789346166;0.0025167692307692317;0.01045240032214425;7.0;3.0;3.0;72476.0;1099.0;4865.0;7.0;;1.0;2.0;72476.0;;639.0;460.0;['en'];7.0;;;;2.0;1.0;;;72476.0;;;;802.0;297.0;;;BLZ
2020-02-07;;;;;;;;;78.0;66.0;66.0;48.0;30.0;;;;269533.0;229993.0;39540.0;;;;-0.25906585365853674;0.07904411392672095;5.197411117894451;5.113987823904491;4.310826549993219;0.12255395917872612;0.08850639817606068;0.07270874510874896;0.0;0.0;-0.016624103448275862;0.0008604827586206897;0.0693932287356322;0.0;0.0;0.005853005663774709;0.001192216371265312;0.005988887487279026;15.0;;3.0;61205.0;;3646.0;15.0;;;;61205.0;;;;['en'];9.0;6.0;;;;;;;42767.0;18438.0;;;;;;;BLZ
2020-02-08;;;;;;;;;54.0;44.0;44.0;37.0;16.0;;1.0;;134317.0;111087.0;18101.0;;5129.0;;-0.06614137931034485;0.09836836488314864;5.164837137609865;5.250322838777383;4.282616872185055;0.15522646521497496;0.08516039703617972;0.07595481668142888;-0.0019249015151515155;0.0021540454545454545;-0.025833090909090903;0.0009565;0.07185431742424242;0.003307944140087872;0.002154045454545454;0.008062183292674647;0.003181015645821479;0.007764148987190675;10.0;2.0;5.0;45727.0;11703.0;14190.0;9.0;1.0;2.0;;45726.0;1.0;11703.0;;['en'];6.0;4.0;;;2.0;;;;40950.0;4777.0;;;11703.0;;;;BLZ
2020-02-09;;;;;;;;;46.0;37.0;37.0;26.0;20.0;;;;48817.0;28325.0;20492.0;;;;-0.08730357142857145;0.09728129037589676;5.03419591035715;5.012294571441631;4.381191887769093;0.2014272952675034;0.12000027286501436;0.08942849835927424;-0.0017003;-0.0033879555555555553;-0.020086522222222226;0.001196388888888889;0.05278226111111111;0.005346229512424978;0.0033879555555555553;0.008791921909615641;0.001196388888888889;0.012664232097824586;3.0;;5.0;2498.0;;3185.0;3.0;;;;2498.0;;;;['en'];1.0;2.0;;;;;;;639.0;1859.0;;;;;;;BLZ
2020-02-10;;;;;;;;;48.0;46.0;46.0;25.0;22.0;;1.0;;120573.0;65240.0;28108.0;;27225.0;;-0.12127222222222225;0.09063644836159973;5.415473696145124;5.319984013605441;4.294508616780045;0.12938006489690773;0.10331607591493452;0.07840065381684838;0.0;0.0007799999999999997;-0.015742398245614034;0.0015118157894736838;0.05975350939849625;0.0;0.0007799999999999997;0.010672330822903323;0.004230582523382553;0.009919749564837706;3.0;3.0;2.0;38975.0;1976.0;170.0;3.0;;2.0;1.0;38975.0;;1657.0;319.0;['en'];1.0;1.0;;1.0;2.0;1.0;;;11453.0;297.0;;27225.0;412.0;1564.0;;;BLZ
2020-02-11;;;;;;;;;59.0;46.0;46.0;26.0;32.0;;1.0;;151552.0;97373.0;43183.0;;10996.0;;-0.2729964285714286;0.08294462430191478;5.100403287072403;5.1027059672353765;4.324278796367032;0.16469317268659878;0.12558749184637635;0.07797535415092119;0.0;0.0;-0.04886823529411763;0.0;0.08276167450980393;0.0;0.0;0.005655399309463565;0.0;0.0031186333100696358;9.0;;5.0;50864.0;;14211.0;9.0;;;;50864.0;;;;['en'];5.0;4.0;;;;;;;45875.0;4989.0;;;;;;;BLZ
2020-02-12;;;;;;;;;56.0;44.0;44.0;36.0;19.0;;1.0;;149620.0;120567.0;23924.0;;5129.0;;-0.07711290322580648;0.0874126730732167;5.10733740883741;5.176963427713427;4.335570785070787;0.12345105709139767;0.08064968136054021;0.06833103547058125;-0.0023941764705882355;-0.0028899411764705877;-0.02372394607843137;0.0019567647058823527;0.07274151890756303;0.0023941764705882355;0.0028899411764705877;0.00916701159820878;0.0019567647058823527;0.009711486987046302;8.0;4.0;1.0;19940.0;18091.0;11453.0;6.0;2.0;4.0;;17224.0;2716.0;18091.0;;['en'];3.0;5.0;;;2.0;2.0;;;12944.0;6996.0;;;14963.0;3128.0;;;BLZ
