date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;iso3
2020-01-22;;;;;;;;;778.0;169.0;545.0;428.0;342.0;;8.0;;4478067.0;556903.0;2905159.0;;1016005.0;;0.0142597222222222;0.04838582486737008;5.468551070902027;5.340429959285731;4.157016432463549;0.06526740047808874;0.04311447346137245;0.03110822176430805;0.0;0.0;-0.029110267647058825;0.0;0.08377819862745102;0.0;0.0;0.0030667712237309576;0.0;0.0015633800914546315;74.0;98.0;98.0;98303.0;69039.0;3599740.0;39.0;35.0;83.0;15.0;60093.0;38210.0;50640.0;18399.0;['es', 'qu', 'ay'];33.0;39.0;;2.0;57.0;41.0;;;48726.0;40073.0;;9504.0;31401.0;37638.0;;;BOL
2020-01-23;;;;;;;;;1125.0;248.0;757.0;589.0;521.0;;13.0;2.0;12480748.0;784840.0;7681832.0;;4014076.0;0.0;-0.06747055555555558;0.03919404785358504;5.4819309616213285;5.32320091734734;4.3947768320508995;0.06322928816301854;0.04016254581969606;0.031002078430215862;-0.002708645631067961;-0.00047698058252427166;-0.025672802588996773;-0.0007934838187702264;0.07663462008784097;0.0012301117723888086;0.00047698058252427177;0.0029803077856199378;0.0006810169282150054;0.0028767875188507753;97.0;140.0;137.0;160523.0;135969.0;5205256.0;51.0;46.0;100.0;40.0;110442.0;50081.0;79066.0;56903.0;['es', 'qu', 'ay'];50.0;46.0;;1.0;73.0;67.0;;;75949.0;79822.0;;4752.0;33685.0;102284.0;;;BOL
2020-01-24;;;;;;;;;1742.0;335.0;1129.0;1014.0;700.0;;27.0;1.0;17695639.0;1301358.0;7460278.0;;8934003.0;0.0;0.08848790322580641;0.03411273046309641;5.863518090756982;5.545558161077608;4.376896488593715;0.06032214841761175;0.03689911849312414;0.03205835445489445;-0.0036734312977099244;-0.0014619160305343513;-0.022177155852417328;-0.0016787748091603052;0.05739445603416943;0.0014313331788071086;0.0011194274839719522;0.002679032864293147;0.0009345982877542783;0.0033171298595322963;126.0;165.0;257.0;641501.0;137357.0;7793528.0;64.0;62.0;132.0;33.0;164220.0;477281.0;116088.0;21269.0;['es', 'qu', 'ay'];67.0;59.0;;;93.0;72.0;;;144818.0;496683.0;;;65221.0;72136.0;;;BOL
2020-01-25;;;;;;;;;1572.0;367.0;798.0;912.0;647.0;1.0;12.0;;9103046.0;892624.0;3356253.0;12703.0;4841466.0;;-0.13931960784313735;0.03513863768854414;5.445994061381367;5.295952483385683;4.332511755681641;0.05394240399297042;0.037320979586516666;0.03330011745372468;-0.0006942697841726618;0.0007055791366906474;-0.01790425047961631;-0.001699841486810552;0.056881856367892676;0.0008220201270390388;0.0007067466645176131;0.002918490712313041;0.0012453084518092127;0.0038315400659908218;131.0;66.0;181.0;550331.0;87755.0;5322508.0;44.0;87.0;52.0;14.0;60640.0;489691.0;70535.0;17220.0;['es', 'qu', 'ay'];61.0;70.0;;;41.0;25.0;;;61144.0;489187.0;;;47868.0;39887.0;;;BOL
2020-01-26;;;;;;;;;1567.0;542.0;786.0;832.0;720.0;;15.0;;8794505.0;908416.0;4514908.0;;3371181.0;;-0.15910194805194836;0.030527804378418757;5.347669203634977;5.28000790280005;4.237920296162377;0.04128103733656925;0.030726519878614605;0.029455981704356038;-0.0009743091666666668;-0.0019580933333333338;-0.02577755247619046;0.0010005949999999995;0.0651380492578117;0.0006515927175699324;0.0007301599883487746;0.0024735003691415776;0.0006310836735289933;0.0027625545693060107;96.0;83.0;189.0;425175.0;108667.0;4646616.0;23.0;73.0;47.0;36.0;37503.0;387672.0;50864.0;57803.0;['es', 'qu', 'ay'];36.0;60.0;;;47.0;36.0;;;47071.0;378104.0;;;41007.0;67660.0;;;BOL
2020-01-27;;;;;;;;;1749.0;469.0;1081.0;1001.0;726.0;;22.0;;16347208.0;1225129.0;7908275.0;;7213804.0;;-0.3151697802197798;0.027729991878425817;5.141829072015571;5.214634159197659;4.433710981772493;0.035394158951162595;0.028013795515044272;0.023568295542564743;-0.0013739784282133904;-0.006016305764411027;-0.016755084586466108;0.0030041109022556378;0.05342320655457753;0.0006489770667549032;0.0010840765114301402;0.002456733715299518;0.0007276534061974644;0.003154541643699825;129.0;76.0;256.0;910937.0;411320.0;9458440.0;41.0;88.0;40.0;36.0;276715.0;634222.0;370089.0;41231.0;['es', 'qu', 'ay'];50.0;78.0;;1.0;33.0;43.0;;;43715.0;844305.0;;22917.0;51165.0;360155.0;;;BOL
2020-01-28;;;;;;;;;2199.0;476.0;1421.0;1244.0;909.0;;46.0;;23387798.0;1450374.0;9857313.0;;12080111.0;;-0.11325558659217873;0.028189847776706262;5.2911022530880025;5.307189451613797;4.268030356455905;0.042163667877978483;0.029196535052974832;0.02416948268117301;-0.002924179093567251;-0.0031620131578947363;-0.017790018650793687;0.0012647910818713445;0.05660121558932064;0.000790295302832418;0.0008229117304659286;0.002677414121330645;0.0010257661021606985;0.0031458667338065;137.0;103.0;279.0;809605.0;93759.0;11358955.0;59.0;78.0;50.0;53.0;72048.0;737557.0;31539.0;62220.0;['es', 'qu', 'ay'];64.0;72.0;;1.0;51.0;52.0;;;68453.0;736400.0;;4752.0;22793.0;70966.0;;;BOL
2020-01-29;;;;;;;;;2181.0;486.0;1330.0;1251.0;908.0;1.0;21.0;;15194403.0;1611046.0;8374873.0;12703.0;5195781.0;;-0.020451104100946364;0.02964943625636387;5.256083301357223;5.237052691842452;4.306017291670595;0.044162189834311215;0.03169498481636642;0.026368209331170973;-0.004972254076086958;-0.0021088722826086955;-0.028038086292270524;0.0002948695652173912;0.07221012619047623;0.0013780212463691244;0.0009357260027755948;0.0024682107436770693;0.0006095635309479626;0.002489841776320289;72.0;62.0;216.0;299330.0;46790.0;5223365.0;21.0;51.0;42.0;20.0;19623.0;279707.0;30328.0;16462.0;['es', 'qu', 'ay'];33.0;37.0;;2.0;37.0;25.0;;;21653.0;250008.0;;27669.0;24843.0;21947.0;;;BOL
2020-01-30;;;;;;;;;3134.0;771.0;1833.0;1872.0;1200.0;6.0;56.0;;28573564.0;1997702.0;14057532.0;153315.0;12365015.0;;-0.06400106194690268;0.02206141003030991;5.259248186253472;5.2402737024745525;4.2451975713787125;0.033370785879196264;0.025216746299103976;0.019447936302365208;-0.0012964416433239962;-0.0004140504201680672;-0.02960289959317065;0.0010754920634920633;0.06777111467040946;0.0005026860044874063;0.0003068311484480033;0.0018756667018332558;0.0006151035256519619;0.0019029987940205168;107.0;64.0;310.0;579380.0;77040.0;6931000.0;52.0;55.0;39.0;25.0;66659.0;512721.0;44254.0;32786.0;['es', 'qu', 'ay'];60.0;44.0;1.0;2.0;38.0;26.0;;;62626.0;494547.0;12703.0;9504.0;36197.0;40843.0;;;BOL
2020-01-31;;;;;;;;;2825.0;658.0;1779.0;1656.0;1147.0;1.0;21.0;;17160673.0;1895204.0;10763303.0;87587.0;4414579.0;;-0.1644437759336099;0.025389381925632653;5.13874770304392;5.185865419798456;4.302594383207826;0.041401825291152335;0.027829917081140704;0.024498929638969425;-0.002786564197530865;-0.0024039351851851843;-0.024461736358514556;0.0005836165123456783;0.06534144674693447;0.0006844086071901793;0.0006089707507584588;0.0018607913413654048;0.0008716410543327281;0.002122255498230298;117.0;49.0;249.0;500965.0;71734.0;5533923.0;50.0;67.0;29.0;20.0;62765.0;438200.0;55790.0;15944.0;['es', 'qu', 'ay'];64.0;53.0;;;29.0;20.0;;;70455.0;430510.0;;;29616.0;42118.0;;;BOL
