date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;iso3
2020-01-22;0;0;0;;;;;;1354.0;804.0;310.0;699.0;527.0;26.0;102.0;;342095395.0;2679302.0;1647904.0;1326481.0;336441708.0;;0.005266040688575933;0.021095925912652053;5.411487078336618;5.261864851558105;4.2329632228148055;0.028119479906381608;0.01892490078993889;0.015794006577852675;-0.0008924894636015326;-0.00042852586206896555;-0.02146308448275859;0.0002623541187739463;0.08100562488596971;0.00040998275887495136;0.00031308071828508845;0.0015860910722468172;0.0003188769632667338;0.001189263612332141;135.0;48.0;226.0;652300.0;110014.0;203957194.0;18.0;117.0;9.0;39.0;24591.0;627709.0;11786.0;98228.0;['de', 'fr', 'it', 'rm'];67.0;58.0;5.0;5.0;35.0;12.0;1.0;;273513.0;261669.0;35045.0;82073.0;37731.0;45737.0;26546.0;;CHE
2020-01-23;0;0;0;;;;;;2716.0;1332.0;832.0;1496.0;1064.0;43.0;113.0;;293399832.0;3737928.0;2976891.0;1313009.0;285372004.0;;-0.0824293457943926;0.016355053048151432;5.501332836065656;5.298262605012996;4.380702787072718;0.027107660659823802;0.017645365980063967;0.014369640663154644;-0.0005408523131672598;3.3119217081850555e-05;-0.0242728559015422;0.00036078591340450754;0.07400397955481099;0.00022950233664674555;0.00023729002690750089;0.0014425268763799109;0.00034834915507301825;0.001358776375859551;318.0;91.0;226.0;7073401.0;266004.0;51281980.0;50.0;268.0;10.0;81.0;448714.0;6624687.0;9757.0;256247.0;['de', 'fr', 'it', 'rm'];171.0;125.0;16.0;6.0;59.0;32.0;;;412474.0;341338.0;129723.0;6189866.0;213131.0;52873.0;;;CHE
2020-01-24;0;0;0;;;;;;4911.0;2160.0;1604.0;2883.0;1953.0;24.0;48.0;3.0;25535455.0;5541938.0;3694791.0;1467703.0;14831023.0;0.0;0.08375636806825086;0.01333767644327744;5.581000743777753;5.4009758599613615;4.359885990023718;0.02433052736787516;0.015062770111709912;0.011596534178652295;-0.0013664264219576722;-0.0005118630952380952;-0.0238975647203325;0.000547804216269841;0.06447692765162481;0.000313712342433612;0.0002998433693569248;0.00105947574088609;0.00034452376521567675;0.0012136168966852387;508.0;158.0;337.0;1097290.0;511713.0;4675347.0;111.0;397.0;24.0;134.0;263958.0;833332.0;35029.0;476684.0;['de', 'fr', 'it', 'rm'];301.0;198.0;6.0;3.0;97.0;61.0;;;729690.0;297798.0;36071.0;33731.0;378185.0;133528.0;;;CHE
2020-01-25;0;0;0;;;;;;8243.0;3186.0;3197.0;4804.0;3361.0;19.0;59.0;;41027548.0;7521871.0;4806006.0;302872.0;28396799.0;;-0.11130369127516786;0.011806596995453658;5.306560238615172;5.242114367092573;4.290689066663049;0.016401661650396863;0.011394975284369587;0.009350490541500712;-0.001036675665101722;-0.0007055591744913926;-0.02516496134445523;6.303203247261252e-05;0.06460979219538615;0.0002510554945522501;0.00022855844151958556;0.00087878979463169;0.00033490907305254415;0.0009920308995610557;777.0;140.0;270.0;1471250.0;397889.0;8830024.0;387.0;390.0;24.0;116.0;362014.0;1109236.0;40318.0;357571.0;['de', 'fr', 'it', 'rm'];468.0;301.0;5.0;3.0;77.0;63.0;;;765348.0;560466.0;41762.0;103674.0;188802.0;209087.0;;;CHE
2020-01-26;0;0;0;;;;;;6867.0;3706.0;1923.0;4070.0;2693.0;32.0;72.0;;142788320.0;8547040.0;5421951.0;630605.0;128188724.0;;-0.1227792243767308;0.010836411040408844;5.305823461484997;5.237318501249115;4.277256747471374;0.015213029462066659;0.011148541165907614;0.009475481823254979;-0.0005090123365408339;-0.0016596272308577991;-0.0265478190071823;0.0004458614085588175;0.06573382161624278;0.00022696598414660826;0.00026298624507937313;0.0008229015240095088;0.00023425403133780733;0.0009129215822081584;544.0;168.0;403.0;13837013.0;585567.0;66908339.0;136.0;408.0;15.0;153.0;277816.0;13559197.0;20263.0;565304.0;['de', 'fr', 'it', 'rm'];329.0;200.0;8.0;7.0;101.0;65.0;2.0;;1390400.0;349734.0;55530.0;12041349.0;217117.0;362138.0;6312.0;;CHE
2020-01-27;0;0;0;;;;;;5466.0;2664.0;1685.0;3138.0;2163.0;46.0;119.0;;93768607.0;7493265.0;4824926.0;2062896.0;79387520.0;;-0.1429815992292882;0.01227560304326022;5.212056574990794;5.2246646672662616;4.3477127610343365;0.015708784142054222;0.012105371056820205;0.01080380622643316;-0.0014872101817471172;-0.0040245622435020455;-0.021832683276333486;0.001509789150543941;0.06262702845813797;0.00023240556840366152;0.00037726756609775264;0.0009805849384625512;0.00029890055204235047;0.0011532587752573127;527.0;148.0;508.0;1884741.0;408403.0;30039163.0;90.0;437.0;16.0;132.0;237062.0;1647679.0;15462.0;392941.0;['de', 'fr', 'it', 'rm'];303.0;210.0;8.0;6.0;90.0;57.0;;1.0;969372.0;572050.0;59223.0;284096.0;225839.0;130967.0;;51597.0;CHE
2020-01-28;0;0;0;;;;;;5317.0;2492.0;1743.0;2917.0;2200.0;56.0;144.0;;164524133.0;7591122.0;6319350.0;2513036.0;148100625.0;;-0.08645928458705908;0.01257933271251644;5.339813552169077;5.335262838402391;4.2355761170583515;0.01765797082312659;0.012727739230037557;0.010593783101547844;-0.002429517358392064;-0.002513761158966329;-0.020418668126723324;0.0007391158926169141;0.06027976854462856;0.0003067481627644596;0.0003129497856181747;0.0011031942541521538;0.00041854391789450715;0.00129091816209218;490.0;154.0;551.0;1476202.0;534894.0;74520551.0;99.0;391.0;30.0;124.0;228350.0;1247852.0;83487.0;451407.0;['de', 'fr', 'it', 'rm'];272.0;206.0;10.0;2.0;93.0;57.0;4.0;;736646.0;582330.0;50534.0;106692.0;211507.0;175619.0;147768.0;;CHE
2020-01-29;0;0;0;;;;;;5173.0;2410.0;1509.0;2832.0;2150.0;55.0;136.0;;151415378.0;7904406.0;5204891.0;2201475.0;136104606.0;;-0.0816646153846152;0.012932136203729306;5.282767040731624;5.221512233854828;4.3193271662796535;0.018351045737577374;0.013581489740696845;0.011544561048586921;-0.004144768917155906;-0.001336958414872798;-0.026828295316916547;0.0004089648401826477;0.06800785091805871;0.0005892987511360287;0.00035818151335288386;0.0010574275598104208;0.00031105615664352035;0.0011273576925328167;360.0;87.0;316.0;7820744.0;170717.0;19185915.0;81.0;279.0;18.0;69.0;362610.0;7458134.0;73235.0;97482.0;['de', 'fr', 'it', 'rm'];206.0;145.0;6.0;3.0;40.0;47.0;;;1069651.0;368984.0;131950.0;6250159.0;82707.0;88010.0;;;CHE
2020-01-30;0;0;0;;;;;;7086.0;3915.0;1592.0;3817.0;3067.0;39.0;163.0;;217347132.0;8276809.0;7227747.0;1360988.0;200481588.0;;-0.03510961474036865;0.009700100770819764;5.291204004811707;5.258044854229613;4.266039961390342;0.014480625983946328;0.010692463260299177;0.008542533897131253;-0.0016362935470085474;-0.0009542385470085471;-0.026851219335571542;0.0018178578504273555;0.06864830455164048;0.0002493564037379462;0.00020307466715715897;0.0008292950247354989;0.00026296180753813904;0.000844514494475726;446.0;131.0;467.0;6907892.0;239746.0;6686674.0;59.0;387.0;14.0;117.0;184874.0;6723018.0;15821.0;223925.0;['de', 'fr', 'it', 'rm'];242.0;189.0;9.0;6.0;72.0;59.0;;;619049.0;495930.0;57100.0;5735813.0;155565.0;84181.0;;;CHE
2020-01-31;0;0;0;;;;;;6277.0;3398.0;1468.0;3351.0;2779.0;34.0;113.0;;49011098.0;7783531.0;6624281.0;3917138.0;30686148.0;;-0.11925183946488233;0.010707308133035852;5.1706351641699175;5.220479110043146;4.313605576960602;0.01623084601435;0.011389243951396032;0.00909141027997342;-0.002097764046121592;-0.0022482654850390733;-0.024546656471374405;0.00023502240327806327;0.06755016578105941;0.00026240588397224887;0.0002705363220584618;0.0007923084838165517;0.00030158142391204434;0.000871174168436233;346.0;142.0;318.0;766633.0;429851.0;9651716.0;60.0;286.0;22.0;120.0;118838.0;647795.0;35815.0;394036.0;['de', 'fr', 'it', 'rm'];215.0;123.0;4.0;4.0;76.0;66.0;;;523629.0;160918.0;28036.0;54050.0;244668.0;185183.0;;;CHE
