date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;222.0;80.0;143.0;140.0;80.0;;2.0;;258629.0;128661.0;129232.0;;736.0;;0.1275702702702703;0.0730126377747246;5.324816359079517;5.301487126908178;4.166638993316624;0.08467798905511595;0.056966148828220674;0.03436134124290631;-0.0019222333333333331;-0.0013347833333333336;-0.02280652777777777;-0.0010570416666666668;0.08150231953703706;0.0019222333333333331;0.0013347833333333336;0.003617613744687293;0.001057041666666667;0.0026689782414013557;12.0;14.0;14.0;37452.0;12322.0;11547.0;10.0;2.0;6.0;8.0;36414.0;1038.0;3850.0;8472.0;['fr', 'en'];9.0;3.0;;;11.0;3.0;;;6439.0;31013.0;;;10315.0;2007.0;;;0.054557632495545696;0.2005829080449949;CMR
2020-01-23;0;0;0;;;;;;389.0;132.0;291.0;243.0;142.0;;4.0;;603885.0;323849.0;165220.0;;114816.0;;0.06010090090090085;0.05270239671946848;5.80644497459063;5.518454200388988;4.535340244055464;0.09629823095439266;0.05727086594608655;0.04694810466180474;-0.0014064999999999998;-0.0007406271186440679;-0.017426028813559317;0.0013776355932203384;0.06571174253430187;0.0014056592138710648;0.0005191681521637298;0.004232637721167198;0.0013673546205048748;0.005516852663734696;40.0;13.0;19.0;107922.0;23440.0;22312.0;31.0;9.0;9.0;4.0;104156.0;3766.0;14988.0;8452.0;['fr', 'en'];31.0;8.0;;1.0;12.0;1.0;;;73560.0;33994.0;;368.0;22670.0;770.0;;;0.007398504181432369;0.11280329762036934;CMR
2020-01-24;0;0;0;;;;;;1021.0;377.0;751.0;559.0;460.0;;2.0;;1237172.0;579506.0;492484.0;;165182.0;;0.2058733552631576;0.02915037416253085;6.056913327767521;5.63378888616625;4.505096932422826;0.06179063289785872;0.03721850732758394;0.030464950063960074;-0.0009816620689655172;-2.4324137931034452e-05;-0.019950230919540245;-0.001373564367816092;0.05301221080459771;0.0005743134232828808;0.0007817644132713794;0.0026213868124192858;0.0009294218828707724;0.0035445678302671608;84.0;26.0;51.0;94529.0;21278.0;65694.0;58.0;26.0;21.0;5.0;76673.0;17856.0;20064.0;1214.0;['fr', 'en'];48.0;35.0;;1.0;19.0;7.0;;;33210.0;43458.0;;17861.0;10765.0;10513.0;;;0.17672298110062673;0.23502372942568844;CMR
2020-01-25;0;0;0;;;;;;1913.0;615.0;1492.0;944.0;965.0;;4.0;;2661991.0;877437.0;1392426.0;;392128.0;;-0.053905764411027526;0.029168034627081688;5.419030071833848;5.292008756263118;4.263933992654623;0.04044088180180221;0.02722407572000117;0.024316454392955586;-0.0012812491467576789;-0.0007869163822525598;-0.01818280716723549;-0.0011931649601820255;0.05561416844579392;0.0006628529812573094;0.0006062031353677344;0.0020847601174215856;0.0009155457085576863;0.0028474788400495023;149.0;19.0;46.0;397138.0;44902.0;268386.0;131.0;18.0;17.0;2.0;387373.0;9765.0;38855.0;6047.0;['fr', 'en'];68.0;79.0;;2.0;10.0;9.0;;;42327.0;158747.0;;196064.0;8954.0;35948.0;;;-0.08307379903810921;-0.02473772978394584;CMR
2020-01-26;0;0;0;;;;;;1483.0;804.0;1141.0;842.0;639.0;;2.0;;1977406.0;917908.0;863434.0;;196064.0;;-0.09843016194331992;0.025575737158765845;5.322877513736012;5.199083872225816;4.3006678924852535;0.03434512119236065;0.025007972838376;0.02413030589775997;-0.00018197815581854035;-0.001923128698224852;-0.02074711558185401;0.0014522640039447727;0.059456850020952114;0.0005954574152805806;0.000544917622712914;0.0018549654971142355;0.0005932830749376738;0.002318482051107873;97.0;21.0;64.0;184341.0;24724.0;275701.0;81.0;16.0;19.0;2.0;170998.0;13343.0;23684.0;1040.0;['fr', 'en'];55.0;42.0;;;16.0;5.0;;;46022.0;138319.0;;;13271.0;11453.0;;;-0.12400589910208577;-0.07285442478455408;CMR
2020-01-27;0;0;0;;;;;;1123.0;577.0;866.0;661.0;457.0;3.0;2.0;;1615365.0;736240.0;619165.0;144067.0;115893.0;;-0.2685797826086948;0.0257934088599684;5.152636140136131;5.19435202991452;4.438857581357586;0.03300105940244711;0.025102716554336282;0.02428005869540052;-0.0010338151515151515;-0.005840250505050505;-0.015422132474747378;0.0046479257575757615;0.05017047470233452;0.0005061333706265447;0.0009521363386656;0.002346761977291145;0.000712436245313605;0.002977247755307304;77.0;21.0;40.0;132585.0;11570.0;134807.0;69.0;8.0;21.0;;124203.0;8382.0;11570.0;;['fr', 'en'];51.0;25.0;1.0;;18.0;3.0;;;88666.0;16920.0;26999.0;;8805.0;2765.0;;;-0.2943731914686632;-0.24278637374872641;CMR
2020-01-28;0;0;0;;;;;;1084.0;424.0;800.0;650.0;430.0;2.0;2.0;;2244431.0;983625.0;1084730.0;117068.0;59008.0;;-0.1404955223880599;0.031675995747824134;5.338271808112436;5.351262441263922;4.187595557142864;0.046758248187179934;0.03071407227699415;0.02480669867881689;-0.003637445833333333;-0.004362740277777778;-0.01158691609126988;0.0031624683333333326;0.045485432775974166;0.000810088199234275;0.0009594012091529585;0.002802785320310998;0.001066311324213727;0.003477945193525139;53.0;24.0;55.0;112894.0;12658.0;77871.0;36.0;17.0;22.0;2.0;21427.0;91467.0;9938.0;2720.0;['fr', 'en'];26.0;27.0;;;15.0;9.0;;;18588.0;94306.0;;;7897.0;4761.0;;;-0.17217151813588405;-0.10881952664023577;CMR
2020-01-29;0;0;0;;;;;;1132.0;504.0;775.0;660.0;465.0;2.0;5.0;;1782583.0;806367.0;702933.0;167930.0;105353.0;;-0.14700201149425296;0.028807832446752536;5.280228763469872;5.17365891429125;4.373686902893253;0.03790244835934109;0.027246524864401062;0.027471114995447143;-0.00980646172248804;-0.002809423444976076;-0.0208964068504595;0.0009973720433075694;0.058022479366460225;0.0018187140651805289;0.0010526129805875195;0.0026902203049285213;0.0009596722482752627;0.0031767118601039976;29.0;7.0;39.0;13270.0;3906.0;41418.0;19.0;10.0;7.0;;11847.0;1423.0;3906.0;;['fr', 'en'];18.0;11.0;;;7.0;;;;7248.0;6022.0;;;3906.0;;;;-0.1758098439410055;-0.11819417904750043;CMR
2020-01-30;0;0;0;;;;;;1567.0;870.0;1111.0;859.0;704.0;1.0;3.0;;2567568.0;950440.0;1456375.0;26999.0;133754.0;;-0.04939644381223324;0.02073621154250093;5.267568983163686;5.238545163973908;4.279728373823835;0.03087938476772636;0.023512524898903982;0.019947941472996708;-0.0023026813271604936;-0.0017026107253086422;-0.025863090327381;0.0033721482253086465;0.060155222279373;0.0006341051450206718;0.0005439604710777734;0.0019668673334270045;0.0006843335529970713;0.00202259921611739;36.0;20.0;101.0;168022.0;16839.0;83493.0;31.0;5.0;16.0;4.0;164498.0;3524.0;15887.0;952.0;['fr', 'en'];24.0;11.0;;1.0;8.0;12.0;;;44180.0;25810.0;;98032.0;2326.0;14513.0;;;-0.07013265535473417;-0.028660232269732307;CMR
2020-01-31;0;0;0;;;;;;1410.0;716.0;1005.0;764.0;642.0;1.0;3.0;;1759866.0;595030.0;1090001.0;5179.0;69656.0;;-0.12421276595744672;0.024181754209536416;5.138016665193316;5.229780774754071;4.320818976088965;0.03783296872537238;0.02644269304568167;0.02204857181248076;-0.0032005608311229;-0.0027739372236958433;-0.02645324252299425;0.0012212020335985846;0.05850823668226845;0.0006906521260245888;0.0006723050284203608;0.0017591547920378775;0.0007999711547616592;0.00202237742280468;40.0;86.0;78.0;87843.0;131399.0;158500.0;35.0;5.0;63.0;23.0;81454.0;6389.0;111659.0;19740.0;['fr', 'en'];25.0;15.0;;;40.0;46.0;;;37290.0;50553.0;;;55429.0;75970.0;;;-0.14839452016698312;-0.1000310117479103;CMR
