date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;9592.0;911.0;7865.0;5676.0;3731.0;43.0;142.0;;273751585.0;12123914.0;32015143.0;5651883.0;223960645.0;;-0.08004403409090913;0.019914696439471063;5.4171693919216715;5.1826882703562305;4.205237368312987;0.028560869454945282;0.019895737451291445;0.01475178420876672;-0.0005172770114942528;-0.0003321218390804597;-0.02329080617405585;0.0007822264367816089;0.07811996667943791;0.0002344836422398052;0.00030734501706728454;0.0014450653916890386;0.0002869935007886418;0.0012259381265218336;452.0;832.0;1335.0;1630761.0;1401610.0;230061899.0;275.0;177.0;780.0;52.0;614000.0;1016761.0;1214821.0;186789.0;['es'];274.0;167.0;8.0;3.0;505.0;324.0;2.0;1.0;1059502.0;293669.0;44952.0;232638.0;905235.0;481942.0;7214.0;7219.0;-0.0999587305303802;-0.06012933765143806;COL
2020-01-23;0;0;0;;;;;;15899.0;1286.0;11618.0;9539.0;6059.0;58.0;240.0;3.0;355196206.0;15648885.0;37451027.0;5096495.0;296999799.0;0.0;-0.121804070981211;0.01644130913748301;5.459581859237704;5.255262532583597;4.416327894585724;0.028075297547074763;0.01871603687165891;0.015009073161833725;-0.0010442168863779033;-0.0009694406779661016;-0.023646068872746912;-0.0005001528562460769;0.07333812922969976;0.00029711970984803976;0.00032814374524574677;0.0013818066163631794;0.00046483014333336835;0.001343249040148772;700.0;887.0;1217.0;6788926.0;1538790.0;257662000.0;453.0;247.0;786.0;101.0;6143839.0;645087.0;1355928.0;182862.0;['es'];424.0;264.0;9.0;3.0;509.0;376.0;2.0;;634161.0;988008.0;80518.0;5086239.0;729161.0;805273.0;4356.0;;-0.138245380118694;-0.10536276184372799;COL
2020-01-24;0;0;0;;;;;;15724.0;2006.0;11212.0;9279.0;6188.0;42.0;202.0;13.0;370244482.0;14697060.0;31980716.0;8102770.0;315463936.0;0.0;0.003043762922122693;0.014544996477712974;5.5229296993387695;5.339094826503669;4.402680014601399;0.026057278017578758;0.016696765524954634;0.012473563420817612;-0.0022241829440905877;0.0006180099079971692;-0.02353125820105813;-0.0008344143665958956;0.06439093301348453;0.0004195224688465605;0.00046078381952986973;0.0010980602049990604;0.0004119322306245982;0.0012389482268425488;717.0;1046.0;1260.0;2272751.0;2165155.0;268982590.0;324.0;393.0;906.0;140.0;1293193.0;979558.0;1753854.0;411301.0;['es'];400.0;305.0;3.0;7.0;627.0;415.0;;1.0;1023435.0;757370.0;69265.0;422681.0;1220397.0;758298.0;;186460.0;-0.011501233555590282;0.017588759399835667;COL
2020-01-25;0;0;0;;;;;;16756.0;2727.0;11156.0;9789.0;6806.0;34.0;127.0;;312653447.0;14391324.0;18621734.0;5679901.0;273960488.0;;-0.1186057277982132;0.012886222154255451;5.342465860932091;5.261271948627657;4.321144278315972;0.019447040789040658;0.01342943699196178;0.010961175146004178;-0.0015116262410057404;0.00011314940577249607;-0.02207969386369136;-0.00031784070458404053;0.06337193055516997;0.00029047625584832084;0.00030411367045920937;0.0010366130615234734;0.0004357292111225293;0.001212435301383707;733.0;552.0;1065.0;1626220.0;946661.0;255614323.0;250.0;483.0;417.0;135.0;445546.0;1180674.0;586007.0;360654.0;['es'];423.0;302.0;4.0;4.0;334.0;218.0;;;696890.0;350574.0;344187.0;234569.0;650441.0;296220.0;;;-0.13149194995246866;-0.10571950564395774;COL
2020-01-26;0;0;0;;;;;;13998.0;3571.0;8105.0;8323.0;5495.0;38.0;142.0;;286002145.0;14542341.0;19438550.0;4341597.0;247679657.0;;-0.21195977859778575;0.011731426261267;5.153747799641171;5.13025996488668;4.3273840005069735;0.0179798497191032;0.013130833504921864;0.01095111721984525;-0.0018915714134350504;-0.001554731828777282;-0.022468241370750257;-0.00016272085036175956;0.069210033669465;0.0002826887926725022;0.00026924333479997806;0.0008350547931707149;0.00027053575411067963;0.0010092521281500242;722.0;536.0;1211.0;2643125.0;1574143.0;225830028.0;226.0;496.0;362.0;174.0;699331.0;1943794.0;799572.0;774571.0;['es'];432.0;274.0;4.0;12.0;326.0;204.0;6.0;;1090766.0;920427.0;31788.0;600144.0;1029702.0;454030.0;90411.0;;-0.22369120485905275;-0.20022835233651876;COL
2020-01-27;0;0;0;;;;;;16609.0;3029.0;11227.0;9763.0;6610.0;49.0;187.0;;348544163.0;16931164.0;38027327.0;12236477.0;281349195.0;;-0.2259924463519328;0.012029688054437552;5.088245348674851;5.14874117588072;4.482271644349;0.01612975783265044;0.012446411848410851;0.010371765634224886;-0.002605757522811107;-0.0059801554067171366;-0.016527367113181642;0.0017659189963113997;0.06285753501052822;0.0002861955532966937;0.0004198225692916693;0.0008939676724317324;0.0002825513923015993;0.0011575867944268387;763.0;744.0;1480.0;2135169.0;1748265.0;244105619.0;289.0;474.0;568.0;176.0;932288.0;1202881.0;1300967.0;447298.0;['es'];452.0;306.0;2.0;3.0;466.0;278.0;;;1111618.0;837930.0;23310.0;162311.0;1124925.0;623340.0;;;-0.23802213440637035;-0.21396275829749525;COL
2020-01-28;0;0;0;;;;;;17335.0;2489.0;12578.0;10197.0;6855.0;45.0;238.0;;496555811.0;19004318.0;32750790.0;7066350.0;437734353.0;;-0.14648035222894848;0.012748958878716708;5.215470357288708;5.2649109507585585;4.282738745388198;0.018782696430681936;0.013386547525239444;0.011147447089114169;-0.005437969481605356;-0.0043651603957636596;-0.012659024643653585;0.0017260548069086186;0.05419890693042818;0.00048359092564693865;0.0004343229321726234;0.0011582847018152588;0.0004456489409298692;0.0014430472065952715;687.0;644.0;1472.0;2666520.0;1256513.0;324022134.0;338.0;349.0;469.0;175.0;1056768.0;1609752.0;604964.0;651549.0;['es'];414.0;267.0;2.0;4.0;386.0;257.0;1.0;;1256835.0;1014851.0;23310.0;371524.0;717600.0;516775.0;22138.0;;-0.1592293111076652;-0.13373139335023176;COL
2020-01-29;0;0;0;;;;;;16421.0;2605.0;11669.0;9671.0;6485.0;60.0;205.0;;437780336.0;16456820.0;40440557.0;5767019.0;375115940.0;;-0.12824259055982387;0.012511035575472543;5.206862891496344;5.186738798238792;4.344000049397322;0.01938709409733223;0.01355786529935156;0.011222041646322834;-0.005457476371709479;-0.002393513479226134;-0.021476690061619282;-0.001368961722657299;0.06499195657863116;0.0006254155778907232;0.00039134423842818297;0.0010431397290316653;0.00042697354074010767;0.0011722688985603546;368.0;411.0;836.0;1708901.0;833834.0;187287282.0;164.0;204.0;316.0;95.0;1179158.0;529743.0;657835.0;175999.0;['es'];206.0;154.0;5.0;3.0;241.0;169.0;1.0;;629812.0;585589.0;40055.0;453445.0;443237.0;373879.0;16718.0;;-0.1407536261352964;-0.11573155498435132;COL
2020-01-30;0;0;0;;;;;;22508.0;3732.0;15544.0;13231.0;8951.0;72.0;254.0;;477378799.0;21125409.0;48490902.0;16899741.0;390862747.0;;-0.10157184903047084;0.009736498789754309;5.194810176712825;5.194705187225503;4.295337825051768;0.015167712860903354;0.011074291365099;0.008890445346376908;-0.0020214848935389143;-0.001331409508076358;-0.02811966478979224;0.0009344282128435109;0.06953024749222872;0.0002400393846022425;0.00020906061796358168;0.0008330457065328543;0.0002703777421983855;0.0008112345747266407;643.0;389.0;1184.0;2127873.0;593977.0;193587049.0;299.0;344.0;277.0;112.0;1099013.0;1028860.0;443164.0;150813.0;['es'];365.0;264.0;9.0;5.0;225.0;164.0;;;873247.0;752359.0;348518.0;153749.0;288251.0;305726.0;;;-0.11130834782022515;-0.09183535024071653;COL
2020-01-31;0;0;0;;;;;;21120.0;3141.0;15413.0;12591.0;8178.0;63.0;288.0;;547984594.0;23812229.0;39441024.0;14788425.0;469942916.0;;-0.15914349775784736;0.011064804300948307;5.099810233792138;5.171104001143512;4.362852999070394;0.017915687732633998;0.01227985943379098;0.009878420452950362;-0.0030515453493136623;-0.002722736030867996;-0.024989127714363527;7.885722334416178e-05;0.06531693399166537;0.0003068618500852787;0.00031238189386564245;0.0008227172272284671;0.000360490148112655;0.0009583396657848244;533.0;412.0;955.0;1936807.0;933248.0;207881692.0;253.0;280.0;315.0;97.0;773203.0;1163604.0;604197.0;329051.0;['es'];319.0;195.0;7.0;12.0;239.0;171.0;2.0;;745974.0;553310.0;93179.0;544344.0;565504.0;321722.0;46022.0;;-0.17020830205879567;-0.14807869345689906;COL
