date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;iso3
2020-01-22;0;0;0;;;;;;154.0;91.0;;87.0;66.0;;1.0;;1017892.0;106208.0;551331.0;;360353.0;;0.025348387096774182;0.0774830107695623;5.296989740259739;5.260036435786437;4.193737777777776;0.09717746668295572;0.0592462563021896;0.04680863003826306;-1.143749999999999e-05;0.0;-0.021341118749999992;0.0;0.08278913583333332;1.1437499999999988e-05;0.0;0.004371525383905532;0.0;0.002740416559329749;8.0;7.0;7.0;6693.0;8013.0;11555.0;;8.0;;7.0;;6693.0;;8013.0;['et'];4.0;4.0;;;2.0;5.0;;;3491.0;3202.0;;;144.0;7869.0;;;EST
2020-01-23;0;0;0;;;;;;269.0;153.0;;163.0;105.0;;1.0;;717965.0;182888.0;174724.0;;360353.0;;-0.0281295652173913;0.04877042761942331;5.648527626778238;5.397571069399461;4.460009296556092;0.09234087561977526;0.05764296572132624;0.0460390880440968;-0.0026543475177304965;-0.0011934113475177304;-0.02175513297872339;-0.001879262411347518;0.07277596750253293;0.0018569091342984878;0.0011934113475177304;0.00421831152149562;0.0014229277597944331;0.004978219747214663;30.0;9.0;6.0;27496.0;12542.0;3164.0;;30.0;;9.0;;27496.0;;12542.0;['et'];17.0;13.0;;;5.0;4.0;;;20777.0;6719.0;;;7389.0;5153.0;;;EST
2020-01-24;0;0;0;;;;;;687.0;344.0;1.0;380.0;305.0;;;2.0;648663.0;375495.0;273168.0;;;0.0;0.16380310077519375;0.033030843878484525;5.900227783156358;5.566753684485834;4.415191796888228;0.06766211857068956;0.04158805386940344;0.03720864446906441;-0.0031994756410256412;-0.0016043782051282046;-0.016335699487179483;-0.0020063884615384615;0.04726940402930405;0.0012236151315337294;0.0010787227566499797;0.002981076540341021;0.0012676728341068266;0.004095719907798199;73.0;10.0;22.0;49516.0;6466.0;30542.0;;73.0;;10.0;;49516.0;;6466.0;['et'];34.0;39.0;;;3.0;7.0;;;14016.0;35500.0;;;2216.0;4250.0;;;EST
2020-01-25;0;0;0;;;;;;1056.0;508.0;2.0;553.0;500.0;2.0;1.0;;1618810.0;714959.0;509740.0;33758.0;360353.0;;0.09647233429394796;0.0312766478056627;5.516709709911023;5.371087224661467;4.237667582187607;0.04831332063139822;0.03221982865188666;0.028565380285051106;-0.0008616582125603867;-0.0007349528985507246;-0.015384989237788528;-0.0047487495974235065;0.05530987323162611;0.0006523392244571273;0.000642899838459495;0.002616230234666201;0.0015091443100621732;0.003691129901094864;64.0;17.0;27.0;142455.0;73909.0;21762.0;1.0;63.0;;17.0;502.0;141953.0;;73909.0;['et'];35.0;28.0;1.0;;4.0;13.0;;;78013.0;30954.0;33488.0;;1502.0;72407.0;;;EST
2020-01-26;0;0;0;;;;;;882.0;628.0;1.0;489.0;392.0;;1.0;;1255540.0;463935.0;431252.0;;360353.0;;-0.1675121839080459;0.027347068321836063;5.307631102325698;5.220985906769997;4.369548661754917;0.041221182784394884;0.02809059121450318;0.026925159468210984;-0.0022139299768518523;-0.00349266550925926;-0.0222597239831349;-1.6153959986772814e-05;0.057295216919770076;0.0008449241504691745;0.0008324276207822938;0.002260722346633712;0.0008268587432150175;0.0027237302281163684;57.0;23.0;24.0;45110.0;29062.0;24553.0;;57.0;;23.0;;45110.0;;29062.0;['et'];26.0;31.0;;;7.0;16.0;;;15500.0;29610.0;;;4648.0;24414.0;;;EST
2020-01-27;0;0;0;;;;;;781.0;483.0;;485.0;291.0;2.0;3.0;;1340123.0;455754.0;390856.0;540.0;492973.0;;-0.2956014925373127;0.02559459919137828;5.1078128981245685;5.210104065033116;4.436597656028034;0.03752425224341692;0.028998641381787624;0.025877504058178562;-0.0013357289377289375;-0.010966192307692302;-0.01890525488400485;0.0018635497557997554;0.05332801766826992;0.000567835252192322;0.0014087102942710098;0.0022763311708551073;0.0005872978018533017;0.0030037181131892733;90.0;14.0;31.0;140228.0;22669.0;473972.0;;90.0;;14.0;;140228.0;;22669.0;['et'];32.0;58.0;;;11.0;3.0;;;52495.0;87733.0;;;20827.0;1842.0;;;EST
2020-01-28;0;0;0;;;;;;644.0;375.0;1.0;381.0;261.0;;2.0;;1799578.0;467432.0;536134.0;;796012.0;;-0.12993487544483992;0.033770713239091164;5.319019147215321;5.354595160212866;4.175892285330244;0.05563896880238573;0.03792954278036369;0.02619641380110586;-0.0055784885714285715;-0.006666965714285713;-0.01128653317006802;-0.0013151838681318669;0.04548443502689692;0.0011600740511508742;0.0013033561749554714;0.002948808929148021;0.0015338014975395536;0.0038229430743054564;49.0;16.0;30.0;48512.0;30436.0;489643.0;;49.0;;16.0;;48512.0;;30436.0;['et'];22.0;27.0;;;8.0;8.0;;;14574.0;33938.0;;;22945.0;7491.0;;;EST
2020-01-29;0;0;0;;;;;;670.0;368.0;2.0;352.0;308.0;2.0;8.0;;5933460.0;381333.0;3603774.0;18318.0;1930035.0;;-0.14883217054263567;0.033529349593334354;5.234760998943651;5.189166352610078;4.311532504395978;0.05440099561756881;0.0368453179734744;0.02961129303011757;-0.00642651;-0.00339651;-0.027969794166666683;-0.0015269550000000002;0.06391113432142859;0.0019489452628731671;0.0013763540608826212;0.003094287681610697;0.0009528004228449928;0.0044477057570736465;22.0;16.0;16.0;19676.0;1484494.0;897329.0;;22.0;;16.0;;19676.0;;1484494.0;['et'];6.0;16.0;;;3.0;13.0;;;2129.0;17547.0;;;4686.0;1479808.0;;;EST
2020-01-30;0;0;0;;;;;;932.0;564.0;;541.0;390.0;;1.0;;1412239.0;595485.0;575699.0;;241055.0;;-0.1268526195899773;0.025191648173474687;5.121136149109796;5.157872545422316;4.322728903155126;0.039963322797056576;0.02811063964234982;0.0243357821808384;-0.0036754357414448663;-0.002326156400506971;-0.031978202027883366;-0.0013169261723700884;0.06940415928146629;0.000981592866844543;0.0007296661753422621;0.0021141619358224194;0.0009585118779417052;0.002154419257053464;44.0;11.0;61.0;287251.0;40141.0;95449.0;;44.0;;11.0;;287251.0;;40141.0;['et'];20.0;23.0;;1.0;3.0;8.0;;;12975.0;33221.0;;241055.0;9037.0;31104.0;;;EST
2020-01-31;0;0;0;;;;;;908.0;539.0;3.0;511.0;386.0;3.0;8.0;;4303294.0;429059.0;560371.0;27477.0;3286387.0;;-0.18790547619047604;0.02741860647661497;5.042859250391376;5.168892703224578;4.367877739389069;0.049126932290318004;0.030300287248701263;0.02561009034159976;-0.004424934615384615;-0.00450416752136752;-0.023330451474358943;-0.002640230311355312;0.061575116146353664;0.0009581934748692347;0.0009553134231306065;0.0020794065544942008;0.0011533313303413212;0.0023999817629653908;27.0;27.0;24.0;26744.0;25099.0;30494.0;;27.0;;27.0;;26744.0;;25099.0;['et'];14.0;13.0;;;16.0;11.0;;;12961.0;13783.0;;;15354.0;9745.0;;;EST
