date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;-0.00533344732622432;-0.00183140653191138;0.0017202597864098802;-0.00511116372957154;-937273275725.2809;13884.0;9447.0;9449.0;7860.0;5429.0;106.0;489.0;;662815038.0;14408857.0;17256809.0;22759412.0;608389960.0;;-0.1004641635793665;0.006561063039763065;5.2616660636025685;5.203560252364994;4.2618462239513715;0.00943625772545682;0.006462148622929247;0.004969125145051885;-0.0012785079895949476;-0.0006022123002601273;-0.02554348679407628;-0.00028958074958857524;0.07935070603874339;0.00013187650943284393;9.799642361926835e-05;0.00045743293684721365;0.0001224964454898574;0.00038938593296788406;1751.0;695.0;1222.0;365477866.0;81209285.0;65805459.0;1579.0;172.0;625.0;70.0;341191598.0;24286268.0;80960861.0;248424.0;['en', 'ga', 'cy', 'gd', 'kw'];913.0;694.0;23.0;121.0;331.0;254.0;9.0;101.0;2580428.0;4416665.0;12836159.0;345644614.0;1101989.0;1765929.0;400480.0;77940887.0;-0.10702522661912955;-0.09390310053960343;GBR
2020-01-23;0;0;0;-0.00511116372957154;-0.00858676553814597;-0.008004423818615441;-0.00851482724634778;-1761077809650.81;27509.0;22632.0;22635.0;15084.0;11269.0;244.0;902.0;10.0;1232343144.0;31513163.0;32835191.0;26271851.0;1141722939.0;0.0;-0.13638342017446958;0.0040061762991335905;5.2933905180655305;5.227009136499898;4.3759107955726115;0.006673295723291085;0.004426941343372374;0.003726303338560171;-0.003003147921171627;-0.002792334249066265;-0.02246033608193515;-0.00019231077583382205;0.0726941714955358;0.0001425694384169589;0.0001355316063202305;0.0003289466714567525;0.0001223381031457552;0.0003293463592188657;4998.0;2125.0;1940.0;722925033.0;127284138.0;145144120.0;4414.0;584.0;1967.0;158.0;694822635.0;28102398.0;127043674.0;240464.0;['en', 'ga', 'cy', 'gd', 'kw'];2673.0;2055.0;50.0;220.0;1067.0;853.0;20.0;184.0;7643852.0;8203847.0;18326251.0;688751083.0;2847771.0;3424678.0;1132194.0;119879495.0;-0.14038959647360316;-0.132377243875336;GBR
2020-01-24;0;0;0;-0.00851482724634778;0.009215092605275641;0.000586231651894309;0.0103752567462241;1999924277252.5;45543.0;36473.0;36485.0;25756.0;18325.0;284.0;1139.0;39.0;1550097112.0;47017357.0;49095881.0;29208399.0;1424775475.0;0.0;-0.05193499703571527;0.0033270757113902896;5.425762665577311;5.3184417515460165;4.3791790954241065;0.005675483893810969;0.003576270953307747;0.0028930854719268467;-0.0020625731821603227;-0.00083807188949766;-0.022645183910582248;-7.015023338701063e-05;0.06591402564446708;9.748705824354918e-05;8.914604632676204e-05;0.0002887713279559748;8.995436387172607e-05;0.00030458338074920656;5723.0;2512.0;3788.0;904056175.0;204521186.0;191515470.0;4725.0;998.0;2301.0;211.0;806749403.0;97306772.0;204094025.0;427161.0;['en', 'ga', 'cy', 'gd', 'kw'];3126.0;2253.0;55.0;286.0;1317.0;962.0;11.0;222.0;8299257.0;10584127.0;20896933.0;864275858.0;3192276.0;3321202.0;423772.0;197583936.0;-0.05526207274710556;-0.048607921324324975;GBR
2020-01-25;0;0;0;;;;;;61497.0;45069.0;45074.0;36146.0;24682.0;123.0;546.0;;856481125.0;53020519.0;47373552.0;11461971.0;744625083.0;;-0.10253000877735403;0.00312748185134563;5.381273711853961;5.280937088667872;4.304821103183106;0.004773359799093269;0.003195431819985608;0.0027648482564722994;-0.0016414297343355947;-0.0011737458880336962;-0.016977652241219797;0.0008978818521476765;0.060627506081413166;8.134305307111934e-05;7.355468770774689e-05;0.0003106887302217397;0.00010986460580008615;0.00032686199488222875;4845.0;2552.0;2454.0;442732325.0;89272861.0;86756502.0;3772.0;1073.0;2382.0;170.0;404040994.0;38691331.0;88708654.0;564207.0;['en', 'ga', 'cy', 'gd', 'kw'];2803.0;1879.0;20.0;143.0;1425.0;1024.0;6.0;97.0;6972239.0;6840607.0;7037975.0;421881504.0;3738086.0;2179788.0;189178.0;83165809.0;-0.10565749062869967;-0.0994025269260084;GBR
2020-01-26;0;0;0;;;;;;60445.0;49833.0;49842.0;35797.0;23931.0;156.0;561.0;;694965799.0;54159945.0;53441465.0;16608167.0;570756222.0;;-0.13174590896159727;0.0028147583922409443;5.298676385810377;5.238133927772625;4.313368818610642;0.004120923051330693;0.002960852980932526;0.0025727931113794663;-0.0014815382972325234;-0.002120143234737319;-0.02828010620749379;-0.0001401097888322563;0.06935225187230684;7.048196631050513e-05;7.401868448967236e-05;0.0002256557480658337;6.931422926287811e-05;0.00022976552932072358;5029.0;2180.0;3003.0;386831379.0;89826985.0;50297870.0;4352.0;677.0;1986.0;194.0;356755366.0;30076013.0;89410876.0;416109.0;['en', 'ga', 'cy', 'gd', 'kw'];2939.0;1932.0;27.0;131.0;1227.0;851.0;7.0;95.0;7200647.0;8123969.0;9910210.0;361596553.0;3727541.0;2351202.0;182793.0;83565449.0;-0.1345606673538382;-0.12893115056935633;GBR
2020-01-27;0;0;0;0.0103752567462241;-0.00738110209113785;-0.0154093266387179;-0.023190630077793997;-4416445964222.69;44172.0;36306.0;36319.0;25337.0;17830.0;209.0;796.0;;1023658218.0;44630691.0;43679478.0;26647841.0;908700208.0;;-0.2247861418047805;0.0032080856527853664;5.2206180390886034;5.252035223177334;4.355691314839103;0.0045001241789724795;0.0033699780657669635;0.002891890428564703;-0.0022687732933491284;-0.006592547185270211;-0.01641115331824821;0.0022784848155345447;0.05711610969811206;8.399025321489447e-05;0.00013104662112378137;0.00028882373604448703;0.0001031604531640109;0.0003539091867813908;5846.0;1750.0;3140.0;488880443.0;103340554.0;138735311.0;5237.0;609.0;1610.0;140.0;415290473.0;73589970.0;102882533.0;458021.0;['en', 'ga', 'cy', 'gd', 'kw'];3131.0;2502.0;37.0;176.0;939.0;689.0;7.0;115.0;7660389.0;7905775.0;14809489.0;458504790.0;3196866.0;2245777.0;458247.0;97439664.0;-0.22799422745756584;-0.22157805615199513;GBR
2020-01-28;0;0;0;-0.023190630077793997;-0.0125487603979924;0.0023778785183452603;0.00921258337364783;1808123266004.94;45536.0;37803.0;37809.0;25800.0;18504.0;197.0;1035.0;;1251553227.0;44596630.0;50305260.0;18843649.0;1137807688.0;;-0.1556817379131964;0.0031725062324426513;5.246617308388006;5.256149832006299;4.274717219050241;0.005307761505843449;0.003741220526793287;0.002876107197053815;-0.0050167866437461645;-0.0052668790586577075;-0.017476283645759875;-0.000609224751881611;0.06028742814080816;0.00011638531242758003;0.0001240861688205791;0.0002901972361420988;0.00012938627606201133;0.0003478528944616871;4701.0;2163.0;3162.0;791621615.0;134461291.0;161052519.0;4157.0;544.0;1987.0;176.0;740436387.0;51185228.0;134059344.0;401947.0;['en', 'ga', 'cy', 'gd', 'kw'];2558.0;1822.0;40.0;281.0;1124.0;879.0;7.0;153.0;6699987.0;7597451.0;12339751.0;764984426.0;2741557.0;2659719.0;262265.0;128797750.0;-0.15885424414563903;-0.15250923168075375;GBR
2020-01-29;0;0;0;0.00921258337364783;0.0031054453288526;0.0069658973042923105;0.00038757616186835297;200613587814.719;48266.0;39543.0;39558.0;27292.0;19539.0;256.0;1179.0;;1423739004.0;49860259.0;57762681.0;20335305.0;1295780759.0;;-0.11457150907952453;0.0031463620352865204;5.223980813423651;5.199787511033847;4.369344639976962;0.004992588391401588;0.0035329568699520968;0.003039234078905073;-0.005323093526168892;-0.0021263630988819487;-0.02371551677326497;0.00023546589156656333;0.06578902287235694;0.000161248620081535;9.8358177062796e-05;0.0002753766533079671;8.481017092839692e-05;0.0003118656111613754;3839.0;1374.0;1821.0;804084349.0;98459298.0;52809791.0;3246.0;593.0;1198.0;176.0;773185883.0;30898466.0;97770876.0;688422.0;['en', 'ga', 'cy', 'gd', 'kw'];2102.0;1475.0;34.0;228.0;732.0;499.0;6.0;137.0;4888569.0;9693055.0;7155174.0;782347551.0;2159941.0;1939939.0;243816.0;94115602.0;-0.11771787111481105;-0.111425147044238;GBR
2020-01-30;0;0;0;0.00038757616186835297;-0.00414715547313804;-0.0141164971114041;-0.0136693681166218;-2299965924905.75;68891.0;57527.0;57542.0;38752.0;28472.0;370.0;1297.0;;1706796078.0;64761701.0;81796682.0;50546587.0;1509691108.0;;-0.14086741820687626;0.002454426566707941;5.207034118006988;5.203551257361594;4.299643525844949;0.0038354612606127172;0.00276470608212604;0.002297100706556953;-0.0021868814876233006;-0.0013775174051313226;-0.02798478661876975;0.0007231831569610236;0.06856071180966994;7.612048619410372e-05;5.8347417405146304e-05;0.0002175620000063236;6.814875434057174e-05;0.00022410484917781024;5859.0;1500.0;3162.0;804263232.0;97223566.0;44555823.0;5097.0;762.0;1285.0;215.0;763649192.0;40614040.0;96858342.0;365224.0;['en', 'ga', 'cy', 'gd', 'kw'];3213.0;2375.0;36.0;235.0;791.0;585.0;8.0;116.0;6939547.0;14338426.0;10201316.0;772783943.0;1892566.0;1441268.0;297606.0;93592126.0;-0.1433218447735842;-0.13841299164016832;GBR
2020-01-31;2;0;0;-0.0136693681166218;-0.0114637549933576;-0.0112899928683561;-0.0130899060214347;-2368654451293.72;92903.0;81313.0;81343.0;52561.0;37782.0;658.0;1902.0;;1628685588.0;79970960.0;91104934.0;60446122.0;1397163572.0;;-0.127545423346924;0.0022896430964743945;5.3142939662638335;5.311025014341005;4.327821356488387;0.00379970854829815;0.002562420515800186;0.002170351993514263;-0.002373315217265857;-0.0025786384133158;-0.022904481306190532;-0.0006674006824100039;0.06396705505174717;6.490954176955196e-05;6.41273595793597e-05;0.00018121882251358144;7.790805131536034e-05;0.0002074861394219632;9298.0;1852.0;2658.0;683028701.0;122041410.0;60739608.0;8208.0;1090.0;1576.0;276.0;624211847.0;58816854.0;121557425.0;483985.0;['en', 'ga', 'cy', 'gd', 'kw'];5222.0;3702.0;51.0;323.0;959.0;734.0;11.0;148.0;8496575.0;14356043.0;6678074.0;653498009.0;2115778.0;2076522.0;351462.0;117497648.0;-0.1298350664433984;-0.12525578025044962;GBR
