date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;62.0;45.0;3.0;26.0;33.0;;3.0;;592559.0;19364.0;104834.0;;468361.0;;0.060477777777777735;0.102637331713897;5.2859509803921565;5.2144659197012135;4.2039824929971985;0.15058594141052242;0.07714789934621301;0.07723575808071723;-0.0001995000000000002;-0.00017545454545454556;-0.031212909090909083;0.0;0.08108110692640692;0.0026249250393337352;0.003247209947074227;0.006278273307411057;0.0;0.00228642101347533;13.0;2.0;9.0;26456.0;7546.0;473845.0;;13.0;;2.0;;26456.0;;7546.0;['km'];7.0;6.0;;;;2.0;;;3929.0;22527.0;;;;7546.0;;;-0.04215955393611926;0.16311510949167474;KHM
2020-01-23;0;0;0;;;;;;162.0;103.0;6.0;93.0;66.0;;3.0;;905384.0;39443.0;170943.0;;694998.0;;-0.06533150684931507;0.061061127887981924;5.334358679392501;5.222189153003859;4.369623088512795;0.08639813809325263;0.05927862737147072;0.0463556825828597;0.0007842916666666666;0.0009872708333333333;-0.0243917204861111;0.0020790625;0.07869442147817461;0.0007842916666666666;0.0009872708333333333;0.005074886205463364;0.00117453035597116;0.004886436877374282;23.0;9.0;17.0;27746.0;12781.0;730900.0;;23.0;;9.0;;27746.0;;12781.0;['km'];16.0;7.0;;;7.0;2.0;;;6626.0;21120.0;;;1774.0;11007.0;;;-0.126392634737297;-0.00427037896133315;KHM
2020-01-24;0;0;0;;;;;;288.0;204.0;9.0;137.0;146.0;;5.0;;1462000.0;117107.0;424332.0;;920561.0;;-0.002708974358974368;0.04319901678004307;5.481558631663049;5.298288733116481;4.397338442468779;0.07815540658235919;0.04961598185723783;0.039414294691678516;-0.0015754076086956518;-0.0006050760869565218;-0.02654109782608696;0.0008332173913043477;0.06554808487867811;0.0011054105010771447;0.0009202560470459453;0.0033621639627477644;0.0006646860746875532;0.003731586246805257;28.0;11.0;19.0;28644.0;33850.0;566819.0;;28.0;;11.0;;28644.0;;33850.0;['km'];16.0;12.0;;;5.0;6.0;;;7942.0;20702.0;;;259.0;33591.0;;;-0.04590799113901744;0.040490042421068705;KHM
2020-01-25;0;0;0;;;;;;372.0;274.0;4.0;248.0;117.0;4.0;3.0;;985006.0;95940.0;341686.0;73276.0;474104.0;;-0.15769045226130662;0.039604583787720984;5.306000003760516;5.233805265412158;4.337335847822997;0.054288267873196516;0.03999925476552135;0.030873292707651767;-0.003535346273291925;-0.0029493602484472045;-0.02115500897170465;0.0001454616977225669;0.0685236347727497;0.0010167285429965732;0.00112917397107481;0.0028811834419820107;0.0012153345206788724;0.0029385754312602342;39.0;15.0;7.0;108445.0;7014.0;471188.0;;39.0;;15.0;;108445.0;;7014.0;['km'];19.0;19.0;1.0;;8.0;7.0;;;10537.0;79589.0;18319.0;;914.0;6100.0;;;-0.1972950360490276;-0.11808586847358564;KHM
2020-01-26;0;0;0;;;;;;401.0;316.0;2.0;218.0;175.0;2.0;6.0;;1018134.0;178323.0;451349.0;36638.0;351824.0;;-0.1022173553719009;0.03426825485015862;5.2658607530550805;5.2128462687065635;4.316540689711911;0.05444376557982174;0.03923086102420927;0.031449934701756666;-0.0026829006211180127;-0.0016151118012422364;-0.030345957660455506;-0.0007233379917184268;0.0707767533065796;0.0010385833203200505;0.0007094869678507022;0.002648285241944025;0.0010150473015916634;0.002723253578127629;39.0;8.0;26.0;137743.0;15259.0;296024.0;;39.0;;8.0;;137743.0;;15259.0;['km'];23.0;13.0;1.0;2.0;2.0;6.0;;;11206.0;39784.0;18319.0;68434.0;113.0;15146.0;;;-0.13648561022205952;-0.06794910052174227;KHM
2020-01-27;1;0;0;;;;;;524.0;414.0;11.0;299.0;205.0;6.0;14.0;;2788838.0;245338.0;343549.0;109914.0;2090037.0;;-0.07371028938906754;0.031725505968221754;5.326349550409332;5.3127374267841665;4.211879622712228;0.03731727418773733;0.027578418403728964;0.023687902427992225;-0.0007536923314780457;-0.0023729588744588748;-0.024526793602693556;0.00012939764996907838;0.06122521484009436;0.0004505524924853591;0.000737510040929383;0.002388580767703698;0.0007422185049672622;0.0027764608915971625;45.0;13.0;49.0;373388.0;9105.0;781192.0;;45.0;;13.0;;373388.0;;9105.0;['km'];17.0;25.0;2.0;1.0;6.0;7.0;;;15349.0;89735.0;36638.0;231666.0;1478.0;7627.0;;;-0.1054357953572893;-0.041984783420845787;KHM
2020-01-28;1;0;0;;;;;;473.0;380.0;13.0;269.0;191.0;2.0;11.0;;2351762.0;215162.0;390322.0;31093.0;1715185.0;;0.005134843205574917;0.033367246035726016;5.370148180431899;5.320581894587078;4.139884231963308;0.04750467976716457;0.035598628804811565;0.02528200530589209;-0.0010619847715736042;-0.0008127258883248731;-0.023717536971235183;-0.003429136845726185;0.061507357462777135;0.0005433139899305566;0.0004675747776256281;0.0025820969248271657;0.0011870154073740135;0.0028510479127873906;30.0;14.0;46.0;62175.0;42316.0;811259.0;;30.0;;14.0;;62175.0;;42316.0;['km'];17.0;12.0;1.0;;10.0;4.0;;;18157.0;31244.0;12774.0;;3054.0;39262.0;;;-0.028232402830151097;0.038502089241300934;KHM
2020-01-29;1;0;0;;;;;;358.0;286.0;5.0;212.0;140.0;;6.0;;1294503.0;187103.0;186376.0;;921024.0;;-0.05792694300518141;0.03783236870404577;5.322710958895718;5.245514888542392;4.248495949797578;0.04946293396549917;0.03610163258028929;0.031926733042373465;-0.0010648880000000002;-0.000836944;-0.029017669733333362;0.0005689346666666666;0.06913718763809525;0.0008808168223735617;0.0005905234613136097;0.002921596344321013;0.0005073931790359853;0.0026924284600886327;15.0;12.0;12.0;18598.0;6493.0;6215.0;;15.0;;12.0;;18598.0;;6493.0;['km'];9.0;6.0;;;4.0;8.0;;;8334.0;10264.0;;;165.0;6328.0;;;-0.09575931170922719;-0.02009457430113564;KHM
2020-01-30;1;0;0;;;;;;419.0;340.0;5.0;211.0;188.0;9.0;11.0;;2568357.0;200380.0;336326.0;164871.0;1866780.0;;-0.0680757575757576;0.030853204485993126;5.262627125738586;5.246509109348251;4.274330777208018;0.04375355458068226;0.03371345538396809;0.028894809241131414;-0.0005613931034482759;-0.00046381609195402304;-0.031526709261083766;0.002205727586206896;0.07401350237021606;0.0003955841188009984;0.0005932283954167085;0.002940018754339285;0.0008614253777693233;0.002652837562015925;18.0;9.0;15.0;35456.0;1097.0;21067.0;;18.0;;9.0;;35456.0;;1097.0;['km'];11.0;6.0;1.0;;5.0;4.0;;;1949.0;15188.0;18319.0;;329.0;768.0;;;-0.09892896206175072;-0.037222553089764465;KHM
2020-01-31;1;0;0;;;;;;421.0;350.0;;282.0;130.0;;9.0;;953968.0;241797.0;181863.0;;530308.0;;-0.1058712598425197;0.03324345755722161;5.296375695292352;5.2416967509669545;4.287930619511426;0.043255356654459946;0.031721204833718285;0.02405323286669789;-0.003022198630136986;-0.001393910197869102;-0.030445659931506868;-0.0007745239726027396;0.06944040423733422;0.00116841138723786;0.000690342007696154;0.0026757298083518967;0.0009541197096957103;0.002637838834077242;24.0;4.0;10.0;32232.0;1388.0;14524.0;;24.0;;4.0;;32232.0;;1388.0;['km'];16.0;7.0;;1.0;3.0;1.0;;;16493.0;4154.0;;11585.0;1381.0;7.0;;;-0.13911471739974132;-0.07262780228529808;KHM
