date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;151.0;110.0;12.0;88.0;56.0;;7.0;;384910.0;127865.0;103513.0;;153532.0;;0.044547674418604674;0.06055731485369305;5.385408266761582;5.3205055134774515;4.2676762259849;0.0620229163126337;0.04817501963618007;0.04115445278809042;-0.001941745283018868;5.9216981132075646e-05;-0.017364952830188667;-0.0009335754716981133;0.08270612038035338;0.0013902798936923707;0.0014381162926711698;0.0036877154850697633;0.0009335754716981133;0.003271895572077992;11.0;13.0;15.0;38299.0;14127.0;117100.0;2.0;9.0;;13.0;710.0;37589.0;;14127.0;['ar', 'fr'];8.0;3.0;;;5.0;8.0;;;23531.0;14768.0;;;5100.0;9027.0;;;-0.016009640435088374;0.10510498927229772;LBN
2020-01-23;0;0;0;;;;;;315.0;210.0;45.0;168.0;140.0;1.0;6.0;;1251105.0;397293.0;208882.0;5488.0;639442.0;;-0.0631982142857143;0.040750567760369005;5.618798938915122;5.362436106458898;4.3813107265011695;0.07091290052237904;0.04624667281791288;0.03374424502076701;-0.0015306705882352945;0.0005377647058823528;-0.020279054621848727;-0.00022436862745098043;0.07281525732705207;0.0008731490646987948;0.0005377647058823528;0.003154187283664451;0.0005089000087372111;0.003489811549406158;25.0;20.0;31.0;60033.0;84964.0;90978.0;2.0;23.0;;20.0;613.0;59420.0;;84964.0;['ar', 'fr'];13.0;12.0;;;13.0;7.0;;;42938.0;17095.0;;;76503.0;8461.0;;;-0.10394878204608331;-0.022447646525345297;LBN
2020-01-24;0;0;0;;;;;;611.0;394.0;104.0;370.0;233.0;1.0;5.0;2.0;1601204.0;902431.0;490496.0;18162.0;190115.0;0.0;0.05405793103448272;0.0323503056139772;5.713957008419861;5.4655321060948;4.331772196242014;0.05724704001430241;0.035485850171676755;0.02682526492825561;-0.001520006076388889;-0.0005681579861111111;-0.02370089131944446;-0.0005255763888888891;0.059773117395376475;0.0006463497863373787;0.0006166999218365968;0.002435279657560693;0.0006668202354220635;0.00297868070453027;73.0;27.0;37.0;175163.0;24402.0;183413.0;7.0;66.0;3.0;24.0;10232.0;164931.0;2511.0;21891.0;['ar', 'fr'];40.0;31.0;;2.0;15.0;10.0;;;96747.0;43690.0;;34726.0;20175.0;4227.0;;;0.02170762542050552;0.08640823664845992;LBN
2020-01-25;0;0;0;;;;;;1184.0;705.0;260.0;704.0;457.0;1.0;22.0;;4759161.0;1432330.0;1037146.0;100999.0;2188686.0;;-0.11225708245243124;0.025065655661371183;5.358121649987446;5.265469035029295;4.275737150130568;0.040651967299128684;0.026912412675200337;0.02443094918026253;-0.001855708620689655;-0.001110494252873563;-0.017327578626163118;0.0005086908045977009;0.062375009041772435;0.000636258776390071;0.0004526969521502996;0.002068681567007739;0.0007826917066467023;0.0025800828212773;70.0;27.0;49.0;243317.0;85177.0;304096.0;21.0;49.0;2.0;25.0;19636.0;223681.0;2920.0;82257.0;['ar', 'fr'];39.0;29.0;;2.0;11.0;14.0;;2.0;145587.0;33960.0;;63770.0;12506.0;8901.0;;63770.0;-0.1373227381138024;-0.08719142679106005;LBN
2020-01-26;0;0;0;;;;;;1185.0;812.0;201.0;690.0;456.0;1.0;38.0;;5182728.0;1200278.0;1201137.0;58728.0;2722585.0;;-0.1381294346978559;0.025902429132292997;5.287354041829303;5.1586837089357385;4.366838796915933;0.04263711715405264;0.029917728240581486;0.02508121812073013;-0.0011250692167577411;-0.0014538346994535515;-0.02462336215846995;-0.0003911111111111114;0.07669679069197692;0.0003823140021249425;0.0005088458025611593;0.001726867109006853;0.0005102240609281413;0.0018132744300511925;54.0;23.0;58.0;126583.0;103173.0;262970.0;8.0;46.0;2.0;21.0;3788.0;122795.0;477.0;102696.0;['ar', 'fr'];30.0;24.0;;;16.0;5.0;;2.0;80049.0;46534.0;;;23877.0;12382.0;;66914.0;-0.1640318638301489;-0.1122270055655629;LBN
2020-01-27;0;0;0;;;;;;649.0;441.0;85.0;381.0;248.0;1.0;19.0;;4514325.0;745249.0;679647.0;18545.0;3070884.0;;-0.29827259475218604;0.030923405430405237;4.945287028698181;4.994028176048143;4.5132142407182885;0.046600841765485186;0.03639570776397528;0.03010907099560148;-0.000309746835443038;-0.0028536645569620252;-0.012201304360056278;0.00190000070323488;0.07087981672745904;0.00024332962680374527;0.0008558573940985453;0.0022111068749384086;0.0006218159590429665;0.0031753848290723818;49.0;28.0;37.0;536551.0;72547.0;1400506.0;4.0;45.0;2.0;26.0;5362.0;531189.0;3476.0;69071.0;['ar', 'fr'];30.0;15.0;;4.0;15.0;11.0;1.0;1.0;142888.0;14343.0;;379320.0;14005.0;8112.0;18545.0;31885.0;-0.32919600018259126;-0.2673491893217808;LBN
2020-01-28;0;0;0;;;;;;657.0;409.0;101.0;370.0;267.0;3.0;17.0;;4561902.0;765511.0;602469.0;1323210.0;1870712.0;;-0.021777152317880792;0.032835094507302764;5.39240594341836;5.39897405164487;4.237147891383161;0.05516988237145218;0.037137270930719266;0.025908199195197046;-0.0035873880952380947;-0.0029782857142857137;-0.01461232163265309;0.0015820557142857134;0.05531990966250957;0.0009057285647886203;0.0008511768620350425;0.0028638073614497108;0.001058511228738358;0.003331152007906196;43.0;38.0;48.0;175592.0;38028.0;1151146.0;6.0;37.0;3.0;35.0;3276.0;172316.0;3967.0;34061.0;['ar', 'fr'];35.0;8.0;;;19.0;19.0;;;168398.0;7194.0;;;12973.0;25055.0;;;-0.05461224682518356;0.011057942189421972;LBN
2020-01-29;0;0;0;;;;;;983.0;642.0;155.0;516.0;431.0;5.0;31.0;;4456007.0;1218088.0;853977.0;339321.0;2044621.0;;-0.12020810810810853;0.020869761585229008;5.251252118188551;5.393677326685462;4.1665026078965335;0.0356380685713845;0.025425327855382783;0.0242818793216645;-0.0006467281553398057;-0.00031380906148867317;-0.018966451271382318;0.0015333282632146706;0.0719428026878821;0.0003861430564541542;0.00021904492427887276;0.0019201859760377368;0.00044034788343060466;0.0018624273124310602;44.0;8.0;38.0;103236.0;75980.0;411130.0;7.0;37.0;2.0;6.0;9199.0;94037.0;1551.0;74429.0;['ar', 'fr'];24.0;20.0;;;6.0;1.0;;1.0;71160.0;32076.0;;;9660.0;5399.0;;60921.0;-0.14107786969333755;-0.09933834652287953;LBN
2020-01-30;0;0;0;;;;;;1082.0;714.0;133.0;557.0;503.0;3.0;19.0;;4751684.0;1527761.0;931401.0;129790.0;2162732.0;;-0.05374450651769085;0.022701423239307208;5.2637667720020636;5.238398541530891;4.303567017915545;0.03400118588721406;0.024123096652761033;0.018894931127042217;-0.0009863596541786744;-0.00029440691642651295;-0.02244675332784404;0.001566664937560038;0.06762430403326254;0.0004066767221041432;0.00031444829714683795;0.002001818103275748;0.0005491827247862542;0.002108094260985165;48.0;26.0;57.0;297594.0;32447.0;1521499.0;8.0;40.0;;26.0;3973.0;293621.0;;32447.0;['ar', 'fr'];24.0;24.0;;;12.0;14.0;;;123170.0;174424.0;;;21423.0;11024.0;;;-0.07644592975699806;-0.031043083278383645;LBN
2020-01-31;0;0;0;;;;;;1111.0;719.0;182.0;588.0;482.0;7.0;34.0;;8862570.0;1606732.0;844744.0;708566.0;5702528.0;;-0.06016062271062266;0.02470464277307222;5.1703503841446885;5.239509070294775;4.343546089960873;0.039495374118540615;0.026921478155155627;0.02003246523598589;-0.0021561000000000006;-0.0020964250160565192;-0.02485835725754652;0.0009923699421965312;0.0664227821755877;0.0005711189792341247;0.0005783391820698883;0.001975443071082608;0.0007498664098479857;0.0022061578674446867;52.0;18.0;51.0;274117.0;47767.0;362441.0;5.0;47.0;;18.0;4327.0;269790.0;;47767.0;['ar', 'fr'];28.0;23.0;;1.0;7.0;10.0;;1.0;208088.0;34144.0;;31885.0;4120.0;8823.0;;34824.0;-0.08486526548369488;-0.03545597993755044;LBN
