date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;0.0071357706954398;0.00890471386494163;0.00932317377676029;0.0100005284065681;2232950279.38409;617.0;547.0;547.0;343.0;248.0;1.0;25.0;;4191043.0;541505.0;502831.0;4383.0;3142324.0;;-0.034477644230769204;0.026976970632762283;5.2984622389526645;5.234799376565065;4.21466735200272;0.03309699124997265;0.023401368780155075;0.018345972996147958;-0.0005992724014336918;-0.00017481720430107526;-0.023575387514934255;-0.00036205824372759877;0.08168891730244067;0.000347997609658923;0.00017481720430107518;0.0017342568026506575;0.0004671264595837664;0.001385496503184358;94.0;21.0;90.0;502472.0;38926.0;2427825.0;87.0;7.0;20.0;1.0;489449.0;13023.0;38460.0;466.0;['mi', 'en'];61.0;31.0;;2.0;9.0;12.0;;;154051.0;37859.0;;310562.0;5188.0;33738.0;;;-0.06145461486353149;-0.007500673598006921;NZL
2020-01-23;0;0;0;0.000960931928730702;-0.0008080112407711231;0.000986944411142332;-0.000127947749511748;172121344.505981;1205.0;962.0;962.0;656.0;498.0;1.0;50.0;;8634875.0;1057192.0;1612443.0;12903.0;5952337.0;;-0.06940078023407033;0.0198636510885906;5.4149568006789135;5.29295528179229;4.377705239698819;0.03206919440547852;0.020538579571483633;0.016674145715753496;-0.0011252390681003586;-0.0007840193548387097;-0.02724353595494121;0.00014614469534050175;0.06999759940177483;0.0003788102750606085;0.00028763798486880265;0.0015357611291715529;0.0003624059887265034;0.0015563101631256586;169.0;58.0;78.0;2072526.0;92757.0;3467598.0;143.0;26.0;53.0;5.0;2054526.0;18000.0;89760.0;2997.0;['mi', 'en'];87.0;71.0;;11.0;36.0;22.0;;;243912.0;147772.0;;1680842.0;81825.0;10932.0;;;-0.08926443132266093;-0.049537129145479725;NZL
2020-01-24;0;0;0;0.0;0.00032005084330855;-0.00015500210904306798;-0.00044190303431257405;-171394446.354919;2149.0;1564.0;1564.0;1299.0;808.0;1.0;41.0;;8492568.0;2112138.0;1503730.0;2644.0;4874056.0;;-0.04061654008438818;0.01600647200380316;5.441720574472554;5.2752922792770764;4.343941249842652;0.026960113398579944;0.01775734414229857;0.013219762831770374;-0.0016306026957637993;0.00027969298245614037;-0.02581980218228495;-6.730894308943134e-05;0.06593001127980376;0.0003709663887971444;0.0003260974195628155;0.0012664541484723195;0.0004072198084056681;0.001369461874673233;272.0;82.0;160.0;1720879.0;270205.0;2574381.0;210.0;62.0;73.0;9.0;1648654.0;72225.0;267648.0;2557.0;['mi', 'en'];141.0;127.0;;4.0;43.0;39.0;;;455741.0;232010.0;;1033128.0;194937.0;75268.0;;;-0.056623012088191337;-0.024610068080585017;NZL
2020-01-25;0;0;0;;;;;;3474.0;2576.0;2576.0;2101.0;1322.0;4.0;47.0;;12012351.0;4007853.0;2110998.0;30978.0;5862522.0;;-0.1400663531870429;0.012557760758856392;5.305771044212055;5.258398339949669;4.289188836463816;0.018498030811320613;0.012674672348926774;0.010323097405326822;-0.001456932586691006;-0.0011311619193398108;-0.02331214581677452;0.0015271747803806775;0.0631674278150938;0.0002637802785447758;0.0002573994965786884;0.0010337253833785373;0.00039547291132498196;0.001112335132968367;342.0;122.0;192.0;1318287.0;359409.0;4209109.0;274.0;68.0;100.0;22.0;1201276.0;117011.0;304904.0;54505.0;['mi', 'en'];215.0;125.0;;2.0;88.0;34.0;;;476633.0;238798.0;;602856.0;322628.0;36781.0;;;-0.1526241139458993;-0.12750859242818652;NZL
2020-01-26;0;0;0;;;;;;3701.0;3069.0;3069.0;2202.0;1429.0;10.0;60.0;;10354509.0;3844110.0;1856158.0;54317.0;4599924.0;;-0.14313719700308514;0.011044532572643907;5.235075195727187;5.208754446657123;4.285911071994087;0.015637581744727496;0.011292536287570348;0.009925529578788051;-0.0015883073181419804;-0.002187573517382413;-0.030292853442886014;-0.0002503523415132928;0.06923389756538456;0.0002899387868082659;0.000299738867272688;0.0008541273281968152;0.00027771445570064424;0.0008617718922835918;349.0;124.0;262.0;1223021.0;406202.0;2551564.0;309.0;40.0;94.0;30.0;1190471.0;32550.0;361327.0;44875.0;['mi', 'en'];214.0;131.0;1.0;3.0;95.0;29.0;;;399522.0;212370.0;5504.0;605625.0;392259.0;13943.0;;;-0.15418172957572904;-0.13209266443044124;NZL
2020-01-27;0;0;0;-0.00792729924047286;-0.00824735008378141;-0.0197404837115247;-0.0177678829546011;-792409091.845093;3002.0;2506.0;2506.0;1728.0;1165.0;5.0;104.0;;14333625.0;2978184.0;2552332.0;12155.0;8790954.0;;-0.21234478685156613;0.012059104646269992;5.240935373871252;5.2714624368458605;4.328163032467053;0.0170963537506686;0.012566728225985473;0.010333858584136156;-0.0016121477481840195;-0.005511588135593209;-0.02492318262953965;0.0012550135254237305;0.06438601336124371;0.0002513851056999382;0.00045105268946388536;0.0009362961912771473;0.0002835463236882233;0.001077301372339666;487.0;107.0;223.0;2401991.0;313678.0;5705835.0;441.0;46.0;96.0;11.0;2348936.0;53055.0;279869.0;33809.0;['mi', 'en'];297.0;181.0;1.0;8.0;64.0;43.0;;;613158.0;274445.0;575.0;1513813.0;258822.0;54856.0;;;-0.22440389149783613;-0.20028568220529613;NZL
2020-01-28;0;0;0;-0.0103889915662823;-0.0052061127907912;0.00413605676620321;0.0053377023370568795;-4052023327.37799;2615.0;2186.0;2186.0;1497.0;1014.0;13.0;91.0;;12936015.0;2958679.0;1933139.0;166247.0;7877950.0;;-0.11306754176610942;0.01287462011339562;5.290892871779956;5.308053634939674;4.2562338830794815;0.018250213774447757;0.012860671077673651;0.010907587052796777;-0.0034627796424452108;-0.0029773157439446397;-0.025464405091448032;0.0008450713235294119;0.06436376029653472;0.00038979091049927005;0.0003885952052359536;0.0010983862817915881;0.00036849314781725617;0.0012092219426498533;309.0;99.0;197.0;1409804.0;291023.0;5499119.0;268.0;41.0;95.0;4.0;1341847.0;67957.0;289638.0;1385.0;['mi', 'en'];179.0;117.0;;13.0;62.0;37.0;;;594014.0;186557.0;;629233.0;194888.0;96135.0;;;-0.12594216187950505;-0.1001929216527138;NZL
2020-01-29;0;0;0;-0.000736300508707544;-0.00421632017414986;-0.0024351108390519;-0.00375267480451313;1428428306.2020302;2771.0;2249.0;2249.0;1582.0;1095.0;16.0;78.0;;13866090.0;3432195.0;1914279.0;322664.0;8196952.0;;-0.11118376741368867;0.013696928784050957;5.205779302149553;5.20216660059708;4.314985063826336;0.01963479587302396;0.014409685173482168;0.011248483776255504;-0.003913081992131615;-0.0023625541845493565;-0.027852988641937283;7.14864180972815e-05;0.06817528353613543;0.0005409443149884262;0.00040644030192840593;0.0011460831878488257;0.0003985562979191273;0.0011581723155928113;224.0;83.0;131.0;1367765.0;409765.0;4830797.0;173.0;51.0;71.0;12.0;1314042.0;53723.0;405746.0;4019.0;['mi', 'en'];116.0;94.0;4.0;10.0;42.0;40.0;;1.0;288760.0;117981.0;39499.0;921525.0;192701.0;214601.0;;2463.0;-0.12488069619773963;-0.09748683862963771;NZL
2020-01-30;0;0;0;-0.000930451655753117;-0.00263331076580187;-0.00260970469806843;-0.00468531760210311;-189015307.817993;3841.0;3145.0;3145.0;2172.0;1528.0;14.0;127.0;;19691554.0;4338831.0;2439710.0;140024.0;12772989.0;;-0.12681510187774647;0.010735889221976257;5.201729489421199;5.196791872995502;4.306812676318388;0.016278929133140847;0.01198598457369868;0.009561678542853063;-0.0018377734993614305;-0.0014021515112813965;-0.0275405879452246;0.000752427804384847;0.0684036229085606;0.00030119423074848983;0.0002585064135263021;0.0009082128029581584;0.00029586858498385673;0.000922729556564542;234.0;103.0;251.0;946836.0;291881.0;7332381.0;186.0;48.0;85.0;18.0;887261.0;59575.0;264975.0;26906.0;['mi', 'en'];164.0;65.0;1.0;4.0;63.0;39.0;;1.0;502327.0;132896.0;3512.0;308101.0;262655.0;26763.0;;2463.0;-0.13755099109972274;-0.11607921265577022;NZL
2020-01-31;0;0;0;0.0;0.004429707268650771;-0.000190100827012429;0.007274622672163391;1892657095.33698;3472.0;2836.0;2836.0;1952.0;1437.0;15.0;68.0;;14749646.0;4034031.0;2236763.0;200593.0;8278259.0;;-0.2208464984775995;0.011726143338468052;5.129509355223614;5.2067869875207;4.3102958122165;0.018368491428305257;0.012319036796999002;0.009948594250478044;-0.003633404894629504;-0.0023712550343681573;-0.029877409482719643;-0.0025591841728125624;0.06844441951825382;0.0003659357381634493;0.00035499711408789534;0.0008606458145259358;0.00038288365843752785;0.0009409171571488463;251.0;76.0;201.0;1321450.0;194979.0;4779424.0;222.0;29.0;59.0;17.0;1226174.0;95276.0;172078.0;22901.0;['mi', 'en'];153.0;92.0;2.0;4.0;44.0;32.0;;;449989.0;123925.0;14089.0;733447.0;148307.0;46672.0;;;-0.23257264181606754;-0.20912035513913144;NZL
