date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;iso3
2020-01-22;;;;;;;;;145.0;85.0;85.0;81.0;64.0;;;;179708.0;137902.0;41806.0;;;;-0.09800985915492956;0.07193774611786798;5.405963667628669;5.268916892736893;4.214580634920635;0.09663630396407402;0.06252186109712571;0.037581627215643565;-0.0006707000000000001;0.00096988;-0.019869773333333327;0.00036976;0.07399775290476192;0.0017249506633583483;0.00096988;0.0038881353170659343;0.0007334803340629813;0.0040875358312152206;9.0;3.0;14.0;5241.0;3476.0;33754.0;6.0;3.0;3.0;;3016.0;2225.0;3476.0;;['en', 'tpi', 'ho'];5.0;4.0;;;3.0;;;;4134.0;1107.0;;;3476.0;;;;PNG
2020-01-23;;;;;;;;;347.0;167.0;167.0;213.0;133.0;;;1.0;522438.0;344082.0;178356.0;;;0.0;0.04247913669064751;0.04523062063854247;5.721190028465199;5.442002809085027;4.451398096590212;0.08655302241396938;0.05125088309234682;0.04557050704033565;-0.0006261692307692308;-0.000755830769230769;-0.02140564871794871;-0.0010926435897435898;0.07405334846153848;0.0006261692307692309;0.0007558307692307691;0.00379201373420706;0.0008793373878390867;0.003839584250329181;43.0;21.0;21.0;62657.0;47879.0;32788.0;20.0;23.0;12.0;9.0;26050.0;36607.0;35013.0;12866.0;['en', 'tpi', 'ho'];30.0;13.0;;;13.0;8.0;;;44932.0;17725.0;;;31428.0;16451.0;;;PNG
2020-01-24;;;;;;;;;554.0;286.0;286.0;319.0;234.0;;;1.0;1000955.0;704334.0;296621.0;;;0.0;0.21977807017543846;0.035196194798052235;6.05581132037104;5.684091954941146;4.487559569647631;0.07153261319172363;0.03908883407106239;0.036267216610390035;-0.0018331217391304344;-0.00034774782608695663;-0.019753023913043486;-0.0005989623188405798;0.046665579927536255;0.0013527781790874205;0.0010723012262991813;0.003014395658412152;0.001085665983116633;0.004029622919071564;47.0;9.0;29.0;72751.0;26736.0;52937.0;21.0;26.0;5.0;4.0;44452.0;28299.0;23297.0;3439.0;['en', 'tpi', 'ho'];27.0;20.0;;;5.0;4.0;;;56609.0;16142.0;;;4901.0;21835.0;;;PNG
2020-01-25;;;;;;;;;1091.0;594.0;594.0;619.0;471.0;;1.0;;1728620.0;1066059.0;655289.0;;7272.0;;-0.11321301204819285;0.028624101974373407;5.422700035179875;5.311949701859836;4.2705633027047165;0.04278710767099896;0.02631513706088889;0.02703736327658905;-0.0004755410156249999;-0.0017352714843749998;-0.013930501888020856;-6.06566406250005e-05;0.04552442537357392;0.0008774958775104214;0.0006200887906774834;0.002425750387578284;0.0011315007182926414;0.00316633779360495;73.0;25.0;33.0;448034.0;95407.0;50973.0;42.0;31.0;21.0;4.0;140126.0;307908.0;68641.0;26766.0;['en', 'tpi', 'ho'];46.0;26.0;;1.0;17.0;8.0;;;148032.0;292730.0;;7272.0;80663.0;14744.0;;;PNG
2020-01-26;;;;;;;;;1207.0;794.0;794.0;721.0;486.0;;;;2210189.0;1579487.0;630702.0;;;;-0.18054606946983526;0.023196322541064247;5.245996228053047;5.161725479923354;4.333834495344733;0.03301993352148712;0.024931669957037432;0.02438580167262415;-0.0025031625744047622;-0.0015847191840277779;-0.023558047135416676;-0.00041846143353174687;0.060673755225742136;0.0007196572987591656;0.0005437340541574371;0.0018330277049791977;0.0007437227594387646;0.002167474071543359;74.0;34.0;62.0;254530.0;153223.0;234133.0;51.0;23.0;29.0;5.0;142429.0;112101.0;103431.0;49792.0;['en', 'tpi', 'ho'];50.0;24.0;;;23.0;11.0;;;205743.0;48787.0;;;105121.0;48102.0;;;PNG
2020-01-27;;;;;;;;;877.0;539.0;539.0;509.0;367.0;;1.0;;1420693.0;979540.0;426718.0;;14435.0;;-0.2465725400457657;0.02657186646732533;5.225140925545039;5.246033011367714;4.369342414121825;0.03539046251619204;0.02696073076047119;0.023071179166663677;-0.001666067278287462;-0.005237731396534149;-0.017857920285422952;0.0032060810397553517;0.05382089981778316;0.000605280185572792;0.0009164253423048877;0.0022578711570382247;0.000686169036689184;0.0027801953763511448;79.0;21.0;61.0;172998.0;53587.0;187316.0;55.0;24.0;18.0;3.0;99186.0;73812.0;52744.0;843.0;['en', 'tpi', 'ho'];45.0;34.0;;;12.0;9.0;;;95840.0;77158.0;;;5998.0;47589.0;;;PNG
2020-01-28;;;;;;;;;752.0;435.0;435.0;458.0;291.0;;3.0;;1163993.0;759905.0;366919.0;;37169.0;;-0.14781239193083584;0.031041040338186113;5.203369624311363;5.292020975282749;4.260899776822386;0.05044297585528535;0.03384832391754882;0.027754185274628092;-0.006897262222222225;-0.006778332222222221;-0.014323845449735478;-0.002010987304843304;0.05038480480287623;0.0011898053137149056;0.0011526508228209356;0.002480600464843229;0.0012691797044424651;0.003223687628639616;51.0;21.0;55.0;120546.0;53922.0;100181.0;39.0;12.0;19.0;2.0;89656.0;30890.0;52798.0;1124.0;['en', 'tpi', 'ho'];26.0;23.0;;2.0;12.0;9.0;;;56536.0;31793.0;;32217.0;36555.0;17367.0;;;PNG
2020-01-29;;;;;;;;;838.0;468.0;468.0;483.0;351.0;;4.0;;1403456.0;730663.0;556016.0;;116777.0;;-0.12364491017964067;0.02956518973444918;5.301899201291169;5.257177442748077;4.396869785185573;0.04344784572191359;0.030738010860912032;0.027677221421391004;-0.010072105978260866;-0.0023322192028985512;-0.02688960183747413;-0.0002502032608695656;0.06196216066899589;0.001925816217549364;0.0009555845863978783;0.002458940063495866;0.0008867134300321015;0.002964791057853773;30.0;19.0;42.0;30378.0;38988.0;119011.0;16.0;14.0;11.0;8.0;22073.0;8305.0;31492.0;7496.0;['en', 'tpi', 'ho'];20.0;10.0;;;9.0;10.0;;;25901.0;4477.0;;;20748.0;18240.0;;;PNG
2020-01-30;;;;;;;;;1135.0;732.0;732.0;636.0;494.0;;5.0;;2413863.0;1074133.0;1187295.0;;152435.0;;-0.0518100854700854;0.021728054476556104;5.16665536556179;5.187470890703968;4.271743558692538;0.03752283125774411;0.028335810383847467;0.021070216613031163;-0.0030308880886426594;-0.0024706737765466287;-0.021960286459569912;0.0017745424746075699;0.0592884742346011;0.0007558753906634816;0.0006071233199811448;0.0020717338345477023;0.0008282261972757227;0.002228859372085189;29.0;35.0;76.0;70890.0;61739.0;77508.0;17.0;12.0;25.0;10.0;37053.0;33837.0;43187.0;18552.0;['en', 'tpi', 'ho'];13.0;16.0;;;22.0;13.0;;;42583.0;28307.0;;;49750.0;11989.0;;;PNG
2020-01-31;;;;;;;;;936.0;575.0;575.0;536.0;398.0;;2.0;;1881602.0;658016.0;1201879.0;;21707.0;;-0.15611927194860806;0.026731551298535272;5.0889226290895895;5.2066228035346205;4.365039517813487;0.04338616576598068;0.02919598034592957;0.02370997345081215;-0.0055586686139747965;-0.005959573386788849;-0.024187727357770108;-0.0015811722794959915;0.05892209828914876;0.0009844936249073263;0.001007999180812642;0.0019611063841666085;0.0010330283087910065;0.002474601916672809;32.0;17.0;56.0;124129.0;36219.0;67804.0;21.0;11.0;13.0;4.0;102123.0;22006.0;34586.0;1633.0;['en', 'tpi', 'ho'];16.0;16.0;;;13.0;4.0;;;18584.0;105545.0;;;34975.0;1244.0;;;PNG
