date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;779.0;287.0;298.0;440.0;276.0;6.0;57.0;;23421701.0;653790.0;4796404.0;2011512.0;15959995.0;;-0.02783739495798309;0.033006191823203204;5.533391900467653;5.339984553815992;4.184623980326632;0.07331131439505961;0.04324138666881095;0.02880330088026627;-0.0014752886597938144;0.0;-0.01675747766323023;-0.00051009793814433;0.08406707955326465;0.0008627978076934626;0.0;0.002666797730832419;0.00051009793814433;0.0020760465869960197;48.0;25.0;105.0;239304.0;259238.0;3875512.0;5.0;43.0;1.0;24.0;31060.0;208244.0;574.0;258664.0;['pt'];30.0;18.0;;;15.0;9.0;;1.0;175048.0;64256.0;;;25225.0;187518.0;;46495.0;-0.060843586781186294;0.005168796865220114;PRT
2020-01-23;0;0;0;;;;;;1317.0;382.0;520.0;750.0;463.0;7.0;97.0;;37093400.0;943157.0;5886653.0;2029105.0;28234485.0;;-0.01961638225255969;0.0321420004294967;5.536981562845683;5.306350076085919;4.438640969784681;0.05534084276881754;0.03400563445330159;0.029075140316872018;-0.0019903397435897443;-0.0007097179487179487;-0.02296574273504276;-0.0003926784188034191;0.07421943557692308;0.0008971686944922375;0.0004976554691631512;0.002480838714556693;0.0008346477329174949;0.002537329130365308;98.0;46.0;133.0;281927.0;102155.0;2563309.0;10.0;88.0;4.0;42.0;135137.0;146790.0;1192.0;100963.0;['pt'];65.0;32.0;;1.0;28.0;16.0;1.0;1.0;95112.0;76878.0;;109937.0;30629.0;7438.0;17593.0;46495.0;-0.05175838268205639;0.012525618176937009;PRT
2020-01-24;0;0;0;;;;;;2580.0;762.0;793.0;1509.0;960.0;12.0;98.0;1.0;38908545.0;1744228.0;6865001.0;2727153.0;27572163.0;0.0;0.15785008517887508;0.02184715973360921;5.888638421118389;5.563507628772858;4.495208443915658;0.04337939254223625;0.026412360674305285;0.022098590313825568;-0.0013370691489361702;0.0003106932624113474;-0.017475086879432642;-0.0022937523640661943;0.05424941141646968;0.0005604741323277334;0.0006402351926535143;0.0021079084120774927;0.0008981455219279473;0.002854764673868457;214.0;64.0;170.0;500187.0;156309.0;4343780.0;29.0;185.0;11.0;53.0;108792.0;391395.0;9129.0;147180.0;['pt'];130.0;84.0;;;41.0;22.0;;1.0;242169.0;258018.0;;;50637.0;59177.0;;46495.0;0.13600292544526588;0.1796972449124843;PRT
2020-01-25;0;0;0;;;;;;4409.0;1342.0;1381.0;2589.0;1740.0;6.0;74.0;;33434055.0;3646248.0;7987227.0;1346654.0;20453926.0;;-0.04913983548766192;0.0198496184906984;5.508442692202584;5.309694198208574;4.3475107789220715;0.03147505467881675;0.020330432864611187;0.017563334956520533;-0.0009508424479166666;8.134765625000045e-06;-0.017634339281063973;-0.0010200667317708323;0.05999022370933095;0.00035386820999171295;0.000394480670835096;0.0015816966423443204;0.0007282097092090985;0.002006133679553496;265.0;42.0;182.0;806916.0;112284.0;2672252.0;18.0;247.0;8.0;34.0;58232.0;748684.0;25022.0;87262.0;['pt'];160.0;104.0;;1.0;29.0;13.0;;;555846.0;221116.0;;29954.0;45697.0;66587.0;;;-0.06898945397836032;-0.029290216996963516;PRT
2020-01-26;0;0;0;;;;;;5377.0;2846.0;1625.0;3032.0;2275.0;8.0;62.0;;28795970.0;2826465.0;6986077.0;2034002.0;16949426.0;;-0.10934869816779152;0.01709125302282277;5.3886891981709795;5.243228287832887;4.3773355889867736;0.026008414886857473;0.018598302605586158;0.0165010295452122;-0.0011119203703703704;-0.0032292324561403506;-0.022130289607119737;7.872538986354762e-05;0.06490167701454237;0.0003679574960206066;0.0005284482693245228;0.0012404759937341859;0.00036178712928599437;0.001527681655624538;238.0;57.0;197.0;954633.0;137891.0;2492830.0;31.0;207.0;8.0;49.0;101297.0;853336.0;25955.0;111936.0;['pt'];142.0;95.0;;1.0;33.0;24.0;;;516356.0;391782.0;;46495.0;50068.0;87823.0;;;-0.1264399511906143;-0.09225744514496875;PRT
2020-01-27;0;0;0;;;;;;5069.0;2486.0;1931.0;2872.0;2083.0;5.0;109.0;;40046682.0;2372113.0;6630996.0;699189.0;30344384.0;;0.1529888733705739;0.013028584889083372;5.231646045583108;5.341739154155007;4.761232734449077;0.011605824472672496;0.008841098846940456;0.0098976121620896;-0.002480470957954055;-0.007139079107065439;-0.0030013460554833755;0.006376735912440413;0.03629366721212286;0.000450448241929559;0.0006819185795313763;0.0016793492711163801;0.000603350967203552;0.002194900704904417;201.0;50.0;220.0;717615.0;448237.0;4478327.0;15.0;186.0;2.0;48.0;150160.0;567455.0;488.0;447749.0;['pt'];112.0;88.0;;1.0;25.0;24.0;;1.0;184451.0;423227.0;;109937.0;33842.0;367900.0;;46495.0;0.13996028848149053;0.16601745825965727;PRT
2020-01-28;0;0;0;;;;;;5931.0;2238.0;2807.0;3387.0;2386.0;5.0;153.0;;63178390.0;3265107.0;11257481.0;1024098.0;47631704.0;;-0.22235599173554008;0.011017134434869284;5.18231494557275;5.249812809406191;4.37206849050058;0.015290213049159175;0.009628233725466888;0.010138454695660512;-0.006008263853367435;-0.006813693734015346;0.01410951021800024;0.011649718371696536;0.0134820547900914;0.0005365452306145338;0.0006351201174398997;0.0017410642169768552;0.000690521575107272;0.0022029549118519984;191.0;68.0;304.0;870551.0;202837.0;5050881.0;33.0;158.0;10.0;58.0;361042.0;509509.0;64523.0;138314.0;['pt'];123.0;65.0;;3.0;46.0;21.0;;1.0;413047.0;191135.0;;266369.0;99323.0;57019.0;;46495.0;-0.23337312617040937;-0.21133885730067078;PRT
2020-01-29;0;0;0;;;;;;4717.0;1317.0;2644.0;2625.0;1966.0;4.0;122.0;;54224216.0;2907490.0;8217323.0;1341008.0;41758395.0;;-0.1022870478413066;0.018075827897657902;5.266060359057267;5.196569770499464;4.405882704534561;0.027682734580212653;0.01915519278258821;0.01785977239706171;-0.0060886180257510745;-0.002294547210300429;-0.02271307104026161;0.0011255580774733123;0.06048091844874839;0.001038189641145628;0.0005572918050531821;0.0017178076637569795;0.0006072391473083106;0.0019893058405229427;127.0;50.0;140.0;936144.0;76489.0;210207.0;25.0;102.0;7.0;43.0;201249.0;734895.0;14729.0;61760.0;['pt'];76.0;50.0;;1.0;32.0;18.0;;;573321.0;252886.0;;109937.0;55387.0;21102.0;;;-0.12036287573896451;-0.08421121994364869;PRT
2020-01-30;0;0;0;;;;;;4398.0;1738.0;1716.0;2607.0;1644.0;9.0;138.0;;61360014.0;2906862.0;10080755.0;2044678.0;46327719.0;;-0.16401932515337342;0.01390606047179456;5.152474147219124;5.1648692687106745;4.300382079483091;0.023674507418126267;0.016315419824907536;0.012876467283475966;-0.0030102114669829983;-0.0015979699090549622;-0.032629792009357915;0.0007337516310794778;0.0710506828315788;0.00046412893976496063;0.00034468280906648435;0.0011818368234918105;0.0003972529786223465;0.0011415818959564575;171.0;43.0;195.0;865579.0;92982.0;251225.0;31.0;140.0;5.0;38.0;406833.0;458746.0;21933.0;71049.0;['pt'];102.0;68.0;1.0;;29.0;14.0;;;412486.0;448196.0;4897.0;;56062.0;36920.0;;;-0.17792538562516796;-0.15011326468157887;PRT
2020-01-31;0;0;0;;;;;;11324.0;1929.0;8145.0;6566.0;4634.0;14.0;110.0;;53557661.0;4928756.0;11224190.0;2143792.0;35260923.0;;-0.2858271457085817;0.013955908114462687;4.950912777242747;5.098918135842324;4.4529808388364405;0.02453155331246697;0.015599134476572485;0.0140338595533826;-0.007015859208683475;-0.0046305313608776925;-0.020341709812675052;-0.00275834059873949;0.06352091135552677;0.0006318643878152982;0.0005223381771789777;0.0010500182015621058;0.0005546919919965393;0.001303218441151943;164.0;60.0;184.0;838086.0;78383.0;505283.0;19.0;145.0;5.0;55.0;341702.0;496384.0;5033.0;73350.0;['pt'];94.0;67.0;1.0;2.0;35.0;25.0;;;384284.0;414116.0;17593.0;22093.0;62418.0;15965.0;;;-0.2997830538230444;-0.271871237594119;PRT
