date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;1889.0;96.0;1680.0;1155.0;693.0;2.0;39.0;;28220503.0;4500315.0;7436253.0;505092.0;15778843.0;;-0.03544133333333334;0.06443214250452739;5.5127868530398665;5.2876096116066;4.173965524435406;0.08681483271967533;0.0589773921452825;0.04267310509929139;0.0;0.0;-0.018804644927536227;0.0014463043478260868;0.07811029347826086;0.0;0.0;0.0045942790098271605;0.001011264531431307;0.004590030117027432;181.0;214.0;165.0;830084.0;929151.0;4770830.0;147.0;34.0;207.0;7.0;659988.0;170096.0;923402.0;5749.0;['es', 'gn'];110.0;71.0;;;132.0;81.0;;1.0;333045.0;497039.0;;;500104.0;428432.0;;615.0;-0.09987347583786073;0.02899080917119405;PRY
2020-01-23;0;0;0;;;;;;4639.0;186.0;4320.0;2963.0;1583.0;6.0;87.0;;60082354.0;6675591.0;19719792.0;538724.0;33148247.0;;-0.20250419580419574;0.038957395186112166;5.256186837077566;5.190403698214953;4.399406463110108;0.07244772538852222;0.046354199741324265;0.03668749379413814;0.0;0.0;-0.03433826151202751;0.0002374226804123711;0.0772599444526264;0.0;0.0;0.003058958558332888;0.0003598526697245303;0.002443913408001212;196.0;244.0;214.0;1158415.0;1676498.0;5399275.0;170.0;26.0;227.0;17.0;1062781.0;95634.0;1632234.0;44264.0;['es', 'gn'];128.0;66.0;1.0;1.0;161.0;80.0;;3.0;413411.0;728953.0;3400.0;12651.0;1148312.0;490233.0;;37953.0;-0.2414615909903079;-0.16354680061808358;PRY
2020-01-24;0;0;0;;;;;;4183.0;193.0;3835.0;2649.0;1484.0;5.0;43.0;2.0;30618290.0;4382993.0;12074337.0;562696.0;13598264.0;0.0;0.09740000000000006;0.042288442539189945;5.543484260900391;5.4010887963291205;4.42020249177346;0.07500416264221446;0.047488160877668766;0.035205908232333265;-0.0018350212765957446;0.001240127659574468;-0.02925216666666668;0.00027691312056737585;0.07149613687943265;0.001136628589085341;0.0016298830851475404;0.003256785443490217;0.0008449921404237885;0.003286694042108402;195.0;376.0;210.0;1231868.0;909037.0;3386232.0;132.0;63.0;358.0;18.0;1060057.0;171811.0;848299.0;60738.0;['es', 'gn'];122.0;68.0;2.0;3.0;254.0;122.0;;;418552.0;345919.0;40744.0;426653.0;554533.0;354504.0;;;0.05511155746081011;0.13968844253919;PRY
2020-01-25;0;0;0;;;;;;2647.0;229.0;2293.0;1699.0;923.0;2.0;23.0;;15443447.0;3071571.0;4005907.0;272889.0;8093080.0;;-0.11593066666666665;0.04508901787395885;5.2834032577607575;5.187438462000963;4.302114626854625;0.06230254695937354;0.04260860387130469;0.03643784470894111;-0.0004049081632653061;0.00045036224489795917;-0.027282778790087482;0.0019421224489795915;0.06961668686868691;0.0004049081632653061;0.00048687766692358036;0.003668215261681117;0.0011000276177380796;0.003660736657028522;87.0;102.0;99.0;1436866.0;315999.0;2011104.0;39.0;48.0;91.0;11.0;1318561.0;118305.0;288692.0;27307.0;['es', 'gn'];52.0;32.0;;3.0;62.0;40.0;;;445731.0;233696.0;;757439.0;88133.0;227866.0;;;-0.1610196845406255;-0.0708416487927078;PRY
2020-01-26;0;0;0;;;;;;2951.0;342.0;2477.0;1914.0;1014.0;1.0;22.0;;13659644.0;3163007.0;3400582.0;7186.0;7088869.0;;-0.21077396449704155;0.040438304746273135;5.1670572733985205;5.1339044245597245;4.344435135596228;0.056424979505129313;0.04189304999793668;0.03849791355295106;-0.0005796250000000001;-0.000838675;-0.023682386904761932;0.0005563821428571427;0.07112111686551542;0.00038855313996636736;0.0005406938122785439;0.002780928456003161;0.00070318855966513;0.0030931737166884515;79.0;110.0;108.0;734647.0;248610.0;1967265.0;45.0;34.0;90.0;20.0;645385.0;89262.0;233078.0;15532.0;['es', 'gn'];40.0;39.0;;;65.0;45.0;;;158521.0;576126.0;;;193302.0;55308.0;;;-0.2512122692433147;-0.17033565975076842;PRY
2020-01-27;0;0;0;;;;;;4924.0;341.0;4138.0;3203.0;1694.0;3.0;24.0;;21811476.0;5883595.0;6925929.0;257083.0;8744869.0;;-0.028779323308270426;0.03725881472534991;5.119951321006028;5.229967431101394;4.640173610927858;0.035971624560555464;0.027875864361659;0.027568228560163364;-0.003676169014084507;-0.010409947183098593;-0.022300830399061056;2.815962441314533e-05;0.05895243144185629;0.0013402239837571489;0.0018612670895913946;0.0028041648166757128;0.0009638574101270816;0.003850791676935156;96.0;105.0;121.0;502588.0;657770.0;2849807.0;47.0;49.0;93.0;12.0;422311.0;80277.0;609799.0;47971.0;['es', 'gn'];62.0;32.0;1.0;1.0;74.0;31.0;;;278568.0;182241.0;1445.0;40334.0;441214.0;216556.0;;;-0.06603813803362034;0.008479491417079488;PRY
2020-01-28;0;0;0;;;;;;15020.0;403.0;13645.0;9979.0;4844.0;37.0;160.0;;109582824.0;17778363.0;35671407.0;4014594.0;52118460.0;;-0.09319742647058826;0.03436917071520087;5.1376656405924725;5.166911020647955;4.440498337028829;0.050693009191006035;0.03545223724870196;0.030597365725698458;-0.0023801864406779658;-0.0008782834274952918;-0.016240136064030162;0.002936891713747645;0.06074247291964156;0.0008659001147699346;0.0008276599105114168;0.0031847766666054;0.0010211000328804714;0.003765294252513133;167.0;288.0;322.0;857074.0;969295.0;7801861.0;120.0;47.0;241.0;47.0;734914.0;122160.0;898838.0;70457.0;['es', 'gn'];108.0;56.0;;3.0;205.0;82.0;1.0;;364420.0;394156.0;;98498.0;727330.0;190592.0;51373.0;;-0.12756659718578914;-0.058828255755387394;PRY
2020-01-29;0;0;0;;;;;;16924.0;463.0;15846.0;11312.0;5442.0;17.0;153.0;;98021570.0;16747896.0;29008317.0;2352647.0;49912710.0;;-0.10111379310344826;0.03130757924182693;5.159150771357229;5.178509655814432;4.3818524868805735;0.05186141049945677;0.03732556557864868;0.029391129827076694;-0.0006399314516129033;-0.0005598145161290321;-0.02064561827956989;0.0006280793010752683;0.06311359924081299;0.0006399314516129033;0.0005598145161290321;0.0032560261217719198;0.0010819669061643477;0.003978874580107497;94.0;187.0;340.0;981792.0;730006.0;2595212.0;68.0;26.0;167.0;20.0;883604.0;98188.0;673658.0;56348.0;['es', 'gn'];62.0;32.0;;;123.0;63.0;;1.0;300164.0;681628.0;;;315073.0;407775.0;;7158.0;-0.13242137234527518;-0.06980621386162134;PRY
2020-01-30;0;0;0;;;;;;6331.0;473.0;5508.0;4090.0;2114.0;14.0;113.0;;72122256.0;7210312.0;24898123.0;1142111.0;38871710.0;;-0.1481436305732485;0.028035437438141558;5.1632761489098264;5.233992297145622;4.31724912868266;0.042256371558810124;0.029207129600534683;0.024893134690265658;-0.002493782383419689;-0.0012070362694300515;-0.029731948186528467;0.000801842832469775;0.06779784054155405;0.0008964230387076672;0.0007420924316532014;0.002474363252244296;0.0006656218686631276;0.0026840961466843465;101.0;79.0;198.0;1629194.0;265735.0;3253184.0;64.0;37.0;63.0;16.0;1363006.0;266188.0;247437.0;18298.0;['es', 'gn'];64.0;35.0;;2.0;50.0;28.0;;1.0;505405.0;1098487.0;;25302.0;102011.0;163109.0;;615.0;-0.17617906801139005;-0.12010819313510694;PRY
2020-01-31;0;0;0;;;;;;3887.0;329.0;3349.0;2423.0;1371.0;16.0;77.0;;41322761.0;4542312.0;11438515.0;1238350.0;24103584.0;;-0.13599274193548389;0.035161270548253035;5.042235317113441;5.104721294677543;4.402683994708994;0.059401877117772416;0.04351004869855605;0.03147190399476335;-0.003114824737945492;-0.002979863731656184;-0.02684217358490568;-0.001540078616352202;0.0666893163962348;0.0009811383096096481;0.0009689576114857961;0.002458199857009425;0.001105807340824156;0.0028114693231700953;81.0;70.0;99.0;1227002.0;153044.0;759962.0;57.0;24.0;50.0;20.0;1143692.0;83310.0;132352.0;20692.0;['es', 'gn'];49.0;29.0;1.0;2.0;52.0;17.0;;1.0;192052.0;919541.0;16860.0;98549.0;95001.0;17709.0;;40334.0;-0.1711540124837369;-0.10083147138723085;PRY
