country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_reliable;FAC_unreliable;FAC_unknown
Singapore;SGP;2020-01-22;0;0;0;-0.0088914460481071;-0.00495552553327805;0.0022183709477534602;0.00207965193219906;-0.13670808080808092;0.02242527889907496;5.244863946584677;5.230387182751422;4.2574206153899325;0.030054151221480908;0.020188306644209345;0.01574325353996419;-0.0008684140049140048;-0.0008544545454545452;-0.02499019582309584;0.00029786117936117924;0.07573978994676478;0.00034438687338513897;0.00036046431319019335;0.001349259560552984;0.0002377195402670593;0.0012317294436075595;924.0;796.0;495.0;362.0;10.0;57.0;;14359972.0;404459.0;1259748.0;84869.0;12610896.0;;175.0;32.0;201.0
Singapore;SGP;2020-01-23;1;0;0;0.00284550968828512;0.000288375889732961;-0.00271954136743702;-0.0059705511043191;0.045540520043336793;0.012334756205804452;5.775968697837793;5.495611709319541;4.457625575276888;0.022884803262065958;0.013397621377050436;0.01032840823576922;-0.000276229676639468;-0.00014228014505893015;-0.022957933423994933;0.0008185964037473554;0.06189561065273205;0.00011074467734429453;0.00016360350376975308;0.000989326408580344;0.0002040607192092793;0.0012344757516133359;2532.0;2284.0;1373.0;1046.0;26.0;87.0;;24803011.0;1133869.0;1660881.0;192687.0;21815574.0;;413.0;108.0;335.0
Singapore;SGP;2020-01-24;3;0;0;-0.005080779367443;-0.0053518527907741;-0.00032500753802189303;0.0016865842194082599;0.026609633689065614;0.009093860637421573;5.735081143132832;5.448785936157645;4.381665237568212;0.017160339698865736;0.009617247765860593;0.007261196707183963;-0.0021963900267737593;-0.0001363189498735684;-0.01515441390305471;-0.0012143231630224606;0.05477794390994178;0.000247958226330112;0.00013861589344303865;0.0006352213729710301;0.0002370907857680223;0.000938035546873834;5425.0;4769.0;3202.0;2118.0;25.0;77.0;3.0;24127230.0;2020310.0;2622820.0;263076.0;19221024.0;0.0;497.0;101.0;383.0
Singapore;SGP;2020-01-25;3;0;0;;;;;-0.19259730305180967;0.00894496842032775;5.478793254408097;5.318490982927791;4.2836250213390175;0.011471117265397115;0.00730851950997849;0.005988984841496071;-0.0029073816513761393;-0.0003734310907237512;-0.026707724311198926;-0.002573448328236489;0.06313311344018542;0.00022407804063864165;0.00011998473068769895;0.0006667893425645273;0.00032584167845110134;0.0007390453231777152;6700.0;5473.0;3956.0;2648.0;18.0;78.0;;23692595.0;2494133.0;2949565.0;197394.0;18051503.0;;444.0;89.0;383.0
Singapore;SGP;2020-01-26;4;0;0;;;;;-0.15211339233037624;0.0078870423112042;5.354659310595666;5.171801070354044;4.383756092193401;0.010389962231367015;0.00848759601274435;0.007102768412997295;-0.0010099952577010463;-0.001559025752805358;-0.025805510689490985;0.0008660530308272532;0.06842716172977073;0.00013957316928049762;0.00014278569589076259;0.0005622476819787671;0.00016260335678091968;0.0005984193109356599;8488.0;7090.0;5079.0;3322.0;14.0;73.0;;25973768.0;3608298.0;3675129.0;678774.0;18011567.0;;362.0;116.0;535.0
Singapore;SGP;2020-01-27;5;0;0;;;;;-0.2582817021276517;0.009619544559731352;5.1606725735212695;5.112278370986199;4.43664842855042;0.012996175127593849;0.01110814767006023;0.008519341092843243;-0.0009174018702704307;-0.00468031316994484;-0.022545670590072002;0.0009973782599646175;0.07015920310728352;0.00013760881246929418;0.0002745139829239178;0.0006224903801287224;0.00018739606995580007;0.0007375458017156896;5352.0;4563.0;3041.0;2215.0;5.0;91.0;;30216131.0;2500977.0;4010842.0;37606.0;23666706.0;;660.0;89.0;498.0
Singapore;SGP;2020-01-28;7;0;0;-0.0195478279725592;-0.0162986179054627;-0.0270535127389042;-0.0183053074807979;-0.14047815912636485;0.009724316954934795;5.287562606708962;5.346498396359458;4.2580026551756935;0.014169253877866488;0.01128344417556665;0.00701139720697385;-0.001425829676239646;-0.0016093000430246322;-0.019074344118301903;0.0017216665715160358;0.05489165044244279;0.00014394223263798156;0.00017166321479185237;0.0007202234692561622;0.0002623845625655226;0.0008343360194247589;5386.0;4738.0;3041.0;2170.0;39.0;136.0;;53410517.0;2918875.0;4655591.0;437413.0;45398638.0;;894.0;146.0;785.0
Singapore;SGP;2020-01-29;7;0;0;0.00266291237673322;0.00117796286200722;0.009042613163432021;0.00041486654393985096;-0.03186057276057279;0.0097051407901341;5.248130231455601;5.207817959069453;4.342295596297988;0.01638100933153917;0.01154224435138705;0.009408308621247329;-0.0022403401360544225;-0.0011821422497570453;-0.027481984086491426;0.0009998808612730816;0.06825841530499177;0.0003602014288111413;0.00024947894171975933;0.0009800167360250378;0.00029657095994813933;0.00099506518042014;4669.0;3909.0;2660.0;1827.0;38.0;144.0;;52767223.0;2721056.0;4418081.0;576652.0;45051434.0;;334.0;75.0;891.0
Singapore;SGP;2020-01-30;10;0;0;0.000631642655758213;-0.000770593693848909;-0.00637136090021251;-0.0037430133811451297;-0.11147804662142173;0.008862612905633416;5.271358485089634;5.222617283695048;4.280940695002885;0.01411850980210145;0.009806447153011372;0.00841748798763405;-0.0018205166666666664;-0.0012804122068230284;-0.0293253764347187;0.0013810458396214702;0.06815220869202927;0.0002531568224333337;0.00020833731104957383;0.000808754105599271;0.0002487224005069203;0.0008238874973360132;5205.0;4311.0;3001.0;2024.0;47.0;133.0;;45524926.0;3338579.0;5614081.0;384806.0;36187460.0;;394.0;138.0;630.0
Singapore;SGP;2020-01-31;13;0;0;-0.00308658133656792;-0.00248474511315777;-0.00259810841215824;-0.0053601815249226786;-0.23004257316399945;0.008893395239227223;5.1640698049509535;5.229748308113619;4.327837406269641;0.012941850084918036;0.00898619181403296;0.007226198494373093;-0.0024820682040531078;-0.0022076463778243675;-0.02609857608503021;0.00024231395294665675;0.06492894605945354;0.000301033071131682;0.00026455416352196617;0.0007688718329017069;0.00033109493164667814;0.0008514925418912892;5242.0;4519.0;2954.0;2079.0;41.0;168.0;;80673719.0;3747143.0;5596256.0;404660.0;70925660.0;;611.0;124.0;793.0
Singapore;SGP;2020-02-01;16;0;0;;;;;-0.21135507730881745;0.011257766056591371;5.147532090771585;5.2147055491941705;4.329273358161478;0.015614555816514318;0.011298629063876691;0.009444175010514531;-0.0045946673312068035;-0.0043779855573276676;-0.02243416740272386;-0.0007193244949494956;0.06396073562760429;0.00046634179003741835;0.00045739982388981525;0.0009333429024636732;0.00041945389055259686;0.0010462972533623106;3654.0;3150.0;2040.0;1484.0;17.0;113.0;;53523515.0;1932096.0;3385415.0;116949.0;48089055.0;;373.0;51.0;633.0
Singapore;SGP;2020-02-02;18;0;0;;;;;-0.10321459954233413;0.011606289939060844;5.266864795198552;5.231697265422623;4.295177010881406;0.016915594743437547;0.011650392996399096;0.009276477114096866;-0.0008944280914939246;-0.0005906570566277497;-0.024161373630824576;0.0004073486418870623;0.06424332659103849;0.00020297084836011481;0.00021172337651661585;0.0009268773290501297;0.0002733950353871808;0.0009574300679505352;3317.0;2817.0;1911.0;1258.0;32.0;116.0;;49863186.0;2106388.0;3287477.0;323026.0;44146295.0;;390.0;44.0;420.0
Singapore;SGP;2020-02-03;18;0;0;-0.0134415469535902;-0.0139496517849658;-0.0102291888105732;-0.0119362444406921;0.007479275362318706;0.010989543319243004;5.338997045344242;5.281091958241703;4.211988574000424;0.017928841914145285;0.012705224205809749;0.01005203376600838;0.00010914709993011872;-3.5486198462613584e-05;-0.025533995877009004;0.0007063269042627534;0.07048336585558318;0.0002653787298110868;0.00020568226948318848;0.0011258205144311308;0.00033689214560281245;0.0011533278085720904;2987.0;2638.0;1654.0;1058.0;32.0;243.0;;119613808.0;2130832.0;5451484.0;362145.0;111669347.0;;497.0;33.0;398.0
Singapore;SGP;2020-02-04;24;0;0;0.00142981455382873;0.008674190166628291;0.00646293642681073;0.0128363880694149;-0.07259070796460157;0.010778272669908013;5.359799197705915;5.267071137399818;4.20608239692658;0.015965832711570302;0.010677062726079028;0.008693232482962505;-0.0012278813634351495;-0.0009006250184447395;-0.023983554629893104;0.0006259755976095616;0.07370116073966279;0.00019690059989478648;0.000211821213202532;0.0008009166185463443;0.0001801686381694956;0.0007735881223415062;3798.0;3388.0;2109.0;1366.0;60.0;263.0;;150398842.0;2392125.0;7872144.0;841320.0;139293253.0;;755.0;28.0;468.0
