date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;iso3
2020-01-22;;;;;;;;;25.0;9.0;9.0;23.0;2.0;;;;12997.0;10044.0;2953.0;;;;-0.1214714285714286;0.26399766206963143;5.190437109187108;5.163053150553151;4.144920634920634;0.31427492880796604;0.2229225202737476;0.12814428367933087;0.0;0.0;-0.024348041666666667;0.0;0.07799364444444444;0.0;0.0;0.011883771244926256;0.0;0.01152354805401038;2.0;1.0;1.0;1032.0;908.0;1944.0;;2.0;1.0;;;1032.0;908.0;;['en'];2.0;;;;1.0;;;;1032.0;;;;908.0;;;;SLB
2020-01-23;;;;;;;;;39.0;19.0;19.0;21.0;18.0;;;;38700.0;15137.0;23563.0;;;;0.2479833333333333;0.10324099171008118;5.748050595238095;5.513812003968253;4.4870342261904765;0.23246416658611074;0.1562143611757398;0.11171770307904773;0.0;0.0;-0.02967;0.0;0.085843375;0.0;0.0;0.013268827378483752;0.0;0.0034519775285032877;7.0;1.0;5.0;4717.0;516.0;5994.0;4.0;3.0;1.0;;3072.0;1645.0;516.0;;['en'];6.0;1.0;;;1.0;;;;4373.0;344.0;;;516.0;;;;SLB
2020-01-24;;;;;;;;;77.0;32.0;32.0;46.0;31.0;;;;49212.0;19489.0;29723.0;;;;0.20709259259259255;0.10334015554070633;6.0297142857142845;5.688345238095239;4.372246031746031;0.2045714167542248;0.12581654077724932;0.11802856067988965;0.0;0.0;-0.015487090909090909;0.0;0.06490172727272729;0.0;0.0;0.008503854788436236;0.0;0.01087761938904212;7.0;;4.0;8832.0;;6429.0;3.0;4.0;;;3022.0;5810.0;;;['en'];5.0;2.0;;;;;;;2626.0;6206.0;;;;;;;SLB
2020-01-25;;;;;;;;;162.0;62.0;62.0;99.0;63.0;;;;84128.0;38070.0;46058.0;;;;-0.13635599999999998;0.08006866824144875;5.313447032134533;5.175406184093683;4.356237151737154;0.12963447017965415;0.08190515609315725;0.07029686939876928;-0.0039278387096774205;-0.004754419354838709;-0.027976034946236548;0.00025580645161290297;0.06447116102150538;0.0021908626714993817;0.002651888415715652;0.005539921374337159;0.0020551723117562108;0.007486902830450861;8.0;;8.0;2820.0;;11758.0;3.0;5.0;;;1024.0;1796.0;;;['en'];7.0;1.0;;;;;;;2610.0;210.0;;;;;;;SLB
2020-01-26;;;;;;;;;148.0;85.0;85.0;87.0;61.0;;;;77144.0;44992.0;32152.0;;;;0.06409433962264152;0.07602110744127055;5.367867498641205;5.246452121872381;4.17755122942192;0.09859443905179524;0.07793001210559825;0.07367660184096285;0.0;-0.0016814117647058822;-0.026503051470588224;-0.00044667647058823555;0.07428315588235293;0.0;0.001681411764705882;0.005801139180471061;0.0013837084990294206;0.006094457793202982;8.0;4.0;4.0;6272.0;1437.0;4286.0;4.0;4.0;1.0;3.0;4578.0;1694.0;221.0;1216.0;['en'];6.0;2.0;;;4.0;;;;3966.0;2306.0;;;1437.0;;;;SLB
2020-01-27;;;;;;;;;122.0;70.0;70.0;59.0;63.0;;;;151864.0;51845.0;100019.0;;;;-0.3910946428571429;0.07383875713115036;5.244728040848042;5.185181638361639;4.454468430458429;0.10500303266716833;0.07923871112295347;0.06979506550758725;0.0;-0.00813907142857143;-0.007918238095238091;0.006162166666666666;0.04935893559218558;0.0;0.003113569445289781;0.0067473541964400965;0.0019908033317800533;0.009176847791892859;11.0;3.0;6.0;11106.0;2004.0;3687.0;9.0;2.0;3.0;;10208.0;898.0;2004.0;;['en'];6.0;5.0;;;2.0;1.0;;;3826.0;7280.0;;;1826.0;178.0;;;SLB
2020-01-28;;;;;;;;;63.0;26.0;26.0;30.0;33.0;;;;43259.0;16231.0;27028.0;;;;-0.12270555555555555;0.10375821865934737;5.057141025641027;5.118830145163479;4.142431318681319;0.20475545871965098;0.13142496755659427;0.09272881643311068;-0.01017525;-0.01228225;-0.0222525;0.0;0.05773361511752136;0.0066612647628713426;0.00804062004705305;0.010858108186643615;0.0;0.01458775811597379;6.0;1.0;4.0;2194.0;83.0;5702.0;4.0;2.0;;1.0;1628.0;566.0;;83.0;['en'];3.0;3.0;;;;1.0;;;1387.0;807.0;;;;83.0;;;SLB
2020-01-29;;;;;;;;;91.0;42.0;42.0;56.0;35.0;;;;72919.0;32222.0;40697.0;;;;-0.30376800000000004;0.08099128280664943;5.224053917147668;5.021967352092351;4.431153018278019;0.17593690363889;0.10822928729412268;0.09415148504166244;-0.014715970588235294;0.0;-0.0198665862745098;0.0017330392156862742;0.0459348549719888;0.007975847428868338;0.0;0.009004076452602235;0.0019766417911014425;0.01192083216608305;10.0;2.0;2.0;8828.0;1555.0;3888.0;6.0;4.0;;2.0;4194.0;4634.0;;1555.0;['en'];7.0;3.0;;;2.0;;;;5933.0;2895.0;;;1555.0;;;;SLB
2020-01-30;;;;;;;;;124.0;74.0;74.0;62.0;62.0;;;;91175.0;35024.0;56151.0;;;;-0.11873064516129035;0.06806731187193864;5.115933976242012;5.1654497333024105;4.297933216089466;0.11085747782909773;0.06864441471538325;0.06598998541596834;-0.006692324324324325;-0.0058780405405405405;-0.02346053693693693;0.0008753468468468463;0.056100267905914984;0.003411853997045189;0.002880836170138988;0.006718000207005997;0.003172564645971032;0.0068591628613054135;8.0;2.0;8.0;6303.0;411.0;10959.0;3.0;5.0;1.0;1.0;3576.0;2727.0;83.0;328.0;['en'];6.0;2.0;;;1.0;1.0;;;4217.0;2086.0;;;328.0;83.0;;;SLB
2020-01-31;;;;;;;;;117.0;66.0;66.0;62.0;55.0;;;;111443.0;48501.0;62942.0;;;;-0.2442789473684211;0.07523805443685977;4.915236013986013;5.124934570429572;4.465736282606284;0.13896018472116886;0.08406125370086577;0.07527811737199899;-0.0027856571428571428;-0.003108679365079365;-0.02438833015873015;-0.000670671428571429;0.06521032477427334;0.0019405738564509559;0.002165601003493969;0.005834772858706063;0.0016594870249900856;0.006244047177242494;6.0;3.0;6.0;5158.0;290.0;20731.0;3.0;3.0;2.0;1.0;2739.0;2419.0;207.0;83.0;['en'];5.0;1.0;;;;3.0;;;4149.0;1009.0;;;;290.0;;;SLB
2020-02-01;;;;;;;;;64.0;37.0;37.0;31.0;32.0;;1.0;;48059.0;18187.0;28591.0;;1281.0;;-0.19611818181818175;0.10408872030251347;4.812866170025262;5.062498712566894;4.449928728678728;0.15393113099704178;0.1005055602529892;0.09494545555639804;-0.0040624166666666656;-0.00453349074074074;-0.02892551041666666;-0.002467270833333334;0.0665184617063492;0.0028094214235684393;0.003135199329771569;0.00735996461476163;0.0030805238727523395;0.008991866643386644;3.0;2.0;5.0;3770.0;1027.0;7257.0;3.0;;1.0;1.0;3770.0;;913.0;114.0;['en'];2.0;1.0;;;2.0;;;;1826.0;1944.0;;;1027.0;;;;SLB
2020-02-02;;;;;;;;;79.0;41.0;41.0;41.0;38.0;;;;98820.0;57394.0;41426.0;;;;-0.24225624999999995;0.0927500659657078;5.220058742024262;5.221413784491372;4.328910437263887;0.15169484664790842;0.11276676242459906;0.0890140191233303;-0.0027082777777777773;-0.0030223271604938266;-0.023319287037037038;-0.0018675;0.07596583935185185;0.002708277777777777;0.003022327160493827;0.0086608446914275;0.0037843859909411155;0.005553316311644408;2.0;1.0;1.0;14270.0;259.0;1944.0;2.0;;1.0;;14270.0;;259.0;;['en'];1.0;1.0;;;1.0;;;;12520.0;1750.0;;;259.0;;;;SLB
2020-02-03;;;;;;;;;40.0;23.0;23.0;15.0;25.0;;;;52369.0;20882.0;31487.0;;;;0.30328235294117656;0.12709157485708475;5.430586875245967;5.310124409681229;4.288033008658009;0.1975963811216064;0.15529078875089028;0.11754606580848895;0.0;0.0;-0.03776181818181818;0.0;0.08459249999999999;0.0;0.0;0.009026801086278551;0.0;0.002368016359058287;;;6.0;;;9731.0;;;;;;;;;['en'];;;;;;;;;;;;;;;;;SLB
2020-02-04;;;;;;;;;29.0;7.0;7.0;19.0;10.0;;;;31586.0;13153.0;18433.0;;;;-0.27781666666666666;0.2804954050920937;5.0260740740740735;5.327027777777778;4.275398148148148;0.30624785500774515;0.20603841972126127;0.11706989788619315;0.0;0.0;-0.05934;0.0;0.08611575;0.0;0.0;0.0;0.0;0.0015306245117053814;2.0;;3.0;1239.0;;2038.0;1.0;1.0;;;913.0;326.0;;;['en'];2.0;;;;;;;;1239.0;;;;;;;;SLB
2020-02-05;;;;;;;;;21.0;9.0;9.0;11.0;10.0;;;;23642.0;6914.0;16728.0;;;;0.13881666666666667;0.21593641566699934;5.349722222222223;5.3398015873015865;4.445039682539682;0.4143786997302387;0.31810148991496;0.12466792499193165;0.0;0.0;-0.039560000000000005;0.0;0.06888811111111111;0.0;0.0;0.01978;0.0;0.01634532538858257;;;2.0;;;3888.0;;;;;;;;;['en'];;;;;;;;;;;;;;;;;SLB
2020-02-06;;;;;;;;;50.0;16.0;16.0;22.0;28.0;;;;22103.0;13278.0;8825.0;;;;-0.21199166666666672;0.13092593815423156;4.989158369408369;5.189142857142857;4.243792857142857;0.2380435108351074;0.1269603246753888;0.11630092665919795;0.0;0.0;-0.04172427777777777;0.0;0.08320666666666666;0.0;0.0;0.011266584519890098;0.0;0.00046404546592380936;3.0;;14.0;2739.0;;4922.0;2.0;1.0;;;1826.0;913.0;;;['en'];3.0;;;;;;;;2739.0;;;;;;;;SLB
2020-02-07;;;;;;;;;35.0;21.0;21.0;19.0;16.0;;;;31931.0;13858.0;18073.0;;;;0.2186352941176471;0.13498191652881653;5.354107407407407;5.416381481481482;4.347059259259258;0.21133209997655733;0.1047560186952084;0.11641321922036806;-0.0037000909090909094;-0.0044662727272727284;-0.02697272727272727;0.0;0.07398981818181817;0.0037000909090909094;0.004466272727272728;0.00934362681101247;0.0;0.00744176732652592;10.0;1.0;2.0;9705.0;683.0;2129.0;8.0;2.0;;1.0;7941.0;1764.0;;683.0;['en'];5.0;5.0;;;1.0;;;;3029.0;6676.0;;;683.0;;;;SLB
2020-02-08;;;;;;;;;45.0;25.0;25.0;31.0;14.0;;;;63380.0;25289.0;38091.0;;;;-0.28842173913043484;0.08642186010159601;4.782358067279941;5.024900027056276;4.472285060425684;0.2049398065311906;0.11338747330960362;0.09205378557720093;-0.003548791666666667;0.0;-0.024725;0.0;0.09200305555555556;0.003548791666666667;0.0;0.008820718765806704;0.0;0.005308299530057973;6.0;1.0;4.0;7381.0;114.0;4284.0;4.0;2.0;;1.0;6986.0;395.0;;114.0;['en'];5.0;1.0;;;1.0;;;;7305.0;76.0;;;114.0;;;;SLB
2020-02-09;;;;;;;;;32.0;19.0;19.0;21.0;11.0;;;;15119.0;7035.0;8084.0;;;;-0.045177777777777775;0.11069813530721204;5.4455277777777775;5.4364027777777775;4.4565625;0.2394862109539778;0.1863352924360037;0.12148184866225135;0.0;0.0;-0.029669999999999995;0.0;0.07783941666666666;0.0;0.0;0.009889999999999998;0.0;0.006999074268251482;5.0;;3.0;4445.0;;2134.0;4.0;1.0;;;1416.0;3029.0;;;['en'];2.0;3.0;;;;;;;1171.0;3274.0;;;;;;;SLB
2020-02-10;;;;;;;;;20.0;10.0;10.0;12.0;8.0;;;;20502.0;10779.0;9723.0;;;;0.32154;0.16923478543136455;5.521124594155843;5.575317234848485;4.220895427489178;0.2790338230499894;0.2478172075538956;0.19891228953055706;0.0;0.0;-0.05934;0.0;0.08994866666666666;0.0;0.0;0.0;0.0;0.00647866666666666;3.0;;2.0;4306.0;;2136.0;2.0;1.0;;;2663.0;1643.0;;;['en'];2.0;1.0;;;;;;;2556.0;1750.0;;;;;;;SLB
2020-02-11;;;;;;;;;34.0;14.0;14.0;13.0;21.0;;;;25262.0;12704.0;12558.0;;;;0.1866888888888889;0.14114923391420833;5.413512724649088;5.147524268660632;4.366400695264332;0.20355120995524312;0.16788151795790002;0.14930378913931078;0.0;0.0;-0.04396510714285714;0.0;0.06738076428571428;0.0;0.0;0.008479966503376317;0.0;0.012239646020192285;;;13.0;;;2978.0;;;;;;;;;['en'];;;;;;;;;;;;;;;;;SLB
2020-02-12;;;;;;;;;30.0;14.0;14.0;19.0;11.0;;;;29390.0;12149.0;17241.0;;;;-0.17604444444444442;0.17805700172752978;5.310572390572392;5.0409006734006745;4.251367845117843;0.3224424060990069;0.1603607807231567;0.09824263760986117;0.0;0.0;-0.023736;0.0;0.08027242999999999;0.0;0.0;0.014535272133675375;0.0;0.006130022228948278;1.0;;2.0;114.0;;1986.0;;1.0;;;;114.0;;;['en'];1.0;;;;;;;;114.0;;;;;;;;SLB
2020-02-13;;;;;;;;;21.0;17.0;17.0;15.0;6.0;;;;23935.0;12364.0;11571.0;;;;0.1734733333333333;0.13905503996505314;5.622377007607779;5.198167089320937;4.288947121254814;0.23329649690618115;0.1258340674876534;0.12330813650084832;0.0;0.0;-0.04238571428571429;0.0;0.08438104761904762;0.0;0.0;0.010943944369711814;0.0;0.0020526728815417183;1.0;;3.0;913.0;;3770.0;1.0;;;;913.0;;;;['en'];1.0;;;;;;;;913.0;;;;;;;;SLB
2020-02-14;;;;;;;;;20.0;5.0;5.0;12.0;8.0;;;;31298.0;20128.0;11170.0;;;;-0.08269999999999998;0.5057163763744786;5.236144444444445;5.633133333333332;4.5814;0.3156898303910749;0.17372883084470064;0.1951035736331972;-0.0203505;-0.0245645;-0.02740825;0.0;0.06724308333333334;0.0203505;0.0245645;0.031931749999999995;0.0;0.013308750000000005;4.0;;1.0;2461.0;;1944.0;;4.0;;;;2461.0;;;['en'];4.0;;;;;;;;2461.0;;;;;;;;SLB
2020-02-15;;;;;;;;;23.0;10.0;10.0;13.0;10.0;;;;16191.0;5543.0;10648.0;;;;-0.16430000000000006;0.18009093205801288;5.837571428571428;5.879285714285714;3.964428571428572;0.8104285714285709;0.4807142857142856;0.04842857142857181;0.0;0.012060375;-0.012454125;0.0;0.06688820833333334;0.0;0.012060375;0.012454125;0.0;0.02264188662055013;3.0;;;2949.0;;;2.0;1.0;;;2079.0;870.0;;;['en'];;3.0;;;;;;;;2949.0;;;;;;;SLB
2020-02-16;;;;;;;;;27.0;11.0;11.0;18.0;9.0;;;;15094.0;12513.0;2581.0;;;;0.14641428571428575;0.225965576211628;5.723075396825397;5.609979256854256;4.175237193362193;0.2043941936805075;0.1357460661599338;0.096102427765755;0.0;0.0;-0.02527946666666667;0.006652999999999999;0.0532211;0.0;0.0;0.02482566642243019;0.0066529999999999975;0.024770608405124003;5.0;;;2970.0;;;5.0;;;;2970.0;;;;['en'];4.0;1.0;;;;;;;2589.0;381.0;;;;;;;SLB
2020-02-17;;;;;;;;;34.0;11.0;11.0;25.0;9.0;;;;18418.0;15662.0;2756.0;;;;-0.15469999999999998;0.19140798340484946;4.605652777777778;4.898041666666667;4.560027777777777;0.4617760953426872;0.34328717580102586;0.12508672300290286;0.0;0.0;-0.027088866666666662;-0.0100286;0.05929980000000001;0.0;0.0;0.013517545238853259;0.0100286;0.01714356388386032;3.0;;2.0;2393.0;;996.0;1.0;2.0;;;913.0;1480.0;;;['en'];3.0;;;;;;;;2393.0;;;;;;;;SLB
2020-02-18;;;;;;;;;38.0;16.0;16.0;32.0;6.0;;;;26119.0;19625.0;6494.0;;;;-0.19491999999999995;0.155868198045351;5.64233974953618;5.547215290661717;4.366634173366316;0.15663575632844304;0.12656966886768306;0.06810114348441869;0.0;0.0;0.011163000000000005;0.011088333333333332;0.056912793209876536;0.0;0.0;0.017452088096175388;0.005544166666666666;0.01286682594461758;4.0;;6.0;2487.0;;4703.0;2.0;2.0;;;1826.0;661.0;;;['en'];4.0;;;;;;;;2487.0;;;;;;;;SLB
2020-02-19;;;;;;;;;47.0;27.0;27.0;35.0;12.0;;;;53342.0;25579.0;27763.0;;;;-0.0805666666666667;0.11600177714840106;5.43588649891775;5.422571082852333;4.222097598003848;0.14262291600170993;0.10381159156390342;0.093599544868741;0.0;0.0;-0.01574911458333333;0.004158125;0.07401940520833335;0.0;0.0;0.011426547750344684;0.0028405401435803827;0.008615723103966197;2.0;;7.0;4476.0;;20020.0;1.0;1.0;;;913.0;3563.0;;;['en'];1.0;1.0;;;;;;;913.0;3563.0;;;;;;;SLB
