date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;;;;;;;;;97.0;82.0;82.0;47.0;48.0;;2.0;;334461.0;74913.0;91506.0;;168042.0;;-0.13982985074626866;0.06618265232737387;5.152235862256021;5.1739540656476155;4.256953862893378;0.09727907380487567;0.06859175444738058;0.04712303269621673;-0.0036477073170731703;-0.0017980000000000001;-0.014215365853658537;-0.00288809756097561;0.08898794471544717;0.002584403962159691;0.0017979999999999997;0.003944846851094445;0.0020449111537903537;0.0026167436224849893;12.0;4.0;10.0;12674.0;47592.0;89581.0;12.0;;4.0;;12674.0;;47592.0;;['en', 'sn', 'nd'];5.0;7.0;;;2.0;2.0;;;7195.0;5479.0;;;964.0;46628.0;;;-0.20601250307364255;-0.07364719841889479;ZWE
2020-01-23;;;;;;;;;220.0;155.0;155.0;126.0;92.0;;2.0;;637389.0;134705.0;192326.0;;310358.0;;-0.0583008547008547;0.046479691721782214;5.42650927980304;5.291298180484693;4.349464567487882;0.07774928619199482;0.04699701430223742;0.04238800129619471;0.0006604561403508772;0.0008313859649122807;-0.022901678362573088;0.001943739766081871;0.07437386608187135;0.0006604561403508772;0.0008313859649122807;0.004623730451172806;0.0011814774821296155;0.0044423679563413004;30.0;27.0;16.0;41398.0;24550.0;142378.0;25.0;5.0;25.0;2.0;29728.0;11670.0;23878.0;672.0;['en', 'sn', 'nd'];20.0;10.0;;;16.0;11.0;;;15593.0;25805.0;;;9041.0;15509.0;;;-0.10478054642263691;-0.011821162979072486;ZWE
2020-01-24;;;;;;;;;461.0;333.0;333.0;249.0;200.0;;12.0;;3695715.0;809340.0;1465546.0;;1420829.0;;0.0012294605809128581;0.032356372990688415;5.388844707466896;5.250646044082842;4.310129385751579;0.056192593693403535;0.03698351655034797;0.025902839882699376;-0.00029927205882352944;-8.937499999999994e-05;-0.03208753186274512;0.0002723345588235293;0.07515863521533618;0.0002992720588235294;0.0007355114262627919;0.002741245416315272;0.0005753688869301621;0.0026215297542949738;77.0;14.0;43.0;1273690.0;61300.0;192593.0;60.0;17.0;14.0;;1249101.0;24589.0;61300.0;;['en', 'sn', 'nd'];44.0;23.0;;10.0;10.0;4.0;;;67389.0;159333.0;;1046968.0;6903.0;54397.0;;;-0.031126912409775557;0.033585833571601276;ZWE
2020-01-25;;;;;;;;;699.0;498.0;498.0;411.0;287.0;;1.0;;1640119.0;725261.0;830837.0;;84021.0;;-0.12736618497109836;0.030446833159557967;5.400740093174231;5.2983611547545575;4.289606092714424;0.04443574305673045;0.03174482719182888;0.023925591843233174;-0.001600752747252747;0.00039743681318681317;-0.01677902930402933;0.00033635347985347944;0.057517111924583385;0.0008691242143688295;0.0007951167479706274;0.002998784893651602;0.0011909728877091232;0.0035760960892758384;56.0;18.0;42.0;80955.0;37831.0;251100.0;47.0;9.0;17.0;1.0;72015.0;8940.0;34822.0;3009.0;['en', 'sn', 'nd'];39.0;17.0;;;6.0;12.0;;;30129.0;50826.0;;;9758.0;28073.0;;;-0.15781301813065632;-0.09691935181154039;ZWE
2020-01-26;;;;;;;;;755.0;579.0;579.0;482.0;267.0;;6.0;;2763131.0;1323154.0;935851.0;;504126.0;;-0.0658801526717556;0.027498202696958376;5.340651116075276;5.2311279180695776;4.306507549179215;0.04022210853033701;0.028238552258354664;0.024149054773467897;-0.0008558088410991635;-0.001522609318996416;-0.02159812048984467;6.57607526881719e-05;0.06866080515034556;0.000560041583741016;0.0005934233536264161;0.0020115280840599524;0.0005554169342749029;0.002257777268488595;49.0;32.0;34.0;301494.0;182756.0;338867.0;35.0;14.0;30.0;2.0;286210.0;15284.0;179231.0;3525.0;['en', 'sn', 'nd'];37.0;11.0;;1.0;21.0;11.0;;;65385.0;152088.0;;84021.0;123916.0;58840.0;;;-0.09337835536871399;-0.03838194997479723;ZWE
2020-01-27;;;;;;;;;704.0;570.0;570.0;400.0;294.0;;10.0;;6900786.0;1698865.0;3696365.0;;1505556.0;;-0.1913687943262408;0.028056070847952017;5.090682379426406;5.147230028963675;4.407268362002728;0.03971012140319021;0.030334417003658912;0.02471553445937344;-0.0019097843362425356;-0.004602445337620579;-0.011586391371918484;0.003860728027867097;0.06306778832088752;0.0006221705227109066;0.0008814850944138517;0.0023491816074177685;0.0007555668741541326;0.002972239220327669;61.0;21.0;29.0;835183.0;15374.0;973152.0;56.0;5.0;21.0;;830796.0;4387.0;15374.0;;['en', 'sn', 'nd'];26.0;30.0;;5.0;15.0;6.0;;;38822.0;34959.0;;761402.0;7650.0;7724.0;;;-0.2194248651741928;-0.1633127234782888;ZWE
2020-01-28;;;;;;;;;700.0;572.0;572.0;389.0;303.0;1.0;7.0;;6266872.0;1196988.0;3219506.0;108413.0;1741965.0;;-0.10522547619047627;0.02648189422981516;5.205931373239628;5.289678988557946;4.2514454988827115;0.03743890079466505;0.027974012682897724;0.021906973179625117;-0.002370757198228128;-0.002261154485049833;-0.014833530675525985;0.003513698228128461;0.056344579929282865;0.0006661474629529273;0.0006893983918867685;0.002332288614925901;0.0006695259496096866;0.002705959940892659;48.0;20.0;27.0;1107217.0;447410.0;184415.0;41.0;7.0;19.0;1.0;1100297.0;6920.0;447332.0;78.0;['en', 'sn', 'nd'];24.0;20.0;;4.0;9.0;10.0;;1.0;124501.0;34998.0;;947718.0;8002.0;161338.0;;278070.0;-0.13170737042029143;-0.07874358196066111;ZWE
2020-01-29;;;;;;;;;780.0;650.0;650.0;409.0;352.0;2.0;17.0;;7716365.0;2202106.0;3473626.0;3372.0;2037261.0;;-0.08005169902912641;0.025464412969039018;5.358484822053677;5.242078326559528;4.347066141764136;0.03502696606761318;0.02588314368911193;0.027023656435017987;-0.004930381147540984;-0.0009880102459016392;-0.014008453190866537;0.004944648394808743;0.048394562794366415;0.001232873233660084;0.0007341152513505437;0.0029991353329607744;0.0009654452731543443;0.0033546726650694665;43.0;41.0;34.0;587370.0;234417.0;501197.0;39.0;4.0;40.0;1.0;570838.0;16532.0;234409.0;8.0;['en', 'sn', 'nd'];22.0;19.0;;2.0;19.0;22.0;;;172251.0;104761.0;;310358.0;114272.0;120145.0;;;-0.10551611199816543;-0.05458728606008739;ZWE
2020-01-30;;;;;;;;;897.0;712.0;712.0;483.0;403.0;;11.0;;7057502.0;2499032.0;2277009.0;;2281461.0;;-0.04814999999999997;0.023808423151539217;5.1993309850414935;5.192388001832566;4.3071852315666765;0.03569938804698891;0.025835950214921827;0.01963071931949913;-0.0024013842299578053;-0.001899964398734177;-0.02727038188667871;0.0013215744198312232;0.06883016890067978;0.0007269380772409994;0.000617880300148868;0.0020188908421401933;0.0005762348734658934;0.0020368337415309305;67.0;27.0;42.0;1041024.0;64910.0;377803.0;54.0;13.0;21.0;6.0;1008977.0;32047.0;35617.0;29293.0;['en', 'sn', 'nd'];35.0;28.0;;4.0;11.0;16.0;;;139253.0;87006.0;;814765.0;10248.0;54662.0;;;-0.07195842315153919;-0.024341576848460753;ZWE
2020-01-31;;;;;;;;;1101.0;947.0;947.0;593.0;494.0;;14.0;;9372885.0;2689476.0;4243571.0;;2439838.0;;-0.09008653594771246;0.019266376004517985;5.138723229423869;5.25941791973199;4.33081260742448;0.03256933120572079;0.02436769094050244;0.017519590888602752;-0.0016490639971139974;0.0018826859788359793;-0.02776437252284759;0.00047538632756132735;0.0648284875671526;0.0004167462218835333;0.0007443985577997893;0.0016159682287033412;0.0005196593905864364;0.0017649868919830418;60.0;16.0;33.0;356731.0;49364.0;480381.0;53.0;7.0;13.0;3.0;317869.0;38862.0;33713.0;15651.0;['en', 'sn', 'nd'];30.0;27.0;;3.0;9.0;7.0;;;35615.0;69053.0;;252063.0;17158.0;32206.0;;;-0.10935291195223044;-0.07082015994319447;ZWE
