variable,iso,2020-11-17
info_dyn_iri,AFG,0.4444
info_dyn_iri,AGO,0.3500
info_dyn_iri,ALB,0.1875
info_dyn_iri,AND,0.5000
info_dyn_iri,ARE,0.1458
info_dyn_iri,ARG,0.1820
info_dyn_iri,ARM,0.0000
info_dyn_iri,ASM,0.2308
info_dyn_iri,ATG,0.6000
info_dyn_iri,AUS,0.2217
info_dyn_iri,AUT,0.2022
info_dyn_iri,AZE,0.3824
info_dyn_iri,BDI,0.0000
info_dyn_iri,BEL,0.2622
info_dyn_iri,BEN,0.2500
info_dyn_iri,BFA,0.3043
info_dyn_iri,BGD,0.1765
info_dyn_iri,BGR,0.3125
info_dyn_iri,BHR,0.5000
info_dyn_iri,BHS,0.1818
info_dyn_iri,BIH,0.2941
info_dyn_iri,BLM,0.3333
info_dyn_iri,BLR,0.4286
info_dyn_iri,BLZ,0.0588
info_dyn_iri,BMU,0.0000
info_dyn_iri,BOL,0.3514
info_dyn_iri,BRA,0.3822
info_dyn_iri,BRB,0.5000
info_dyn_iri,BRN,0.0000
info_dyn_iri,BWA,0.2083
info_dyn_iri,CAF,0.3333
info_dyn_iri,CAN,0.1916
info_dyn_iri,CHE,0.2291
info_dyn_iri,CHL,0.2857
info_dyn_iri,CHN,0.2468
info_dyn_iri,CIV,0.4400
info_dyn_iri,CMR,0.4211
info_dyn_iri,COD,0.1053
info_dyn_iri,COG,0.5000
info_dyn_iri,COL,0.3793
info_dyn_iri,CRI,0.3684
info_dyn_iri,CUB,0.4000
info_dyn_iri,CYM,0.8000
info_dyn_iri,CYP,0.4500
info_dyn_iri,CZE,0.2051
info_dyn_iri,DEU,0.2032
info_dyn_iri,DJI,
info_dyn_iri,DNK,0.3667
info_dyn_iri,DOM,0.5000
info_dyn_iri,DZA,0.0417
info_dyn_iri,ECU,0.4361
info_dyn_iri,EGY,0.2381
info_dyn_iri,ESP,0.2851
info_dyn_iri,EST,0.4615
info_dyn_iri,ETH,0.1000
info_dyn_iri,FIN,0.2727
info_dyn_iri,FJI,0.5385
info_dyn_iri,FRA,0.2924
info_dyn_iri,FRO,0.0000
info_dyn_iri,GAB,0.0000
info_dyn_iri,GBR,0.1887
info_dyn_iri,GEO,0.3333
info_dyn_iri,GHA,0.2373
info_dyn_iri,GIB,0.0000
info_dyn_iri,GIN,0.3529
info_dyn_iri,GNB,0.0000
info_dyn_iri,GRC,0.1963
info_dyn_iri,GRD,0.0000
info_dyn_iri,GRL,0.1111
info_dyn_iri,GTM,0.5610
info_dyn_iri,GUM,0.0000
info_dyn_iri,GUY,0.2727
info_dyn_iri,HKG,0.0627
info_dyn_iri,HND,0.4286
info_dyn_iri,HRV,0.4545
info_dyn_iri,HTI,0.3793
info_dyn_iri,HUN,0.2692
info_dyn_iri,IDN,0.2212
info_dyn_iri,IMN,0.2857
info_dyn_iri,IND,0.2052
info_dyn_iri,IRL,0.1455
info_dyn_iri,IRN,0.2941
info_dyn_iri,IRQ,0.3125
info_dyn_iri,ISL,0.2941
info_dyn_iri,ISR,0.5000
info_dyn_iri,ITA,0.2947
info_dyn_iri,JAM,0.2308
info_dyn_iri,JEY,0.4545
info_dyn_iri,JOR,0.2500
info_dyn_iri,JPN,0.2304
info_dyn_iri,KAZ,0.1667
info_dyn_iri,KEN,0.2039
info_dyn_iri,KGZ,
info_dyn_iri,KHM,0.0000
info_dyn_iri,KOR,0.4615
info_dyn_iri,KWT,0.0833
info_dyn_iri,LBN,0.4783
info_dyn_iri,LBR,0.2308
info_dyn_iri,LBY,0.0909
info_dyn_iri,LKA,0.1892
info_dyn_iri,LSO,0.0000
info_dyn_iri,LTU,0.5000
info_dyn_iri,LUX,0.2941
info_dyn_iri,LVA,0.2000
info_dyn_iri,MAC,0.0000
info_dyn_iri,MAR,0.2879
info_dyn_iri,MDA,0.6667
info_dyn_iri,MDG,0.2857
info_dyn_iri,MDV,0.2353
info_dyn_iri,MEX,0.4483
info_dyn_iri,MKD,0.0000
info_dyn_iri,MLI,0.5000
info_dyn_iri,MLT,0.1538
info_dyn_iri,MMR,0.5000
info_dyn_iri,MNE,0.1111
info_dyn_iri,MNG,0.1633
info_dyn_iri,MOZ,0.3684
info_dyn_iri,MSR,0.8750
info_dyn_iri,MUS,0.1250
info_dyn_iri,MWI,0.2500
info_dyn_iri,MYS,0.0769
info_dyn_iri,NAM,0.0952
info_dyn_iri,NCL,0.3043
info_dyn_iri,NER,0.4286
info_dyn_iri,NGA,0.2330
info_dyn_iri,NIC,0.5556
info_dyn_iri,NLD,0.2514
info_dyn_iri,NOR,0.3152
info_dyn_iri,NPL,0.4500
info_dyn_iri,NZL,0.3231
info_dyn_iri,OMN,0.5000
info_dyn_iri,PAK,0.1361
info_dyn_iri,PAN,0.2778
info_dyn_iri,PER,0.4762
info_dyn_iri,PHL,0.2891
info_dyn_iri,PNG,0.1364
info_dyn_iri,POL,0.2283
info_dyn_iri,PRI,0.2809
info_dyn_iri,PRK,0.4286
info_dyn_iri,PRT,0.1915
info_dyn_iri,PRY,0.4333
info_dyn_iri,PSE,0.3636
info_dyn_iri,QAT,0.0000
info_dyn_iri,ROU,0.3750
info_dyn_iri,RUS,0.3625
info_dyn_iri,RWA,0.2500
info_dyn_iri,SAU,0.2564
info_dyn_iri,SDN,0.5000
info_dyn_iri,SEN,0.3750
info_dyn_iri,SGP,0.2188
info_dyn_iri,SLE,0.2500
info_dyn_iri,SLV,0.3478
info_dyn_iri,SOM,0.5000
info_dyn_iri,SRB,0.1795
info_dyn_iri,SSD,0.1667
info_dyn_iri,SUR,0.5000
info_dyn_iri,SVK,0.3077
info_dyn_iri,SVN,0.1429
info_dyn_iri,SWE,0.2273
info_dyn_iri,SWZ,
info_dyn_iri,SYC,0.4667
info_dyn_iri,SYR,0.0000
info_dyn_iri,TCD,0.2727
info_dyn_iri,TGO,0.2500
info_dyn_iri,THA,0.3869
info_dyn_iri,TLS,0.0000
info_dyn_iri,TON,0.0000
info_dyn_iri,TTO,0.1250
info_dyn_iri,TUN,0.3611
info_dyn_iri,TUR,0.3525
info_dyn_iri,TWN,0.2069
info_dyn_iri,TZA,0.1875
info_dyn_iri,UGA,0.2571
info_dyn_iri,UKR,0.2400
info_dyn_iri,UMI,0.3333
info_dyn_iri,URY,0.2432
info_dyn_iri,USA,0.3873
info_dyn_iri,UZB,0.0000
info_dyn_iri,VEN,0.8688
info_dyn_iri,VIR,0.3333
info_dyn_iri,VNM,0.2222
info_dyn_iri,XKX,0.2000
info_dyn_iri,YEM,1.0000
info_dyn_iri,ZAF,0.2475
info_dyn_iri,ZMB,0.2000
info_dyn_iri,ZWE,0.1622
