variable,iso,2020-12-08
epi_deaths,AFG,1906
epi_deaths,AGO,355
epi_deaths,ALB,936
epi_deaths,AND,78
epi_deaths,ARE,596
epi_deaths,ARG,40009
epi_deaths,ARM,2372
epi_deaths,ASM,
epi_deaths,ATG,4
epi_deaths,AUS,908
epi_deaths,AUT,4002
epi_deaths,AZE,1713
epi_deaths,BDI,1
epi_deaths,BEL,17507
epi_deaths,BEN,44
epi_deaths,BFA,69
epi_deaths,BGD,6906
epi_deaths,BGR,5156
epi_deaths,BHR,343
epi_deaths,BHS,163
epi_deaths,BIH,3081
epi_deaths,BLM,
epi_deaths,BLR,1222
epi_deaths,BLZ,179
epi_deaths,BMU,
epi_deaths,BOL,9002
epi_deaths,BRA,178159
epi_deaths,BRB,7
epi_deaths,BRN,3
epi_deaths,BWA,36
epi_deaths,CAF,63
epi_deaths,CAN,12887
epi_deaths,CHE,5593
epi_deaths,CHL,15680
epi_deaths,CHN,4746
epi_deaths,CIV,132
epi_deaths,CMR,443
epi_deaths,COD,344
epi_deaths,COG,94
epi_deaths,COL,38158
epi_deaths,CRI,1846
epi_deaths,CUB,136
epi_deaths,CYM,
epi_deaths,CYP,68
epi_deaths,CZE,9036
epi_deaths,DEU,20002
epi_deaths,DJI,61
epi_deaths,DNK,901
epi_deaths,DOM,2347
epi_deaths,DZA,2539
epi_deaths,ECU,13794
epi_deaths,EGY,6813
epi_deaths,ESP,46646
epi_deaths,EST,137
epi_deaths,ETH,1766
epi_deaths,FIN,424
epi_deaths,FJI,2
epi_deaths,FRA,56453
epi_deaths,FRO,
epi_deaths,GAB,60
epi_deaths,GBR,62130
epi_deaths,GEO,1576
epi_deaths,GHA,326
epi_deaths,GIB,
epi_deaths,GIN,79
epi_deaths,GNB,44
epi_deaths,GRC,3194
epi_deaths,GRD,
epi_deaths,GRL,
epi_deaths,GTM,4286
epi_deaths,GUM,
epi_deaths,GUY,154
epi_deaths,HKG,
epi_deaths,HND,2950
epi_deaths,HRV,2298
epi_deaths,HTI,233
epi_deaths,HUN,6120
epi_deaths,IDN,18000
epi_deaths,IMN,
epi_deaths,IND,141360
epi_deaths,IRL,2097
epi_deaths,IRN,50917
epi_deaths,IRQ,12477
epi_deaths,ISL,28
epi_deaths,ISR,2932
epi_deaths,ITA,61240
epi_deaths,JAM,265
epi_deaths,JEY,
epi_deaths,JOR,3162
epi_deaths,JPN,2334
epi_deaths,KAZ,2544
epi_deaths,KEN,1545
epi_deaths,KGZ,1301
epi_deaths,KHM,
epi_deaths,KOR,556
epi_deaths,KWT,900
epi_deaths,LBN,1136
epi_deaths,LBR,83
epi_deaths,LBY,1255
epi_deaths,LKA,142
epi_deaths,LSO,44
epi_deaths,LTU,673
epi_deaths,LUX,360
epi_deaths,LVA,288
epi_deaths,MAC,
epi_deaths,MAR,6370
epi_deaths,MDA,2460
epi_deaths,MDG,255
epi_deaths,MDV,47
epi_deaths,MEX,110874
epi_deaths,MKD,1977
epi_deaths,MLI,180
epi_deaths,MLT,157
epi_deaths,MMR,2151
epi_deaths,MNE,549
epi_deaths,MNG,
epi_deaths,MOZ,136
epi_deaths,MSR,
epi_deaths,MUS,10
epi_deaths,MWI,186
epi_deaths,MYS,388
epi_deaths,NAM,153
epi_deaths,NCL,
epi_deaths,NER,79
epi_deaths,NGA,1182
epi_deaths,NIC,162
epi_deaths,NLD,9857
epi_deaths,NOR,361
epi_deaths,NPL,1637
epi_deaths,NZL,25
epi_deaths,OMN,1454
epi_deaths,PAK,8547
epi_deaths,PAN,3241
epi_deaths,PER,36274
epi_deaths,PHL,8670
epi_deaths,PNG,7
epi_deaths,POL,20592
epi_deaths,PRI,
epi_deaths,PRK,
epi_deaths,PRT,5122
epi_deaths,PRY,1887
epi_deaths,PSE,867
epi_deaths,QAT,239
epi_deaths,ROU,12660
epi_deaths,RUS,43674
epi_deaths,RWA,51
epi_deaths,SAU,5989
epi_deaths,SDN,1301
epi_deaths,SEN,340
epi_deaths,SGP,29
epi_deaths,SLE,74
epi_deaths,SLV,1168
epi_deaths,SOM,121
epi_deaths,SRB,2062
epi_deaths,SSD,62
epi_deaths,SUR,117
epi_deaths,SVK,1046
epi_deaths,SVN,1862
epi_deaths,SWE,7200
epi_deaths,SWZ,124
epi_deaths,SYC,
epi_deaths,SYR,458
epi_deaths,TCD,102
epi_deaths,TGO,65
epi_deaths,THA,60
epi_deaths,TLS,
epi_deaths,TON,
epi_deaths,TTO,122
epi_deaths,TUN,3668
epi_deaths,TUR,15314
epi_deaths,TWN,7
epi_deaths,TZA,21
epi_deaths,UGA,207
epi_deaths,UKR,14413
epi_deaths,UMI,
epi_deaths,URY,86
epi_deaths,USA,286249
epi_deaths,UZB,611
epi_deaths,VEN,928
epi_deaths,VIR,
epi_deaths,VNM,35
epi_deaths,XKX,1137
epi_deaths,YEM,606
epi_deaths,ZAF,22432
epi_deaths,ZMB,364
epi_deaths,ZWE,303
