country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr
Japan;JPN;2020-01-22;2;0;0;-0.00990735427149403;-0.00169902925335208;-0.00051939042811;0.00696467550800151;-0.055584220018034106;0.016489632858593763;5.291095705595498;5.235850515559076;4.240097799137211;0.02336292224059475;0.016478746477332162;0.01210013316519898;-0.0010061914909638553;-0.0004371664156626506;-0.022634050229489482;-0.0001149979919678716;0.08062015331444797;0.0003194628345768558;0.00021310984783024284;0.0011301149700225725;0.00025316473499680794;0.000878750134768596
Japan;JPN;2020-01-23;1;0;0;0.000336396823575669;-0.0054580730467179706;-0.00217890363021134;-0.009865268981025473;-0.09884535452322743;0.01255961417292147;5.469780832433683;5.284307257436971;4.390833151288165;0.0214182778367733;0.013532891992300407;0.010955487449332902;-0.0006390623961448985;-0.0005167637088733798;-0.022052238198499642;0.0004444419242273178;0.07471208152224397;0.0002075394725583314;0.00021049944756641422;0.0010147760764404456;0.0002637485593389304;0.0010177573139833892
Japan;JPN;2020-01-24;2;0;0;0.00027715966236030497;-0.00170068794353639;-0.00100601173770087;0.00133299009052124;0.00830198484301691;0.010473084583958571;5.527705780151385;5.33981433837326;4.363081680634873;0.019787843816878804;0.012478439082745292;0.008984106241466144;-0.0014892197740112995;0.0005397805084745765;-0.023711374319343233;0.00021872270648372306;0.06403932109951736;0.00024804250582242027;0.00021697584442798606;0.0007866633915063135;0.00022551750312288523;0.0008826673242569227
Japan;JPN;2020-01-25;2;0;0;;;;;-0.12906943280245858;0.009465352508403916;5.338773887996316;5.2375774939190185;4.290556323041648;0.01380677915961959;0.009374561339924205;0.007566255033119822;-0.0013453267103909446;-0.0001668270318930038;-0.023805638038851093;0.0009539704539609093;0.06152768583682359;0.00021316698604608244;0.0001889769033984976;0.0007502379896722139;0.0002786305283983895;0.0008516819903390368
Japan;JPN;2020-01-26;4;0;1;;;;;-0.14942438279460263;0.008459716288621058;5.271529026011135;5.187962695727555;4.286592579815283;0.01219895405958386;0.00923150477839515;0.007843658778877586;-0.0012142535201326314;-0.0022329270366540223;-0.02760336359465563;0.0005962447719177307;0.06893587308746897;0.0001861239304626296;0.00021626316564378394;0.0006271047225494591;0.00017561321149913778;0.0006738302606113226
Japan;JPN;2020-01-27;4;0;1;-0.0178615762405041;-0.0171338317068574;-0.0186100730837708;-0.0205079416531753;-0.21192282034346052;0.00982115783625096;5.197173544423293;5.199439874752471;4.344306523212298;0.01311883590851343;0.010025985087728943;0.00854213578497977;-0.001411611696388906;-0.004104575077743217;-0.02289082908231227;0.0015861171257219048;0.06341965057498065;0.00020038656151642482;0.00031551110853391773;0.000783736828718467;0.000228775391162908;0.0009205413619326
Japan;JPN;2020-01-28;7;0;1;-0.012929910626502;-0.00944319731097742;-0.00870818186150757;-0.00548974604930486;-0.17163524280314094;0.008776370964797692;5.289353877215725;5.27849462217757;4.246622200825481;0.013316738110171155;0.009439677000709447;0.007451437748727179;-0.0026672549452429885;-0.002398027498288842;-0.024206267727094524;0.000960275571413532;0.06565439211617388;0.0002355230585640532;0.00023799087449873261;0.0007489226805047158;0.0002450066033399793;0.0008465874195833383
Japan;JPN;2020-01-29;7;0;1;0.007855568136450941;0.006400660843777221;0.0042793126504037104;0.00702606439671705;-0.10930590253946453;0.009449410931674819;5.2552690460949645;5.208081327918187;4.328309670793709;0.01426943531114033;0.010026956183522078;0.008405419208394512;-0.0036182839743589693;-0.0010529136446886444;-0.027812484549973517;2.2943585768626825e-05;0.06875962612613293;0.0004150371678145643;0.0002483645731917471;0.0007707146252640003;0.00023555269028819838;0.0008389993556176395
Japan;JPN;2020-01-30;11;0;1;-0.0010619517626739802;-0.00317008153074561;-0.0139386074933388;-0.0173289530791152;-0.09509981265611986;0.007571931297756631;5.203435996429816;5.1835245938967835;4.287564412871489;0.01187354561031999;0.008555215435836306;0.006522385481846226;-0.0015694977432778496;-0.0011899391378574486;-0.02892766449810014;0.0011843718088836081;0.0699152726260594;0.00018574329871963278;0.00015691418369266153;0.0006276273011905253;0.0001967333930476685;0.0006149577785016117
Japan;JPN;2020-01-31;15;0;1;-0.005843218451726529;0.00440818762614015;0.0107329089446946;0.00984915976687439;-0.1280069866800702;0.008797159928559046;5.1672034341967255;5.2155246595578735;4.325698048257863;0.01364516941466767;0.009331580974634069;0.007726644100994059;-0.0025705473622436373;-0.002466797481673672;-0.028726567389718537;-0.0005378782215221151;0.06904047390371232;0.0002413220062207882;0.00022899074267632405;0.0006411124427449904;0.0002378962420500633;0.0006864038103056292
Japan;JPN;2020-02-01;20;0;1;;;;;-0.1554774082568805;0.010306843587724582;5.197438269556413;5.250852107119862;4.312190166821149;0.01541235565940584;0.010717910857698793;0.009115896920932006;-0.0029916938531587946;-0.0021599366976538317;-0.030622025407891856;-0.0005315778396617613;0.07096404356675858;0.0003012090889339189;0.0002719418088732712;0.0007871847182865537;0.0002776056182964617;0.0008004216750573312
Japan;JPN;2020-02-02;20;0;1;;;;;-0.1601447077409166;0.010554159609177716;5.127524468465424;5.1808327110989225;4.3340887965985715;0.016623447980361326;0.011333940301555033;0.009002729470193949;-0.001186518854166667;-0.00057993;-0.027313439621527564;0.0005226027604166663;0.07219877507583149;0.00022063393811456354;0.00016836892688845096;0.0008191993468875412;0.00022578248042274892;0.0007831826405323673
Japan;JPN;2020-02-03;20;0;1;-0.0119354462260119;-0.0171327963434358;-0.0158580436532407;-0.0101020688550602;-0.14886488664987435;0.011798353233272576;5.1558951932027;5.159669188935713;4.323926904275558;0.017741523029378693;0.012771922692615505;0.010586716275985486;-0.0008354683429513603;-0.00019239861683612714;-0.030378154255158798;0.0004020862050013737;0.07462607244510801;0.0002288048152842307;0.0001936994968014069;0.0009609578447092302;0.0002524568245533876;0.0008707980214223322
Japan;JPN;2020-02-04;22;0;1;0.00029991336510981604;0.004091751784203621;0.00344197848966665;0.00489184128131726;-0.16713915094339613;0.011221119238307401;5.197755702619645;5.191865592137358;4.307573390631633;0.017356664973576783;0.011688531289699997;0.00978038351948724;-0.0006679129852744308;-3.242674401308938e-05;-0.02506970527091512;0.0010661956046407863;0.0720541156320872;0.00014154270780870494;0.00010834481429878509;0.0008303659622553321;0.00021318520782999327;0.0008115086202814063
Japan;JPN;2020-02-05;22;0;1;0.0203473763248283;0.0127463844729263;0.0167997118062271;0.0101272282434941;-0.029494874228761153;0.011934683010610809;5.3318994337998475;5.265556093481341;4.315765588871982;0.017016803096415085;0.011908772237765517;0.009402231282536642;-0.0011255094410876137;-0.0007901604984894261;-0.03024701727539176;-1.1843026183283962e-06;0.07440465421400833;0.00024001671831721402;0.0002201711320266458;0.0008778812795368414;0.00024384392567431434;0.0008151952334552862
Japan;JPN;2020-02-06;45;0;1;0.0123267389486195;0.0244972794618992;0.0163654879982307;0.0234803036603211;-0.21339937777777776;0.010991244128017157;5.138989075999351;5.137764399132619;4.351443099466789;0.017103206009776207;0.011796086762304219;0.009051704737057513;-0.0013324553965007961;-0.0009815305725971368;-0.030832683117122877;-0.00014825627130197702;0.07566258602855888;0.0002115374203778129;0.0002238788031537006;0.0008493254014177089;0.00024680034258960684;0.0007406938412453115
Japan;JPN;2020-02-07;86;0;1;0.010850319474951;-0.0021660918677888197;0.0056680677694203;-0.00191228039661873;-0.1295429807314192;0.010974734839725277;5.2287037104275855;5.211999230409;4.332997293092913;0.015866636404444905;0.010911539589465006;0.009019796781924624;-0.0007926298816568051;-0.0004409873372781065;-0.029524983065182333;0.0004545249506903349;0.07507312207664626;0.00014966157832822005;0.0001498341963355149;0.0007915535728954843;0.00018844441440674401;0.0007214832492805573
