country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr
Sri Lanka;LKA;2020-01-22;0;0;0;;;;;0.006000000000000084;0.05832647437169667;5.125724255542433;5.173604388036206;4.298131174921759;0.06635188351342633;0.04173839073148172;0.025092915277231027;-0.00028564534883720934;0.0006488313953488372;-0.018056379651162788;9.622674418604641e-05;0.08141967945736436;0.0008499195284538502;0.0005585119671803067;0.002835726248596598;0.0008050410318988921;0.0020366925452871493
Sri Lanka;LKA;2020-01-23;0;0;0;;;;;-0.2883457264957264;0.034143523698800186;5.318843064538789;5.20577174352661;4.376302765902695;0.059136872870652106;0.0361000991250933;0.026924235086192825;-0.0007861462585034013;-0.0003342108843537415;-0.01762317800453515;0.00029867573696145126;0.07586994162617433;0.0005780001888791244;0.0003342108843537415;0.002474279104684817;0.0005753403655232009;0.0025202527541148246
Sri Lanka;LKA;2020-01-24;0;0;0;;;;;0.0006442265795206896;0.025322417292523672;5.353881220037099;5.269522738679856;4.321038206112069;0.04438432019870238;0.027932848376491518;0.022178206313543482;-0.0011678344709897613;-0.0004626006825938566;-0.023794503526734897;0.0017086564277588165;0.0675395088913267;0.0005931302408546708;0.0004642273639829597;0.0019422574796306984;0.0005818999483817251;0.0020787235230617625
Sri Lanka;LKA;2020-01-25;0;0;0;;;;;0.11002640299305404;0.013674800971328532;5.008129407741138;5.042592031997331;4.2675437396943146;0.03186917786967441;0.022713367822935822;0.013420690123975955;8.83413461538461e-07;5.659314903846154e-05;-0.022193342447916667;0.0008024789548992671;0.06564505261517971;9.752296261360807e-05;0.0001511306108083982;0.001227042814952647;0.00034647238157909185;0.0014145755632853298
Sri Lanka;LKA;2020-01-26;0;0;0;;;;;-0.18633271084337266;0.012698614794207731;5.329257381838176;5.320546478148598;4.177053163168522;0.021092771936182277;0.015696797784681596;0.01340058516188893;-0.0007745384078884078;-0.0008970131313131313;-0.022272665824915744;0.00014065976430976414;0.07828875476303157;0.00022225169588820258;0.0002403417500364904;0.0009842421247586686;0.00023902753656094;0.0009710458261420528
Sri Lanka;LKA;2020-01-27;1;0;0;;;;;-0.1480063333333348;0.012660416840801691;5.346680823892304;5.2687325438826775;4.382008593221834;0.018854483988308267;0.013905358645137176;0.011526883732347124;-0.0009134984892086332;-0.0012885521582733815;-0.033754665212401176;0.0008313474020783374;0.0747136534060109;0.0001902215034801128;0.0002377427175907326;0.000864649892772768;0.000197305275521313;0.0008310861627563412
Sri Lanka;LKA;2020-01-28;1;0;0;;;;;-0.18148380872483186;0.011083451213662951;5.328858105961512;5.311860457982614;4.242611018161461;0.015516778225504508;0.011583769090555975;0.008693660469840405;-0.0008796530448717953;-0.0007710988581730768;-0.02920115054849633;0.0006814040711291912;0.07172804846066036;0.00015629013375151584;0.0001852947733843089;0.0008235174661448023;0.00023520663975802735;0.000783816813957023
Sri Lanka;LKA;2020-01-29;1;0;0;;;;;-0.02554388489208629;0.013253403331148356;5.33654483449829;5.288512550261177;4.260102921655593;0.02070839008314926;0.014964893617876646;0.01170355229237257;-0.0006378168220668221;-0.0005044329836829836;-0.030889433072482892;0.0005266568764568763;0.07374516257114067;0.00020889504312268477;0.00017814391399290972;0.0011225733004383049;0.00028476776784197935;0.0010830571235259912
Sri Lanka;LKA;2020-01-30;1;0;0;;;;;-0.0010388086642598464;0.01476153545836697;5.372404993997579;5.315792416070189;4.2608425753161345;0.024576700977104782;0.017922991435584488;0.013452326750340662;-0.0010901419566313666;-0.000810216338880484;-0.024392603976658864;0.0009683465078164394;0.06804187677596696;0.0003321755612571151;0.0002902583329226423;0.0013190215875790836;0.00036350420142244844;0.001438248277113829
Sri Lanka;LKA;2020-01-31;1;0;0;;;;;-0.06549466403162074;0.01651254329272062;5.281281988781145;5.224163321356369;4.333092515069833;0.02704450478350658;0.018865510320048684;0.014637793363702576;-0.0009733713787085514;-0.0008500786697692455;-0.02490884565638946;0.0006218141361256541;0.07132406313168065;0.0003144912662243826;0.0003419774968006332;0.0013723624538113548;0.00040442124344774154;0.0014252959035769438
Sri Lanka;LKA;2020-02-01;1;0;0;;;;;0.23572301444043275;0.017011204320093145;5.559892235742136;5.402716352424961;4.276345066859013;0.02361905711895421;0.017678210867546295;0.010697617339342137;0.002718217218543046;0.0033845093303899935;-0.017361615827814612;0.0008803969094922736;0.07590350337128837;0.0005075600007069047;0.0005702817464724149;0.0011189608240486802;0.00027046500790439795;0.0009201112819969068
Sri Lanka;LKA;2020-02-02;1;0;0;;;;;0.015246258503401387;0.02193200894200958;5.395625700578182;5.317651523712167;4.364314906587609;0.03332756477989688;0.022351311393143045;0.016314298381226427;0.0010134883268482487;0.002081002918287938;-0.021407174105984833;0.001397269779507133;0.07409568109499652;0.0005724447590181057;0.0006069742725184337;0.0014571430377205996;0.00035488034105980205;0.0013006702329463734
Sri Lanka;LKA;2020-02-03;1;0;0;;;;;0.006126652452025607;0.027691098968110485;5.285112955564713;5.264183965019794;4.333493167517697;0.04260211386747287;0.029075066394445827;0.0220458840271869;0.0013613967213114751;0.0018590382513661201;-0.01965643284153004;0.0030800540983606578;0.0723272600329226;0.0004241356059577183;0.0005269001950421006;0.001994998116967849;0.0006995235549438375;0.0017821929756598482
Sri Lanka;LKA;2020-02-04;1;0;0;;;;;0.03267430939226522;0.0305178745700231;5.386684888310317;5.2789363081482525;4.239077708649551;0.04515392407932711;0.02925981081825786;0.021476670402088168;0.00046391085271317833;0.0007319114987080105;-0.029660352228682123;0.00454139276485788;0.07682808625890697;0.000267094507598615;0.00036388043524033674;0.0019516382846075835;0.0007847999982166928;0.0015826305697041237
Sri Lanka;LKA;2020-02-05;1;0;0;;;;;0.040128289473684166;0.031164142991127547;5.268166125968175;5.232865022237719;4.267270732954898;0.053079342130699404;0.03639335668340041;0.024341528170550995;-0.00030553296703296706;0.00046994505494505506;-0.0270609474489796;0.0006596236263736263;0.07082108483778127;0.0007258171008073342;0.0005417324155910512;0.002260657840870615;0.0005285346002905971;0.0023045521021709306
Sri Lanka;LKA;2020-02-06;1;0;0;;;;;-0.07977215568862277;0.03056260060153607;5.19623799947979;5.208018195113337;4.337780918376815;0.05027667052777384;0.03398633832891223;0.023361172423301275;-0.0005196012891344382;-6.292817679558003e-05;-0.026732471915285456;0.0006597513812154695;0.07243719900903271;0.0006696915807383309;0.000664373408612354;0.002353230595553308;0.0005529330226405932;0.002114237674775601
Sri Lanka;LKA;2020-02-07;1;0;0;;;;;-0.1260200564971753;0.029916290975626907;5.1404510268894645;5.158941442055132;4.334714443770852;0.04754799292146914;0.032186646883150295;0.02366816036465095;-0.0005619071428571429;-0.00029764285714285705;-0.026010125634920625;6.508571428571402e-05;0.07561785682539689;0.0005792717576553492;0.0005483356904689971;0.0022150326846804725;0.000644187742815719;0.002021976617682041
Sri Lanka;LKA;2020-02-08;1;0;1;;;;;-0.07893096774193537;0.030927125947165002;5.149936944591356;5.1554202943026475;4.286484134601784;0.05483938070771074;0.03568508643085482;0.023551394755229473;-0.0004136858638743456;0.00048109947643979064;-0.020434197643979083;0.0011457617801047116;0.06923978260408878;0.0006050170084114341;0.0004979494057118193;0.00242817142083398;0.0007390616236649622;0.0026568443551316574
Sri Lanka;LKA;2020-02-09;1;0;1;;;;;-0.1072863636363636;0.031064298487103608;5.137605923963524;5.1664440913780325;4.31751410184401;0.05600320020745698;0.040716435626652225;0.025172503104846776;-0.0014909085365853658;-1.9045731707316995e-05;-0.019026502439024404;-0.00019057215447154476;0.07032803333465316;0.0009167353495384442;0.0005869748590721882;0.0025524861150992497;0.0006257816502977233;0.002852189602941723
Sri Lanka;LKA;2020-02-10;1;0;1;;;;;-0.14446403785488965;0.02841078878663548;5.163243813599442;5.1465110752132075;4.271352193736694;0.05193387106897014;0.03755400914921854;0.02620556510749605;-0.0010049235294117649;-0.0005239941176470588;-0.023096032352941203;-0.00014184117647058847;0.07430706226153631;0.0008848690050461699;0.0007783867247261277;0.0025953274362404536;0.0007857213121007381;0.0024753659878251925
Sri Lanka;LKA;2020-02-11;1;0;1;;;;;-0.12789573770491822;0.030196075672633098;5.143641505018805;5.150902321142387;4.366302141717655;0.052767028917056986;0.03504898449951411;0.024455179578798527;-0.0004864017857142857;-5.95724206349205e-05;-0.018116191071428582;0.0015600892857142855;0.06851399355158733;0.0009108013857690618;0.0009703521563203779;0.002792035421870878;0.0008379408839819789;0.002681547651449816
Sri Lanka;LKA;2020-02-12;1;0;1;;;;;-0.09977740585774054;0.03478799124559635;5.272879640201071;5.1997672961958665;4.354139961889962;0.05297606668436546;0.03603318428968262;0.027497657896297076;-0.0004784533333333333;-0.00038823333333333314;-0.020706622984127003;-0.00012369500000000024;0.07518835858730162;0.000817385525187643;0.0007840142304224119;0.002899300797065726;0.0008327790752544156;0.0029644391458746857
Sri Lanka;LKA;2020-02-13;1;0;1;;;;;-0.08143846153846153;0.031029535547150978;5.234696673651914;5.203844681710684;4.319165897181891;0.05225016355074801;0.0336023293970199;0.026452842228073477;-0.0008996016483516484;-0.000795989010989011;-0.025104104670329672;0.0003584212454212452;0.07226962802496295;0.0008084758809932555;0.0006051677911373753;0.002542382990705384;0.0006601739261117294;0.002508792662629914
Sri Lanka;LKA;2020-02-14;1;0;1;;;;;-0.014509552238805751;0.03093225355854825;5.393207205446033;5.298789610261907;4.29887192919254;0.047709036448521286;0.030090929869021038;0.024375354826892234;-0.002153689354275742;-0.0015910471204188482;-0.021133399941826676;-0.00015867975567190266;0.06778015674363452;0.0006743915240411348;0.0007290139166156854;0.002653976331158657;0.0009745150099238363;0.002327726137195525
Sri Lanka;LKA;2020-02-15;1;0;1;;;;;-0.16253742331288334;0.046697711247651735;5.221338074019478;5.1424676641109555;4.380874400497876;0.07516805218471391;0.05188446220698288;0.03697176226148317;-0.0002946857142857143;-8.452380952380946e-06;-0.017243058730158717;0.0018658730158730157;0.06844418569779427;0.000896058375079568;0.0006588988942991173;0.003653625850675682;0.0009743651707163943;0.003827212460943182
Sri Lanka;LKA;2020-02-16;1;0;1;;;;;0.11817703412073341;0.00894921835463452;5.325311030482811;5.26432504594928;4.33661622886316;0.07746120986471516;0.05305334440046755;0.033486859713786545;-0.0025745120481927715;-0.002625596385542169;-0.01723648855421686;0.002070544176706826;0.061955579989047084;0.001314242971646819;0.0013086448396893722;0.0039308367140493275;0.0015512911514992676;0.004266992651021534
Sri Lanka;LKA;2020-02-17;1;0;1;;;;;-0.0068957831325301144;0.04398157518871533;5.202320714959041;5.1864256685221175;4.4194555412156955;0.075923765750935;0.048353399748461263;0.03462522637156632;-0.000795861386138614;0.00010431683168316835;-0.03044865709570959;0.0013778168316831683;0.07735684327289875;0.0005599841079834323;0.0007369655978483789;0.0031558344307931283;0.0009187547885972809;0.0027137328599861114
Sri Lanka;LKA;2020-02-18;1;0;1;;;;;-0.0853785714285714;0.03572965315999013;5.316124814710757;5.177812588453207;4.319434453470913;0.058371703638285;0.03688646414396713;0.025607287691073073;-0.0010790200000000002;-0.0006550533333333333;-0.015012298222222225;0.0028756733333333323;0.07350526576262632;0.000534085383036415;0.0004616356995359601;0.003134204219749105;0.0007648096771041115;0.0026335687983605823
Sri Lanka;LKA;2020-02-19;1;0;1;;;;;0.06925055555555558;0.028117677849421215;5.381815603838937;5.285757263936208;4.280415650430174;0.04422491216166677;0.029179069244463403;0.020256911679403286;0.00023910000000000004;0.00020786511627906976;-0.01362260325581396;0.003808725581395348;0.07309113376170348;0.00023910000000000012;0.0002078651162790698;0.0028070854872896773;0.0008113378304241452;0.002478519076274745
Sri Lanka;LKA;2020-02-20;1;0;1;;;;;-0.009157978723404264;0.03955941055164416;5.339468370619968;5.2388759910457114;4.315845747579539;0.05546704120773224;0.03708647835281721;0.031682917625808674;-0.0005292074074074075;0.0;-0.022404583086419762;0.00200428024691358;0.0728411655250922;0.0005553040253989206;0.0;0.0033357155735713796;0.0007110537374796967;0.0029845859984968734
Sri Lanka;LKA;2020-02-21;1;0;1;;;;;-0.01578500000000002;0.037968723129113466;5.284466052902693;5.297017977913581;4.311159374569323;0.05900172528207312;0.039731286995142556;0.030491581023442252;-0.0019767744360902253;-0.00026694360902255657;-0.020457063283208034;0.0008531487050960733;0.06921588122280811;0.0010557077241088349;0.0008796974879967174;0.003256027301442128;0.000946818217869738;0.003241290765562471
Sri Lanka;LKA;2020-02-22;1;0;1;;;;;-0.04135038167938933;0.029171568922046705;5.3166581883473505;5.292361920398993;4.2753170995671;0.05052533763226652;0.038714611742483966;0.029519949108948194;0.00028561068702290075;0.0008163206106870228;-0.023131918575063627;0.00025393129770992365;0.06639209693293349;0.00028561068702290064;0.0005781232871252644;0.0026110909517167657;0.0002539312977099236;0.00333224774115571
Sri Lanka;LKA;2020-02-23;1;0;1;;;;;-0.04140774193548384;0.028690187772609562;5.19935825372954;5.204472274966696;4.336643425181246;0.05250433482007844;0.038721901397180326;0.026054392394102722;-0.0006885430463576159;0.0003296026490066225;-0.022448896799117015;0.0015922141280353198;0.07171013357819953;0.00041075553610412285;0.0006314407467288864;0.0026690697325611724;0.0005712744211381207;0.0029179429195492278
Sri Lanka;LKA;2020-02-24;1;0;1;;;;;-0.07499511568123385;0.026484777636549568;5.31983634529694;5.373665509109359;4.314757877806565;0.03822743302774054;0.030149624328215593;0.020974447024050817;-0.0007760348058902276;-0.0008377530120481928;-0.03008235990629178;-0.0003737871485943777;0.07430492708293489;0.000446299388769454;0.0004169962936609895;0.002143347300839111;0.0005710937193825176;0.001946201276565374
Sri Lanka;LKA;2020-02-25;1;0;1;;;;;0.01933757225433522;0.028061135789691317;5.418103637663505;5.3908493618223945;4.294108841523972;0.03983396339552556;0.02850702301279929;0.02198914995293304;-0.0016108073394495413;-0.001267867737003058;-0.0284894347859327;0.0008298814984709477;0.06995391346757224;0.000783275719288507;0.000575158351712049;0.0023525613767263697;0.0006576328497904572;0.0023242711632047793
Sri Lanka;LKA;2020-02-26;1;0;1;;;;;-0.004172039473684238;0.031329894834884804;5.399023838285999;5.344358519941723;4.343164657657443;0.049065161672832924;0.033782905570549596;0.02508320545637757;-0.0004362660256410256;0.0010264401709401709;-0.029214467254273516;0.000276176282051282;0.07224714812987942;0.0007413510706088471;0.0007407921718773004;0.002674097146854796;0.0006736255001636517;0.0027445439441590534
Sri Lanka;LKA;2020-02-27;1;0;1;;;;;0.1261617747440273;0.033340848484403905;5.485247766634507;5.375414940737762;4.28327115704211;0.049915955490186965;0.03139119361103698;0.02677846281312259;-0.0003561367041198503;0.00026174531835205996;-0.022395850387908006;0.0005196479400749062;0.06310879191189592;0.0005993337519581292;0.0006124421285135094;0.0025582895026053532;0.0008573644839634181;0.003108464624893887
