country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_reliable;FAC_unreliable;FAC_unknown
Brazil;BRA;2020-01-22;0;0;0;-0.0154817078005518;-0.0038775748022352704;7.69030295906248e-05;0.0115965737149413;0.02158632946001376;0.015443840879171071;5.453503317312099;5.2963904273116755;4.157198328073678;0.02163159619130587;0.013939469422197998;0.009668577634707886;-0.0014135204590818367;-8.558183632734531e-05;-0.020605353792415144;-0.000662712283765802;0.08286821121605976;0.0003018356297765853;0.0001594223379480281;0.0009073897631284489;0.0002557241463612645;0.0007124620504375317;15080.0;1790.0;8636.0;6056.0;69.0;319.0;;471519450.0;20047566.0;29510480.0;14305712.0;407655692.0;;737.0;442.0;4629.0
Brazil;BRA;2020-01-23;0;0;0;0.0115196706853506;0.009532047157636107;-0.00110284228138546;0.00955794750156436;-0.06389254509018112;0.010645650402818127;5.543270405444229;5.335472653649258;4.391365699184133;0.01917411805569876;0.011956869855604228;0.009338002210766723;-0.00046486620964175136;-0.00019387107474568767;-0.02577983695820409;0.00012114680082559318;0.07485898975973042;0.00017969472336848156;0.00014703831908172217;0.0008786910873367343;0.00019411810704073732;0.0008474166620194512;20290.0;3037.0;11559.0;8261.0;84.0;378.0;8.0;685775126.0;24775729.0;31289212.0;6513776.0;623196409.0;0.0;792.0;666.0;5087.0
Brazil;BRA;2020-01-24;0;0;0;0.00955794750156436;0.000485095857762019;0.0102292670327024;-0.00968465434855048;0.08680948842526304;0.009586318036305606;5.71669497317086;5.464302218116421;4.419475318571196;0.017473492627760375;0.010892384048223671;0.008116926639352243;-0.001972404331404693;0.0015657220748955345;-0.02195523795939111;-0.00028899160237865667;0.05997735587271823;0.00026733344960713713;0.00031785239250665877;0.0007076917861294247;0.00023234510098064888;0.0008802220527396284;22558.0;4580.0;12716.0;9446.0;70.0;313.0;13.0;601843735.0;24469423.0;33411321.0;7391995.0;536570996.0;0.0;1407.0;809.0;4641.0
Brazil;BRA;2020-01-25;0;0;0;;;;;-0.1081137867269362;0.008068896991282859;5.389873730741037;5.260663746900117;4.2876471378339165;0.011872304464669813;0.007982758896438302;0.006788807633254519;-0.001329165433297769;-0.00032255853600707653;-0.017145383678092017;0.0022701753887049946;0.059090990798842565;0.0001747988657156335;0.00018449082468160216;0.0006550856365185933;0.0002772949398840397;0.0007555944438340036;26926.0;7090.0;15407.0;11292.0;51.0;176.0;;413689278.0;31610581.0;37954185.0;8716527.0;335407985.0;;1545.0;793.0;3814.0
Brazil;BRA;2020-01-26;0;0;0;;;;;-0.17254206557951568;0.006889228614668418;5.228320713966843;5.167602186534582;4.3201019953604884;0.010306398709342676;0.00753315707690755;0.0066229946035388215;-0.001046265178284981;-0.0017226230349695177;-0.023599991085178653;0.0015926767585017721;0.0632578686304018;0.00015404442773537256;0.00016088053805355583;0.0005616166754187763;0.00017349528919988829;0.0006094739444389152;28692.0;8878.0;16812.0;11631.0;38.0;211.0;;476068457.0;37581417.0;41750822.0;5143143.0;391593075.0;;1351.0;1177.0;4819.0
Brazil;BRA;2020-01-27;0;0;0;-0.00992966645252835;-0.010473324279328;-0.0321081933863212;-0.0334483938041519;-0.1401550681579866;0.007624910921143628;5.183731175740181;5.238708077891885;4.4714175569716375;0.009017334319393252;0.00671721017679264;0.0064364076902158895;-0.001791993841204607;-0.007203113901018987;-0.0201537639893012;0.0011626375802722866;0.057682008742326873;0.00017079394490489551;0.0003082176177758312;0.0005795811634610306;0.00016701943420672854;0.0007454884858719636;28424.0;7122.0;16195.0;11677.0;89.0;463.0;;741224969.0;40098005.0;48139062.0;15705165.0;637282737.0;;1944.0;673.0;6986.0
Brazil;BRA;2020-01-28;0;0;0;-0.033203381700174;-0.0131836019634974;0.000865191816295408;0.0172933938506077;-0.03750240607070079;0.007861025944471802;5.225516660403168;5.302266424852848;4.328073951098162;0.010963491201892559;0.007619396124989964;0.00688925993064614;-0.004776267576129189;-0.005135589490087911;-0.016616466269597608;-0.00016013394488200558;0.057174917894467187;0.0002518245229318109;0.0002754676873259771;0.0006540645898549742;0.0002682161649343964;0.000840087197986242;58262.0;6927.0;33825.0;23543.0;195.0;699.0;;924256057.0;70495276.0;91579139.0;23052063.0;739129579.0;;2038.0;1345.0;12347.0
Brazil;BRA;2020-01-29;0;0;0;0.0174221641374714;0.00319702111872289;0.00600074088033153;-0.00943663629014502;-0.11757888465204926;0.008180379916794923;5.2129511696442625;5.191435790733985;4.322739482331149;0.012742244568991435;0.008983788613072956;0.007269824118240075;-0.0040960516695702715;-0.0021851165432636467;-0.0239403050598692;0.0001720287176455944;0.06371819208425014;0.0003784284032454952;0.000258878094357633;0.0007100888481030584;0.00022018133690570376;0.0008587684789655004;50504.0;6013.0;29677.0;20412.0;76.0;339.0;;415103353.0;46934036.0;70706080.0;3841521.0;293621716.0;;1687.0;590.0;4991.0
Brazil;BRA;2020-01-30;0;0;0;-0.0096520767105357;-0.0141214814272157;-0.0205192537104253;0.00123856186772109;-0.11488902644230893;0.005722469124879136;5.141241778560387;5.1832047336030325;4.273787772292352;0.009160592786595577;0.006641990017202457;0.005186120276577982;-0.0021259069292297052;-0.0011925473308989744;-0.03228866516519553;0.0011386635458047515;0.06892457552628296;0.00015260285903248935;0.00011696875524275161;0.0004683142578417572;0.00015714820193643225;0.0004673079454579146;56120.0;10420.0;32560.0;23105.0;81.0;374.0;;435595629.0;49948563.0;64456472.0;2753988.0;318436606.0;;1556.0;658.0;5520.0
Brazil;BRA;2020-01-31;0;0;0;0.00123866915223658;-8.656284901142901e-05;0.00285875055847562;-0.015413168371964;-0.1725280806572075;0.00704430405900742;5.0819577692072215;5.186295427366481;4.361851254959213;0.01139814727982458;0.007522126305743759;0.006120418994441719;-0.003948483317742469;-0.0038554289860721186;-0.025899275999074368;-0.0027926812758919963;0.06390165002700908;0.00022553184633657754;0.00022173140065481187;0.0005009085146553769;0.0002581014938431054;0.0006067577368768768;38857.0;8361.0;22605.0;15888.0;73.0;291.0;;403166873.0;36714491.0;48458135.0;1729270.0;316264977.0;;941.0;589.0;3712.0
