country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_reliable;FAC_unreliable;FAC_unknown
Romania;ROU;2020-01-22;0;0;0;;;;;0.18690497237569045;0.04542598712733137;5.401879265555041;5.374481048465417;4.169226806179935;0.049249026714388924;0.034738672437484304;0.022457281498044736;-0.0015897587412587414;-0.00034355944055944055;-0.020313537645687656;-0.0010380314685314686;0.08114825880785884;0.0007972292397562181;0.00034355944055944055;0.002208499530396984;0.0005950723042678327;0.0013131044266168367;394.0;218.0;222.0;165.0;1.0;6.0;;504960.0;214826.0;171441.0;1369.0;117324.0;;51.0;12.0;72.0
Romania;ROU;2020-01-23;0;0;0;;;;;0.11594952076677308;0.0306775911041501;5.673553374815015;5.449856063023836;4.3956843936162375;0.0511101494386192;0.030043217103947025;0.027423614495910503;-0.000997690350877193;-0.000951657894736842;-0.024613792180451143;-0.0008553780701754383;0.07187025880325823;0.0006729575522188393;0.0006560400745913877;0.002195443301556842;0.0006328097446524952;0.002397115224685145;710.0;393.0;423.0;278.0;;9.0;;850588.0;349594.0;381242.0;;119752.0;;90.0;29.0;117.0
Romania;ROU;2020-01-24;0;0;0;;;;;0.09065189873417706;0.024204249560642425;5.791959502463204;5.497389861662718;4.392026309760646;0.046906310943645405;0.027442067056575144;0.02138479009847518;-0.0016020109374999998;-5.9921875000000525e-06;-0.02206997624999997;0.00012438541666666623;0.054275771815476166;0.0006690709127567398;0.00032955994404292976;0.0018878198953363847;0.0005986360945334452;0.0023849750681254893;1469.0;709.0;876.0;585.0;;8.0;;1641868.0;734334.0;800522.0;;107012.0;;141.0;59.0;162.0
Romania;ROU;2020-01-25;0;0;0;;;;;-0.09399043583535112;0.02040349757143651;5.4561389573162655;5.304876414235066;4.273603953765275;0.029659287802840918;0.020467369581470968;0.017418384998680606;-0.002074303228621291;-0.0016015712623618382;-0.01991746055846424;-0.0009738219895287963;0.05419847696171377;0.0005267092603215637;0.00048377307925182353;0.0016270798496029384;0.0007538580559424255;0.0020954333013056977;2344.0;1124.0;1359.0;973.0;;12.0;;2496005.0;1148610.0;1155231.0;;192164.0;;146.0;35.0;185.0
Romania;ROU;2020-01-26;0;0;0;;;;;-0.16216938144329882;0.017446764222682383;5.329975156091876;5.229856418073418;4.279781414922836;0.02465469569304944;0.01879593491871445;0.01748435153967412;-0.0011960663656267105;-0.002681347701149425;-0.02517976949233724;0.0008519154693486584;0.06445607646540055;0.00036010822197416533;0.00046293590697065145;0.001346292831968815;0.00045028405654821307;0.0015625225236251918;2191.0;1442.0;1250.0;929.0;;12.0;;2956715.0;1001407.0;1593972.0;;361336.0;;119.0;60.0;236.0
Romania;ROU;2020-01-27;0;0;0;;;;;-0.1754093535075651;0.02118678184632313;5.1844818737536125;5.181673775611691;4.399206416938838;0.027857773487989488;0.021722815418307426;0.018393753500034287;-0.0012894462571976964;-0.005815733205374276;-0.022641410460652687;0.0009315218809980805;0.06484000066339747;0.00039737702932194014;0.0007629428796910852;0.0015634460577384768;0.00043183287611814125;0.001871410298391891;1617.0;895.0;899.0;689.0;1.0;28.0;;4707343.0;994657.0;1176503.0;1369.0;2534814.0;;156.0;35.0;269.0
Romania;ROU;2020-01-28;0;0;0;;;;;-0.12839190404797576;0.022402318614670902;5.326008490145176;5.304858242787313;4.22545803087562;0.0327284312899677;0.02387739024988441;0.01834635566957421;-0.003430727434257288;-0.003485842572850034;-0.0165248383338409;0.00044993305997485567;0.04968955282939023;0.0005804874159829207;0.0006483725297464836;0.001963407029007937;0.0008497535335512975;0.002360035984608035;1559.0;863.0;816.0;719.0;2.0;22.0;;5397202.0;957377.0;1207999.0;7334.0;3224492.0;;115.0;49.0;284.0
Romania;ROU;2020-01-29;0;0;0;;;;;-0.08925320945945947;0.022608234644226392;5.297541681826403;5.242473558190398;4.3222768575653685;0.03615582718628031;0.025893057641075416;0.01973545046029156;-0.008045417741935484;-0.003906413978494623;-0.023786131351766458;0.0006032126075268818;0.05964628310338407;0.0014680372405851214;0.0009591121398859882;0.0020224744717411407;0.0005911150314415798;0.002336003127502109;1590.0;798.0;875.0;695.0;;20.0;;2412386.0;967386.0;1140396.0;;304604.0;;87.0;20.0;160.0
Romania;ROU;2020-01-30;0;0;0;;;;;-0.009107777777777977;0.014697041962781978;5.293694613648609;5.264298081161777;4.269815182514757;0.02284945154799094;0.016782901114027873;0.014503571603596015;-0.0032302583425823173;-0.0020168127635960048;-0.024951556007486168;0.0027153095172031128;0.06039305230821161;0.0005284650586893817;0.0004314178996401293;0.0012747529360488561;0.00044782711719547645;0.001375468568524935;2750.0;1672.0;1504.0;1220.0;2.0;24.0;;6313579.0;1716894.0;1853256.0;2738.0;2740691.0;;92.0;62.0;291.0
Romania;ROU;2020-01-31;0;0;0;;;;;-0.05686821256038652;0.018356614350935826;5.200841376660959;5.238530589193424;4.274819757983111;0.02707911691967315;0.0189126358416022;0.01593607038749871;-0.0037576163038219616;-0.003931403160780522;-0.02725227011887484;-0.0008892469158200297;0.05909354924461214;0.0005633978821321326;0.0005531863391608051;0.0013182430701341695;0.0006066747102884523;0.0015954535809733095;2239.0;1280.0;1230.0;979.0;2.0;28.0;;6188542.0;3186818.0;1481659.0;2738.0;1517327.0;;68.0;45.0;197.0
