date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,BRB,50,6,2,42,36,0,50,5,4,6,0.4444,4,2,0,5,0,0,4,0,0,0.4695,1.0,,0.4448,0.375,,0.375,,,,,,,,,,
2020-01-23,BRB,84,11,0,73,59,0,84,5,4,16,0.4444,8,7,0,5,0,0,4,0,0,0.6869,,,0.6869,0.4444,,0.4444,,,,,,,,,,
2020-01-24,BRB,216,42,3,171,155,0,216,10,9,21,0.4737,9,11,0,10,0,0,9,0,0,0.2115,0.7585,,0.2021,0.4375,,0.4375,,,,,,,,,,
2020-01-25,BRB,377,64,4,309,250,2,375,25,7,29,0.2188,9,19,3,22,0,0,6,0,1,0.5924,0.2612,,0.6233,0.24,,0.24,,,,,,,,,,
2020-01-26,BRB,380,54,7,319,280,1,379,17,9,24,0.3462,4,18,1,16,0,1,5,2,1,0.9054,0.7319,,0.9063,0.3333,,0.3333,,,,,,,,,,
2020-01-27,BRB,303,38,7,258,190,1,302,16,8,23,0.3333,8,13,1,15,0,0,7,0,1,0.8239,0.0,0.0,0.8392,0.3478,0.0,0.381,,,,,,,,,,
2020-01-28,BRB,413,112,7,294,301,0,413,10,20,36,0.6667,14,19,3,7,0,1,13,3,3,0.6009,0.7807,,0.5999,0.6786,,0.6786,,,,,,,,,,
2020-01-29,BRB,324,74,8,242,213,1,323,8,8,14,0.5,6,8,0,8,0,1,5,1,1,0.7343,,,0.7343,0.5,,0.5,,,,,,,,,,
2020-01-30,BRB,570,114,12,444,410,1,569,26,4,41,0.1333,13,14,1,25,0,0,4,0,0,0.0912,0.3862,0.0,0.1387,0.125,0.0,0.1304,,,,,,,,,,
2020-01-31,BRB,503,105,3,395,371,1,502,27,8,29,0.2286,15,13,1,26,0,1,6,1,0,0.3958,0.1096,,0.4159,0.25,,0.25,,,,,,,,,,
2020-02-01,BRB,209,32,4,173,143,1,208,7,1,17,0.125,13,3,0,7,0,0,1,0,0,0.2793,0.6741,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-02,BRB,198,38,13,147,134,1,197,4,0,9,0.0,1,5,0,4,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-03,BRB,248,53,7,188,172,0,248,6,1,15,0.1429,3,9,0,6,0,0,1,0,0,0.0903,0.0,,0.1858,0.2,,0.2,,,,,,,,,,
2020-02-04,BRB,161,34,4,123,124,0,161,0,2,12,1.0,3,6,0,0,0,0,0,1,1,1.0,,,1.0,1.0,,1.0,,,,,,,,,,
2020-02-05,BRB,108,41,3,64,62,0,108,9,0,23,0.0,6,15,1,8,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-06,BRB,118,28,5,85,74,0,118,4,1,18,0.2,10,6,0,4,0,0,1,0,0,0.1165,0.0,,0.191,0.25,,0.25,,,,,,,,,,
2020-02-07,BRB,199,39,6,154,154,0,199,43,0,12,0.0,5,7,0,43,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-08,BRB,165,30,2,133,121,0,165,22,1,56,0.0435,30,23,0,22,0,0,1,0,0,0.7213,0.0,,0.7275,0.0476,,0.0476,,,,,,,,,,
2020-02-09,BRB,106,23,6,77,67,2,104,7,5,15,0.4167,4,11,0,7,0,1,3,0,1,0.9099,0.9411,,0.9071,0.4,,0.4,,,,,,,,,,
2020-02-10,BRB,111,28,2,81,86,0,111,7,1,11,0.125,4,5,0,7,0,0,1,0,0,0.4432,0.0,,0.4869,0.1667,,0.1667,,,,,,,,,,
2020-02-11,BRB,143,26,7,110,105,1,142,10,2,14,0.1667,4,9,0,10,0,0,0,2,0,0.0163,,,0.0163,0.1667,,0.1667,,,,,,,,,,
2020-02-12,BRB,107,25,2,80,80,0,107,3,0,10,0.0,4,5,0,3,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-13,BRB,77,15,3,59,58,0,77,4,3,13,0.4286,1,11,0,4,0,3,0,0,0,0.373,,,0.373,0.4286,,0.4286,,,,,,,,,,
2020-02-14,BRB,94,19,4,71,76,0,94,12,3,18,0.2,12,4,0,12,0,0,3,0,0,0.4522,0.5,,0.4511,0.1538,,0.1538,,,,,,,,,,
2020-02-15,BRB,84,15,1,68,63,0,84,24,1,5,0.04,2,2,0,24,0,0,1,0,0,0.6319,0.0,,0.671,0.05,,0.05,,,,,,,,,,
2020-02-16,BRB,117,13,3,101,90,0,117,67,1,7,0.0147,1,6,0,67,0,0,0,0,1,0.4906,0.0,,0.5362,0.0169,,0.0169,,,,,,,,,,
2020-02-17,BRB,70,10,4,56,51,0,70,7,1,7,0.125,1,5,0,7,0,0,1,0,0,0.0586,0.0,,0.0685,0.1667,,0.1667,,,,,,,,,,
2020-02-18,BRB,105,30,2,73,69,1,104,2,1,8,0.3333,3,3,0,2,0,0,1,0,0,0.911,0.0,,1.0,1.0,,1.0,,,,,,,,,,
2020-02-19,BRB,93,8,2,83,70,0,93,4,1,12,0.2,4,7,0,4,0,0,1,0,0,0.2163,,,0.2163,0.2,,0.2,,,,,,,,,,
2020-02-20,BRB,58,9,1,48,31,2,56,6,0,8,0.0,3,4,0,6,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-21,BRB,81,15,1,65,52,1,80,3,1,5,0.25,4,1,0,3,0,0,0,1,0,0.0025,,,0.0025,0.25,,0.25,,,,,,,,,,
2020-02-22,BRB,70,10,0,60,44,0,70,7,2,5,0.2222,0,4,0,7,0,0,1,1,0,0.9463,,,0.9463,0.2222,,0.2222,,,,,,,,,,
2020-02-23,BRB,59,8,2,49,30,1,58,2,0,3,0.0,1,2,0,2,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-02-24,BRB,183,34,3,146,121,2,181,4,2,14,0.3333,6,5,0,4,0,0,1,1,0,0.9917,0.0,,0.996,0.4,,0.4,,,,,,,,,,
2020-02-25,BRB,245,42,14,189,113,2,243,8,5,14,0.3846,6,8,0,8,0,1,2,1,1,0.4687,0.0,0.0,0.4837,0.4545,0.0,0.5,,,,,,,,,,
2020-02-26,BRB,273,43,8,222,111,0,273,7,6,24,0.4615,9,12,0,7,0,0,4,2,0,0.8858,0.7067,,0.8894,0.4545,,0.4545,,,,,,,,,,
2020-02-27,BRB,284,44,7,233,134,4,280,10,1,25,0.0909,9,15,0,10,0,0,0,1,0,0.0716,0.0,,0.0775,0.1,,0.1,,,,,,,,,,
2020-02-28,BRB,347,56,5,286,249,2,345,9,14,32,0.6087,18,14,2,7,0,1,7,1,5,0.3988,0.1583,,0.4239,0.6842,,0.6842,,,,,,,,,,
2020-02-29,BRB,347,51,10,286,227,1,346,11,7,33,0.3889,17,15,0,11,0,0,3,3,1,0.5128,0.1004,,0.5226,0.4615,,0.4615,,,,,,,,,,
2020-03-01,BRB,463,56,14,393,352,1,462,10,2,54,0.1667,39,14,0,10,0,1,1,0,0,0.0281,0.0,,0.0292,0.2,,0.2,,,,,,,,,,
2020-03-02,BRB,519,77,12,430,402,2,517,16,5,86,0.2381,65,20,1,15,0,2,1,2,0,0.6968,0.0,,0.7232,0.2632,,0.2632,,,,,,,,,,
2020-03-03,BRB,404,70,10,324,281,1,403,9,8,39,0.4706,21,14,1,8,0,5,3,0,0,0.9391,0.0301,0.0,0.9847,0.5,0.0,0.5455,,,,,,,,,,
2020-03-04,BRB,436,75,9,352,288,3,433,15,6,57,0.2857,37,18,0,15,0,1,5,0,0,0.7188,0.0161,,0.7455,0.3571,,0.3571,,,,,,,,,,
2020-03-05,BRB,437,85,6,346,312,2,435,14,0,63,0.0,55,8,1,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-06,BRB,451,92,11,348,307,3,448,9,2,61,0.1818,43,14,0,9,0,0,1,1,0,0.8108,0.9101,,0.0152,0.2,,0.2,,,,,,,,,,
2020-03-07,BRB,410,61,11,338,287,0,410,18,20,21,0.5263,10,10,1,17,0,18,2,0,0,0.2502,0.1002,,0.3207,0.5312,,0.5312,,,,,,,,,,
2020-03-08,BRB,312,40,2,270,238,4,308,5,10,10,0.6667,6,4,0,5,0,7,2,1,0,0.8726,,,0.8726,0.6667,,0.6667,,,,,,,,,,
2020-03-09,BRB,381,75,8,298,294,4,377,9,1,34,0.1,22,11,0,9,0,1,0,0,0,0.0878,0.0,,0.0988,0.125,,0.125,,,,,,,,,,
2020-03-10,BRB,504,91,11,402,376,7,497,11,2,35,0.1538,13,21,0,11,0,0,2,0,0,0.1394,0.0,0.0,0.1989,0.2222,0.0,0.25,,,,,,,,,,
2020-03-11,BRB,603,117,11,475,471,2,601,19,4,56,0.1739,18,37,0,19,0,0,4,0,0,0.0503,0.0,,0.0839,0.2,,0.2,,,,,,,,,,
2020-03-12,BRB,766,131,14,621,599,2,764,22,2,50,0.0833,29,16,0,22,0,0,2,0,0,0.1792,0.0,,0.193,0.1,,0.1,,,,,,,,,,
2020-03-13,BRB,709,103,12,594,536,4,705,23,3,65,0.1154,43,20,5,18,0,0,3,0,0,0.0627,0.4787,0.0,0.0212,0.0833,0.0,0.087,,,,,,,,,,
