date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-01-22,CAN,6931,1938,258,4735,6222,1503,327,1920,0.1787,818,993,69,1434,0,2,243,45,37,0.0333,0.0163,0.0008,0.1661,0.1926,0.0606,0.1963,0.0017,0,0,0,0,,
2020-01-23,CAN,12440,3281,480,8679,11205,2520,829,3146,0.2475,1311,1591,117,2403,71,42,446,215,55,0.0617,0.0258,0.007,0.1854,0.2668,0.1333,0.2703,0.0032,0,0,0,0,,
2020-01-24,CAN,18825,5242,711,12872,16550,3339,906,3841,0.2134,1798,1759,108,3231,19,25,525,222,115,0.0636,0.0302,0.0038,0.1696,0.2371,0.1636,0.2386,-0.0036,0,0,0,0,,
2020-01-25,CAN,30386,7135,1144,22107,26515,5699,914,4927,0.1382,1923,2598,120,5579,6,39,550,204,115,0.0466,0.0291,0.009,0.0759,0.1491,0.1887,0.1478,,0,0,0,0,,
2020-01-26,CAN,34720,7598,1438,25684,31567,5720,1664,6213,0.2254,2232,3320,143,5577,129,38,841,257,399,0.0834,0.041,0.0136,0.1752,0.224,0.3088,0.2209,,1,1,0,0,,
2020-01-27,CAN,29814,7400,1277,21137,27304,4752,1381,6436,0.2252,2779,3117,173,4579,164,6,701,174,336,0.0942,0.0423,0.0217,0.2348,0.2349,0.1657,0.2377,0.0038,1,0,0,0,,
2020-01-28,CAN,32729,9246,1570,21913,29825,4683,1962,6812,0.2953,2794,3594,205,4478,132,11,1519,116,184,0.0667,0.0408,0.0043,0.1915,0.3296,0.2417,0.3338,0.0015,2,1,0,0,,
2020-01-29,CAN,29410,8565,1214,19631,26095,2573,889,3179,0.2568,1190,1632,78,2495,93,15,554,71,156,0.0898,0.033,0.0398,0.2224,0.2988,0.3086,0.2984,-0.002,3,1,0,0,,
2020-01-30,CAN,37451,10140,1464,25847,33373,3245,785,3812,0.1948,1610,1610,75,3170,70,44,462,109,100,0.0622,0.0326,0.005,0.2048,0.2307,0.2212,0.2312,0.0035,3,0,0,0,,
2020-01-31,CAN,34131,9050,1646,23435,30519,2633,810,3685,0.2353,1486,1837,116,2517,39,38,466,113,154,0.0928,0.0515,0.0065,0.2475,0.28,0.1731,0.2923,-0.0071,3,0,0,0,,
2020-02-01,CAN,19373,4893,1217,13263,17171,1732,505,1978,0.2257,690,1020,65,1667,25,12,204,86,178,0.0823,0.0445,0.4187,0.2024,0.2491,0.5462,0.2175,,4,1,0,0,,
2020-02-02,CAN,20746,5086,1004,14656,18640,1858,363,1830,0.1634,682,883,52,1806,10,12,211,53,77,0.0743,0.0378,0.0952,0.1578,0.1663,0.1591,0.1668,,4,0,0,0,,
2020-02-03,CAN,16518,4883,788,10847,14957,1853,386,2077,0.1724,813,1040,58,1795,3,6,219,64,94,0.0527,0.0273,0.0023,0.2014,0.1994,0.2222,0.198,0.0017,4,0,0,0,,
2020-02-04,CAN,16250,5241,792,10217,14701,1913,355,2309,0.1565,990,1131,74,1839,1,3,190,56,105,0.0549,0.0273,0.1123,0.1996,0.1597,0.1954,0.157,0.0005,4,0,0,0,,
2020-02-05,CAN,15748,5270,749,9729,14275,1790,257,2540,0.1255,903,1487,40,1750,4,4,105,47,97,0.0348,0.0258,0.0125,0.0725,0.1448,0.2167,0.1404,0.0013,5,1,0,0,,
2020-02-06,CAN,17851,5437,850,11564,16347,1926,431,2692,0.1829,918,1607,49,1877,3,7,301,47,73,0.0453,0.027,0.0588,0.1095,0.2115,0.3,0.2062,0.004,5,0,0,0,,
2020-02-07,CAN,18117,5348,814,11955,16583,2785,321,2269,0.1033,898,1183,44,2741,17,1,182,39,82,0.0369,0.031,0.0023,0.0672,0.0848,0.2182,0.0809,-0.0028,7,2,0,0,,
2020-02-08,CAN,14292,3650,675,9967,13037,2478,310,1968,0.1112,902,930,40,2438,0,6,189,49,66,0.0525,0.0311,0.0031,0.1249,0.0868,0.3043,0.0816,,7,0,0,0,,
2020-02-09,CAN,12569,3104,660,8805,11361,1350,274,1904,0.1687,910,846,30,1320,2,22,129,52,69,0.0676,0.0215,0.5611,0.1279,0.1652,0.3265,0.1571,,7,0,0,0,,
2020-02-10,CAN,14788,4500,804,9484,13553,1746,382,2507,0.1795,1229,1066,37,1709,0,15,232,65,70,0.0938,0.0218,0.0142,0.3935,0.1942,0.3519,0.1863,0.0053,7,0,0,0,,
2020-02-11,CAN,14494,4528,698,9268,13278,1953,314,1973,0.1385,933,887,31,1922,2,10,216,33,53,0.0475,0.0439,0.2347,0.0585,0.134,0.1163,0.1347,-0.0004,7,0,0,0,,
2020-02-12,CAN,11152,3657,520,6975,10224,1361,291,1483,0.1762,518,805,41,1320,15,14,172,49,41,0.0487,0.0281,0.0016,0.2634,0.2257,0.2667,0.2241,-0.0022,7,0,0,0,,
2020-02-13,CAN,12500,3958,581,7961,11464,1531,458,1780,0.2303,752,874,33,1498,1,43,301,57,56,0.0695,0.023,0.037,0.4057,0.2689,0.3,0.2681,0.0032,7,0,0,0,,
2020-02-14,CAN,10377,3336,504,6537,9510,1314,297,1479,0.1844,585,739,28,1286,0,26,149,67,55,0.1071,0.0391,0.0355,0.3361,0.1845,0.1515,0.1858,0.0021,7,0,0,0,,
2020-02-15,CAN,9854,2774,550,6530,8745,1255,203,1179,0.1392,327,682,19,1236,0,9,127,34,33,0.0556,0.0436,0.0003,0.1403,0.1228,0.15,0.1222,,8,1,0,0,,
2020-02-16,CAN,10717,2744,470,7503,9553,1834,268,1135,0.1275,408,604,40,1794,1,26,140,64,37,0.0789,0.0261,0.1747,0.1975,0.1132,0.2414,0.1107,,8,0,0,0,,
2020-02-17,CAN,10106,2860,546,6700,9058,959,323,1309,0.252,469,666,37,922,1,15,197,71,39,0.1061,0.0502,0.1652,0.1942,0.275,0.2667,0.2755,,8,0,0,0,,
2020-02-18,CAN,11442,3438,468,7536,10242,1086,241,1606,0.1816,722,678,54,1032,0,3,111,73,54,0.0536,0.0199,0.3996,0.2524,0.2083,0.3077,0.2043,0.0022,8,0,0,0,,
2020-02-19,CAN,9514,2750,430,6334,8386,818,159,1529,0.1627,798,564,32,786,0,21,82,32,24,0.043,0.0303,0.1158,0.0708,0.2028,0.375,0.1971,0.0021,8,0,0,0,,
2020-02-20,CAN,8334,2490,454,5390,7317,887,173,1132,0.1632,430,584,41,846,0,1,79,34,59,0.057,0.0223,0.0039,0.2039,0.1578,0.1429,0.1585,0.0018,8,0,0,0,,
2020-02-21,CAN,12341,3643,593,8105,10722,1415,263,1624,0.1567,679,813,47,1368,4,14,154,49,42,0.0695,0.0404,0.0234,0.1799,0.1598,0.2857,0.1563,-0.0052,9,1,0,0,,
2020-02-22,CAN,11842,3055,743,8044,10247,1469,227,1324,0.1338,479,721,50,1419,17,9,130,39,32,0.0516,0.0209,0.0046,0.1958,0.1194,0.0962,0.1206,,9,0,0,0,,
2020-02-23,CAN,15822,4040,891,10891,13738,1639,309,1854,0.1586,743,906,29,1610,6,16,172,59,56,0.086,0.0249,0.0019,0.3127,0.1664,0.1042,0.1689,,9,0,0,0,,
2020-02-24,CAN,22300,5688,1189,15423,19520,2128,461,2607,0.1781,1008,1396,51,2077,0,5,318,67,71,0.0728,0.0503,0.0147,0.1357,0.1811,0.2,0.1803,-0.0026,9,0,0,0,,
2020-02-25,CAN,29289,6739,1394,21156,25540,2483,736,2864,0.2286,971,1609,73,2410,1,6,519,135,75,0.08,0.0282,0.0385,0.2915,0.2567,0.2929,0.2548,-0.0218,11,2,0,0,,
2020-02-26,CAN,26334,5956,1337,19041,21837,1858,692,2632,0.2714,1005,1441,75,1783,26,15,508,103,40,0.1467,0.0808,0.1522,0.3068,0.2837,0.1605,0.2902,-0.0058,11,0,0,0,,
2020-02-27,CAN,40677,8162,2071,30444,36372,2840,1126,3201,0.2839,1189,1737,87,2753,138,23,761,146,58,0.1394,0.0601,0.0541,0.3689,0.2972,0.2479,0.2996,-0.0051,12,1,0,0,,
2020-02-28,CAN,41748,8821,1984,30943,37610,2719,1405,3306,0.3407,1398,1614,93,2626,39,107,912,222,125,0.2096,0.1015,0.151,0.3499,0.3834,0.1574,0.3928,0.0049,14,2,0,0,,
2020-02-29,CAN,45544,8473,2215,34856,41308,3445,1126,3312,0.2463,1616,1412,120,3325,18,38,720,294,56,0.2089,0.1989,0.0233,0.2659,0.2494,0.1243,0.2565,,16,2,0,0,,
2020-03-01,CAN,43929,8129,2237,33563,40085,3272,1037,3598,0.2407,1480,1825,137,3135,15,57,706,193,66,0.1479,0.0905,0.0111,0.2897,0.2442,0.1111,0.2502,,20,4,0,0,,
2020-03-02,CAN,43464,8957,2105,32402,39734,3028,942,5178,0.2373,2804,2075,109,2919,10,36,734,105,57,0.1287,0.0683,0.0098,0.2855,0.2348,0.2097,0.2361,0.014,24,4,0,0,,
2020-03-03,CAN,43889,9645,2255,31989,40401,2928,929,4675,0.2409,2297,2020,125,2803,11,17,727,121,53,0.1328,0.0591,0.0187,0.3875,0.2653,0.0782,0.2799,-0.0151,27,3,0,0,,
2020-03-04,CAN,45742,10812,2036,32894,42056,3168,1224,4815,0.2787,2086,2433,80,3088,17,23,991,135,58,0.2537,0.0769,0.0038,0.6026,0.3142,0.1624,0.3207,0.0072,30,3,0,0,,
2020-03-05,CAN,51142,11946,2547,36649,47499,3598,1087,5938,0.232,3037,2600,86,3512,16,27,867,102,75,0.0885,0.0488,0.0189,0.2038,0.2552,0.1386,0.2622,0.0007,33,3,0,0,,
2020-03-06,CAN,53814,12532,2750,38532,49743,3958,949,6162,0.1934,3143,2639,80,3878,20,103,663,97,66,0.104,0.0879,0.1186,0.1308,0.1939,0.1988,0.1936,-0.0029,45,12,0,0,,
2020-03-07,CAN,54225,11371,2820,40034,50300,4172,1299,4129,0.2374,1557,2239,63,4109,5,382,684,166,62,0.1164,0.0474,0.2282,0.2399,0.2486,0.2431,0.2488,,51,6,0,0,,
2020-03-08,CAN,54112,10709,2859,40544,50541,3766,1058,4068,0.2193,1619,2139,64,3702,9,150,692,155,52,0.1173,0.0808,0.0407,0.2106,0.2299,0.1342,0.2346,,57,6,0,0,,
2020-03-09,CAN,52324,11164,2701,38459,48587,3090,1092,4773,0.2611,2196,2322,121,2969,5,11,897,137,42,0.1687,0.1153,0.0568,0.2896,0.2827,0.3312,0.2798,-0.0465,62,5,0,0,,
2020-03-10,CAN,49241,10566,2358,36317,45511,3141,878,4644,0.2185,1819,2552,78,3063,6,12,719,116,25,0.1436,0.0766,0.0082,0.3037,0.2294,0.2212,0.2297,-0.0041,77,15,1,1,,
2020-03-11,CAN,51929,11515,2579,37835,47919,3577,898,4819,0.2007,1764,2735,65,3512,12,56,710,100,20,0.1289,0.0694,0.0105,0.3288,0.2148,0.1361,0.2195,-0.0252,93,16,1,0,,
2020-03-12,CAN,58741,12436,2311,43994,54262,3585,705,4808,0.1643,1817,2716,52,3533,20,6,596,64,19,0.049,0.0256,0.1012,0.0995,0.1665,0.185,0.1653,-0.0811,103,10,1,0,,
2020-03-13,CAN,65020,12363,2272,50385,60516,3493,735,11143,0.1738,6272,4588,143,3350,10,12,595,93,25,0.1352,0.0811,0.1166,0.2524,0.1787,0.1933,0.1779,0.0421,138,35,1,0,,
2020-03-14,CAN,57921,10216,2038,45667,53676,2955,632,7822,0.1762,4721,2775,65,2890,2,11,488,106,25,0.1109,0.0435,0.0088,0.2338,0.1789,0.1533,0.1805,,176,38,1,0,,
2020-03-15,CAN,63925,11625,2997,49303,59732,3532,507,6302,0.1255,1820,4024,90,3442,2,13,410,66,16,0.0388,0.0205,0.0063,0.1479,0.133,0.2386,0.1248,,244,68,1,0,,
2020-03-16,CAN,62686,13067,2344,47275,57997,3418,733,5332,0.1766,1591,3313,57,3361,22,12,592,84,23,0.0998,0.0649,0.0093,0.1948,0.172,0.136,0.1736,-0.0228,304,60,1,0,,
2020-03-17,CAN,59697,13094,2330,44273,55425,3425,748,5903,0.1792,1941,3492,62,3363,13,12,586,110,27,0.1021,0.0632,0.0098,0.2171,0.1825,0.1216,0.1858,0.0128,424,120,4,3,,
2020-03-18,CAN,57931,13193,2403,42335,53468,3860,746,5768,0.162,1928,3367,128,3732,9,20,573,115,29,0.0988,0.0522,0.0188,0.229,0.1629,0.1597,0.163,-0.039,569,145,8,4,53975.0,
2020-03-19,CAN,56452,11971,2328,42153,52336,3212,740,5124,0.1872,1758,2886,78,3134,12,16,595,98,19,0.1255,0.076,0.0588,0.224,0.1897,0.2327,0.1869,0.044,690,121,9,1,54956.0,981.0
2020-03-20,CAN,59528,12361,2360,44807,55692,3718,1487,5587,0.2857,1860,3273,83,3635,10,32,1305,119,21,0.1163,0.0535,0.048,0.243,0.3244,0.2795,0.3264,-0.0392,846,156,10,1,76814.0,21858.0
2020-03-21,CAN,53201,10685,2186,40330,48981,3487,1081,4538,0.2366,1286,2864,74,3413,5,32,872,133,39,0.1067,0.0653,0.0193,0.1818,0.2606,0.2316,0.2625,,971,125,12,2,88883.0,12069.0
2020-03-22,CAN,77728,15342,3696,58690,72689,4946,1179,7618,0.1925,2375,4682,139,4807,2,26,950,140,61,0.0524,0.0225,0.0051,0.1629,0.2068,0.1368,0.2109,,1302,331,18,6,98824.0,9941.0
2020-03-23,CAN,61616,13304,2525,45787,57342,3611,931,6057,0.205,2176,3321,66,3545,18,21,703,133,56,0.0964,0.0371,0.1447,0.2575,0.2247,0.2201,0.225,-0.0487,1430,128,20,2,107147.0,8323.0
2020-03-24,CAN,58479,13083,2690,42706,54241,4052,973,6057,0.1936,1942,3663,45,4007,10,19,777,128,39,0.1036,0.0602,0.0062,0.2618,0.2035,0.1344,0.2075,0.0555,1646,216,24,4,125062.0,17915.0
2020-03-25,CAN,63128,14322,2821,45985,58720,4196,1152,6615,0.2154,2298,3839,66,4130,11,38,919,156,28,0.1089,0.042,0.0218,0.27,0.2402,0.2663,0.2388,0.0438,1959,313,27,3,142154.0,17092.0
2020-03-26,CAN,63308,14930,2965,45413,59063,4786,1074,6370,0.1833,2193,3655,87,4699,9,12,863,143,47,0.0821,0.0466,0.0349,0.1565,0.191,0.2011,0.1905,0.0165,3385,1426,35,8,161603.0,19449.0
2020-03-27,CAN,60058,14576,2728,42754,55789,4327,1016,6213,0.1902,2191,3516,80,4247,7,27,814,138,30,0.0956,0.0409,0.0177,0.2509,0.2029,0.1882,0.2036,-0.0197,4018,633,39,4,170644.0,9041.0
2020-03-28,CAN,57877,12349,2722,42806,53756,4396,887,5289,0.1679,1837,3004,87,4309,2,20,633,189,43,0.0947,0.0428,0.0388,0.2014,0.1722,0.2915,0.1652,,4675,657,53,14,184201.0,13557.0
