date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,DJI,15,5,0,10,4,0,15,2,1,5,0.3333,4,1,0,2,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-01-23,DJI,46,7,0,39,7,0,46,6,1,2,0.1429,0,1,0,6,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-01-24,DJI,186,16,4,166,35,0,186,20,4,13,0.1667,5,5,0,20,0,0,3,1,0,,,,,,,,,,,,,,,,,
2020-01-25,DJI,275,31,2,242,49,0,275,21,0,23,0.0,10,11,0,21,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-26,DJI,133,25,1,107,26,0,133,10,0,9,0.0,3,5,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-27,DJI,123,32,2,89,36,0,123,5,5,8,0.5,3,4,0,5,0,0,5,0,0,,,,,,,,,,,,,,,,,
2020-01-28,DJI,106,26,3,77,36,0,106,13,1,15,0.0714,10,4,0,13,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-01-29,DJI,131,18,3,110,25,0,131,13,1,6,0.0714,3,3,0,13,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-01-30,DJI,140,32,3,105,38,0,140,8,2,18,0.2,7,3,0,8,0,0,1,1,0,,,,,,,,,,,,,,,,,
2020-01-31,DJI,142,24,1,117,22,0,142,11,2,9,0.1538,6,1,0,11,0,1,1,0,0,,,,,,,,,,,,,,,,,
2020-02-01,DJI,57,19,3,35,13,0,57,2,2,7,0.5,5,2,0,2,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-02,DJI,70,20,0,50,19,0,70,1,0,6,0.0,3,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-03,DJI,41,14,0,27,8,0,41,1,0,4,0.0,3,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-04,DJI,32,9,0,23,10,0,32,3,0,3,0.0,3,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-05,DJI,50,16,2,32,23,0,50,2,0,8,0.0,4,3,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-06,DJI,47,14,1,32,25,0,47,2,0,6,0.0,3,3,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-07,DJI,53,6,3,44,9,0,53,4,0,1,0.0,0,1,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-08,DJI,30,8,0,22,13,0,30,5,0,4,0.0,1,2,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-09,DJI,23,4,2,17,8,0,23,1,0,7,0.0,3,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-10,DJI,35,12,0,23,20,0,35,3,0,9,0.0,8,1,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-11,DJI,29,10,1,18,15,0,29,0,0,8,,6,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-12,DJI,17,7,1,9,9,0,17,1,0,5,0.0,5,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-13,DJI,30,7,1,22,7,0,30,2,0,10,0.0,9,1,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-14,DJI,34,5,0,29,3,0,34,0,0,9,,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-15,DJI,54,4,0,50,12,0,54,4,0,4,0.0,1,3,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,
