date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,FJI,69,18,0,51,61,1,68,9,3,13,0.25,4,7,0,9,0,0,3,0,0,,,,,,,,,,,,,,,,,
2020-01-23,FJI,132,42,5,85,113,1,131,22,8,20,0.2667,2,12,4,18,0,0,5,3,0,,,,,,,,,,,,,,,,,
2020-01-24,FJI,160,53,6,101,133,0,160,9,5,33,0.3571,5,17,0,9,0,0,2,2,1,,,,,,,,,,,,,,,,,
2020-01-25,FJI,228,55,6,167,182,4,224,27,6,26,0.1818,4,20,0,27,0,1,2,2,1,,,,,,,,,,,,,,,,,
2020-01-26,FJI,236,55,5,176,201,0,236,26,9,27,0.2571,5,17,0,26,0,3,3,2,1,,,,,,,,,,,,,,,,,
2020-01-27,FJI,288,107,17,164,246,2,286,30,21,49,0.4118,7,41,1,29,0,0,14,0,7,,,,,,,,,,,,,,,,,
2020-01-28,FJI,316,108,6,202,264,0,316,24,20,26,0.4545,5,17,2,22,0,0,18,0,2,,,,,,,,,,,,,,,,,
2020-01-29,FJI,328,117,31,180,231,0,328,21,11,17,0.3438,1,10,0,21,0,0,8,1,2,,,,,,,,,,,,,,,,,
2020-01-30,FJI,410,132,23,255,306,1,409,29,11,22,0.275,2,8,0,29,0,1,7,3,0,,,,,,,,,,,,,3.0,,,,
2020-01-31,FJI,293,62,13,218,245,2,291,17,13,13,0.4333,4,5,0,17,0,1,7,1,4,,,,,,,,,,,,,,,,,
2020-02-01,FJI,239,75,11,153,209,0,239,8,4,8,0.3333,1,6,0,8,0,0,2,1,1,,,,,,,,,,,,,,,,,
