date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,GNB,13,2,0,11,3,0,13,3,1,0,0.25,0,0,0,3,0,0,1,0,0,0.0068,0.0,,0.0129,0.3333,,0.3333,,,,,,,,,,
2020-01-23,GNB,55,18,3,34,2,0,55,9,2,11,0.1818,5,6,3,6,0,0,2,0,0,0.2435,0.25,,0.0,0.0,,0.0,,,,,,,,,,
2020-01-24,GNB,88,22,3,63,3,0,88,9,4,12,0.3077,2,9,0,9,0,0,4,0,0,0.5341,0.7499,0.0,0.5052,0.125,0.0,0.1429,,,,,,,,,,
2020-01-25,GNB,121,27,3,91,7,0,121,6,1,10,0.1429,1,8,0,6,0,0,1,0,0,0.3894,0.6932,,0.0,0.0,,0.0,,,,,,,,,,
2020-01-26,GNB,124,21,8,95,1,0,124,20,7,8,0.2593,4,4,0,20,0,0,6,1,0,0.4007,0.6203,1.0,0.0212,0.1111,1.0,0.0588,,,,,,,,,,
2020-01-27,GNB,124,21,2,101,2,0,124,13,4,33,0.2353,9,21,2,11,0,0,4,0,0,0.4226,0.25,,0.4566,0.2308,,0.2308,,,,,,,,,,
2020-01-28,GNB,102,22,8,72,6,0,102,9,9,14,0.5,2,12,0,9,0,0,4,5,0,0.7375,0.4286,,0.8549,0.5455,,0.5455,,,,,,,,,,
2020-01-29,GNB,84,29,3,52,9,0,84,4,10,4,0.7143,1,2,0,4,0,0,8,1,1,0.7695,0.6443,,1.0,1.0,,1.0,,,,,,,,,,
2020-01-30,GNB,182,47,0,135,12,0,182,13,4,16,0.2353,2,9,0,13,0,1,3,0,0,0.3061,0.3555,,0.1729,0.25,,0.25,,,,,,,,,,
2020-01-31,GNB,154,38,9,107,10,0,154,9,4,9,0.3077,2,6,0,9,0,0,4,0,0,0.2785,0.2857,0.0,0.2153,0.3333,0.0,0.4,,,,,,,,,,
2020-02-01,GNB,138,41,2,95,7,0,138,15,9,14,0.375,4,9,1,14,1,0,7,0,1,0.3368,0.3158,,0.5143,0.6,,0.6,,,,,,,,,,
2020-02-02,GNB,114,39,1,74,7,0,114,16,7,10,0.3043,0,9,0,16,0,0,6,0,1,0.2965,0.2981,,0.2732,0.5,,0.5,,,,,,,,,,
2020-02-03,GNB,105,44,1,60,1,0,105,29,3,13,0.0938,0,12,0,29,0,0,3,0,0,0.0983,0.0741,,0.2852,0.2,,0.2,,,,,,,,,,
2020-02-04,GNB,68,28,6,34,2,0,68,16,2,7,0.1111,0,7,0,16,0,0,2,0,0,0.1111,0.1111,,,,,,,,,,,,,,,
2020-02-05,GNB,61,31,7,23,3,0,61,19,1,9,0.05,1,7,0,19,0,0,1,0,0,0.05,0.0526,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-06,GNB,87,36,7,44,3,0,87,18,6,7,0.25,1,5,0,18,0,0,6,0,0,0.2711,0.2727,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-07,GNB,43,14,3,26,1,0,43,5,0,2,0.0,0,1,0,5,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-08,GNB,42,5,0,37,0,0,42,5,0,4,0.0,1,3,0,5,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-09,GNB,36,8,3,25,1,0,36,1,0,8,0.0,8,0,0,1,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-10,GNB,61,7,2,52,3,0,61,2,3,14,0.6,10,4,0,2,0,0,0,0,3,0.4373,1.0,1.0,0.0,0.5,1.0,0.0,,,,,,,,,,
2020-02-11,GNB,35,10,3,22,2,0,35,1,1,2,0.5,0,2,0,1,0,0,1,0,0,0.9511,0.9511,,,,,,,,,,,,,,,
2020-02-12,GNB,49,10,17,22,1,0,49,3,2,7,0.4,0,6,0,3,0,0,0,0,2,0.3246,,0.2764,0.3913,0.4,0.3333,0.5,,,,,,,,,,
2020-02-13,GNB,17,2,2,13,3,0,17,2,0,3,0.0,0,3,0,2,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-14,GNB,56,17,8,31,1,0,56,6,1,8,0.1429,1,7,0,6,0,0,1,0,0,0.1746,0.2,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-15,GNB,87,20,3,64,2,0,87,12,0,6,0.0,1,4,1,11,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-16,GNB,125,23,21,81,1,0,125,7,1,4,0.125,0,4,2,5,0,1,0,0,0,0.051,0.0,,0.0603,0.1429,,0.1429,,,,,,,,,,
2020-02-17,GNB,42,12,1,29,2,0,42,8,1,3,0.1111,2,1,0,8,0,0,1,0,0,0.136,0.2,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-18,GNB,105,18,3,84,2,0,105,8,2,15,0.2,2,11,0,8,0,0,2,0,0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-02-19,GNB,44,4,7,33,1,0,44,1,0,1,0.0,0,1,0,1,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-20,GNB,22,3,5,14,1,0,22,4,0,3,0.0,0,3,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-02-21,GNB,106,36,11,59,4,0,106,8,3,10,0.2727,2,8,0,8,0,0,2,1,0,0.179,0.2,0.0,0.101,0.3333,0.0,0.4,,,,,,,,,,
2020-02-22,GNB,208,45,47,116,1,0,208,20,6,28,0.2308,5,21,0,20,4,0,2,0,0,0.2902,0.241,0.0,0.4348,0.2941,0.0,0.4167,,,,,,,,,,
2020-02-23,GNB,300,46,27,227,3,0,300,30,3,12,0.0909,3,9,1,29,0,1,1,0,1,0.0628,0.1543,0.0,0.0435,0.0435,0.0,0.0526,,,,,,,,,,
2020-02-24,GNB,234,47,6,181,0,0,234,32,4,19,0.1111,8,9,0,32,0,0,3,0,1,0.0181,0.0,0.0,0.0238,0.1379,0.0,0.1481,,,,,,,,,,
2020-02-25,GNB,237,35,9,193,1,0,237,20,7,9,0.2593,4,5,1,19,0,0,6,0,1,0.2026,0.6837,0.0,0.084,0.2174,0.0,0.2381,,,,,,,,,,
2020-02-26,GNB,197,42,12,143,12,0,197,26,5,10,0.1613,3,7,0,26,0,0,5,0,0,0.0914,0.3407,0.0,0.002,0.125,0.0,0.1429,,,,,,,,,,
2020-02-27,GNB,217,41,4,172,22,0,217,25,10,25,0.2857,3,19,0,25,2,0,7,0,1,0.1047,0.1328,,0.0953,0.3103,,0.3103,,,,,,,,,,
2020-02-28,GNB,191,42,3,146,9,4,187,28,8,16,0.2222,7,8,0,28,0,0,8,0,0,0.1264,0.25,0.0,0.0473,0.2083,0.0,0.2174,,,,,,,,,,
2020-02-29,GNB,184,29,9,146,7,0,184,21,4,14,0.16,10,3,0,21,0,0,3,0,1,0.0968,0.2421,,0.0314,0.1053,,0.1053,,,,,,,,,,
2020-03-01,GNB,213,38,4,171,11,0,213,14,0,20,0.0,7,13,0,14,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
