date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,GRD,48,11,1,36,0,3,45,4,0,13,0.0,3,10,0,4,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-01-23,GRD,54,13,0,41,0,1,53,5,6,13,0.5455,3,9,1,4,0,1,5,0,0,0.2663,0.0352,,0.6837,0.625,,0.625,,,,,,,,,,
2020-01-24,GRD,151,33,3,115,0,6,145,15,2,43,0.1176,10,31,1,14,0,0,1,1,0,0.212,0.0,,0.2796,0.1667,,0.1667,,,,,,,,,,
2020-01-25,GRD,356,113,11,232,0,8,348,10,2,87,0.1667,19,53,1,9,0,0,2,0,0,0.0859,0.0,0.0,0.3839,0.2,0.0,0.2857,,,,,,,,,,
2020-01-26,GRD,387,52,10,325,0,4,383,11,2,72,0.1538,6,61,0,11,0,0,2,0,0,0.0131,0.0,,0.281,0.25,,0.25,,,,,,,,,,
2020-01-27,GRD,252,46,3,203,0,6,246,13,5,40,0.2778,5,34,4,9,0,0,5,0,0,0.1243,0.0,0.0,0.225,0.2941,0.0,0.3125,,,,,,,,,,
2020-01-28,GRD,318,50,6,262,0,12,306,8,2,44,0.2,20,23,1,7,0,0,1,0,1,0.1905,0.0,,0.2576,0.25,,0.25,,,,,,,,,,
2020-01-29,GRD,335,57,8,270,0,2,333,10,1,20,0.0909,6,13,0,10,0,0,1,0,0,0.1962,0.0,0.0,0.2967,0.1111,0.0,0.1667,,,,,,,,,,
2020-01-30,GRD,289,63,10,216,0,6,283,8,4,19,0.3333,5,12,1,7,0,3,1,0,0,0.8441,0.8611,,0.3094,0.2857,,0.2857,,,,,,,,,,
2020-01-31,GRD,318,67,11,240,0,7,311,8,9,22,0.5294,5,14,0,8,0,0,8,1,0,0.586,0.2797,,0.6141,0.5714,,0.5714,,,,,,,,,,
2020-02-01,GRD,246,42,4,200,0,2,244,8,3,22,0.2727,15,7,1,7,0,0,3,0,0,0.1,0.0,,0.295,0.4286,,0.4286,,,,,,,,,,
2020-02-02,GRD,296,38,11,247,0,3,293,8,1,15,0.1111,2,6,0,8,0,0,1,0,0,0.0145,0.0,,0.0693,0.2,,0.2,,,,,,,,,,
2020-02-03,GRD,242,40,8,194,0,3,239,2,1,42,0.3333,5,36,0,2,0,0,0,1,0,0.4985,0.4985,,,,,,,,,,,,,,,
2020-02-04,GRD,171,36,3,132,0,5,166,6,0,28,0.0,8,20,0,6,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-05,GRD,119,23,3,93,0,2,117,2,1,11,0.3333,4,7,0,2,0,0,1,0,0,0.4655,,,0.4655,0.3333,,0.3333,,,,,,,,,,
2020-02-06,GRD,78,21,3,54,0,3,75,7,0,15,0.0,5,10,0,7,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-07,GRD,119,22,7,90,0,2,117,18,2,13,0.1,2,9,1,17,0,0,2,0,0,0.3421,1.0,,0.004,0.0526,,0.0526,,,,,,,,,,
2020-02-08,GRD,107,18,4,85,0,1,106,20,0,10,0.0,3,7,1,19,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-09,GRD,132,24,4,104,0,4,128,8,1,14,0.1111,6,6,0,8,0,0,0,0,1,0.0004,0.0,0.0,0.0027,0.1429,0.0,0.1667,,,,,,,,,,
2020-02-10,GRD,76,15,5,56,0,4,72,3,1,11,0.25,1,10,0,3,0,0,1,0,0,0.0192,,,0.0192,0.25,,0.25,,,,,,,,,,
2020-02-11,GRD,117,20,8,89,0,3,114,7,1,17,0.125,5,11,0,7,0,0,1,0,0,0.0254,0.0,0.0,0.5118,0.1667,0.0,0.25,,,,,,,,,,
2020-02-12,GRD,140,24,0,116,0,1,139,4,2,21,0.3333,7,11,0,4,0,0,2,0,0,0.0176,0.0,,0.0913,0.4,,0.4,,,,,,,,,,
2020-02-13,GRD,144,23,9,112,0,3,141,7,1,10,0.125,0,10,0,7,0,0,0,0,1,0.0113,0.0132,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-14,GRD,76,15,3,58,0,1,75,5,1,5,0.1667,1,3,0,5,0,1,0,0,0,0.0342,0.0,,0.2001,0.25,,0.25,,,,,,,,,,
2020-02-15,GRD,75,12,1,62,0,3,72,5,1,17,0.1667,2,15,0,5,0,0,1,0,0,0.0962,0.0,,0.1361,0.2,,0.2,,,,,,,,,,
2020-02-16,GRD,79,11,1,67,0,3,76,11,0,25,0.0,1,24,0,11,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-17,GRD,38,7,3,28,0,0,38,2,0,7,0.0,1,6,0,2,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-18,GRD,59,16,5,38,0,2,57,2,0,10,0.0,5,5,0,2,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-19,GRD,60,19,1,40,0,2,58,0,0,11,,4,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-20,GRD,41,11,0,30,0,1,40,1,1,9,0.5,6,3,1,0,0,0,1,0,0,0.7348,,,0.7348,0.5,,0.5,,,,,,,,,,
2020-02-21,GRD,54,14,0,40,0,1,53,6,0,7,0.0,1,6,0,6,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-22,GRD,70,22,1,47,0,3,67,7,1,9,0.125,1,8,0,7,0,0,1,0,0,0.777,0.0,,0.8036,0.1429,,0.1429,,,,,,,,,,
2020-02-23,GRD,131,35,3,93,0,3,128,9,0,9,0.0,0,9,0,9,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-24,GRD,495,103,9,383,0,13,482,11,4,41,0.2667,14,24,0,11,0,0,4,0,0,0.1945,0.0,0.0,0.7784,0.4,0.0,0.4444,,,,,,,,,,
2020-02-25,GRD,989,162,18,809,0,19,970,65,36,58,0.3564,17,38,0,65,0,0,35,1,0,0.3924,0.4233,,0.3578,0.375,,0.375,,,,,,,,,,
2020-02-26,GRD,985,136,24,825,0,12,973,67,23,64,0.2556,30,33,1,66,2,0,21,0,0,0.1836,0.0,0.3985,0.2005,0.2706,0.5,0.2651,,,,,,,,,,
2020-02-27,GRD,512,82,30,400,0,5,507,35,5,35,0.125,4,30,0,35,1,0,3,1,0,0.1716,0.2561,0.0,0.057,0.1,0.0,0.1071,,,,,,,,,,
2020-02-28,GRD,367,51,17,299,0,5,362,3,6,26,0.6667,10,14,0,3,0,0,5,0,1,0.9794,,,0.9794,0.6667,,0.6667,,,,,,,,,,
2020-02-29,GRD,279,44,7,228,0,3,276,12,3,20,0.2,7,12,0,12,1,0,2,0,0,0.0803,0.0,1.0,0.0699,0.25,1.0,0.1818,,,,,,,,,,
2020-03-01,GRD,468,68,22,378,0,4,464,38,5,33,0.1163,9,22,1,37,1,2,0,2,0,0.4537,0.505,,0.3788,0.0976,,0.0976,,,,,,,,,,
2020-03-02,GRD,341,68,6,267,0,7,334,26,3,50,0.1034,27,22,0,26,0,0,2,1,0,0.0659,0.0663,,0.0645,0.0435,,0.0435,,,,,,,,,,
2020-03-03,GRD,333,64,9,260,0,7,326,12,0,37,0.0,19,16,0,12,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-03-04,GRD,553,133,13,407,0,15,538,21,3,75,0.125,21,52,0,21,0,0,3,0,0,0.6189,0.7408,,0.0758,0.1111,,0.1111,,,,,,,,,,
2020-03-05,GRD,430,82,18,330,0,6,424,26,1,53,0.037,34,18,1,25,0,0,1,0,0,0.1115,0.1881,,0.0,0.0,,0.0,,,,,,,,,,
2020-03-06,GRD,350,69,11,270,0,6,344,15,0,50,0.0,33,14,0,15,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-03-07,GRD,471,71,17,383,0,10,461,22,18,30,0.45,18,11,0,22,0,11,6,0,1,0.4146,0.9829,0.0,0.1585,0.4286,0.0,0.4412,,,,,,,,,,
2020-03-08,GRD,453,72,15,366,0,10,443,11,9,59,0.45,42,17,0,11,0,3,5,1,0,0.3249,0.3241,,0.3434,0.4286,,0.4286,,,,,,,,,,
2020-03-09,GRD,593,110,13,470,0,10,583,13,6,54,0.3158,16,37,1,12,0,0,6,0,0,0.0295,0.0,,0.3567,0.4615,,0.4615,,,,,,,,,,
2020-03-10,GRD,1251,222,32,997,0,23,1228,22,13,105,0.3714,35,67,0,22,0,0,12,1,0,0.2424,0.1336,1.0,0.248,0.44,1.0,0.4167,,,,,,,,,,
2020-03-11,GRD,995,181,20,794,0,7,988,34,9,77,0.2093,23,52,0,34,0,0,8,1,0,0.3309,0.342,,0.3002,0.2188,,0.2188,,,,,,,,,,
2020-03-12,GRD,1037,172,16,849,0,12,1025,27,12,112,0.3077,33,76,0,27,0,0,11,1,0,0.3621,0.905,0.0,0.0677,0.2414,0.0,0.25,,,,,,,,,,
2020-03-13,GRD,820,115,17,688,0,10,810,17,3,102,0.15,34,66,1,16,0,0,2,1,0,0.4067,0.9204,,0.0488,0.1333,,0.1333,,,,,,,,,,
2020-03-14,GRD,789,123,17,649,0,13,776,17,6,61,0.2609,26,34,1,16,0,0,5,1,0,0.187,0.0,0.0,0.2353,0.3333,0.0,0.3529,,,,,,,,,,
2020-03-15,GRD,520,109,26,385,0,36,484,9,2,37,0.1818,4,31,0,9,0,0,1,1,0,0.2359,0.0,0.9196,0.2277,0.25,0.5,0.1667,,,,,,,,,,
2020-03-16,GRD,593,102,27,464,0,12,581,19,13,55,0.4062,6,47,0,19,0,0,13,0,0,0.1223,0.0788,0.0,0.1304,0.48,0.0,0.5,,,,,,,,,,
2020-03-17,GRD,615,105,24,486,0,10,605,26,8,64,0.2353,19,44,0,26,0,0,7,1,0,0.4748,0.7443,0.0,0.1324,0.2083,0.0,0.2273,,,,,,,,,,
2020-03-18,GRD,655,95,12,548,0,14,641,13,6,78,0.3158,21,57,0,13,0,0,6,0,0,0.0819,0.0293,,0.2639,0.2667,,0.2667,,,,,,,,,,
