date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,IRL,639,199,15,425,547,50,589,101,21,158,0.1721,52,89,9,92,0,0,13,7,1,,,,,,,,0.0044,,0.0,,0.0,,,,,
2020-01-23,IRL,1570,419,59,1092,1306,108,1462,301,75,293,0.1995,89,180,22,279,0,8,43,23,1,0.0191,0.0047,0.0102,0.0393,0.2135,0.3,0.2101,-0.0069,,0.0,,0.0,,,,,
2020-01-24,IRL,3102,879,118,2105,2603,123,2979,402,96,521,0.1928,223,264,14,388,1,13,40,33,9,0.0841,0.1005,0.1074,0.0665,0.2081,0.0476,0.2185,0.0086,,0.0,,0.0,,,,,
2020-01-25,IRL,3508,702,98,2708,2640,56,3452,337,103,315,0.2341,109,180,13,324,0,26,47,17,13,0.034,0.0181,0.01,0.0474,0.2508,0.4,0.2461,,,0.0,,0.0,,,,,
2020-01-26,IRL,3158,653,98,2407,2593,35,3123,344,102,443,0.2287,112,275,16,328,0,10,41,37,14,0.058,0.015,0.0,0.1427,0.2465,0.0,0.2529,,,0.0,,0.0,,,,,
2020-01-27,IRL,2973,715,103,2155,2477,81,2892,378,104,452,0.2158,142,266,22,356,2,3,57,32,10,0.0218,0.0154,0.1541,0.0247,0.2126,0.5556,0.1956,-0.017,,0.0,,0.0,,,,,
2020-01-28,IRL,2661,770,114,1777,2137,100,2561,344,115,467,0.2505,160,268,23,321,5,4,85,12,9,0.0497,0.0262,0.1945,0.0835,0.2507,0.2105,0.2531,0.003,,0.0,,0.0,,,,,
2020-01-29,IRL,2899,878,115,1906,2355,155,2744,204,77,304,0.274,59,196,10,194,7,12,38,14,6,0.0344,0.0383,0.3434,0.0296,0.2882,0.45,0.2667,0.0131,,0.0,,0.0,,,,,
2020-01-30,IRL,4604,1354,161,3089,3875,216,4388,402,74,509,0.1555,119,286,10,392,5,11,37,12,9,0.04,0.0533,0.0235,0.0277,0.1488,0.2857,0.1418,-0.0123,,0.0,,0.0,,,,,
2020-01-31,IRL,4625,1311,193,3121,4023,209,4416,363,95,492,0.2074,125,316,6,357,0,17,46,19,13,0.0175,0.0132,0.0233,0.0246,0.2066,0.2222,0.2061,-0.0113,,0.0,,0.0,,,,,
2020-02-01,IRL,2528,677,98,1753,2207,81,2447,160,72,332,0.3103,72,206,12,148,1,13,11,16,31,0.0462,0.0864,0.973,0.0203,0.2986,0.5,0.2899,,,0.0,,0.0,,,,,
2020-02-02,IRL,2538,705,139,1694,2144,79,2459,199,39,306,0.1639,65,198,5,194,0,4,20,8,7,0.0169,0.0103,0.1388,0.0407,0.188,0.3333,0.1736,,,0.0,,0.0,,,,,
2020-02-03,IRL,2228,685,104,1439,1924,125,2103,212,38,326,0.152,68,206,11,201,1,2,18,10,7,0.0269,0.0265,0.0415,0.0277,0.1513,0.5,0.137,0.0123,,0.0,,0.0,,,,,
2020-02-04,IRL,2016,529,172,1315,1711,129,1887,147,46,306,0.2383,49,235,8,139,0,1,19,8,18,0.026,0.0302,0.551,0.0221,0.2821,0.5,0.2743,0.0047,,0.0,,0.0,,,,,
2020-02-05,IRL,1563,487,103,973,1331,98,1465,102,25,226,0.1969,41,154,3,99,1,0,11,7,6,0.013,0.0493,0.1256,0.0026,0.2319,0.6,0.2031,0.0102,,0.0,,0.0,,,,,
2020-02-06,IRL,1857,569,88,1200,1653,143,1714,240,26,297,0.0977,64,211,6,234,0,0,19,6,1,0.0112,0.0134,0.1096,0.009,0.1156,0.25,0.1119,-0.0031,,0.0,,0.0,,,,,
2020-02-07,IRL,2022,606,79,1337,1764,117,1905,356,29,306,0.0753,66,197,7,349,1,0,19,5,4,0.0149,0.0118,0.0161,0.0176,0.0532,0.1667,0.0507,-0.0052,,0.0,,0.0,,,,,
2020-02-08,IRL,1742,417,90,1235,1536,74,1668,342,26,272,0.0707,91,147,1,341,1,1,10,8,6,0.0126,0.0146,0.0446,0.0113,0.0578,0.1429,0.0556,,,0.0,,0.0,,,,,
2020-02-09,IRL,1546,364,82,1100,1260,55,1491,181,39,238,0.1773,97,120,3,178,0,17,17,4,1,0.0269,0.1935,0.2895,0.0202,0.1307,0.25,0.1275,,,0.0,,0.0,,,,,
2020-02-10,IRL,1749,523,87,1139,1543,135,1614,250,29,260,0.1039,73,161,2,248,1,0,20,5,3,0.0131,0.0034,0.0032,0.0191,0.1149,0.1111,0.1152,-0.0121,,0.0,,0.0,,,,,
2020-02-11,IRL,1799,552,90,1157,1574,105,1694,173,43,283,0.1991,85,156,7,166,0,5,15,14,9,0.0591,0.0121,0.8873,0.0087,0.2109,0.4286,0.1983,0.013,,0.0,,0.0,,,,,
2020-02-12,IRL,1705,576,104,1025,1513,144,1561,202,27,307,0.1179,121,168,3,199,0,8,10,6,3,0.0073,0.0021,0.434,0.0141,0.1441,0.1667,0.1429,0.0068,,0.0,,0.0,,,,,
2020-02-13,IRL,1848,538,123,1187,1652,151,1697,214,74,222,0.2569,42,147,4,210,0,44,18,5,7,0.0119,0.0079,0.0,0.0187,0.324,0.0,0.3314,-0.0038,,0.0,,0.0,,,,,
2020-02-14,IRL,1353,420,82,851,1221,75,1278,154,46,152,0.23,42,86,6,148,0,21,13,6,6,0.0272,0.0122,0.1027,0.0348,0.271,0.2857,0.27,0.0022,,0.0,,0.0,,,,,
2020-02-15,IRL,1219,333,63,823,1047,68,1151,200,18,130,0.0826,41,71,5,195,0,0,8,5,5,0.0133,0.0262,0.0,0.0016,0.0611,0.0,0.0625,,,0.0,,0.0,,,,,
2020-02-16,IRL,1303,276,65,962,1108,45,1258,251,36,130,0.1254,34,71,4,247,0,7,12,11,6,0.0637,0.0854,1.0,0.0588,0.1073,1.0,0.0996,,,0.0,,0.0,,,,,
2020-02-17,IRL,1191,340,56,795,1022,78,1113,143,23,167,0.1386,43,88,6,137,0,3,12,3,5,0.0119,0.0202,0.0,0.01,0.125,0.0,0.1275,-0.0019,,0.0,,0.0,,,,,
2020-02-18,IRL,1607,528,77,1002,1415,139,1468,145,29,304,0.1667,110,172,1,144,10,0,6,7,6,0.0202,0.0333,0.0,0.0095,0.1795,0.0,0.1892,-0.0003,,0.0,,0.0,,,,,
2020-02-19,IRL,1324,371,67,886,1107,118,1206,96,12,241,0.1111,121,106,2,94,3,1,4,4,0,0.0031,0.0034,0.0,0.0018,0.1481,0.0,0.1538,0.0138,,0.0,,0.0,,,,,
2020-02-20,IRL,1127,313,60,754,918,83,1044,115,15,169,0.1154,49,95,5,110,1,0,5,3,6,0.0054,0.0015,0.0,0.011,0.1282,0.0,0.1333,-0.0026,,0.0,,0.0,,,,,
2020-02-21,IRL,1496,370,66,1060,1160,99,1397,179,24,178,0.1182,45,102,9,170,0,2,12,5,5,0.0065,0.0087,0.0065,0.006,0.1168,0.1667,0.1145,0.0007,,0.0,,0.0,,,,,
