date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,JAM,176,36,5,135,150,1,175,20,9,37,0.3103,14,15,1,19,0,0,7,2,0,,,,,,,,,,,,,,,,,
2020-01-23,JAM,302,60,12,230,242,0,302,50,30,36,0.375,15,17,3,47,0,5,23,2,0,,,,,,,,,,,,,,,,,
2020-01-24,JAM,662,121,12,529,498,8,654,105,45,67,0.3,35,29,1,104,0,1,36,8,0,,,,,,,,,,,,,,,,,
2020-01-25,JAM,1348,256,35,1057,956,1,1347,84,28,66,0.25,28,34,1,83,0,5,14,5,4,0.1005,0.0178,0.0014,0.1392,0.2889,0.2,0.2941,,,,,,,,,,
2020-01-26,JAM,1091,194,25,872,933,1,1090,94,27,107,0.2231,30,69,2,92,0,4,19,3,1,0.0939,0.1025,0.0,0.0939,0.23,0.0,0.2347,,,,,,,,,,
2020-01-27,JAM,949,205,14,730,815,11,938,75,44,123,0.3697,31,70,4,71,0,0,40,2,2,,,,,,,,,,,,,,,,,
2020-01-28,JAM,3548,1040,92,2416,3198,19,3529,68,72,186,0.5143,70,95,5,63,0,0,70,2,0,0.2392,0.4855,0.002,0.1747,0.5619,0.5,0.5657,,,,,,,,,,
2020-01-29,JAM,1443,369,32,1042,1173,11,1432,56,17,92,0.2329,31,45,3,53,0,0,16,0,1,0.167,0.1993,0.0,0.1656,0.2745,0.0,0.2857,,,,,,,,,,
2020-01-30,JAM,1749,386,44,1319,1479,9,1740,102,23,123,0.184,43,46,3,99,1,3,17,1,1,0.1181,0.1599,,0.0901,0.2083,,0.2083,,,,,,,,,,
2020-01-31,JAM,1705,345,47,1313,1474,6,1699,81,27,106,0.25,30,58,3,78,0,2,18,3,4,0.2394,0.044,0.2156,0.3157,0.3205,0.5,0.3108,,,,,,,,,,
2020-02-01,JAM,904,202,25,677,792,7,897,47,10,50,0.1754,21,23,0,47,0,1,3,3,3,,,,,,,,,,,,,,,,,
2020-02-02,JAM,991,183,27,781,869,6,985,71,11,69,0.1341,22,32,3,68,1,1,4,3,2,,,,,,,,,,,,,,,,,
2020-02-03,JAM,580,183,22,375,518,2,578,26,11,43,0.2973,16,22,0,26,0,1,8,2,0,,,,,,,,,,,,,,,,,
2020-02-04,JAM,596,197,12,387,515,9,587,28,6,55,0.1765,19,28,0,28,0,0,5,0,1,,,,,,,,,,,,,,,,,
2020-02-05,JAM,468,169,17,282,407,5,463,30,4,74,0.1176,34,34,0,30,0,1,2,1,0,,,,,,,,,,,,,,,,,
2020-02-06,JAM,450,120,13,317,405,6,444,35,7,65,0.1667,21,39,1,34,0,0,6,1,0,,,,,,,,,,,,,,,,,
2020-02-07,JAM,524,101,12,411,452,18,506,154,6,46,0.0375,27,18,1,153,0,0,4,2,0,,,,,,,,,,,,,,,,,
2020-02-08,JAM,557,97,14,446,494,16,541,115,8,191,0.065,97,85,1,114,0,0,6,1,1,,,,,,,,,,,,,,,,,
2020-02-09,JAM,494,105,16,373,392,23,471,36,7,111,0.1628,51,53,0,36,0,0,5,1,1,,,,,,,,,,,,,,,,,
2020-02-10,JAM,608,218,23,367,540,17,591,49,9,59,0.1552,16,30,3,46,0,1,7,1,0,,,,,,,,,,,,,,,,,
2020-02-11,JAM,482,119,13,350,420,21,461,60,4,55,0.0625,10,34,3,57,0,0,2,2,0,,,,,,,,,,,,,,,,,
2020-02-12,JAM,327,92,8,227,289,11,316,35,11,41,0.2391,14,24,1,34,0,1,8,2,0,,,,,,,,,,,,,,,,,
2020-02-13,JAM,492,139,18,335,425,18,474,47,10,84,0.1754,25,45,3,44,0,6,4,0,0,,,,,,,,,,,,,,,,,
2020-02-14,JAM,451,80,7,364,413,29,422,60,15,58,0.2,21,35,1,59,0,6,8,1,0,,,,,,,,,,,,,,,,,
2020-02-15,JAM,434,119,4,311,362,13,421,127,8,92,0.0593,14,75,1,126,0,2,6,0,0,,,,,,,,,,,,,,,,,
2020-02-16,JAM,438,74,3,361,364,10,428,171,3,29,0.0172,9,18,0,171,0,1,2,0,0,,,,,,,,,,,,,,,,,
2020-02-17,JAM,437,90,3,344,354,12,425,28,6,47,0.1765,5,34,0,28,0,1,3,2,0,,,,,,,,,,,,,,,,,
2020-02-18,JAM,419,91,16,312,338,12,407,17,6,53,0.2609,17,27,1,16,0,0,2,2,2,,,,,,,,,,,,,,,,,
2020-02-19,JAM,348,49,7,292,263,4,344,12,2,68,0.1429,50,13,0,12,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-20,JAM,248,51,9,188,171,11,237,17,5,29,0.2273,11,15,0,17,0,1,2,1,1,,,,,,,,,,,,,,,,,
2020-02-21,JAM,300,55,6,239,214,25,275,30,6,37,0.1667,13,18,3,27,0,0,5,1,0,,,,,,,,,,,,,,,,,
2020-02-22,JAM,327,81,9,237,231,18,309,31,7,33,0.1842,9,18,0,31,0,0,1,3,3,,,,,,,,,,,,,,,,,
2020-02-23,JAM,393,77,10,306,246,49,344,26,7,27,0.2121,7,14,1,25,0,1,3,2,1,,,,,,,,,,,,,,,,,
2020-02-24,JAM,653,142,14,497,464,7,646,30,9,58,0.2308,26,23,0,30,0,0,6,1,2,,,,,,,,,,,,,,,,,
2020-02-25,JAM,784,179,19,586,593,31,753,47,14,82,0.2295,22,54,0,47,0,1,11,2,0,,,,,,,,,,,,,,,,,
2020-02-26,JAM,899,154,31,714,569,21,878,49,18,102,0.2687,30,69,1,48,0,1,15,2,0,,,,,,,,,,,,,,,,,
2020-02-27,JAM,1091,234,20,837,819,23,1068,68,28,111,0.2917,26,73,3,65,1,0,21,3,3,0.3781,0.4757,,0.3193,0.2933,,0.2933,,,,,,,,,,
2020-02-28,JAM,1327,271,34,1022,1091,15,1312,75,57,134,0.4318,58,51,4,71,0,15,33,8,1,0.2992,0.4224,0.0,0.2618,0.4343,0.0,0.4433,,,,,,,,,,
2020-02-29,JAM,1376,266,45,1065,1077,20,1356,103,38,116,0.2695,66,37,4,99,0,3,26,9,0,0.2643,0.153,0.0,0.3314,0.2692,0.0,0.2772,,,,,,,,,,
2020-03-01,JAM,1516,300,33,1183,1266,19,1497,106,15,250,0.124,139,109,1,105,1,4,7,2,1,0.0858,0.1722,0.0,0.0384,0.1136,0.0,0.1163,,,,,,,,,,
2020-03-02,JAM,1944,364,43,1537,1644,19,1925,71,14,459,0.1647,348,99,2,69,0,1,10,2,1,0.1691,0.0149,0.0,0.2346,0.1846,0.0,0.1967,,,,,,,,,,
2020-03-03,JAM,1771,401,49,1321,1476,24,1747,76,13,190,0.1461,112,55,3,73,0,3,9,0,1,0.2907,0.2874,0.0,0.2945,0.127,0.0,0.1333,,,,,,,,,,
2020-03-04,JAM,1865,444,74,1347,1558,40,1825,80,19,185,0.1919,87,86,2,78,0,1,18,0,0,0.1899,0.236,0.0,0.1726,0.2027,0.0,0.2083,,,,,,,,,,
2020-03-05,JAM,1791,379,45,1367,1494,23,1768,66,19,348,0.2235,271,59,2,64,0,3,14,2,0,0.3069,0.5835,0.4906,0.1239,0.1719,0.3333,0.1639,,,,,,,,,,
2020-03-06,JAM,1750,414,45,1291,1452,13,1737,91,19,249,0.1727,163,63,3,88,2,5,10,2,0,0.1117,0.0331,0.0,0.1536,0.175,0.0,0.1818,,,,,,,,,,
2020-03-07,JAM,1624,349,59,1216,1406,23,1601,120,34,118,0.2208,35,58,1,119,0,15,17,2,0,0.2015,0.3314,0.0,0.1117,0.1739,0.0,0.1786,,,,,,,,,,
2020-03-08,JAM,1536,295,22,1219,1326,40,1496,93,24,120,0.2051,58,58,0,93,0,3,18,3,0,0.26,0.3364,0.0,0.2199,0.1951,0.0,0.2025,,,,,,,,,,
2020-03-09,JAM,1622,344,37,1241,1387,15,1607,67,23,186,0.2556,112,48,5,62,0,3,15,2,3,0.1536,0.1624,,0.1398,0.2115,,0.2115,,,,,,,,,,
2020-03-10,JAM,3217,841,90,2286,2863,19,3198,100,28,373,0.2188,90,205,5,95,0,0,23,5,0,0.2346,0.4051,0.0,0.1548,0.2159,0.0,0.2209,,,,,,,,,,
2020-03-11,JAM,3838,768,89,2981,3415,25,3813,133,25,483,0.1582,125,329,2,131,0,6,19,0,0,0.0453,0.0207,0.0,0.0789,0.1593,0.0,0.1622,,,,,,,,,,
2020-03-12,JAM,3440,617,66,2757,3090,11,3429,130,23,296,0.1503,127,149,2,128,5,0,17,1,0,0.1466,0.1037,0.6526,0.1032,0.1638,0.1667,0.1636,,2.0,2.0,,0.0,,,,,
