date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,LTU,47,5,1,41,0,0,47,3,1,6,0.25,2,4,0,3,0,0,1,0,0,0.0565,,,0.0565,0.25,,0.25,,,0.0,,0.0,,,,,
2020-01-23,LTU,87,10,2,75,0,0,87,7,5,10,0.4167,6,3,0,7,0,0,2,3,0,0.3869,0.0176,,0.526,0.4,,0.4,,,0.0,,0.0,,,,,
2020-01-24,LTU,208,44,3,161,3,0,208,15,9,11,0.375,5,5,2,13,0,2,3,1,3,0.3997,0.3874,,0.4026,0.3684,,0.3684,,,0.0,,0.0,,,,,
2020-01-25,LTU,438,84,10,344,3,0,438,31,6,44,0.1622,10,28,3,28,0,2,2,1,1,0.1049,0.164,,0.0958,0.1364,,0.1364,,,0.0,,0.0,,,,,
2020-01-26,LTU,377,54,6,317,1,0,377,10,12,38,0.5455,12,25,1,9,0,1,7,2,2,0.6581,0.7647,0.0,0.6016,0.5263,0.0,0.5556,,,0.0,,0.0,,,,,
2020-01-27,LTU,332,61,7,264,2,0,332,25,9,47,0.2647,8,34,1,24,0,0,5,4,0,0.1387,0.6667,0.0,0.1157,0.2258,0.0,0.2333,,,0.0,,0.0,,,,,
2020-01-28,LTU,369,104,13,252,0,0,369,19,16,74,0.4571,12,58,0,19,0,0,10,5,1,0.4888,0.2519,,0.6015,0.4,,0.4,,,0.0,,0.0,,,,,
2020-01-29,LTU,414,109,11,294,3,0,414,4,12,25,0.75,1,15,0,4,0,0,3,1,8,0.6501,1.0,1.0,0.343,0.6667,1.0,0.5556,,,0.0,,0.0,,,,,
2020-01-30,LTU,666,223,21,422,5,0,666,21,7,77,0.25,13,51,3,18,0,1,5,1,0,0.2304,0.2233,0.0,0.2645,0.3333,0.0,0.3571,,,0.0,,0.0,,,,,
2020-01-31,LTU,382,64,12,306,3,2,380,12,7,20,0.3684,7,12,0,12,0,1,5,1,0,0.1968,0.0158,,0.4014,0.375,,0.375,,,0.0,,0.0,,,,,
2020-02-01,LTU,168,34,3,131,1,0,168,8,8,14,0.5,2,11,2,6,0,0,2,3,3,0.3875,0.0807,0.0,0.6725,0.7,0.0,0.7778,,,0.0,,0.0,,,,,
2020-02-02,LTU,182,41,7,134,1,0,182,6,6,21,0.5,1,17,0,6,0,0,2,1,3,0.4812,0.6978,,0.3943,0.4444,,0.4444,,,0.0,,0.0,,,,,
2020-02-03,LTU,146,62,4,80,0,2,144,5,3,28,0.375,4,18,0,5,0,0,0,2,1,0.3403,0.4,,0.2622,0.3333,,0.3333,,,0.0,,0.0,,,,,
2020-02-04,LTU,102,15,1,86,0,1,101,6,1,5,0.1429,1,2,0,6,0,0,1,0,0,0.0863,0.0,,0.1238,0.2,,0.2,,,0.0,,0.0,,,,,
2020-02-05,LTU,135,63,6,66,1,1,134,6,8,18,0.5714,2,16,0,6,0,0,0,5,3,0.534,0.8253,,0.1539,0.25,,0.25,,,0.0,,0.0,,,,,
2020-02-06,LTU,100,24,8,68,4,1,99,6,5,13,0.4545,5,7,0,6,0,0,3,2,0,0.2566,0.0,,0.4352,0.5556,,0.5556,,,0.0,,0.0,,,,,
2020-02-07,LTU,172,39,7,126,2,0,172,61,3,9,0.0469,4,3,0,61,0,0,1,1,1,0.0436,0.3517,0.0,0.0282,0.0328,0.0,0.0333,,,0.0,,0.0,,,,,
2020-02-08,LTU,218,21,8,189,1,0,218,45,0,81,0.0,50,30,0,45,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2020-02-09,LTU,163,29,10,124,1,0,163,19,4,36,0.1739,20,16,0,19,0,1,1,1,1,0.0566,0.061,1.0,0.0452,0.1579,1.0,0.1111,,,0.0,,0.0,,,,,
2020-02-10,LTU,122,47,1,74,1,0,122,9,4,14,0.3077,3,11,0,9,0,0,1,0,3,0.3722,0.1818,,0.4268,0.3333,,0.3333,,,0.0,,0.0,,,,,
2020-02-11,LTU,103,35,2,66,0,0,103,7,2,9,0.2222,0,5,0,7,0,0,1,0,1,0.1507,1.0,,0.0815,0.125,,0.125,,,0.0,,0.0,,,,,
2020-02-12,LTU,80,26,3,51,2,2,78,9,2,14,0.1818,4,7,0,9,0,0,1,0,1,0.3186,0.209,,0.4389,0.1429,,0.1429,,,0.0,,0.0,,,,,
2020-02-13,LTU,90,28,3,59,1,0,90,10,2,7,0.1667,2,4,0,10,0,0,0,1,1,0.1991,0.0,,0.2692,0.2857,,0.2857,,,0.0,,0.0,,,,,
2020-02-14,LTU,98,23,3,72,1,0,98,12,2,11,0.1429,2,6,0,12,0,1,0,0,1,0.0751,,,0.0751,0.1429,,0.1429,,,0.0,,0.0,,,,,
2020-02-15,LTU,105,24,4,77,0,0,105,19,1,7,0.05,3,4,1,18,0,0,1,0,0,0.0685,0.1597,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2020-02-16,LTU,142,13,1,128,0,0,142,66,2,9,0.0294,2,6,0,66,0,2,0,0,0,0.0201,0.0,,0.0207,0.0312,,0.0312,,,0.0,,0.0,,,,,
2020-02-17,LTU,82,20,4,58,1,0,82,9,4,6,0.3077,1,3,1,8,0,0,3,1,0,0.2447,0.9586,,0.1771,0.2,,0.2,,,0.0,,0.0,,,,,
2020-02-18,LTU,150,63,4,83,0,0,150,4,2,22,0.3333,7,6,0,4,0,0,0,2,0,0.2064,0.6709,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2020-02-19,LTU,182,40,2,140,1,1,181,9,3,37,0.25,12,21,0,9,0,1,0,2,0,0.2925,0.3333,,0.2232,0.2222,,0.2222,,,0.0,,0.0,,,,,
2020-02-20,LTU,115,32,2,81,1,0,115,6,2,29,0.25,3,14,0,6,0,0,2,0,0,0.2463,0.0,,0.3502,0.2857,,0.2857,,,0.0,,0.0,,,,,
2020-02-21,LTU,103,21,3,79,0,0,103,10,2,8,0.1667,2,5,0,10,0,0,0,1,1,0.2231,0.0,0.0,0.2875,0.2222,0.0,0.25,,,0.0,,0.0,,,,,
2020-02-22,LTU,119,26,4,89,0,0,119,24,2,20,0.0769,4,16,0,24,0,1,1,0,0,0.0545,0.8517,,0.0028,0.0417,,0.0417,,,0.0,,0.0,,,,,
2020-02-23,LTU,203,52,7,144,0,0,203,15,2,29,0.1176,5,19,0,15,0,0,0,2,0,0.0619,0.2884,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2020-02-24,LTU,278,50,5,223,3,0,278,12,7,21,0.3684,5,15,0,12,0,0,2,3,2,0.6163,1.0,,0.6044,0.3333,,0.3333,,,0.0,,0.0,,,,,
2020-02-25,LTU,355,94,12,249,3,0,355,27,14,27,0.3415,9,12,1,26,0,0,6,3,5,0.2797,0.1639,0.4578,0.3311,0.3793,0.5,0.36,,,0.0,,0.0,,,,,
2020-02-26,LTU,433,120,8,305,33,3,430,18,11,77,0.3793,13,31,2,16,0,0,7,3,1,0.3281,0.2141,0.0,0.5329,0.3125,0.0,0.3333,,,0.0,,0.0,,,,,
2020-02-27,LTU,519,113,12,394,11,5,514,25,9,62,0.2647,20,34,0,25,1,0,6,1,1,0.3117,0.2213,0.0,0.388,0.2692,0.0,0.28,,,0.0,,0.0,,,,,
2020-02-28,LTU,573,109,20,444,7,3,570,23,23,52,0.5,14,35,2,21,0,4,15,2,2,0.6443,0.112,0.0,0.7153,0.5366,0.0,0.5641,,1.0,1.0,,0.0,76.0,,,,
