date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-01-22,LVA,118,12,0,106,0,7,10,23,0.5882,6,16,0,7,0,0,9,0,1,,,,,,,,,,,,,,
2020-01-23,LVA,224,27,6,191,3,23,12,31,0.3429,11,19,0,23,0,0,5,7,0,,,,,,,,,,,,,,
2020-01-24,LVA,386,65,10,311,20,40,26,57,0.3939,21,34,4,36,0,1,19,5,1,,,,,,,,,,,,,,
2020-01-25,LVA,540,75,16,449,20,49,7,45,0.125,17,27,0,49,0,0,5,2,0,,,,,,,,,,,,,,
2020-01-26,LVA,567,71,14,482,19,36,18,64,0.3333,12,38,1,35,0,1,12,2,3,,,,,,,,,,,,,,
2020-01-27,LVA,432,68,27,337,30,37,13,83,0.26,35,46,4,33,2,0,9,2,0,,,,,,,,,,,,,,
2020-01-28,LVA,498,95,14,389,23,37,22,68,0.3729,23,45,5,32,0,2,16,2,2,,,,,,,,,,,,,,
2020-01-29,LVA,497,97,17,383,16,37,20,47,0.3509,14,30,3,34,1,1,14,3,1,,,,,,,,,,,,,,
2020-01-30,LVA,795,167,22,606,38,37,22,98,0.3729,24,29,2,35,0,2,16,3,1,,,,,,,,,,,,,,
2020-01-31,LVA,683,123,12,548,32,29,18,71,0.383,30,36,0,29,0,0,11,2,5,,,,,,,,,,,,,,
2020-02-01,LVA,373,66,9,298,26,16,8,36,0.3333,13,22,1,15,0,2,4,0,2,,,,,,,,,,,,,,
2020-02-02,LVA,375,78,10,287,31,12,9,36,0.4286,15,19,0,12,0,1,6,0,2,,,,,,,,,,,,,,
