date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,MDA,24,3,2,19,4,0,24,1,0,3,0.0,1,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-23,MDA,43,12,0,31,8,0,43,5,3,10,0.375,2,7,0,5,0,0,2,1,0,,,,,,,,,,,,,,,,,
2020-01-24,MDA,83,34,3,46,30,0,83,5,2,33,0.2857,6,26,0,5,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-01-25,MDA,154,29,1,124,17,0,154,6,4,20,0.4,2,16,1,5,0,0,1,2,1,,,,,,,,,,,,,,,,,
2020-01-26,MDA,148,37,3,108,24,0,148,9,5,46,0.3571,14,26,0,9,0,0,1,3,1,,,,,,,,,,,,,,,,,
2020-01-27,MDA,167,46,3,118,35,1,166,11,4,53,0.2667,10,42,1,10,0,0,1,3,0,,,,,,,,,,,,,,,,,
2020-01-28,MDA,208,78,1,129,45,0,208,4,7,100,0.6364,13,83,0,4,0,0,7,0,0,,,,,,,,,,,,,,,,,
2020-01-29,MDA,183,54,0,129,33,0,183,3,1,39,0.25,5,32,0,3,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-01-30,MDA,313,93,3,217,29,0,313,7,8,46,0.5333,9,25,0,7,0,0,8,0,0,,,,,,,,,,,,,,,,,
2020-01-31,MDA,241,61,3,177,63,0,241,6,2,54,0.25,6,47,0,6,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-01,MDA,86,30,4,52,16,0,86,1,3,21,0.75,4,13,0,1,0,0,3,0,0,,,,,,,,,,,,,,,,,
2020-02-02,MDA,100,32,1,67,27,0,100,0,2,26,1.0,6,20,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,
2020-02-03,MDA,92,47,0,45,43,0,92,3,0,32,0.0,2,30,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-04,MDA,91,47,2,42,55,0,91,2,0,54,0.0,6,46,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-05,MDA,61,27,3,31,30,0,61,1,0,31,0.0,6,24,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-06,MDA,57,31,0,26,23,0,57,3,0,21,0.0,1,19,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-07,MDA,113,35,6,72,30,0,113,16,1,31,0.0588,3,28,0,16,0,0,0,1,0,,,,,,,,,,,,,,,,,
2020-02-08,MDA,99,22,0,77,12,0,99,20,0,44,0.0,26,18,0,20,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-09,MDA,55,14,3,38,17,0,55,2,4,24,0.6667,9,15,0,2,0,0,1,3,0,,,,,,,,,,,,,,,,,
2020-02-10,MDA,74,33,0,41,30,0,74,3,0,28,0.0,1,27,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-11,MDA,58,30,1,27,29,0,58,3,0,26,0.0,2,24,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-12,MDA,44,23,1,20,19,0,44,1,0,18,0.0,0,18,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
