date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,MEX,36883,10419,885,25579,33155,870,36013,1293,1942,10446,0.6003,4231,5789,118,1175,0,1,1921,16,4,0.5922,0.6689,0.0736,0.536,0.6065,0.3529,0.6081,-0.0012,1,0,,0,3537.0,291.0,,,
2020-01-23,MEX,34325,9950,836,23539,30020,841,33484,1116,1623,10232,0.5926,3988,5632,91,1025,0,34,1537,44,8,0.9043,0.8305,0.0427,0.9378,0.6155,0.2667,0.6179,-0.0006,1,0,,0,3803.0,266.0,,,
2020-01-24,MEX,30071,8875,831,20365,23719,622,29449,1320,1615,8277,0.5503,3530,4335,70,1250,0,20,1503,74,18,0.7277,0.5566,0.3734,0.7587,0.5606,0.2571,0.5652,-0.0077,1,0,,0,4013.0,210.0,,,
2020-01-25,MEX,25459,6042,734,18683,17241,379,25080,1218,1114,5867,0.4777,2791,2862,74,1144,0,23,1022,45,24,0.4014,0.4461,0.8883,0.3515,0.4909,0.5385,0.4903,,1,0,,0,4118.0,105.0,,,
2020-01-26,MEX,25982,5003,723,20256,17730,306,25676,1166,1240,5151,0.5154,2323,2567,30,1136,0,18,1124,56,42,0.8664,0.4875,0.0482,0.9044,0.526,0.125,0.5306,,1,0,,0,4277.0,159.0,,,
2020-01-27,MEX,22468,5070,618,16780,15633,483,21985,950,920,5150,0.492,1966,2924,42,908,0,6,866,25,23,0.8129,0.3005,0.4107,0.8748,0.5087,0.4286,0.5094,-0.0149,1,0,,0,4559.0,282.0,,,
2020-01-28,MEX,26822,7069,816,18937,18939,575,26247,1361,976,6395,0.4176,2480,3618,89,1272,3,16,878,63,16,0.3628,0.2223,0.3298,0.3966,0.4362,0.3704,0.4371,0.0116,1,0,,0,4801.0,242.0,,,
2020-01-29,MEX,25677,7298,895,17484,17502,534,25143,603,605,3702,0.5008,1277,2215,34,569,0,36,509,48,12,0.3879,0.5168,0.0175,0.3623,0.5582,0.25,0.5693,0.0061,1,0,,0,5011.0,210.0,,,
2020-01-30,MEX,38263,10362,1120,26781,25023,714,37549,1282,769,5263,0.3749,1891,2757,31,1251,2,50,655,45,17,0.3235,0.4207,0.9855,0.1955,0.4008,0.44,0.4001,-0.005,2,1,,0,5244.0,233.0,,,
2020-01-31,MEX,36581,9494,1399,25688,26591,664,35917,769,705,5586,0.4783,1713,3627,58,711,4,46,580,37,38,0.4587,0.3058,0.0347,0.5517,0.505,0.4615,0.506,-0.0146,2,0,,0,5395.0,151.0,,,
2020-02-01,MEX,22198,5153,895,16150,16862,348,21850,449,420,3304,0.4833,1482,1671,26,423,1,14,340,22,43,0.4315,0.2674,0.1779,0.562,0.5335,0.6071,0.5303,,2,0,,0,5462.0,67.0,,,
2020-02-02,MEX,31103,6296,1091,23716,25233,386,30717,566,660,4195,0.5383,1720,2296,13,553,1,11,612,16,20,0.3771,0.5647,0.3929,0.2936,0.5526,0.4444,0.558,,2,0,,0,5567.0,105.0,,,
2020-02-03,MEX,25563,5577,912,19074,21018,405,25158,508,386,3767,0.4318,1428,2119,19,489,0,11,336,13,26,0.1863,0.1574,0.1607,0.2029,0.4743,0.4286,0.4758,,2,0,,0,5707.0,140.0,,,
2020-02-04,MEX,19963,5707,689,13567,15887,578,19385,347,309,4243,0.471,1570,2516,23,324,0,4,268,23,14,0.4404,0.3137,0.9335,0.5202,0.5117,0.5556,0.5109,0.0162,2,0,,0,5961.0,254.0,,,
2020-02-05,MEX,15681,4784,615,10282,12124,472,15209,446,220,3230,0.3303,1213,1900,14,432,4,5,186,13,12,0.3859,0.2453,0.0371,0.5415,0.3431,0.2222,0.3454,-0.0104,2,0,,0,6195.0,234.0,,,
