date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,MLI,68,9,5,54,10,0,68,8,2,10,0.2,5,5,0,8,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-01-23,MLI,170,17,2,151,39,0,170,9,5,23,0.3571,10,10,1,8,0,0,3,2,0,,,,,,,,,,,,,,,,,
2020-01-24,MLI,367,75,6,286,91,1,366,34,6,24,0.15,8,15,1,33,0,0,4,2,0,,,,,,,,,,,,,,,,,
2020-01-25,MLI,663,78,16,569,148,1,662,39,11,47,0.22,12,33,1,38,0,0,5,4,2,,,,,,,,,,,,,,,,,
2020-01-26,MLI,769,80,12,677,70,0,769,55,18,53,0.2466,16,33,1,54,0,3,9,5,1,,,,,,,,,,,,,,,,,
2020-01-27,MLI,469,56,13,400,74,0,469,49,6,62,0.1091,26,33,1,48,0,0,6,0,0,,,,,,,,,,,,,,,,,
2020-01-28,MLI,419,63,10,346,61,0,419,46,10,53,0.1786,23,27,3,43,0,0,8,1,1,,,,,,,,,,,,,,,,,
2020-01-29,MLI,430,61,11,358,54,3,427,23,4,37,0.1481,12,22,1,22,0,0,3,1,0,,,,,,,,,,,,,,,,,
2020-01-30,MLI,806,139,19,648,102,2,804,28,15,71,0.3488,23,28,0,28,0,1,12,1,1,,,,,,,,,,,,,,,,,
2020-01-31,MLI,647,82,24,541,58,0,647,39,7,45,0.1522,22,18,1,38,0,2,4,0,1,,,,,,,,,,,,,,,,,
2020-02-01,MLI,383,43,15,325,46,5,378,20,1,30,0.0476,11,19,2,18,0,0,0,0,1,,,,,,,,,,,,,,,,,
2020-02-02,MLI,292,48,8,236,43,3,289,22,5,20,0.1852,7,12,1,21,0,1,4,0,0,,,,,,,,,,,,,,,,,
2020-02-03,MLI,267,49,3,215,72,1,266,16,2,31,0.1111,8,20,0,16,0,0,0,2,0,,,,,,,,,,,,,,,,,
2020-02-04,MLI,307,64,12,231,71,0,307,22,2,29,0.0833,2,25,2,20,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-05,MLI,229,60,7,162,68,1,228,13,1,44,0.0714,35,9,0,13,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-06,MLI,201,28,5,168,45,2,199,15,5,15,0.25,10,5,0,15,0,0,4,1,0,,,,,,,,,,,,,,,,,
2020-02-07,MLI,297,56,7,234,94,0,297,35,3,30,0.0789,10,19,1,34,0,0,2,1,0,,,,,,,,,,,,,,,,,
2020-02-08,MLI,255,48,5,202,56,4,251,46,4,21,0.08,7,13,1,45,0,0,2,2,0,,,,,,,,,,,,,,,,,
2020-02-09,MLI,269,47,4,218,96,2,267,30,3,53,0.0909,42,9,1,29,0,1,0,1,1,,,,,,,,,,,,,,,,,
2020-02-10,MLI,253,48,7,198,101,2,251,20,4,51,0.1667,35,15,1,19,0,0,3,0,1,,,,,,,,,,,,,,,,,
2020-02-11,MLI,232,34,8,190,41,0,232,21,9,15,0.3,2,10,0,21,0,0,6,1,2,,,,,,,,,,,,,,,,,
2020-02-12,MLI,136,26,3,107,37,0,136,7,4,8,0.3636,1,7,0,7,0,0,1,3,0,,,,,,,,,,,,,,,,,
2020-02-13,MLI,198,31,4,163,26,0,198,24,10,20,0.2941,2,16,0,24,0,3,3,3,1,,,,,,,,,,,,,,,,,
2020-02-14,MLI,142,26,2,114,42,1,141,14,6,10,0.3,2,8,0,14,0,2,1,2,1,,,,,,,,,,,,,,,,,
2020-02-15,MLI,199,34,9,156,47,1,198,26,1,14,0.037,2,11,4,22,0,0,0,0,1,,,,,,,,,,,,,,,,,
2020-02-16,MLI,164,19,4,141,25,0,164,40,0,9,0.0,1,7,0,40,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-17,MLI,210,37,7,166,52,0,210,17,5,24,0.2273,6,18,3,14,0,1,1,3,0,,,,,,,,,,,,,,,,,
2020-02-18,MLI,223,32,8,183,48,0,223,14,3,19,0.1765,10,6,2,12,0,0,1,2,0,,,,,,,,,,,,,,,,,
2020-02-19,MLI,185,28,13,144,20,1,184,15,1,19,0.0625,5,14,1,14,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-20,MLI,141,22,4,115,7,0,141,22,2,7,0.0833,1,6,1,21,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-21,MLI,241,23,7,211,20,0,241,37,3,20,0.075,6,13,2,35,0,1,2,0,0,,,,,,,,,,,,,,,,,
2020-02-22,MLI,276,21,5,250,24,3,273,43,3,24,0.0652,5,18,1,42,0,0,2,1,0,,,,,,,,,,,,,,,,,
2020-02-23,MLI,389,28,18,343,35,0,389,34,7,30,0.1707,7,22,2,32,0,1,5,0,1,,,,,,,,,,,,,,,,,
2020-02-24,MLI,498,57,16,425,64,2,496,48,17,48,0.2615,16,28,3,45,0,0,14,1,2,,,,,,,,,,,,,,,,,
2020-02-25,MLI,607,70,13,524,64,2,605,59,11,40,0.1571,6,30,10,49,0,1,8,1,1,,,,,,,,,,,,,,,,,
2020-02-26,MLI,567,91,16,460,84,0,567,45,8,61,0.1509,18,41,2,43,0,0,7,1,0,,,,,,,,,,,,,,,,,
2020-02-27,MLI,664,91,16,557,102,1,663,50,21,55,0.2958,23,29,4,46,8,0,8,4,1,,,,,,,,,,,,,,,,,
2020-02-28,MLI,722,120,24,578,116,0,722,42,29,63,0.4085,23,38,8,34,0,8,14,4,3,,,,,,,,,,,,,,,,,
2020-02-29,MLI,715,88,12,615,122,3,712,56,10,81,0.1515,57,23,17,39,0,3,4,2,1,,,,,,,,,,,,,,,,,
2020-03-01,MLI,771,79,30,662,79,6,765,67,19,42,0.2209,13,29,10,57,0,8,8,3,0,,,,,,,,,,,,,,,,,
2020-03-02,MLI,905,127,24,754,182,3,902,83,11,110,0.117,73,35,22,61,0,3,8,0,0,,,,,,,,,,,,,,,,,
2020-03-03,MLI,772,135,20,617,208,1,771,33,10,85,0.2326,49,33,5,28,0,3,6,0,1,,,,,,,,,,,,,,,,,
2020-03-04,MLI,726,130,24,572,158,2,724,47,11,52,0.1897,15,37,4,43,0,0,11,0,0,,,,,,,,,,,,,,,,,
2020-03-05,MLI,784,114,27,643,158,2,782,59,14,78,0.1918,46,29,15,44,0,1,12,1,0,,,,,,,,,,,,,,,,,
2020-03-06,MLI,853,119,33,701,186,2,851,77,7,88,0.0833,33,52,12,65,0,0,5,2,0,,,,,,,,,,,,,,,,,
2020-03-07,MLI,666,98,17,551,144,4,662,34,10,47,0.2273,12,34,4,30,0,8,1,0,1,,,,,,,,,,,,,,,,,
2020-03-08,MLI,724,79,22,623,95,0,724,57,7,36,0.1094,15,19,4,53,0,2,3,2,0,,,,,,,,,,,,,,,,,
2020-03-09,MLI,720,112,21,587,73,3,717,44,8,60,0.1538,33,25,17,27,0,0,8,0,0,,,,,,,,,,,,,,,,,
2020-03-10,MLI,744,115,22,607,104,4,740,47,13,39,0.2167,16,22,12,35,0,0,12,1,0,,,,,,,,,,,,,,,,,
2020-03-11,MLI,624,93,14,517,85,3,621,50,9,40,0.1525,16,21,11,39,0,1,6,2,0,,,,,,,,,,,,,,,,,
2020-03-12,MLI,653,94,16,543,114,5,648,30,15,38,0.3333,20,17,1,29,0,1,13,1,0,,,,,,,,,,,,,,,,,
2020-03-13,MLI,607,89,24,494,92,6,601,29,10,50,0.2564,27,22,8,21,0,0,10,0,0,,,,,,,,,,,,,,,,,
2020-03-14,MLI,608,80,21,507,103,3,605,16,6,31,0.2727,19,11,4,12,0,0,6,0,0,,,,,,,,,,,,,,,,,
2020-03-15,MLI,775,75,25,675,96,7,768,33,5,34,0.1316,11,18,17,16,0,1,3,1,0,,,,,,,,,,,,,,,,,
2020-03-16,MLI,646,111,20,515,121,6,640,25,14,34,0.359,10,22,1,24,0,0,13,1,0,,,,,,,,,,,,,,,,,
2020-03-17,MLI,655,118,26,511,156,12,643,23,2,43,0.08,18,22,1,22,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-03-18,MLI,710,131,19,560,192,15,695,25,3,68,0.1071,23,43,1,24,0,0,2,1,0,,,,,,,,,,,,,,,,,
2020-03-19,MLI,695,122,17,556,167,6,689,31,7,58,0.1842,18,37,4,27,0,1,6,0,0,,,,,,,,,,,,,,,,,
2020-03-20,MLI,631,115,13,503,183,5,626,28,10,62,0.2632,19,40,1,27,1,0,7,2,0,,,,,,,,,,,,,,,,,
