date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,MNE,18,4,0,14,0,0,18,3,1,2,0.25,1,1,0,3,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-01-23,MNE,55,11,2,42,0,0,55,3,0,3,0.0,2,1,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-24,MNE,90,18,2,70,0,0,90,4,5,9,0.5556,1,8,0,4,0,0,4,1,0,,,,,,,,,,,,,,,,,
2020-01-25,MNE,159,35,10,114,0,0,159,8,3,16,0.2727,1,14,0,8,0,1,2,0,0,,,,,,,,,,,,,,,,,
2020-01-26,MNE,139,21,11,107,0,0,139,4,1,19,0.2,2,15,0,4,0,0,0,0,1,,,,,,,,,,,,,,,,,
2020-01-27,MNE,116,22,11,83,0,0,116,4,1,18,0.2,2,16,0,4,0,0,0,1,0,,,,,,,,,,,,,,,,,
2020-01-28,MNE,163,31,22,110,0,0,163,5,5,20,0.5,3,17,0,5,1,0,3,1,0,,,,,,,,,,,,,,,,,
2020-01-29,MNE,127,31,4,92,0,0,127,4,4,9,0.5,2,6,0,4,0,0,1,0,3,,,,,,,,,,,,,,,,,
2020-01-30,MNE,223,49,8,166,0,0,223,3,4,26,0.5714,8,6,0,3,0,0,4,0,0,,,,,,,,,,,,,,,,,
2020-01-31,MNE,159,43,5,111,0,0,159,7,6,10,0.4615,4,3,0,7,0,1,5,0,0,,,,,,,,,,,,,,,,,
2020-02-01,MNE,122,27,9,86,0,1,121,5,3,14,0.375,7,7,0,5,1,0,1,0,1,,,,,,,,,,,,,,,,,
2020-02-02,MNE,84,13,6,65,0,0,84,3,2,7,0.4,2,5,0,3,0,2,0,0,0,,,,,,,,,,,,,,,,,
2020-02-03,MNE,49,12,5,32,0,1,48,1,5,4,0.8333,1,2,0,1,0,0,1,0,4,,,,,,,,,,,,,,,,,
2020-02-04,MNE,54,15,4,35,0,1,53,1,0,6,0.0,1,5,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-05,MNE,39,14,1,24,0,1,38,3,1,2,0.25,0,1,0,3,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-06,MNE,42,17,5,20,0,0,42,3,3,6,0.5,1,4,1,2,0,0,2,1,0,,,,,,,,,,,,,,,,,
2020-02-07,MNE,68,14,11,43,0,1,67,6,2,10,0.25,1,9,0,6,0,0,0,2,0,,,,,,,,,,,,,,,,,
2020-02-08,MNE,86,13,16,57,0,0,86,19,1,8,0.05,3,4,0,19,0,0,0,1,0,,,,,,,,,,,,,,,,,
2020-02-09,MNE,57,13,3,41,0,0,57,0,4,12,1.0,7,4,0,0,0,0,3,0,1,,,,,,,,,,,,,,,,,
2020-02-10,MNE,64,19,1,44,0,1,63,1,2,11,0.6667,6,4,0,1,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-11,MNE,37,12,5,20,0,0,37,5,1,2,0.1667,1,1,0,5,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-12,MNE,33,10,1,22,0,0,33,1,1,6,0.5,2,3,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-13,MNE,38,8,4,26,0,0,38,3,1,3,0.25,1,2,0,3,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-14,MNE,22,6,0,16,0,0,22,2,1,1,0.3333,0,1,0,2,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-15,MNE,31,9,2,20,0,0,31,2,1,6,0.3333,1,5,0,2,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-16,MNE,38,6,1,31,0,0,38,7,1,4,0.125,0,4,0,7,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-17,MNE,42,10,8,24,0,0,42,3,2,3,0.4,0,3,0,3,0,1,1,0,0,,,,,,,,,,,,,,,,,
2020-02-18,MNE,55,17,3,35,0,0,55,2,0,1,0.0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-19,MNE,42,9,0,33,0,0,42,0,0,5,,1,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-20,MNE,36,10,1,25,0,0,36,4,1,1,0.2,0,1,1,3,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-21,MNE,61,19,0,42,0,0,61,4,0,6,0.0,1,5,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-22,MNE,70,11,2,57,0,0,70,3,1,9,0.25,3,5,0,3,0,0,0,1,0,,,,,,,,,,,,,,,,,
2020-02-23,MNE,70,20,3,47,0,0,70,5,2,4,0.2857,1,2,0,5,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-24,MNE,118,41,4,73,0,1,117,4,0,6,0.0,3,3,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-25,MNE,158,52,10,96,0,0,158,3,3,11,0.5,2,9,0,3,0,0,1,2,0,,,,,,,,,,,,,,,,,
2020-02-26,MNE,177,39,10,128,0,3,174,8,1,15,0.1111,2,12,0,8,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-27,MNE,172,53,9,110,0,1,171,7,8,9,0.5333,2,7,1,6,1,0,6,1,0,,,,,,,,,,,,,,,,,
2020-02-28,MNE,173,50,7,116,0,0,173,5,9,10,0.6429,2,8,0,5,1,1,3,3,1,,,,,,,,,,,,,,,,,
2020-02-29,MNE,192,38,16,138,0,0,192,13,6,16,0.3158,13,3,1,12,0,4,2,0,0,,,,,,,,,,,,,,,,,
