date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,MOZ,154,33,4,117,18,1,153,7,11,33,0.6111,11,21,0,7,0,0,11,0,0,,,,,,,,,,,,,,,,,
2020-01-23,MOZ,348,52,15,281,30,4,344,30,15,49,0.3333,13,33,6,24,0,0,8,7,0,,,,,,,,,,,,,,,,,
2020-01-24,MOZ,513,101,14,398,32,6,507,36,12,55,0.25,23,30,0,36,0,0,6,5,1,,,,,,,,,,,,,,,,,
2020-01-25,MOZ,739,113,14,612,31,4,735,47,12,56,0.2034,18,33,2,45,0,1,7,3,1,,,,,,,,,,,,,,,,,
2020-01-26,MOZ,722,85,11,626,46,2,720,35,12,56,0.2553,15,34,1,34,0,1,4,5,2,,,,,,,,,,,,,,,,,
2020-01-27,MOZ,534,82,17,435,41,2,532,45,6,45,0.1176,18,24,1,44,0,0,5,0,1,,,,,,,,,,,,,,,,,
2020-01-28,MOZ,549,131,20,398,91,9,540,27,14,68,0.3415,13,47,1,26,1,0,10,2,1,,,,,,,,,,,,,,,,,
2020-01-29,MOZ,657,135,21,501,141,9,648,20,9,47,0.3103,14,29,0,20,0,1,4,3,1,,,,,,,,,,,,,,,,,
2020-01-30,MOZ,1052,229,23,800,207,8,1044,23,15,162,0.3947,103,33,0,23,0,7,8,0,0,0.0961,0.019,1.0,0.1805,0.4444,1.0,0.4231,,,,,,,,,,
2020-01-31,MOZ,803,140,28,635,140,3,800,24,20,49,0.4545,27,16,0,24,0,3,9,5,3,,,,,,,,,,,,,,,,,
2020-02-01,MOZ,412,87,20,305,41,3,409,9,7,41,0.4375,22,17,0,9,0,1,1,3,2,,,,,,,,,,,,,,,,,
2020-02-02,MOZ,413,62,15,336,26,1,412,11,8,24,0.4211,8,12,0,11,0,2,2,4,0,,,,,,,,,,,,,,,,,
2020-02-03,MOZ,309,69,19,221,24,3,306,14,6,28,0.3,9,19,0,14,0,4,1,0,1,,,,,,,,,,,,,,,,,
2020-02-04,MOZ,252,76,10,166,18,6,246,7,6,34,0.4615,10,21,0,7,0,0,4,1,1,,,,,,,,,,,,,,,,,
2020-02-05,MOZ,242,57,7,178,17,5,237,9,2,35,0.1818,14,21,0,9,0,1,0,1,0,,,,,,,,,,,,,,,,,
2020-02-06,MOZ,248,57,9,182,43,4,244,4,2,27,0.3333,7,20,0,4,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-07,MOZ,252,55,12,185,17,6,246,37,2,19,0.0513,2,16,0,37,0,0,1,1,0,,,,,,,,,,,,,,,,,
2020-02-08,MOZ,228,54,5,169,14,4,224,55,1,26,0.0179,12,12,0,55,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-09,MOZ,277,50,8,219,29,1,276,31,9,50,0.225,21,29,0,31,0,2,6,1,0,,,,,,,,,,,,,,,,,
