date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,POL,655,125,16,514,108,14,641,62,25,138,0.2874,57,74,0,62,0,1,17,5,2,,,,,,,,,,,,,,,,,
2020-01-23,POL,1392,196,27,1169,168,14,1378,157,53,194,0.2524,63,119,27,130,1,0,31,18,3,0.6186,0.044,0.0104,0.6538,0.2527,0.3333,0.2514,,,,,,,,,,
2020-01-24,POL,3618,622,66,2930,704,23,3595,282,95,361,0.252,103,241,17,265,0,1,57,31,6,0.2452,0.1346,0.616,0.277,0.2667,0.6,0.2552,,,,,,,,,,
2020-01-25,POL,5716,701,142,4873,968,34,5682,423,136,529,0.2433,102,382,14,409,0,4,72,34,26,0.3793,0.2111,0.1077,0.4126,0.2317,0.3529,0.2274,,,,,,,,,,
2020-01-26,POL,5069,662,146,4261,1096,40,5029,328,106,645,0.2442,123,461,22,306,0,11,36,43,16,0.1892,0.0659,0.4261,0.226,0.248,0.1667,0.2507,,,,,,,,,,
2020-01-27,POL,3968,573,91,3304,1223,34,3934,273,66,603,0.1947,124,428,35,238,1,0,36,22,7,0.2173,0.2966,0.1301,0.2061,0.1733,0.3333,0.1667,,,,,,,,,,
2020-01-28,POL,3534,751,109,2674,1158,47,3487,235,63,582,0.2114,156,378,22,213,0,2,47,10,4,0.0685,0.0145,0.0047,0.1419,0.2158,0.0714,0.2247,,,,,,,,,,
2020-01-29,POL,3319,693,104,2522,791,42,3277,211,61,273,0.2243,77,156,4,207,0,13,26,12,10,0.1157,0.1057,0.8266,0.1039,0.1907,0.5,0.1818,,,,,,,,,,
2020-01-30,POL,4328,991,141,3196,788,41,4287,209,99,415,0.3214,116,173,11,198,0,11,69,13,6,0.2389,0.108,0.0,0.3584,0.3616,0.0,0.3716,,,,,,,,,,
2020-01-31,POL,4045,818,187,3040,756,27,4018,184,75,330,0.2896,94,188,4,180,2,14,34,20,5,0.1935,0.0781,0.0205,0.2535,0.3214,0.1111,0.3316,,,,,,,,,,
2020-02-01,POL,2432,443,298,1691,521,31,2401,108,42,208,0.28,67,125,10,98,0,8,16,6,12,0.0782,0.0595,0.0413,0.0822,0.2946,0.25,0.2963,,,,,,,,,,
2020-02-02,POL,2789,577,159,2053,804,34,2755,138,37,223,0.2114,59,141,2,136,1,8,14,9,5,0.1142,0.2061,0.039,0.0965,0.1765,0.0417,0.2054,,,,,,,,,,
2020-02-03,POL,2005,534,113,1358,581,27,1978,96,25,230,0.2066,55,151,8,88,1,2,10,6,6,0.0335,0.2733,0.1234,0.0127,0.2105,0.4,0.1818,,,,,,,,,,
2020-02-04,POL,2095,477,154,1464,561,35,2060,93,35,264,0.2734,67,177,5,88,0,0,18,5,12,0.0829,0.0074,0.0,0.4627,0.2619,0.0,0.2683,,,,,,,,,,
2020-02-05,POL,1673,384,115,1174,491,17,1656,85,25,188,0.2273,56,112,1,84,0,2,9,7,7,0.1382,0.0777,0.8906,0.1372,0.2027,0.6,0.1739,,,,,,,,,,
2020-02-06,POL,1885,369,196,1320,529,36,1849,108,35,279,0.2448,52,98,7,101,0,0,27,6,2,0.1194,0.0241,0.1364,0.1496,0.3077,0.1429,0.3196,,,,,,,,,,
2020-02-07,POL,1900,384,98,1418,459,28,1872,201,25,162,0.1106,49,99,6,195,0,1,12,5,7,0.0681,0.0737,0.0,0.0676,0.0994,0.0,0.1011,,,,,,,,,,
2020-02-08,POL,1926,341,113,1472,498,15,1911,342,16,212,0.0447,78,123,1,341,0,2,5,7,2,0.0302,0.0541,0.4407,0.021,0.0353,0.4,0.0293,,,,,,,,,,
2020-02-09,POL,2371,417,111,1843,630,16,2355,147,30,465,0.1695,293,161,3,144,0,6,15,5,4,0.2319,0.4267,0.0,0.1718,0.1304,0.0,0.1333,,,,,,,,,,
2020-02-10,POL,1999,394,86,1519,590,15,1984,106,22,339,0.1719,155,164,3,103,0,2,13,3,4,0.3385,0.1844,0.0677,0.3689,0.1579,0.1429,0.1591,,,,,,,,,,
