date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,ROU,375,74,8,293,26,7,368,46,10,64,0.1786,28,32,0,46,0,0,9,0,1,0.096,0.0,,0.4432,0.2703,,0.2703,,,0.0,,0.0,,,,,
2020-01-23,ROU,686,142,16,528,45,9,677,83,23,111,0.217,35,65,7,76,0,0,17,5,1,0.5473,0.6373,,0.1803,0.1875,,0.1875,,,0.0,,0.0,,,,,
2020-01-24,ROU,1418,279,41,1098,61,7,1411,127,53,157,0.2944,44,89,3,124,0,5,26,14,8,0.1674,0.0865,0.387,0.2495,0.2979,0.75,0.2847,,,0.0,,0.0,,,,,
2020-01-25,ROU,2235,320,43,1872,96,11,2224,139,34,176,0.1965,46,115,1,138,0,2,22,6,4,0.1203,0.0341,0.0,0.274,0.2027,0.0,0.2055,,,0.0,,0.0,,,,,
2020-01-26,ROU,2081,326,36,1719,87,12,2069,108,56,228,0.3415,48,159,7,101,1,10,26,12,7,0.1489,0.0506,1.0,0.3052,0.3657,1.0,0.3609,,,0.0,,0.0,,,,,
2020-01-27,ROU,1535,369,31,1135,159,27,1508,134,33,259,0.1976,72,168,5,129,1,1,23,6,2,0.2964,0.0891,0.0,0.5807,0.1875,0.0,0.189,,,0.0,,0.0,,,,,
2020-01-28,ROU,1483,446,43,994,157,23,1460,110,45,274,0.2903,76,163,8,102,0,1,34,7,3,0.169,0.115,1.0,0.282,0.2936,1.0,0.2804,,,0.0,,0.0,,,,,
2020-01-29,ROU,1600,395,52,1153,118,21,1579,84,20,161,0.1923,41,96,1,83,0,3,9,3,5,0.0921,0.0681,1.0,0.1183,0.1667,1.0,0.1549,,,0.0,,0.0,,,,,
2020-01-30,ROU,2724,665,49,2010,119,26,2698,93,63,288,0.4038,65,99,2,91,0,14,38,6,5,0.0727,0.0186,,0.3199,0.4845,,0.4845,,,0.0,,0.0,,,,,
2020-01-31,ROU,2245,502,63,1680,152,30,2215,66,45,198,0.4054,64,114,4,62,1,11,26,4,3,0.1031,0.0589,0.0222,0.2447,0.4568,0.2,0.4737,,,0.0,,0.0,,,,,
2020-02-01,ROU,1061,266,36,759,85,16,1045,36,36,117,0.5,37,69,0,36,1,11,12,4,8,0.1074,0.0067,0.0,0.4803,0.6078,0.0,0.62,,,0.0,,0.0,,,,,
2020-02-02,ROU,1218,291,38,889,105,17,1201,54,19,109,0.2603,24,75,2,52,0,5,6,2,6,0.0211,0.0315,0.0,0.0139,0.2564,0.0,0.2632,,,0.0,,0.0,,,,,
2020-02-03,ROU,766,289,40,437,112,27,739,38,22,119,0.3667,24,82,1,37,0,15,5,1,1,0.09,0.0514,0.0,0.5679,0.5517,0.0,0.5714,,,0.0,,0.0,,,,,
2020-02-04,ROU,721,239,24,458,102,16,705,37,9,117,0.1957,33,75,0,37,0,0,4,2,3,0.0607,0.0342,,0.2762,0.2222,,0.2222,,,0.0,,0.0,,,,,
2020-02-05,ROU,677,212,27,438,88,27,650,37,13,103,0.26,34,57,1,36,0,1,8,0,4,0.1959,0.0615,0.0003,0.6337,0.35,0.5,0.3333,,,0.0,,0.0,,,,,
2020-02-06,ROU,568,175,20,373,69,13,555,37,9,77,0.1957,16,56,2,35,0,0,7,0,2,0.0504,0.0462,,0.0785,0.2609,,0.2609,,,0.0,,0.0,,,,,
2020-02-07,ROU,792,270,31,491,110,13,779,101,10,116,0.0901,30,75,1,100,0,1,7,1,1,0.0432,0.0574,0.0,0.008,0.04,0.0,0.0405,,,0.0,,0.0,,,,,
2020-02-08,ROU,682,202,23,457,74,12,670,100,10,128,0.0909,43,78,0,100,0,0,7,1,2,0.0319,0.0071,1.0,0.0546,0.0745,1.0,0.0645,,,0.0,,0.0,,,,,
2020-02-09,ROU,679,172,25,482,62,13,666,50,13,126,0.2063,52,71,0,50,0,9,1,2,1,0.0391,0.0106,0.0,0.0536,0.2222,0.0,0.2264,,,0.0,,0.0,,,,,
2020-02-10,ROU,712,231,26,455,78,12,700,62,9,137,0.1268,47,56,3,59,0,0,7,1,1,0.0299,0.027,0.0,0.0529,0.1613,0.0,0.1667,,,0.0,,0.0,,,,,
2020-02-11,ROU,628,196,20,412,98,22,606,38,15,78,0.283,13,63,1,37,0,0,10,5,0,0.1548,0.0869,1.0,0.4883,0.3704,1.0,0.3462,,,0.0,,0.0,,,,,
2020-02-12,ROU,612,233,21,358,130,17,595,36,11,128,0.234,37,84,0,36,0,0,8,3,0,0.0538,0.0474,,0.176,0.2609,,0.2609,,,0.0,,0.0,,,,,
2020-02-13,ROU,725,283,39,403,155,16,709,60,18,126,0.2308,17,104,0,60,0,5,9,3,1,0.1075,0.0739,,0.2249,0.25,,0.25,,,0.0,,0.0,,,,,
2020-02-14,ROU,521,207,29,285,94,18,503,44,20,106,0.3125,19,61,0,44,0,4,9,2,5,0.1404,0.1408,,0.1389,0.2973,,0.2973,,,0.0,,0.0,,,,,
2020-02-15,ROU,587,174,18,395,74,9,578,48,7,85,0.1273,15,65,0,48,0,0,6,1,0,0.0782,0.0578,0.0,0.1668,0.0938,0.0,0.0968,,,0.0,,0.0,,,,,
2020-02-16,ROU,656,156,27,473,80,14,642,126,12,93,0.087,11,79,0,126,0,1,5,1,5,0.0093,0.0016,,0.0131,0.0598,,0.0598,,,0.0,,0.0,,,,,
2020-02-17,ROU,561,166,24,371,83,15,546,56,15,83,0.2113,16,50,0,56,0,1,10,1,3,0.4517,0.4758,1.0,0.1814,0.1707,1.0,0.15,,,0.0,,0.0,,,,,
2020-02-18,ROU,653,196,33,424,99,20,633,35,12,110,0.2553,30,55,0,35,0,0,8,2,2,0.0997,0.0913,0.7139,0.209,0.2105,0.3333,0.1875,,,0.0,,0.0,,,,,
2020-02-19,ROU,770,172,13,585,83,14,756,30,16,120,0.3478,27,62,0,30,0,8,7,1,0,0.0791,0.0257,0.0,0.6496,0.5455,0.0,0.5714,,,0.0,,0.0,,,,,
2020-02-20,ROU,698,156,32,510,60,13,685,54,6,83,0.1,12,40,4,50,0,0,6,0,0,0.0905,0.0861,,0.1129,0.025,,0.025,,,0.0,,0.0,,,,,
2020-02-21,ROU,866,216,25,625,61,13,853,59,19,130,0.2436,26,73,1,58,0,2,15,1,1,0.112,0.0879,0.0,0.2176,0.2381,0.0,0.2439,,,0.0,,0.0,,,,,
2020-02-22,ROU,917,267,31,619,100,15,902,127,16,171,0.1119,33,110,0,127,0,3,12,0,1,0.0669,0.083,,0.0198,0.0636,,0.0636,,,0.0,,0.0,,,,,
2020-02-23,ROU,1429,483,51,895,281,23,1406,106,16,274,0.1311,48,163,1,105,0,1,8,3,4,0.052,0.0094,0.0,0.2337,0.1412,0.0,0.1481,,,0.0,,0.0,,,,,
2020-02-24,ROU,2005,764,88,1153,531,29,1976,121,21,405,0.1479,74,300,4,117,0,4,13,3,1,0.0386,0.0245,0.0,0.0942,0.1494,0.0,0.1529,,,0.0,,0.0,,,,,
2020-02-25,ROU,2507,849,94,1564,569,38,2469,160,45,449,0.2195,77,342,2,158,0,5,32,6,2,0.0853,0.0242,0.0148,0.2836,0.2734,0.1429,0.2803,,,0.0,,0.0,,,,,
2020-02-26,ROU,2727,855,97,1775,499,42,2685,132,35,460,0.2096,89,342,0,132,0,10,16,6,3,0.1492,0.1686,0.3912,0.0641,0.211,0.1667,0.2136,,,0.0,,0.0,,,,,
2020-02-27,ROU,2648,744,70,1834,459,36,2612,132,78,388,0.3714,75,284,1,131,10,8,47,12,1,0.1129,0.0432,0.0,0.3176,0.4422,0.0,0.4483,,1.0,1.0,,0.0,,,,,
2020-02-28,ROU,2729,593,74,2062,277,21,2708,100,126,353,0.5575,98,227,7,93,4,34,65,17,6,0.2304,0.0336,0.0,0.6734,0.6461,0.0,0.6571,,1.0,0.0,,0.0,,,,,
2020-02-29,ROU,2231,476,64,1691,233,17,2214,122,51,284,0.2948,113,160,5,117,1,11,26,11,2,0.2673,0.2139,0.0,0.3561,0.3185,0.0,0.3258,,3.0,2.0,,0.0,,,,,
2020-03-01,ROU,2119,455,73,1591,181,17,2102,104,35,251,0.2518,90,146,2,102,0,23,7,5,0,0.0628,0.0065,,0.2129,0.3069,,0.3069,,3.0,0.0,,0.0,,,,,
2020-03-02,ROU,2388,519,87,1782,189,20,2368,118,47,359,0.2848,155,179,4,114,1,13,25,4,4,0.7152,0.3226,0.0161,0.8924,0.3423,0.125,0.3592,,3.0,0.0,,0.0,,,,,
2020-03-03,ROU,2202,526,57,1619,195,32,2170,122,29,344,0.1921,130,205,2,120,1,4,14,7,3,0.0962,0.0333,1.0,0.249,0.2277,1.0,0.22,,,,,,,,,,
2020-03-04,ROU,2253,566,82,1605,223,42,2211,106,42,295,0.2838,88,195,4,102,0,3,31,3,5,0.4753,0.4988,0.5565,0.3457,0.2963,0.25,0.2987,,4.0,1.0,,0.0,,,,,
2020-03-05,ROU,2180,531,83,1566,215,23,2157,97,42,317,0.3022,117,176,2,95,2,8,22,5,5,0.1997,0.0624,0.9682,0.4214,0.3659,0.6667,0.3544,,,,,,,,,,
2020-03-06,ROU,2372,614,87,1671,228,20,2352,121,37,392,0.2342,172,206,4,117,1,8,15,11,2,0.3931,0.4665,0.0,0.2296,0.2569,0.0,0.2667,,6.0,2.0,,0.0,,,,,
2020-03-07,ROU,2584,573,79,1932,197,21,2563,137,68,322,0.3317,60,238,0,137,1,39,19,5,4,0.0762,0.0344,0.375,0.2063,0.3826,0.5,0.3793,,7.0,1.0,,0.0,,,,,
2020-03-08,ROU,2861,709,96,2056,316,34,2827,122,38,352,0.2375,78,245,3,119,1,8,22,2,5,0.0496,0.0434,0.0,0.069,0.2157,0.0,0.2268,,13.0,6.0,,0.0,,,,,
2020-03-09,ROU,3326,941,87,2298,456,34,3292,116,22,472,0.1594,124,336,2,114,0,2,14,4,2,0.0705,0.0159,0.0,0.2258,0.1957,0.0,0.1978,,15.0,2.0,,0.0,,,,,
2020-03-10,ROU,2885,745,84,2056,347,37,2848,101,41,357,0.2887,86,255,2,99,0,2,32,4,3,0.1911,0.1527,0.0,0.3057,0.3261,0.0,0.3297,,17.0,2.0,,0.0,,,,,
2020-03-11,ROU,2807,778,94,1935,363,40,2767,127,49,417,0.2784,88,302,2,125,0,19,23,3,4,0.4663,0.5407,0.512,0.1693,0.2901,0.5,0.28,,25.0,8.0,,0.0,,,,,
2020-03-12,ROU,2481,548,65,1868,206,18,2463,102,31,262,0.2331,77,171,2,100,1,2,25,2,1,0.1813,0.0559,0.0,0.2786,0.2596,0.0,0.2842,,45.0,20.0,,0.0,1921.0,,,,
2020-03-13,ROU,2425,506,73,1846,210,19,2406,84,24,310,0.2222,126,171,2,82,0,0,24,0,0,0.0944,0.01,,0.2227,0.274,,0.274,,64.0,19.0,,0.0,2545.0,624.0,,,
2020-03-14,ROU,2403,474,58,1871,222,28,2375,85,15,253,0.15,73,172,5,80,0,2,9,3,1,0.2724,0.0007,0.0,0.506,0.2121,0.0,0.2188,,89.0,25.0,,0.0,2929.0,384.0,,,
2020-03-15,ROU,2281,433,73,1775,206,22,2259,50,11,200,0.1803,38,149,2,48,0,0,8,3,0,0.3617,0.0275,1.0,0.7287,0.2273,1.0,0.2093,,113.0,24.0,,0.0,3205.0,276.0,,,
2020-03-16,ROU,2362,549,56,1757,198,28,2334,97,30,253,0.2362,48,192,1,96,0,0,25,3,2,0.0608,0.0056,,0.2614,0.2935,,0.2935,,139.0,26.0,,0.0,3708.0,503.0,,,
2020-03-17,ROU,2309,536,94,1679,244,30,2279,87,23,270,0.2091,53,194,2,85,0,1,18,2,2,0.4657,0.4609,0.0,0.4928,0.2405,0.0,0.2468,,184.0,45.0,,0.0,4150.0,442.0,,,
2020-03-18,ROU,2258,490,49,1719,192,26,2232,94,23,283,0.1966,76,183,5,89,0,3,17,3,0,0.1292,0.0906,0.0,0.2249,0.2297,0.0,0.2329,,217.0,33.0,,0.0,4670.0,520.0,,,
2020-03-19,ROU,2059,482,51,1526,197,22,2037,58,23,275,0.284,78,175,2,56,0,1,17,5,0,0.6278,0.7108,,0.336,0.3774,,0.3774,,260.0,43.0,,0.0,4973.0,303.0,,,
2020-03-20,ROU,2105,473,56,1576,183,21,2084,91,51,223,0.3592,57,155,1,90,1,2,42,4,2,0.283,0.179,0.3724,0.4052,0.4286,0.5,0.4271,,277.0,17.0,,0.0,8284.0,3311.0,,,
2020-03-21,ROU,2118,445,79,1594,185,24,2094,74,28,247,0.2745,48,178,4,70,1,0,21,5,1,0.4162,0.5037,0.6935,0.1076,0.2987,0.2,0.3056,,308.0,31.0,,0.0,8915.0,631.0,,,
2020-03-22,ROU,2547,561,87,1899,236,24,2523,72,38,287,0.3455,58,217,4,68,0,2,27,4,5,0.3763,0.3699,0.1473,0.3973,0.4156,0.5,0.411,,367.0,59.0,,0.0,9967.0,1052.0,,,
2020-03-23,ROU,2020,514,79,1427,213,35,1985,83,37,299,0.3083,52,196,3,80,0,1,17,12,7,0.5733,0.6323,0.0,0.3752,0.3494,0.0,0.3867,,433.0,66.0,2.0,2.0,11223.0,1256.0,,,
2020-03-24,ROU,2041,548,53,1440,254,29,2012,76,31,319,0.2897,74,233,6,70,0,0,23,8,0,0.6791,0.7553,0.0,0.1887,0.3065,0.0,0.3115,,576.0,143.0,7.0,5.0,12624.0,1401.0,,,
2020-03-25,ROU,1980,551,58,1371,262,30,1950,92,30,327,0.2459,75,235,1,91,1,4,18,6,1,0.5509,0.6259,0.0,0.25,0.2564,0.0,0.2597,,762.0,186.0,11.0,4.0,14466.0,1842.0,,,
2020-03-26,ROU,2081,553,71,1457,282,30,2051,111,27,312,0.1957,75,221,4,107,0,2,18,5,2,0.3722,0.3915,0.1564,0.2126,0.2021,0.25,0.2,,906.0,144.0,13.0,2.0,15998.0,1532.0,,,
