date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,SDN,53,7,2,44,45,0,53,5,2,4,0.2857,2,1,1,4,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-01-23,SDN,60,8,2,50,47,0,60,11,3,6,0.2143,1,3,0,11,0,0,3,0,0,,,,,,,,,,,,,,,,,
2020-01-24,SDN,188,45,7,136,138,0,188,17,14,12,0.4516,5,4,3,14,0,0,8,6,0,,,,,,,,,,,,,,,,,
2020-01-25,SDN,432,53,14,365,345,0,432,41,9,17,0.18,4,10,10,31,0,0,6,2,1,,,,,,,,,,,,,,,,,
2020-01-26,SDN,289,43,6,240,246,1,288,12,4,37,0.25,12,21,1,11,0,0,2,0,2,,,,,,,,,,,,,,,,,
2020-01-27,SDN,253,32,5,216,206,0,253,16,6,25,0.2727,12,10,0,16,0,0,4,1,1,,,,,,,,,,,,,,,,,
2020-01-28,SDN,288,53,14,221,255,0,288,16,7,28,0.3043,9,19,3,13,0,0,6,0,1,,,,,,,,,,,,,,,,,
2020-01-29,SDN,327,48,13,266,270,0,327,22,5,26,0.1852,7,15,3,19,0,1,1,2,1,,,,,,,,,,,,,,,,,
2020-01-30,SDN,316,68,7,241,253,1,315,27,9,12,0.25,5,2,0,27,0,1,7,0,1,,,,,,,,,,,,,,,,,
2020-01-31,SDN,337,84,13,240,264,0,337,11,2,13,0.1538,2,8,1,10,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-01,SDN,137,28,6,103,107,0,137,1,1,9,0.5,6,2,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-02,SDN,223,46,14,163,180,0,223,14,8,10,0.3636,5,4,0,14,0,1,4,2,1,,,,,,,,,,,,,,,,,
2020-02-03,SDN,121,32,3,86,88,0,121,4,2,10,0.3333,3,5,0,4,0,0,1,0,1,,,,,,,,,,,,,,,,,
2020-02-04,SDN,137,21,3,113,114,0,137,3,2,7,0.4,1,6,0,3,0,0,1,0,1,,,,,,,,,,,,,,,,,
2020-02-05,SDN,87,16,4,67,68,0,87,3,2,4,0.4,2,2,0,3,0,0,1,0,1,,,,,,,,,,,,,,,,,
2020-02-06,SDN,100,25,4,71,86,0,100,9,1,5,0.1,0,4,0,9,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-07,SDN,178,35,6,137,155,0,178,41,1,5,0.0238,0,3,0,41,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-08,SDN,127,18,1,108,109,0,127,34,2,14,0.0556,8,5,0,34,0,0,1,1,0,,,,,,,,,,,,,,,,,
2020-02-09,SDN,134,18,4,112,116,0,134,10,1,14,0.0909,11,3,0,10,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-10,SDN,73,10,5,58,58,0,73,3,0,4,0.0,2,2,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-11,SDN,78,16,2,60,61,0,78,4,2,5,0.3333,3,2,0,4,0,0,0,2,0,,,,,,,,,,,,,,,,,
2020-02-12,SDN,51,10,0,41,38,0,51,1,1,4,0.5,2,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-13,SDN,57,13,3,41,36,0,57,3,3,6,0.5,0,3,1,2,0,3,0,0,0,,,,,,,,,,,,,,,,,
2020-02-14,SDN,63,13,0,50,57,0,63,3,0,3,0.0,1,2,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-15,SDN,80,23,0,57,67,0,80,19,0,1,0.0,0,1,0,19,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-16,SDN,104,18,1,85,92,0,104,59,1,5,0.0167,2,3,1,58,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-17,SDN,47,9,0,38,38,0,47,3,2,4,0.4,1,2,0,3,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-18,SDN,57,13,1,43,51,3,54,1,1,11,0.5,5,2,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-19,SDN,60,10,2,48,48,0,60,0,0,9,,6,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-20,SDN,42,6,0,36,27,0,42,1,0,7,0.0,0,5,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-21,SDN,70,9,3,58,40,1,69,4,0,4,0.0,2,2,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-22,SDN,74,13,0,61,34,0,74,3,0,4,0.0,1,2,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-23,SDN,95,21,1,73,44,0,95,1,0,3,0.0,0,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-24,SDN,156,31,2,123,86,0,156,6,2,4,0.25,1,3,0,6,0,1,1,0,0,,,,,,,,,,,,,,,,,
2020-02-25,SDN,177,38,6,133,109,0,177,14,5,7,0.2632,3,4,0,14,0,0,5,0,0,,,,,,,,,,,,,,,,,
2020-02-26,SDN,212,45,5,162,113,1,211,8,2,34,0.2,4,29,0,8,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-02-27,SDN,238,44,5,189,171,0,238,16,7,14,0.3043,8,6,0,16,1,1,4,1,0,,,,,,,,,,,,,,,,,
2020-02-28,SDN,296,61,3,232,214,1,295,18,8,14,0.3077,8,6,0,18,0,0,6,2,0,,,,,,,,,,,,,,,,,
2020-02-29,SDN,336,47,4,285,255,0,336,19,5,33,0.2083,25,8,0,19,0,1,1,3,0,,,,,,,,,,,,,,,,,
2020-03-01,SDN,479,49,4,426,396,0,479,9,29,15,0.7632,10,3,0,9,0,0,2,25,2,,,,,,,,,,,,,,,,,
2020-03-02,SDN,408,56,9,343,319,2,406,13,4,103,0.2353,88,12,2,11,0,0,2,2,0,,,,,,,,,,,,,,,,,
2020-03-03,SDN,290,47,8,235,208,0,290,18,3,31,0.1429,20,11,2,16,0,0,2,1,0,,,,,,,,,,,,,,,,,
2020-03-04,SDN,281,43,4,234,235,0,281,14,0,16,0.0,10,3,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-03-05,SDN,321,53,10,258,251,0,321,12,2,32,0.1429,22,8,0,12,0,0,2,0,0,,,,,,,,,,,,,,,,,
2020-03-06,SDN,323,47,4,272,239,1,322,17,1,36,0.0556,25,8,0,17,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-03-07,SDN,312,59,6,247,259,2,310,12,10,13,0.4545,4,8,0,12,0,7,2,0,1,,,,,,,,,,,,,,,,,
2020-03-08,SDN,348,56,14,278,271,0,348,9,3,12,0.25,4,7,0,9,0,2,1,0,0,,,,,,,,,,,,,,,,,
2020-03-09,SDN,344,55,6,283,266,0,344,12,4,26,0.25,14,11,0,12,0,1,3,0,0,,,,,,,,,,,,,,,,,
