date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,VGB,3,2,0,1,0,0,3,0,0,1,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-23,VGB,13,9,0,4,0,0,13,1,3,2,0.75,2,0,0,1,0,0,1,2,0,,,,,,,,,,,,,,,,,
2020-01-24,VGB,21,8,0,13,0,0,21,3,4,2,0.5714,2,0,0,3,0,0,1,2,1,,,,,,,,,,,,,,,,,
2020-01-25,VGB,38,7,0,31,0,0,38,2,0,3,0.0,1,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-26,VGB,26,1,0,25,0,0,26,0,0,2,,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-27,VGB,32,3,0,29,0,0,32,4,3,2,0.4286,1,1,0,4,0,0,3,0,0,,,,,,,,,,,,,,,,,
2020-01-28,VGB,38,14,0,24,0,0,38,0,0,6,,1,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-29,VGB,20,5,0,15,0,0,20,1,0,1,0.0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-30,VGB,37,13,0,24,0,0,37,1,0,1,0.0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-01-31,VGB,30,5,0,25,0,0,30,0,1,0,1.0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-01,VGB,13,1,1,11,0,0,13,0,0,1,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-02,VGB,12,3,0,9,0,0,12,0,1,1,1.0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-03,VGB,3,1,0,2,0,0,3,0,0,1,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-04,VGB,1,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-05,VGB,4,1,0,3,0,0,4,0,0,1,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-06,VGB,3,2,0,1,0,0,3,0,0,1,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-07,VGB,6,2,0,4,0,0,6,1,0,1,0.0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-08,VGB,11,2,0,9,0,0,11,3,0,6,0.0,6,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-09,VGB,9,3,0,6,0,0,9,1,0,3,0.0,2,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-10,VGB,6,2,0,4,0,0,6,0,0,2,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-11,VGB,7,5,0,2,0,0,7,1,0,1,0.0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-12,VGB,12,1,0,11,0,0,12,0,0,3,,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-13,VGB,5,2,0,3,0,0,5,1,0,0,0.0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-14,VGB,8,2,0,6,0,0,8,1,1,1,0.5,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-02-15,VGB,3,2,0,1,0,0,3,0,0,1,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-16,VGB,10,1,1,8,0,0,10,5,0,2,0.0,1,1,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-02-17,VGB,7,0,4,3,0,0,7,0,1,1,1.0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
