date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-01-22,YEM,67,16,2,49,0,0,2,15,1.0,12,3,0,0,0,0,2,0,0,,,,,,,,,,,,,,
2020-01-23,YEM,106,16,0,90,2,10,3,25,0.2308,18,6,2,8,0,0,3,0,0,,,,,,,,,,,,,,
2020-01-24,YEM,278,63,1,214,4,20,7,45,0.2593,38,6,0,20,0,0,7,0,0,,,,,,,,,,,,,,
2020-01-25,YEM,440,74,6,360,27,26,6,73,0.1875,51,21,1,25,0,0,3,2,1,,,,,,,,,,,,,,
2020-01-26,YEM,537,79,4,454,14,19,9,62,0.3214,42,19,0,19,0,1,3,5,0,,,,,,,,,,,,,,
2020-01-27,YEM,346,70,4,272,5,21,4,61,0.16,40,18,0,21,0,0,4,0,0,,,,,,,,,,,,,,
2020-01-28,YEM,295,65,7,223,9,11,7,55,0.3889,42,12,0,11,0,1,6,0,0,,,,,,,,,,,,,,
2020-01-29,YEM,335,76,12,247,15,6,10,57,0.625,44,10,0,6,0,3,5,1,1,,,,,,,,,,,,,,
2020-01-30,YEM,686,161,3,522,13,16,14,99,0.4667,57,11,0,16,0,0,14,0,0,,,,,,,,,,,,,,
2020-01-31,YEM,479,114,7,358,10,13,5,66,0.2778,53,10,2,11,0,1,4,0,0,,,,,,,,,,,,,,
2020-02-01,YEM,244,58,5,181,10,4,0,45,0.0,36,8,0,4,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-02,YEM,212,75,2,135,4,7,0,39,0.0,37,2,0,7,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-03,YEM,162,50,1,111,15,5,3,40,0.375,37,3,0,5,0,0,1,2,0,,,,,,,,,,,,,,
2020-02-04,YEM,184,65,5,114,10,4,3,54,0.4286,35,16,1,3,0,0,2,1,0,,,,,,,,,,,,,,
2020-02-05,YEM,191,49,7,135,11,5,0,36,0.0,29,7,0,5,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-06,YEM,151,36,5,110,34,9,2,36,0.1818,21,15,0,9,0,0,0,2,0,,,,,,,,,,,,,,
2020-02-07,YEM,136,38,4,94,7,13,1,27,0.0714,27,0,0,13,0,0,1,0,0,,,,,,,,,,,,,,
2020-02-08,YEM,148,39,7,102,11,25,1,25,0.0385,19,6,0,25,0,0,0,1,0,,,,,,,,,,,,,,
2020-02-09,YEM,120,19,4,97,8,6,3,23,0.3333,16,4,0,6,0,1,2,0,0,,,,,,,,,,,,,,
2020-02-10,YEM,95,13,2,80,3,6,1,16,0.1429,12,4,0,6,0,1,0,0,0,,,,,,,,,,,,,,
2020-02-11,YEM,95,18,4,73,6,2,0,4,0.0,2,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-12,YEM,61,7,5,49,4,2,1,6,0.3333,3,2,0,2,0,1,0,0,0,,,,,,,,,,,,,,
2020-02-13,YEM,79,13,3,63,3,3,2,9,0.4,4,4,0,3,0,0,0,1,1,,,,,,,,,,,,,,
2020-02-14,YEM,88,22,3,63,19,1,0,18,0.0,15,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-15,YEM,109,31,1,77,6,2,1,30,0.3333,23,6,0,2,0,0,1,0,0,,,,,,,,,,,,,,
2020-02-16,YEM,122,17,5,100,27,18,0,20,0.0,17,2,0,18,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-17,YEM,92,20,4,68,11,7,1,22,0.125,17,3,0,7,0,0,0,0,1,,,,,,,,,,,,,,
2020-02-18,YEM,79,19,0,60,3,0,1,18,1.0,16,2,0,0,0,0,1,0,0,,,,,,,,,,,,,,
2020-02-19,YEM,85,15,3,67,4,1,1,22,0.5,15,4,0,1,0,0,1,0,0,,,,,,,,,,,,,,
2020-02-20,YEM,74,9,4,61,2,5,0,8,0.0,7,1,0,5,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-21,YEM,111,18,3,90,9,4,2,16,0.3333,10,6,0,4,0,0,2,0,0,,,,,,,,,,,,,,
2020-02-22,YEM,166,19,6,141,15,11,0,21,0.0,14,6,0,11,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-23,YEM,157,18,2,137,5,9,1,17,0.1,12,5,0,9,0,0,1,0,0,,,,,,,,,,,,,,
2020-02-24,YEM,313,46,5,262,19,17,0,22,0.0,10,11,0,17,0,0,0,0,0,,,,,,,,,,,,,,
2020-02-25,YEM,339,53,8,278,28,9,4,34,0.3077,20,13,0,9,0,0,3,1,0,,,,,,,,,,,,,,
2020-02-26,YEM,334,59,3,272,35,13,2,39,0.1333,21,18,0,13,0,0,2,0,0,,,,,,,,,,,,,,
2020-02-27,YEM,342,54,12,276,20,12,9,49,0.4286,27,20,0,12,3,0,6,0,0,,,,,,,,,,,,,,
2020-02-28,YEM,432,64,14,354,15,6,13,33,0.6842,20,13,0,6,0,1,11,1,0,,,,,,,,,,,,,,
2020-02-29,YEM,383,58,11,314,18,14,6,40,0.3,28,12,0,14,0,2,2,2,0,,,,,,,,,,,,,,
2020-03-01,YEM,357,54,9,294,10,7,3,37,0.3,27,9,0,7,0,1,0,1,1,,,,,,,,,,,,,,
2020-03-02,YEM,422,66,11,345,24,22,8,54,0.2667,42,12,0,22,0,5,1,2,0,,,,,,,,,,,,,,
2020-03-03,YEM,358,53,8,297,26,12,3,41,0.2,29,12,0,12,0,0,2,1,0,,,,,,,,,,,,,,
2020-03-04,YEM,424,61,16,347,25,9,6,41,0.4,26,14,1,8,0,0,5,1,0,,,,,,,,,,,,,,
2020-03-05,YEM,412,58,6,348,23,11,5,53,0.3125,41,11,0,11,0,1,2,2,0,,,,,,,,,,,,,,
2020-03-06,YEM,418,77,12,329,23,13,9,67,0.4091,40,24,0,13,0,4,4,1,0,,,,,,,,,,,,,,
2020-03-07,YEM,455,66,15,374,32,22,6,47,0.2143,30,17,0,22,0,5,1,0,0,,,,,,,,,,,,,,
2020-03-08,YEM,461,60,17,384,31,13,3,31,0.1875,21,10,0,13,0,2,0,1,0,,,,,,,,,,,,,,
2020-03-09,YEM,498,103,9,386,42,16,6,57,0.2727,36,17,0,16,0,0,6,0,0,,,,,,,,,,,,,,
2020-03-10,YEM,490,84,13,393,23,12,3,40,0.2,23,15,0,12,0,1,2,0,0,,,,,,,,,,,,,,
2020-03-11,YEM,449,64,9,376,31,13,9,40,0.4091,25,13,0,13,0,2,6,0,1,,,,,,,,,,,,,,
2020-03-12,YEM,588,92,18,478,15,17,5,43,0.2273,22,20,0,17,0,0,5,0,0,,,,,,,,,,,,,,
2020-03-13,YEM,523,77,10,436,19,11,10,44,0.4762,20,21,4,7,0,0,10,0,0,,,,,,,,,,,,,,
2020-03-14,YEM,454,66,12,376,27,18,3,33,0.1429,16,15,1,17,0,0,3,0,0,,,,,,,,,,,,,,
2020-03-15,YEM,521,75,18,428,29,7,0,23,0.0,7,14,1,6,0,0,0,0,0,,,,,,,,,,,,,,
2020-03-16,YEM,480,71,15,394,28,18,3,20,0.1429,9,11,1,17,0,0,3,0,0,,,,,,,,,,,,,,
