date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,ZMB,67,9,1,57,42,0,67,8,2,11,0.2,6,5,0,8,0,0,2,0,0,0.0033,0.0075,,0.0009,0.1667,,0.1667,,,,,,,,,,
2020-01-23,ZMB,121,16,4,101,78,0,121,17,17,11,0.5,6,3,0,17,0,1,16,0,0,0.443,0.1009,,0.4953,0.5161,,0.5161,,,,,,,,,,
2020-01-24,ZMB,194,33,4,157,111,0,194,26,11,13,0.2973,6,7,1,25,0,0,8,3,0,0.3835,0.8639,,0.2598,0.1935,,0.1935,,,,,,,,,,
2020-01-25,ZMB,344,65,6,273,205,1,343,28,4,20,0.125,6,14,1,27,0,0,4,0,0,0.2205,0.0,,0.4017,0.1739,,0.1739,,,,,,,,,,
2020-01-26,ZMB,452,71,4,377,330,1,451,30,11,24,0.2683,9,14,0,30,0,0,6,5,0,0.2444,0.5935,,0.174,0.2581,,0.2581,,,,,,,,,,
2020-01-27,ZMB,281,61,9,211,195,0,281,23,12,22,0.3429,10,10,1,22,0,0,11,1,0,0.6389,0.0,,0.642,0.3636,,0.3636,,,,,,,,,,
2020-01-28,ZMB,314,79,15,220,207,5,309,25,17,45,0.4048,18,21,0,25,0,0,14,2,1,0.5607,0.3737,0.0,0.6512,0.4062,0.0,0.4194,,,,,,,,,,
2020-01-29,ZMB,411,133,18,260,305,5,406,18,14,21,0.4375,3,13,2,16,0,2,4,8,0,0.3532,0.576,0.0,0.2467,0.4706,0.0,0.5,,,,,,,,,,
2020-01-30,ZMB,542,143,13,386,388,4,538,38,11,36,0.2245,7,8,0,38,0,2,8,1,0,0.1191,0.0,0.0,0.1807,0.2895,0.0,0.2973,,,,,,,,,,
2020-01-31,ZMB,521,108,15,398,394,5,516,32,19,35,0.3725,7,16,0,32,0,3,10,3,3,0.7298,0.1015,1.0,0.7609,0.439,1.0,0.4103,,,,,,,,,,
2020-02-01,ZMB,310,76,13,221,252,6,304,27,3,23,0.1,10,8,0,27,0,1,1,1,0,0.0164,0.0,0.0,0.0181,0.1429,0.0,0.15,,,,,,,,,,
2020-02-02,ZMB,294,55,7,232,222,2,292,28,2,17,0.0667,13,3,0,28,0,0,2,0,0,0.0457,0.0952,0.0,0.0307,0.0476,0.0,0.05,,,,,,,,,,
2020-02-03,ZMB,194,56,8,130,152,1,193,9,5,17,0.3571,7,7,0,9,0,2,3,0,0,0.0028,0.0,,0.004,0.4545,,0.4545,,,,,,,,,,
2020-02-04,ZMB,153,50,9,94,123,0,153,6,1,16,0.1429,6,9,0,6,0,0,0,1,0,0.409,0.7794,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-05,ZMB,156,44,8,104,98,2,154,8,3,18,0.2727,4,12,0,8,0,1,0,1,1,0.1663,0.1737,,0.1661,0.2222,,0.2222,,,,,,,,,,
2020-02-06,ZMB,157,36,11,110,110,1,156,6,0,12,0.0,4,5,0,6,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-07,ZMB,269,53,6,210,224,2,267,92,2,24,0.0213,8,15,0,92,0,0,2,0,0,0.0078,0.0003,,0.0085,0.0127,,0.0127,,,,,,,,,,
2020-02-08,ZMB,183,39,10,134,150,4,179,46,0,25,0.0,15,7,0,46,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,
2020-02-09,ZMB,192,48,7,137,148,0,192,9,6,21,0.4,13,6,0,9,0,0,4,0,2,0.5863,0.0,0.0,0.6122,0.4286,0.0,0.4615,,,,,,,,,,
2020-02-10,ZMB,158,49,11,98,129,3,155,13,1,19,0.0714,7,12,1,12,0,0,1,0,0,0.0001,0.0,,0.0001,0.1,,0.1,,,,,,,,,,
2020-02-11,ZMB,205,45,3,157,101,1,204,14,1,14,0.0667,5,8,1,13,0,0,1,0,0,0.0292,0.0,,0.0369,0.1,,0.1,,,,,,,,,,
2020-02-12,ZMB,132,29,4,99,96,1,131,9,3,9,0.25,3,2,0,9,0,1,2,0,0,0.5111,0.0,,0.8243,0.4286,,0.4286,,,,,,,,,,
